"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",13,4.3921568627451,5.63347661386877,2.47223248541629,301.5,-0.50210478118309,0.3015,999
"fr2_00",16,4.48,5.00172172172172,1.26653814644148,360,-0.411927365304845,0.36,999
"fr3_00",19,3.4375,4.88478061394728,1.26563761842146,73,-1.14351896062664,0.073,999
"fr4_00",20,4.09302325581395,4.80403659473427,1.32848210002413,301,-0.535207315858755,0.301,999
"fr5_00",12,5.60975609756098,5.73685881002954,1.65768718643431,575.5,-0.0766747269983818,0.5755,999
"fr6_00",17,4,5.04806344806345,1.49084955346945,211,-0.702997459149673,0.211,999
"fr7_00",9,4.33846153846154,6.66435666435666,3.25880170705182,186,-0.713727110447393,0.186,999
"fr8_00",16,4.5609756097561,5.15627822944896,1.63639741879239,386,-0.363788535019921,0.386,999
"fr9_00",26,4.68376068376068,4.39952773286107,0.996551413722748,708,0.285216544761929,0.708,999
"fr10_00",17,4.16129032258065,5.06286932093384,1.48892591969289,258.5,-0.605523072994227,0.2585,999
"fo1_00",21,4,4.70465059654249,0.946551137181145,214,-0.744440071817944,0.214,999
"fo2_00",20,4.09523809523809,4.7388340721674,0.839870491073394,217.5,-0.766303833471711,0.2175,999
"fo3_00",15,21.8875,5.48751251251251,3.41353728809692,993,4.80439676012171,0.993,999
"fo4_00",9,4.41666666666667,6.60577243910577,1.85340129206038,83.5,-1.18112886929389,0.0835,999
"fo5_00",25,3.82795698924731,4.45671477929542,0.826299532903218,205.5,-0.760932040998451,0.2055,999
"fo6_00",21,4.65168539325843,4.66279762908976,1.15625535987604,568,-0.00961053779030937,0.568,999
"fo7_00",20,4.16129032258065,4.7451322290032,1.06423458508707,297.5,-0.548602643255375,0.2975,999
"fo8_00",24,4.864,4.48845645645646,1.43605162874344,680.5,0.261511171344269,0.6805,999
"fo9_00",19,4.81739130434783,4.86190538364451,1.12783290573676,555,-0.0394686828787017,0.555,999
"fo10_00",23,4.90909090909091,4.63003913003913,1.02971757316552,706.5,0.270998365303147,0.7065,999
