"","PD","SR"
"fr1_00",116,13
"fr2_00",120,16
"fr3_00",105,19
"fr4_00",135,20
"fr5_00",124,12
"fr6_00",133,17
"fr7_00",122,9
"fr8_00",127,16
"fr9_00",145,26
"fr10_00",125,17
"fo1_00",134,21
"fo2_00",135,20
"fo3_00",125,15
"fo4_00",109,9
"fo5_00",136,25
"fo6_00",132,21
"fo7_00",135,20
"fo8_00",143,24
"fo9_00",140,19
"fo10_00",130,23
"bc1_00",139,18
"bc2_00",130,17
"bc3_00",121,17
"bc4_00",99,5
"bc5_00",122,14
"bc6_00",128,17
"bc7_00",142,22
"bc8_00",139,16
"bc9_00",150,22
"bc10_00",129,12
"na1_00",132,17
"na2_00",127,14
"na3_00",106,11
"na4_00",132,11
"na5_00",137,18
"na6_00",118,14
"na7_00",116,14
"na8_00",111,16
"na9_00",155,28
"na10_00",142,18
"fr1_01",129,20
"fr2_01",148,22
"fr3_01",132,19
"fr4_01",114,10
"fr5_01",149,29
"fr6_01",112,10
"fr7_01",134,14
"fr8_01",114,12
"fr9_01",136,17
"fr10_01",114,6
"fo1_01",143,22
"fo2_01",135,12
"fo3_01",131,18
"fo4_01",135,22
"fo5_01",158,27
"fo6_01",126,16
"fo7_01",143,18
"fo8_01",131,17
"fo9_01",136,23
"fo10_01",125,17
"bc1_01",151,23
"bc2_01",135,9
"bc3_01",117,9
"bc4_01",124,11
"bc5_01",147,20
"bc6_01",141,18
"bc7_01",140,17
"bc8_01",134,13
"bc9_01",135,19
"bc10_01",120,9
"na1_01",122,8
"na2_01",124,12
"na3_01",128,13
"na4_01",138,13
"na5_01",148,20
"na6_01",125,8
"na7_01",131,12
"na8_01",126,9
"na9_01",129,13
"na10_01",129,16
"fr1_02",137,18
"fr2_02",145,18
"fr3_02",124,9
"fr4_02",117,6
"fr5_02",132,14
"fr6_02",133,14
"fr7_02",133,11
"fr8_02",117,7
"fr9_02",129,17
"fr10_02",115,6
"fo1_02",137,16
"fo2_02",131,16
"fo3_02",142,16
"fo4_02",138,15
"fo5_02",140,22
"fo6_02",139,19
"fo7_02",142,18
"fo8_02",129,16
"fo9_02",129,16
"fo10_02",138,20
"bc1_02",140,14
"bc2_02",139,19
"bc3_02",133,11
"bc4_02",121,7
"bc5_02",147,21
"bc6_02",137,17
"bc7_02",146,15
"bc8_02",135,14
"bc9_02",134,15
"bc10_02",126,12
"na1_02",128,15
"na2_02",138,14
"na3_02",130,11
"na4_02",115,11
"na5_02",134,15
"na6_02",139,19
"na7_02",148,15
"na8_02",138,15
"na9_02",122,12
"na10_02",137,12
"fr1_03",141,21
"fr2_03",148,27
"fr3_03",133,20
"fr4_03",144,26
"fr5_03",135,22
"fr6_03",137,25
"fr7_03",142,29
"fr8_03",149,27
"fr9_03",134,23
"fr10_03",118,13
"fo1_03",146,32
"fo2_03",146,27
"fo3_03",149,33
"fo4_03",142,24
"fo5_03",153,36
"fo6_03",147,29
"fo7_03",150,34
"fo8_03",144,23
"fo9_03",144,34
"fo10_03",140,23
"bc1_03",153,29
"bc2_03",149,30
"bc3_03",139,21
"bc4_03",136,18
"bc5_03",157,34
"bc6_03",159,36
"bc7_03",145,25
"bc8_03",147,23
"bc9_03",149,27
"bc10_03",129,15
"na1_03",152,33
"na2_03",149,32
"na3_03",152,26
"na4_03",136,26
"na5_03",150,27
"na6_03",143,21
"na7_03",147,31
"na8_03",154,32
"na9_03",148,26
"na10_03",149,28
