"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"D1" 14 2.57176589644122 4.43003645312448 0.893735924205003 28 -2.07921658552131 0.028 999
"D10" 9 7.36332179930796 9.8894811766784 1.53964277269812 77.5 -1.64074382848142 0.0775 999
"D103" 9 7.21632653061225 10.6928904414619 1.21408153857851 15 -2.86353412055017 0.015 999
"D13" 8 8.32 10.7167434100767 1.08227421763945 28.5 -2.21454357039409 0.0285 999
"D14" 20 10.9678638941399 11.9161013565550 0.65600847298645 92 -1.44546526677978 0.092 999
"D17" 6 8.20408163265306 9.7501991787706 1.35722047561536 129.5 -1.13917935508344 0.1295 999
"D19" 13 8.20415879017013 11.4157333136539 0.851227730744853 6 -3.77287347144289 0.006 999
"D20" 24 9.75192343779321 11.6626590936968 0.671191500272819 11 -2.84678166384251 0.011 999
"D21" 15 9.70118343195266 11.7472013433552 0.708695726810699 14 -2.88701883474040 0.014 999
"D23" 18 8.68055555555556 11.4357482482482 0.855376241413135 6 -3.22103018449629 0.006 999
"D24" 15 9.3116049382716 11.4394710760143 0.815153908173916 18 -2.61038573992667 0.018 999
"D26" 9 7.92888888888889 11.4273918362807 0.945198288788844 8 -3.70134287047297 0.008 999
"D3" 17 7.97295012679628 10.9557155271441 0.933016363215602 11 -3.19690577565847 0.011 999
"D41" 5 3.16897506925208 9.25426257282213 1.70975713915404 3 -3.55915314766923 0.003 999
"D43" 17 6.04026978774053 8.92374362062916 1.33375525880782 42 -2.16192124743039 0.042 999
"D45" 18 5.92388048798305 9.8048570888077 1.53007421890599 22 -2.53646297210313 0.022 999
"D47" 19 8.13442554085276 11.0433710332891 1.01649694475434 18 -2.86173559836854 0.018 999
"D50" 14 8.75383491599708 11.3494444042289 0.89197139457946 10 -2.90996942727698 0.01 999
"D51" 12 9.22222222222222 11.0421687119218 0.950116186611616 44 -1.91549887828985 0.044 999
"D54" 9 10.2533081285444 10.2812756045270 1.17588230392899 403.5 -0.0237842476999198 0.4035 999
"D59" 20 2.61210075896735 3.10679850302313 0.382912490892241 101 -1.29193420382569 0.101 999
"D60" 8 8.52777777777778 10.7567567567568 1.13014614237071 50 -1.97229269331773 0.05 999
"D66" 12 7.23046875 10.1584827014515 1.21655241301175 22 -2.40681282625771 0.022 999
"D72" 10 10.4512 10.7104160160160 1.25709954082197 350 -0.206201663112949 0.35 999
"D76" 9 6.51903114186851 10.7111402059499 1.03258636037667 1 -4.05981448617253 0.001 999
"D81" 6 7.19444444444444 10.2207207207207 1.37439303539227 33.5 -2.20190018309613 0.0335 999
"D85" 15 5.84555172123559 6.14073723584707 0.871589094563491 343 -0.338675089503413 0.343 999
"D89" 14 7.50687213660975 10.0096898231009 1.17742484031919 38 -2.12567087153747 0.038 999
"D90" 5 1.88179930795848 1.79504237801816 0.377426221619473 564 0.229864606566182 0.564 999
"R111" 14 4.61545410064361 7.93778489995886 1.61906142546502 40 -2.0520103481318 0.04 999
"R113" 18 8.33698563428293 10.9020491963435 1.00787002623446 24 -2.54503407710614 0.024 999
"R114" 9 8.10666666666667 11.1716338560783 1.03035631748047 17 -2.97466724609055 0.017 999
"R116" 14 2.76498269896194 7.5401564886686 2.21203667763665 9 -2.15872270020789 0.009 999
"R120" 10 8.71900826446281 10.8701511428784 1.05794216442225 35 -2.03332748306743 0.035 999
"R124" 12 8.8384 11.1281073073073 0.864141893650215 19 -2.64968904312158 0.019 999
"R125" 17 5.93565759637188 8.52680585914713 1.07187498307475 20 -2.41739783434665 0.02 999
"R126" 18 9.71591836734694 11.1545619088476 0.766910914716074 54 -1.87589394530041 0.054 999
"R129" 20 7.6955017301038 10.9627490812612 1.10117345167744 11 -2.96705968181518 0.011 999
"R14" 17 9.31510107015458 11.7028669573259 0.786681526545667 12 -3.03523828461573 0.012 999
"R15" 6 8.1728 10.3862518518519 1.35117241933352 72 -1.63817128012697 0.072 999
"R19" 9 10.25 11.5297519741964 0.883855902209899 92 -1.44791924905028 0.092 999
"R21" 20 8.6189349112426 10.8529142159911 1.10239561551363 47 -2.02647695011711 0.047 999
"R22" 6 8.75 10.7075825825826 1.29900775757708 100 -1.50698298078980 0.1 999
"R23" 15 8.48592592592593 11.6420697240450 0.80579876533337 6 -3.91678907178937 0.006 999
"R24" 16 9.65333333333333 10.9913869424981 1.03970420524430 113.5 -1.28695604232006 0.1135 999
"R3" 10 9.2565157750343 11.2249094087229 0.988944863104043 50 -1.99039775332902 0.05 999
"R41" 16 9.05643532787756 10.9976240455569 1.03785089189169 52 -1.87039268631461 0.052 999
"R45" 7 5.25163833981565 5.66796622398945 1.63194335669472 328 -0.255111724598711 0.328 999
"R47" 16 7.97777833893084 9.58165923303167 1.41742373273630 131 -1.13154652138115 0.131 999
"R49" 10 8.02379664683613 8.13339028590516 1.27973286112727 434 -0.0856379033453088 0.434 999
"R58" 12 7.3704705246079 10.1616251188993 1.31054342108464 37 -2.12976888013478 0.037 999
"R59" 11 8.9585798816568 10.7429441275595 1.04706887091725 58 -1.70415174728629 0.058 999
"R61" 12 11.4013605442177 11.5810867556899 0.822144472046442 328 -0.218606604536158 0.328 999
"R62" 16 7.72824895901819 9.72318070133835 1.42759254836284 107.5 -1.39740974734558 0.1075 999
"R65" 9 7.08 9.3904904904905 1.08360105303749 34 -2.13223352267318 0.034 999
"R67" 7 9.0887573964497 10.2400625477549 1.28611314644116 178.5 -0.895181854326706 0.1785 999
"R75" 11 8.9626201495194 10.6151933350225 1.26073903488413 107 -1.31079719099435 0.107 999
"R83" 11 7.71597633136095 10.8199613156878 1.15226168355539 18 -2.69381949311140 0.018 999
"R90" 7 3.01446280991736 7.3130734039825 1.99898272042707 9 -2.15039907555918 0.009 999
"S110" 6 9.875 10.3003003003003 1.27605752437770 287 -0.333292419953957 0.287 999
"S113" 13 3.86233546673107 8.9507287749046 1.04319200504177 1 -4.87771501658489 0.001 999
"S116" 6 7.80165289256198 9.27271899999173 1.63042555135629 184 -0.90225898766492 0.184 999
"S118" 3 4 8.78611945278612 1.93215209657651 26 -2.47709249249394 0.026 999
"S119" 1 NA NA NA NA NA NA 999
"S120" 1 NA NA NA NA NA NA 999
"S121" 4 7.59183673469388 9.1646748789606 1.81583249615421 175.5 -0.866180194262337 0.1755 999
"S123" 3 6.5 8.13688688688689 1.99356259039486 152 -0.821086277789087 0.152 999
"S124" 0 NA NA NA NA NA NA 999
"S125" 5 5.8125 9.0304054054054 1.43900979294068 36 -2.23619423661425 0.036 999
"S14" 19 9.37716262975779 10.1408332592493 1.05021645408491 231.5 -0.727155460687275 0.2315 999
"S15" 2 0.36 2.32828828828829 1.02488797617124 42.5 -1.92049115030249 0.0425 999
"S20" 8 8.49826989619377 10.7606291412520 1.13320894557260 47 -1.99641844859869 0.047 999
"S22" 1 NA NA NA NA NA NA 999
"S34" 2 0.888888888888889 6.05405405405405 2.33475788486817 32.5 -2.21229156078289 0.0325 999
"S41" 9 8.45429362880886 9.0625473118548 1.08586294434138 255.5 -0.560156957391022 0.2555 999
"S43" 5 3.98702001081666 5.4190328782 1.54791160071269 229.5 -0.925125741498423 0.2295 999
"S45" 4 7.22222222222222 8.79034590145701 1.66345053838005 187 -0.942693301095628 0.187 999
"S47" 4 5.25 8.70952202202202 1.77079548121405 50 -1.95365419593808 0.05 999
"S49" 16 9.92847442281575 10.9850239555989 0.973348296952617 142 -1.08547940761903 0.142 999
"S51" 2 6.72 6.39135135135135 2.59404754022697 430.5 0.126693379189146 0.4305 999
"S53" 4 9.5625 8.58583583583584 1.72854880289944 643.5 0.565019722050036 0.6435 999
"S54" 4 7.2 9.5376976976977 1.70793852721056 106 -1.36872472893722 0.106 999
"S56" 3 8.44444444444444 8.80035591146702 1.98379637400398 384 -0.179409273898523 0.384 999
"S57" 1 NA NA NA NA NA NA 999
"S65" 1 NA NA NA NA NA NA 999
"S66" 1 NA NA NA NA NA NA 999
"S71a" 1 NA NA NA NA NA NA 999
"S75" 8 7.82766439909297 9.94610029530664 1.21965421694798 58 -1.73691515740812 0.058 999
"S85" 4 4.67590027700831 6.39906388382843 1.64739091332047 195 -1.04599557572338 0.195 999
