"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"D1" 14 2.16450216450216 3.83892983892984 2.19850939957683 145.5 -0.761619520366832 0.1455 999
"D10" 9 5.76470588235294 4.87204851910734 1.72153201570630 741 0.51852498536274 0.741 999
"D103" 9 2.8 4.95329615329615 1.48958557758543 49.5 -1.44556726763331 0.0495 999
"D13" 8 4.66666666666667 5.35949282615949 1.65816963228257 374.5 -0.417825864136175 0.3745 999
"D14" 20 3.52173913043478 3.2659616137877 0.690310283685054 716.5 0.370525432826635 0.7165 999
"D17" 6 5.85714285714286 6.56956956956957 2.45730310111552 441 -0.289922196453217 0.441 999
"D19" 13 3.04347826086957 3.95360577969274 0.93113322232323 155 -0.977440710956861 0.155 999
"D20" 24 2.54794520547945 3.00124782316563 0.616683655087613 228.5 -0.735065075823646 0.2285 999
"D21" 15 3.11538461538462 3.70770770770771 0.85212364971228 262.5 -0.695114016050477 0.2625 999
"D23" 18 3 3.39039039039039 0.841588932019446 365.5 -0.463873009182314 0.3655 999
"D24" 15 3.24444444444444 3.65200756311867 0.906203084263478 376 -0.449748103655462 0.376 999
"D26" 9 3.86666666666667 4.93333333333333 1.23294781748510 198 -0.865135289214747 0.198 999
"D3" 17 2.70329670329670 3.45347545347545 1.00248318234347 215 -0.748320533841857 0.215 999
"D41" 5 2.94736842105263 7.55566092408198 2.74795135643997 34 -1.67699202252237 0.034 999
"D43" 17 2.38028169014085 3.48720551537453 1.46891099904072 216.5 -0.753567660638776 0.2165 999
"D45" 18 2.11111111111111 3.42809476142809 1.23773864919663 42.5 -1.06402401764847 0.0425 999
"D47" 19 2.34782608695652 3.36817977397688 1.00599433379825 87.5 -1.01427379135217 0.0875 999
"D50" 14 3.89189189189189 3.82463544625707 0.96280715440604 601 0.0698545345524721 0.601 999
"D51" 12 2.66666666666667 4.18362807251696 1.20094416408832 57 -1.26314066149934 0.057 999
"D54" 9 8.52173913043478 4.98820559690125 1.6111143538326 967.5 2.19322329611662 0.9675 999
"D59" 20 2.09150326797386 3.47495207625927 2.38963461463325 134 -0.57893738223144 0.134 999
"D60" 8 5.33333333333333 5.32165498832166 1.51502068015505 529 0.00770837333420597 0.529 999
"D66" 12 3.125 4.17698948948949 1.43793796661445 253 -0.731595878204915 0.253 999
"D72" 10 7.04 4.61805805805806 1.37738004348874 943.5 1.75836868944860 0.9435 999
"D76" 9 4.47058823529412 4.98792910557616 1.45172737472631 410 -0.35636227523751 0.41 999
"D81" 6 5.5 6.58475141808475 2.16029635996626 344.5 -0.502130836392139 0.3445 999
"D85" 15 4.51376146788991 3.72770936073688 1.96560875426824 795 0.399902628356809 0.795 999
"D89" 14 3.34693877551020 3.79710322567465 1.33680636242494 470.5 -0.336746190635914 0.4705 999
"D90" 5 9.81176470588235 7.21274215391862 4.67313847147276 722.5 0.556162109860322 0.7225 999
"R111" 14 2.22085889570552 3.92249918630287 1.8221442791159 91.5 -0.93386693364533 0.0915 999
"R113" 18 3.02702702702703 3.44582420258096 1.03167824310241 421 -0.40593777987849 0.421 999
"R114" 9 4.66666666666667 5.00620620620621 1.40305094660614 445 -0.242000862734782 0.445 999
"R116" 14 2.15294117647059 3.82993581817111 1.88667625674007 148 -0.888861899708298 0.148 999
"R120" 10 6.45454545454545 4.63199563199563 1.40787444389514 901.5 1.29454002837597 0.9015 999
"R124" 12 2.8 4.17049049049049 1.13345432067365 64.5 -1.20912723653121 0.0645 999
"R125" 17 2.08333333333333 3.44111969111969 1.39509217378044 18.5 -0.973259246453234 0.0185 999
