"ntaxa" "pd.obs" "pd.rand.mean" "pd.rand.sd" "pd.obs.rank" "pd.obs.z" "pd.obs.p" "runs"
"D1" 14 51 50.8988988988989 3.85727181833869 537 0.0262105202491652 0.537 999
"D10" 9 40 40.1141141141141 3.69137419912245 477 -0.0309137215460965 0.477 999
"D103" 9 37 40.1091091091091 3.68378169851468 178 -0.843999282140609 0.178 999
"D13" 8 37 37.6676676676677 3.93963286104496 391.5 -0.169474590962410 0.3915 999
"D14" 20 66 60.965965965966 4.02905813581368 889.5 1.2494319675577 0.8895 999
"D17" 6 32 32.2932932932933 3.84064658585765 423.5 -0.0763656032224587 0.4235 999
"D19" 13 47 48.6226226226226 3.95322459495093 352 -0.41045546076361 0.352 999
"D20" 24 66 67.6446446446446 4.1068944487136 387 -0.400459438435237 0.387 999
"D21" 15 52 52.3993993993994 3.80586506031866 498 -0.10494313200005 0.498 999
"D23" 18 57 58.037037037037 4.00596119299591 446.5 -0.258873460594229 0.4465 999
"D24" 15 50 52.4914914914915 3.87888762612555 255.5 -0.642321132148945 0.2555 999
"D26" 9 35 40.2032032032032 3.57117015308348 61 -1.45700232141293 0.061 999
"D3" 17 59 56.3043043043043 3.92380989085999 756.5 0.687009761093414 0.7565 999
"D41" 5 22 28.6256256256256 4.09138887296277 60.5 -1.61940745095386 0.0605 999
"D43" 17 55 56.043043043043 4.1814013660395 426 -0.249448199714676 0.426 999
"D45" 18 58 57.8638638638639 4.04972666455413 540 0.0336161295347883 0.54 999
"D47" 19 59 59.4214214214214 4.06874562531361 512.5 -0.103575268701872 0.5125 999
"D50" 14 54 50.7037037037037 3.91240464631783 803.5 0.842524379322219 0.8035 999
"D51" 12 36 46.8748748748749 3.75280247444276 2.5 -2.89780102974635 0.0025 999
"D54" 9 50 40.3523523523524 3.59385636595708 994.5 2.68448336974045 0.9945 999
"D59" 20 63 61.1791791791792 4.04941012638511 689.5 0.449650878520981 0.6895 999
"D60" 8 39 37.7237237237237 3.89487970592096 626 0.327680537690572 0.626 999
"D66" 12 46 46.9349349349349 3.88754379580467 410 -0.240495023089873 0.41 999
"D72" 10 44 42.4954954954955 3.92817908343711 676 0.383003033351544 0.676 999
"D76" 9 37 40.2522522522523 3.8188479456108 178.5 -0.851631774443975 0.1785 999
"D81" 6 30 31.8918918918919 3.95089147043381 286.5 -0.478851901159452 0.2865 999
"D85" 15 58 52.5285285285285 3.79628245232789 911 1.44127091178802 0.911 999
"D89" 14 55 50.6506506506507 3.82286616146236 865.5 1.13771949256146 0.8655 999
"D90" 5 32 28.6556556556557 4.06898744938739 794.5 0.82191070529054 0.7945 999
"R111" 14 51 50.7607607607608 3.78609175845339 556 0.0631889701841163 0.556 999
"R113" 18 61 57.6636636636637 3.88267192453059 805 0.859288758150664 0.805 999
"R114" 9 35 39.8098098098098 3.78900739216746 103 -1.26941156666850 0.103 999
"R116" 14 48 50.9349349349349 3.91886281238005 219 -0.748925153915367 0.219 999
"R120" 10 49 42.6396396396396 3.85434588934877 946 1.65017892606286 0.946 999
"R124" 12 40 46.5435435435435 3.91311650957275 38 -1.67220769622778 0.038 999
"R125" 17 57 56.048048048048 3.83446213874654 614 0.248262185805059 0.614 999
"R126" 18 61 58.063063063063 3.99511563348006 774 0.73513189764138 0.774 999
"R129" 20 64 61.1061061061061 4.05309856390023 758.5 0.713995440345065 0.7585 999
"R14" 17 57 56.1291291291291 3.8872308227427 621.5 0.224033742934878 0.6215 999
"R15" 6 28 31.977977977978 3.85736620813254 155.5 -1.03126790751450 0.1555 999
"R19" 9 43 40.048048048048 3.81323684606425 791.5 0.7741328616917 0.7915 999
"R21" 20 60 60.9299299299299 4.12469651462633 466 -0.225454145931066 0.466 999
"R22" 6 29 31.6066066066066 3.97466883918129 239 -0.655804725392801 0.239 999
"R23" 15 53 52.5325325325325 3.90039984239485 588 0.119851165612918 0.588 999
"R24" 16 58 54.3893893893894 4.03162939749241 812.5 0.895571059397558 0.8125 999
"R3" 10 41 42.3873873873874 3.65483196254355 345 -0.379603604654328 0.345 999
"R41" 16 54 54.2522522522523 4.05132804773115 511 -0.0622640895233164 0.511 999
"R45" 7 36 35.1631631631632 3.86163551647856 553.5 0.216705288022613 0.5535 999
"R47" 16 56 54.5075075075075 3.9856573639664 686 0.374465829899441 0.686 999
"R49" 10 48 42.6616616616617 3.76403740640755 918.5 1.41824795079104 0.9185 999
"R58" 12 54 46.8798798798799 4.04998646495494 951 1.75806022606037 0.951 999
"R59" 11 45 44.6216216216216 3.64685784165045 565 0.103754627903767 0.565 999
"R61" 12 51 46.8708708708709 3.88052306536942 853.5 1.06406509111576 0.8535 999
"R62" 16 55 54.3713713713714 4.03457268800189 590.5 0.155810460547174 0.5905 999
"R65" 9 40 40.007007007007 3.77537519548512 475.5 -0.00185597633193756 0.4755 999
"R67" 7 38 34.9539539539540 3.85429540487207 802 0.790299062753637 0.802 999
"R75" 11 48 45.024024024024 3.85085465664398 792.5 0.772809218037209 0.7925 999
"R83" 11 39 44.7927927927928 3.76569635608084 58.5 -1.53830586564384 0.0585 999
"R90" 7 33 34.6566566566567 3.89558524512522 292.5 -0.425265153350124 0.2925 999
"S110" 6 35 31.6726726726727 4.00049645766366 799 0.831728602322154 0.799 999
"S113" 13 42 48.6576576576577 3.79628007445794 35 -1.75373194998219 0.035 999
"S116" 6 28 31.8608608608609 4.14802022695963 182 -0.930771946522246 0.182 999
"S118" 3 14 19.9209209209209 4.66564993665573 95 -1.26904525656825 0.095 999
"S119" 1 9 NA NA NA NA NA 999
"S120" 1 9 NA NA NA NA NA 999
"S121" 4 24 24.5825825825826 4.35049313503342 418.5 -0.133911849645548 0.4185 999
"S123" 3 19 19.6106106106106 4.84173650173489 386 -0.126113969727972 0.386 999
"S124" 0 0 0 0 500.5 NA 0.5005 999
"S125" 5 22 28.4344344344344 4.03906964816167 70.5 -1.59304864608190 0.0705 999
"S14" 19 60 59.6196196196196 3.95635703361189 592.5 0.096144098510017 0.5925 999
"S15" 2 10 12.9549549549550 5.50286616637758 290.5 -0.536984703173353 0.2905 999
"S20" 8 36 37.7637637637638 3.80778764399116 295.5 -0.463199087939437 0.2955 999
"S22" 1 9 NA NA NA NA NA 999
"S34" 2 10 13.0170170170170 5.56242679902394 291.5 -0.542392219443935 0.2915 999
