	mouthparts
Oxyopidae_1	1
Oxyopidae_2	1
Oxyopidae_3	1
Oxyopidae_4	1
Salticidae_1	1
Salticidae_10	1
Salticidae_11	1
Salticidae_12	1
Salticidae_13	1
Salticidae_2	1
Salticidae_3	1
Salticidae_4	1
Salticidae_5	1
Salticidae_6	1
Salticidae_7	1
Salticidae_8	1
Salticidae_9	1
Thomisidae_1	1
Thomisidae_10	1
Thomisidae_11	1
Thomisidae_12	1
Thomisidae_13	1
Thomisidae_14	1
Thomisidae_15	1
Thomisidae_16	1
Thomisidae_2	1
Thomisidae_3	1
Thomisidae_4	1
Thomisidae_5	1
Thomisidae_6	1
Thomisidae_7	1
Thomisidae_8	1
Thomisidae_9	1
Thomisidae_17	1
Thomisidae_18	1
Anthicidae_1	2
Buprestidae_1	2
Buprestidae_2	2
Monochamas	2
Altica	2
Chrysomelidae_1	2
Coccinellidae_1	2
Hippodamia	2
Mulsantina	2
Myzia	2
Scymnus	2
Curculionidae_1	2
Curculionidae_2	2
Curculionidae_3	2
Curculionidae_4	2
Curculionidae_5	2
Curculionidae_6	2
Dinoceous	2
Lixus	2
Aphididae_1	3
Aphididae_10	3
Aphididae_11	3
Aphididae_2	3
Aphididae_3	3
Aphididae_4	3
Aphididae_5	3
Aphididae_6	3
Aphididae_7	3
Aphididae_8	3
Aphididae_9	3
Cicadellidae_1	3
Cicadellidae_2	3
Cicadellidae_3	3
Cicadellidae_4	3
Cicadellidae_5	3
Cicadellidae_6	3
Cicadellidae_7	3
Cicadellidae_8	3
Cicadellidae_9	3
Cuerna_obscura	3
Picumna	3
Melanopleurus	3
Ceratocapscus	3
Miridae_1	3
Miridae_2	3
Phytocoris	3
Banasa	3
Brochymena	3
Pentatomidae_1	3
Pentatomidae_2	3
Pentatomidae_3	3
Pentatomidae_4	3
Pentatomidae_5	3
Thyanta	3
Atractotomus	3
Psyllidae_1	3
Reduviidae_1	3
Zelus	3
Braconidae_1	2
Formicidae_1	2
Formicidae_2	2
Formicidae_3	2
Formicidae_4	2
Formicidae_5	2
Formicidae_6	2
Formicidae_7	2
Gelis	2
Pteromalidae_1	2
Spalangia	2
Chrysopidae_1	2
Chrysopidae_2	2
Sympherobius	2
Rhapidae_1	NA
Acrididae_1	2
Leptothrips	3
Frankliniella	3
