"PD" "SR"
"D1" 36 14
"D10" 29 9
"D103" 27 9
"D13" 25 8
"D14" 46 20
"D17" 21 6
"D19" 34 13
"D20" 49 24
"D21" 39 15
"D23" 41 18
"D24" 39 15
"D26" 26 9
"D3" 41 17
"D41" 18 5
"D43" 42 17
"D45" 42 18
"D47" 43 19
"D50" 38 14
"D51" 29 12
"D54" 34 9
"D59" 46 20
"D60" 28 8
"D66" 33 12
"D72" 30 10
"D76" 26 9
"D81" 21 6
"D85" 41 15
"D89" 38 14
"D90" 21 5
"R111" 37 14
"R113" 44 18
"R114" 28 9
"R116" 34 14
"R120" 32 10
"R124" 32 12
"R125" 40 17
"R126" 45 18
"R129" 47 20
"R14" 41 17
"R15" 20 6
"R19" 28 9
"R21" 44 20
"R22" 23 6
"R23" 36 15
"R24" 40 16
"R3" 28 10
"R41" 41 16
"R45" 25 7
"R47" 40 16
"R49" 32 10
"R58" 32 12
"R59" 32 11
"R61" 33 12
"R62" 40 16
"R65" 29 9
"R67" 27 7
"R75" 32 11
"R83" 31 11
"R90" 23 7
"S110" 23 6
"S113" 31 13
"S116" 20 6
"S118" 11 3
"S119" 7 1
"S120" 7 1
"S121" 20 4
"S123" 13 3
"S124" 0 0
"S125" 18 5
"S14" 44 19
"S15" 8 2
"S20" 26 8
"S22" 9 1
"S34" 8 2
"S41" 28 9
"S43" 18 5
"S45" 15 4
"S47" 15 4
"S49" 41 16
"S51" 14 2
"S53" 19 4
"S54" 18 4
"S56" 16 3
"S57" 7 1
"S65" 7 1
"S66" 7 1
"S71a" 9 1
"S75" 25 8
"S85" 17 4
