"PD" "SR"
"D1" 51 14
"D10" 40 9
"D103" 37 9
"D13" 37 8
"D14" 66 20
"D17" 32 6
"D19" 47 13
"D20" 66 24
"D21" 52 15
"D23" 57 18
"D24" 50 15
"D26" 35 9
"D3" 59 17
"D41" 22 5
"D43" 55 17
"D45" 58 18
"D47" 59 19
"D50" 54 14
"D51" 36 12
"D54" 50 9
"D59" 63 20
"D60" 39 8
"D66" 46 12
"D72" 44 10
"D76" 37 9
"D81" 30 6
"D85" 58 15
"D89" 55 14
"D90" 32 5
"R111" 51 14
"R113" 61 18
"R114" 35 9
"R116" 48 14
"R120" 49 10
"R124" 40 12
"R125" 57 17
"R126" 61 18
"R129" 64 20
"R14" 57 17
"R15" 28 6
"R19" 43 9
"R21" 60 20
"R22" 29 6
"R23" 53 15
"R24" 58 16
"R3" 41 10
"R41" 54 16
"R45" 36 7
"R47" 56 16
"R49" 48 10
"R58" 54 12
"R59" 45 11
"R61" 51 12
"R62" 55 16
"R65" 40 9
"R67" 38 7
"R75" 48 11
"R83" 39 11
"R90" 33 7
"S110" 35 6
"S113" 42 13
"S116" 28 6
"S118" 14 3
"S119" 9 1
"S120" 9 1
"S121" 24 4
"S123" 19 3
"S124" 0 0
"S125" 22 5
"S14" 60 19
"S15" 10 2
"S20" 36 8
"S22" 9 1
"S34" 10 2
"S41" 35 9
"S43" 22 5
"S45" 21 4
"S47" 19 4
"S49" 58 16
"S51" 16 2
"S53" 30 4
"S54" 22 4
"S56" 21 3
"S57" 9 1
"S65" 9 1
"S66" 9 1
"S71a" 9 1
"S75" 33 8
"S85" 21 4
