"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",18,3.25925925925926,4.11611611611612,0.98149916641754,177.5,-0.873008236965064,0.1775,999
"fre2",25,2.92086330935252,3.73948048768193,0.949794360720494,166.5,-0.86188885950894,0.1665,999
"fre3",17,4.20833333333333,4.18401735068402,0.89887232002425,559,0.0270516536193476,0.559,999
"fre4",22,3.28571428571429,3.87415987415987,0.903913222966843,266.5,-0.650997876227742,0.2665,999
"fre5",21,3.96610169491525,3.92248180383774,0.945494173423606,593,0.0461344895649349,0.593,999
"fre6",26,3.76576576576577,3.66342919496073,1.06280438289826,657,0.0962891877863437,0.657,999
"fre7",26,2.84967320261438,3.66468429213527,0.921928919407614,143,-0.884028120133795,0.143,999
"fre8",27,2.98507462686567,3.65111380036753,0.64436726641341,106.5,-1.03363284918099,0.1065,999
"fre9",24,3.59615384615385,3.75078925078925,0.92888746371389,532,-0.166473777153951,0.532,999
"fre10",12,3.52542372881356,4.72078858519536,1.34002152562374,172.5,-0.892048995873707,0.1725,999
"fone1",30,3.29896907216495,3.53330650237867,0.549114466585023,373.5,-0.426755156663561,0.3735,999
"fone2",26,2.68627450980392,3.69167206422108,0.821933476612048,59.5,-1.22321037288971,0.0595,999
"fone3",29,2.91489361702128,3.61672310608481,0.809930431909946,149,-0.866530582643383,0.149,999
"fone4",22,3.80246913580247,3.82194540219232,0.928862767677866,575.5,-0.0209678620648525,0.5755,999
"fone5",36,3.75221238938053,3.40613179551233,0.559123083723572,788,0.618970319671697,0.788,999
"fone6",26,3.13043478260870,3.69398383891138,0.63932030653454,192.5,-0.881481552427794,0.1925,999
"fone7",32,3.4390243902439,3.48360555677629,0.608133324457198,550,-0.0733082117678355,0.55,999
"fone8",20,4.27906976744186,3.96550038410504,0.789234257021665,706.5,0.397308379035829,0.7065,999
"fone9",31,5.30188679245283,3.46314238767069,0.8229617834482,952,2.23430108391890,0.952,999
"fone10",22,4.87878787878788,3.89004155670822,0.837311823968162,878,1.18085794775215,0.878,999
"bc1",29,2.40559440559441,3.62845362845363,1.20499535443698,26,-1.01482484422572,0.026,999
"bc2",27,2.4093567251462,3.64559881518946,1.12601380172378,35,-1.09789248422243,0.035,999
"bc3",18,3.65822784810127,4.10519380139633,2.22084093681347,436.5,-0.201259777720230,0.4365,999
"bc4",18,3.54166666666667,4.14631297964631,0.852662455946296,239,-0.709127402951737,0.239,999
"bc5",32,3.01204819277108,3.52323407745094,0.496452860317073,147,-1.02967658269383,0.147,999
"bc6",34,2.80612244897959,3.47897897897898,1.18764030401792,287,-0.566549087062,0.287,999
"bc7",24,2.9,3.81025025025025,0.771667011989123,80.5,-1.17958942925900,0.0805,999
"bc8",19,2.92753623188406,3.99100549825188,0.887578237205899,69.5,-1.19816960555007,0.0695,999
"bc9",25,2.64367816091954,3.72399986193090,0.804930634549121,31,-1.34213018444315,0.031,999
"bc10",14,4,4.51688051688052,0.908577488948202,299.5,-0.568889856030743,0.2995,999
"narr1",26,2.54135338345865,3.60559055295897,0.76824800253047,22,-1.38527814715420,0.022,999
"narr2",28,2.86301369863014,3.61309254459939,0.918192510454645,178.5,-0.816908042081343,0.1785,999
"narr3",24,2.77894736842105,3.75674621990411,1.00777337825044,112.5,-0.970256679314728,0.1125,999
"narr4",23,4.98507462686567,3.83505893953655,0.920468843634082,902.5,1.24938035141827,0.9025,999
"narr5",26,2.52694610778443,3.66544988101874,1.27332412712307,74.5,-0.89411937540729,0.0745,999
"narr6",21,2.68235294117647,3.85623270329153,1.14922449623682,66,-1.02145382904643,0.066,999
"narr7",32,3.04444444444444,3.50314759203648,0.865047590901626,307,-0.530263481936222,0.307,999
"narr8",28,2.85714285714286,3.6098320542765,0.793468386211937,114.5,-0.948606409799163,0.1145,999
"narr9",25,2.76543209876543,3.72364957550143,0.921039946580626,82,-1.0403647315118,0.082,999
"narr10",26,2.97959183673469,3.72192600764029,0.862075870258507,140,-0.861100741264222,0.14,999
