"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fre1",18,10.8669410150892,11.3843116092773,0.924939235327196,255,-0.559356306260631,0.255,999
"fre2",25,9.1616375963977,11.3256665391648,1.00513043268384,39,-2.15298320735234,0.039,999
"fre3",17,11.5711805555556,11.7797380714047,0.8459116416614,347,-0.246547636393286,0.347,999
"fre4",22,10.7079081632653,11.5778118679904,0.820781471820643,142,-1.05984812595188,0.142,999
"fre5",21,12.1051422005171,11.4257899094153,0.88473567202697,769,0.767859048279767,0.769,999
"fre6",26,9.57584611638666,10.7680881108363,0.931255972448273,112,-1.28025164908763,0.112,999
"fre7",26,9.7842710068777,11.4691473052787,0.914106159357852,54,-1.84319543321381,0.054,999
"fre8",27,12.1808866117175,12.1180900214092,0.634261507813624,495,0.0990074118241101,0.495,999
"fre9",24,9.86372041420118,11.4454596978635,0.86241738604647,56,-1.83407629444188,0.056,999
"fre10",12,9.5719620798621,10.4100515338665,1.23561874860257,235,-0.678275119208299,0.235,999
"fone1",30,12.9356998618344,12.2389338004175,0.571458692395467,906,1.21927633736078,0.906,999
"fone2",26,9.13936947327951,11.7715075706233,0.829472396406443,9,-3.17326786129003,0.009,999
"fone3",29,9.49932095971028,11.8520000308140,0.769837455187921,5,-3.05607249328938,0.005,999
"fone4",22,11.2659655540314,11.2764195379650,0.963447674345843,461,-0.0108505985452036,0.461,999
"fone5",36,11.9370350066567,12.1796699981366,0.596831731253917,307,-0.406538357084474,0.307,999
"fone6",26,12.5267800882168,12.1713673345683,0.634479389229203,695,0.560164379933903,0.695,999
"fone7",32,11.4176085663296,12.1307839665960,0.636172323898817,132,-1.12104122338376,0.132,999
"fone8",20,12.5905895078421,11.8656157509592,0.731124094484412,845.5,0.991587833518397,0.8455,999
"fone9",31,11.2543609825561,11.4067465471880,0.909695373931621,381,-0.167512739977250,0.381,999
"fone10",22,11.1225895316804,11.7278752581783,0.817247591332323,211,-0.740639352036604,0.211,999
"bc1",29,9.55626191989828,10.3641643501783,0.966355225300586,208.5,-0.836030487679885,0.2085,999
"bc2",27,8.23884272083718,10.7515404327415,1.09237806412597,23,-2.30020886945835,0.023,999
"bc3",18,3.63138920044865,5.87833152412146,0.982337177765286,11,-2.28734326108310,0.011,999
"bc4",18,12.0251736111111,11.8305336586587,0.82791385553148,563.5,0.235096865636465,0.5635,999
"bc5",32,13.1577877776165,12.3557553779647,0.5225476058541,958,1.53485039576610,0.958,999
"bc6",34,9.64707413577676,10.4056101603478,0.946396267043846,194,-0.801499383488024,0.194,999
"bc7",24,11.7352,11.8964958958959,0.74464227522299,384,-0.216608566640396,0.384,999
"bc8",19,11.4891829447595,11.7020881414916,0.855040510494831,334.5,-0.249000128203180,0.3345,999
"bc9",25,10.8426476416964,11.7417472962459,0.818882600024622,139,-1.09795916352659,0.139,999
"bc10",14,11.5743801652893,11.8518104881741,0.761495206344858,319,-0.364323137655089,0.319,999
"narr1",26,9.28283113799536,11.6216271673335,0.886892960320813,15,-2.63706685471059,0.015,999
"narr2",28,9.44201538750235,11.3799997219963,0.973039316621022,40,-1.99168142683468,0.04,999
"narr3",24,9.2808864265928,11.1088431367656,1.02082660719720,60.5,-1.79066326963366,0.0605,999
"narr4",23,12.2459345065716,11.4756164049993,0.870200887375902,812.5,0.885218703804336,0.8125,999
"narr5",26,8.47057979848686,9.76242821041846,0.95925593401006,93,-1.34671922907078,0.093,999
"narr6",21,9.83363321799308,10.4044717381742,0.942702002501119,262.5,-0.60553443046325,0.2625,999
"narr7",32,10.4792592592593,11.5432768571040,0.812714963911398,102,-1.30921374047785,0.102,999
"narr8",28,11.6727135298564,11.7382802303437,0.763507766379566,430,-0.0858756169544197,0.43,999
"narr9",25,8.7669562566682,11.3411732110101,0.849214875026724,4,-3.03129046610368,0.004,999
"narr10",26,10.4585589337776,11.7041124839959,0.805841335525756,69,-1.54565606814602,0.069,999
