"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",18,3.25925925925926,4.129221814407,0.934299977867573,178,-0.931138366430581,0.178,999
"fre2",25,2.92805755395683,3.7516869387373,0.916729083698068,162.5,-0.898443607197405,0.1625,999
"fre3",17,4.5625,4.32376126126126,0.84547098255479,634,0.282373663513954,0.634,999
"fre4",22,3.25,3.88778063778064,0.837222305163956,217.5,-0.761781708211583,0.2175,999
"fre5",21,3.98305084745763,3.92534059483212,0.90440557740531,607.5,0.0638101467607867,0.6075,999
"fre6",26,3.92792792792793,3.71177483790096,1.06161502910841,706.5,0.203607790112485,0.7065,999
"fre7",26,2.84967320261438,3.71962158236668,0.828080936378201,124,-1.05055960297458,0.124,999
"fre8",27,2.98507462686567,3.65184587572647,0.604039525118324,113.5,-1.10385367369824,0.1135,999
"fre9",24,3.59615384615385,3.77431277431277,0.953499467507953,513.5,-0.186847433302255,0.5135,999
"fre10",12,3.52542372881356,4.98639317283385,1.42805477170082,154.5,-1.02304860637822,0.1545,999
"fone1",30,3.29896907216495,3.56661816455631,0.523049015814079,338.5,-0.511709389176058,0.3385,999
"fone2",26,2.69607843137255,3.6387858446682,0.719671864772001,44.5,-1.30991283589266,0.0445,999
"fone3",29,2.91489361702128,3.56718420548208,0.724558779753742,157,-0.900259035826599,0.157,999
"fone4",22,4.24691358024691,3.84359668310286,0.899562275046747,728,0.448347944696879,0.728,999
"fone5",36,3.73451327433628,3.38500447350005,0.495080759182395,791.5,0.705963207726823,0.7915,999
"fone6",26,3.13043478260870,3.68426397411905,0.569137742590359,165.5,-0.973102203676857,0.1655,999
"fone7",32,3.4390243902439,3.48117629824947,0.577495461404927,545.5,-0.0729908905310181,0.5455,999
"fone8",20,4.2093023255814,3.99036245547873,0.766198917076619,677.5,0.285748080848263,0.6775,999
"fone9",31,5.27358490566038,3.51162483237955,0.804529137598486,943,2.19005128706745,0.943,999
"fone10",22,4.87878787878788,3.93748293748294,0.845784698843793,880.5,1.11293682965857,0.8805,999
"bc1",29,2.40559440559441,3.58954758954759,1.10086812850947,29,-1.07547230525804,0.029,999
"bc2",27,2.41520467836257,3.57654730754146,0.952528958138667,31,-1.2192202864344,0.031,999
"bc3",18,3.69620253164557,4.14754628045767,2.09113391771372,461.5,-0.215836845736579,0.4615,999
"bc4",18,3.5625,4.17711461461461,0.862646130285529,270.5,-0.712475942378809,0.2705,999
"bc5",32,3.02409638554217,3.458229313651,0.459607265531267,176,-0.94457368424542,0.176,999
"bc6",34,2.79591836734694,3.39527793099222,1.03579412840324,299,-0.578647384851698,0.299,999
"bc7",24,2.88,3.76676676676677,0.713246449449249,67,-1.24328241304461,0.067,999
"bc8",19,3.07246376811594,4.06725566145856,0.839353224502263,80.5,-1.18518862417254,0.0805,999
"bc9",25,2.64367816091954,3.71495633564599,0.73058782311302,35,-1.46632361070809,0.035,999
"bc10",14,4.13636363636364,4.62148512148512,0.897763695772621,316.5,-0.540366565729733,0.3165,999
"narr1",26,2.54135338345865,3.66221860958703,0.778492705504248,30.5,-1.43978898993328,0.0305,999
"narr2",28,2.84246575342466,3.6001686618125,0.841577001615187,152.5,-0.90033699463463,0.1525,999
"narr3",24,2.73684210526316,3.74747378957905,0.978585735250015,112,-1.03274720641385,0.112,999
"narr4",23,5.16417910447761,3.82288258407661,0.838556878898796,927.5,1.59952956579690,0.9275,999
"narr5",26,2.52694610778443,3.6881851911792,1.20877537383746,77,-0.960674008197423,0.077,999
"narr6",21,2.69411764705882,3.8624506859801,1.17526928181237,87,-0.994098167119284,0.087,999
"narr7",32,3.04444444444444,3.41989767545323,0.71542899686504,306,-0.524794539575550,0.306,999
"narr8",28,2.84126984126984,3.59780415335971,0.738650354305558,113.5,-1.02421166886344,0.1135,999
"narr9",25,2.77777777777778,3.72537970068834,0.913175812200375,100.5,-1.0376993238873,0.1005,999
"narr10",26,2.97959183673469,3.68781025923883,0.766141815396635,147.5,-0.924395990757258,0.1475,999
