"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",21,0.9,2.0997997997998,1.21562943129593,88.5,-0.986978242638255,0.0885,999
"fre2",28,0.619718309859155,1.50948836160104,1.03878853211440,131.5,-0.856545893831538,0.1315,999
"fre3",20,1.32075471698113,2.17761157383799,1.03518254071401,206,-0.827735035277787,0.206,999
"fre4",26,1.01587301587302,1.61830084052306,0.8993819075557,247,-0.669824264407651,0.247,999
"fre5",21,1.53389830508475,1.96958823230010,1.15165128599257,426.5,-0.378317579734949,0.4265,999
"fre6",26,1.09009009009009,1.62356049743437,1.34281992620883,416.5,-0.397276207280021,0.4165,999
"fre7",30,0.433962264150943,1.33179720601104,0.859552806064635,70,-1.04453727045664,0.07,999
"fre8",28,2.73239436619718,1.48091753725557,0.68685540810593,947.5,1.82203825459086,0.9475,999
"fre9",25,1.76190476190476,1.62481529148196,1.11418704325559,680.5,0.123039907215432,0.6805,999
"fre10",13,1.4,3.69637971304638,2.55920943984412,137.5,-0.897300423050271,0.1375,999
"fone1",34,0.945454545454545,1.19348439348439,0.519528923633544,366,-0.477412973074043,0.366,999
"fone2",28,1.35483870967742,1.45780457877232,0.895446839293888,564.5,-0.114988254552438,0.5645,999
"fone3",34,0.401709401709402,1.20884131995243,0.765282056941713,59.5,-1.05468553838641,0.0595,999
"fone4",24,4.45063694267516,1.60502540757318,2.51455340291682,905,1.13165683091126,0.905,999
"fone5",38,1,1.05830830830831,0.533850576657978,539,-0.109222151024601,0.539,999
"fone6",30,0.683544303797468,1.38068448195030,0.615126770407594,101,-1.13332765161708,0.101,999
"fone7",34,1.10714285714286,1.21863530196864,0.633984153740801,515,-0.175859986669889,0.515,999
"fone8",23,1.6875,1.84257173840507,0.870935963417867,485.5,-0.17805182575825,0.4855,999
"fone9",34,2.99107142857143,1.21028171028171,0.906836028484346,940,1.96373948801534,0.94,999
"fone10",24,2.49315068493151,1.75398686357590,0.973317907005945,816,0.759426921086214,0.816,999
"bc1",31,0.6,1.29011592237399,1.14026536938448,230.5,-0.605223960056344,0.2305,999
"bc2",30,0.252873563218391,1.35041363202283,1.17888529175976,33.5,-0.930998186571743,0.0335,999
"bc3",21,0.905956112852665,2.01917591572764,2.99566825542158,416.5,-0.371609840595754,0.4165,999
"bc4",20,1.08,2.1815015015015,1.11007002421698,116.5,-0.992281097112303,0.1165,999
"bc5",35,0.784090909090909,1.17287742287742,0.472816864546289,211.5,-0.822277171013327,0.2115,999
"bc6",36,0.661616161616162,1.11266316821872,1.16969469477997,429,-0.385610885144185,0.429,999
"bc7",25,1.16666666666667,1.67361479126185,0.900030107676916,338.5,-0.563256851377646,0.3385,999
"bc8",23,0.712328767123288,1.79583693282323,0.956370533267094,73,-1.13293763035393,0.073,999
"bc9",27,0.806451612903226,1.56942964469846,0.888313210107326,167.5,-0.85890654682829,0.1675,999
"bc10",16,3.11111111111111,2.78500722945167,1.59257498058618,706,0.204765166874220,0.706,999
"narr1",33,0.384615384615385,1.25377825377825,0.819503156232125,47,-1.06059734188098,0.047,999
"narr2",33,0.58433734939759,1.22190262551708,0.8828809226817,216,-0.722141865046676,0.216,999
"narr3",27,0.84,1.56258258258258,1.19672044211256,274,-0.603802322710403,0.274,999
"narr4",27,2.84931506849315,1.47643533944904,0.859701705331157,936.5,1.59692567844248,0.9365,999
"narr5",27,0.91764705882353,1.53964552788082,1.66224959081249,406.5,-0.374190778866888,0.4065,999
"narr6",21,0.470588235294118,2.02824000471059,1.67507851065016,42.5,-0.929897768679446,0.0425,999
"narr7",32,0.555555555555556,1.28804359915471,0.93939197739491,110.5,-0.779746965298197,0.1105,999
"narr8",32,0.676470588235294,1.27443620090679,0.819714862150788,189,-0.729480018335324,0.189,999
"narr9",27,0.416666666666667,1.50306258639592,1.01067149526990,39.5,-1.07492486412623,0.0395,999
"narr10",30,0.509615384615385,1.37582775082775,0.87427236560499,73,-0.990780905688303,0.073,999
