"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fre1",21,3.53333333333333,4.19119119119119,0.877799770018117,234.5,-0.749439542282268,0.2345,999
"fre2",28,2.98591549295775,3.83510270834214,0.92870919580162,143,-0.91437364809489,0.143,999
"fre3",20,4.41509433962264,4.2992048652426,0.818041347555243,596.5,0.141667013197293,0.5965,999
"fre4",26,3.3968253968254,3.94642261308928,0.827070370942014,266.5,-0.664510827099155,0.2665,999
"fre5",21,3.96610169491525,4.23350469113181,1.01040932698506,460,-0.264648186705137,0.46,999
"fre6",26,3.76576576576577,3.90374157941726,1.13545933506007,527.5,-0.121515416176652,0.5275,999
"fre7",30,2.95597484276730,3.73460252705536,0.825721513279575,160,-0.94296645026909,0.16,999
"fre8",28,3.94366197183099,3.83893752907837,0.650768747519018,618,0.160924204107622,0.618,999
"fre9",25,3.75238095238095,3.92645979312646,0.980937957113928,504,-0.177461621790714,0.504,999
"fre10",13,3.8,5.21881881881882,1.61692836672336,177,-0.877477845041461,0.177,999
"fone1",34,3.29090909090909,3.62498862498862,0.507898815094499,267.5,-0.657767894216046,0.2675,999
"fone2",28,3.62903225806452,3.84757337983144,0.796417192547631,450.5,-0.274405329030938,0.4505,999
"fone3",34,2.83760683760684,3.6575378797601,0.696882813318805,85.5,-1.17656946976273,0.0855,999
"fone4",24,7.45859872611465,4.02666041838016,2.39780688795814,940,1.43128219581393,0.94,999
"fone5",38,3.81034482758621,3.5257671464568,0.539817723750556,750,0.527173652528877,0.75,999
"fone6",30,3.08860759493671,3.77382445736876,0.585679684343327,100.5,-1.16995156354165,0.1005,999
"fone7",34,3.54761904761905,3.62767529434196,0.608650691802217,514.5,-0.131530692072109,0.5145,999
"fone8",23,4.16666666666667,4.11119452786119,0.75876425766194,606.5,0.0731085290922968,0.6065,999
"fone9",34,5.28571428571429,3.62441012441012,0.838746832772291,947.5,1.98069798465061,0.9475,999
"fone10",24,5.17808219178082,4.0560286313711,0.834549836427293,900.5,1.34450156411657,0.9005,999
"bc1",31,2.83870967741935,3.76398333817689,1.15844993743748,171,-0.798717001793157,0.171,999
"bc2",30,2.42528735632184,3.76861919390655,1.10286932528558,22,-1.21803354829628,0.022,999
"bc3",21,3.65517241379310,4.2736341357031,2.25017562006308,423.5,-0.274850423405023,0.4235,999
"bc4",20,3.72,4.28184184184184,0.83861120223142,271,-0.669967012540333,0.271,999
"bc5",35,3.22727272727273,3.61047411047411,0.495032410190462,233,-0.774093524611747,0.233,999
"bc6",36,2.85858585858586,3.64703086925309,1.13713687813496,253.5,-0.693359810791097,0.2535,999
"bc7",25,3.23529411764706,4.00425916112191,0.755804771782618,135,-1.01741226330338,0.135,999
"bc8",23,3.01369863013699,4.12464519313834,0.806569339379223,47,-1.37737266811605,0.047,999
"bc9",27,2.98924731182796,3.88730666150021,0.761098755177155,84,-1.17995114768414,0.084,999
"bc10",16,5.55555555555556,4.73857190523857,1.25169110164455,802,0.652703889357033,0.802,999
"narr1",33,2.71328671328671,3.64484764484765,0.755632688399552,58.5,-1.23282243590335,0.0585,999
"narr2",33,2.75903614457831,3.62479346816696,0.814793085410963,82,-1.06254868762415,0.082,999
"narr3",27,2.92,3.91915915915916,1.03000325587248,122,-0.970054369694983,0.122,999
"narr4",27,5.04109589041096,3.87560162902629,0.804094835405425,915.5,1.44944875910940,0.9155,999
"narr5",27,2.83529411764706,3.95196372843432,1.45271267601283,188.5,-0.768678919944522,0.1885,999
"narr6",21,2.68235294117647,4.21656951068716,1.27283439376038,30.5,-1.2053544255495,0.0305,999
"narr7",32,3.04444444444444,3.6553664775887,0.798184336371621,198.5,-0.765389654125987,0.1985,999
"narr8",32,2.85294117647059,3.67742742742743,0.724739880447954,83.5,-1.13763058057083,0.0835,999
"narr9",27,2.73809523809524,3.85997902664569,0.934993982703023,42,-1.19988343166353,0.042,999
"narr10",30,3.05769230769231,3.80649880649881,0.80113064109196,143.5,-0.93468712891303,0.1435,999
