"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"R1_1994" 3 6.66666666666667 5.31865198531865 1.21255135590185 909.5 1.11171759842322 0.9095 999
"R2_1994" 2 2 5.21921921921922 2.10900136664726 94.5 -1.52641874497070 0.0945 999
"R3_1994" 3 6 5.31464798131465 1.22091460459187 633 0.561343124332968 0.633 999
"R4_1994" 4 5.33333333333333 5.34467801134468 0.808056381071455 391 -0.0140394634298939 0.391 999
"R5_1994" 3 3.33333333333333 5.38738738738739 1.11953811459858 71 -1.83473347380456 0.071 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 4.8 5.3007007007007 0.60491433460775 191 -0.827721665788222 0.191 999
"R9_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"R10_1994" 2 4 5.32732732732733 2.11587282216184 301 -0.62731904934209 0.301 999
"R11_1994" 2 8 5.31531531531532 2.08911571834711 871.5 1.28508184640379 0.8715 999
"R12_1994" 2 2 5.46746746746747 2.07395643234356 79 -1.67190950272241 0.079 999
"R13_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"R14_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"R15_1994" 2 2 5.34934934934935 2.11992103803233 86.5 -1.57994061536280 0.0865 999
"SK2_1994" 4 6 5.38538538538539 0.757037761478626 797.5 0.811867843176232 0.7975 999
"SK3_1994" 3 6.66666666666667 5.28928928928929 1.19890836557453 916.5 1.14885959338295 0.9165 999
"SK4_1994" 3 2 5.33333333333333 1.14229238200831 17 -2.91810869601781 0.017 999
"SK5_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"SK6_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"SK10_1994" 3 6.66666666666667 5.36069402736069 1.16989577310821 902.5 1.11631537554515 0.9025 999
"SK11_1994" 2 2 5.18918918918919 2.11001126497464 99 -1.51145600126809 0.099 999
"SK12_1994" 4 5 5.32866199532866 0.773489420289868 276.5 -0.424908197458595 0.2765 999
"SK13_1994" 2 6 5.44744744744745 2.05314924802371 560.5 0.269124396623588 0.5605 999
"SK15_1994" 3 3.33333333333333 5.24858191524858 1.20358235688464 93.5 -1.59129001099076 0.0935 999
"SK16_1994" 3 6 5.33533533533534 1.16334405979727 646.5 0.571339715939661 0.6465 999
"SK17_1994" 2 2 5.36336336336336 2.069702015258 83.5 -1.62504715102386 0.0835 999
"D10_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"D12_1994" 3 6 5.28661995328662 1.19769226162206 652 0.595628835196142 0.652 999
"D13_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"D15_1994" 3 6 5.28661995328662 1.19769226162206 652 0.595628835196142 0.652 999
"D34_1994" 4 5 5.32866199532866 0.773489420289868 276.5 -0.424908197458595 0.2765 999
"D44_1994" 1 NA NA NA NA NA NA 999
"D45_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"D46_1994" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"D48_1994" 5 5.6 5.2964964964965 0.631296132850854 634 0.480762494350978 0.634 999
"D49_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"D50_1994" 2 2 5.2032032032032 2.12196966525686 97 -1.50954241036027 0.097 999
"D51_1994" 3 6 5.34067400734067 1.14674349971707 651.5 0.574955073058623 0.6515 999
"D65_1994" 3 6 5.39806473139806 1.14804425133358 623 0.524313647233303 0.623 999
"D73_1994" 5 5.4 5.3041041041041 0.607149433040381 471.5 0.157944470796399 0.4715 999
"D73B_1994" 4 3 5.29329329329329 0.816331955019916 23 -2.80926561699688 0.023 999
"R1_2004" 3 6 5.33533533533534 1.16334405979727 646.5 0.571339715939661 0.6465 999
"R2_2004" 4 5 5.30263596930264 0.823254178481855 288 -0.367609393566298 0.288 999
"R3_2004" 2 2 5.36336336336336 2.08128869317733 82 -1.61600040128446 0.082 999
"R4_2004" 1 NA NA NA NA NA NA 999
"R5_2004" 3 6 5.33533533533534 1.16334405979727 646.5 0.571339715939661 0.6465 999
"R6_2004" 1 NA NA NA NA NA NA 999
"R7_2004" 1 NA NA NA NA NA NA 999
"R9_2004" 3 6 5.33533533533534 1.16334405979727 646.5 0.571339715939661 0.6465 999
"R10_2004" 3 2 5.27927927927928 1.20239359594852 22 -2.72729270209759 0.022 999
"R11_2004" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"R12_2004" 2 8 5.31531531531532 2.08911571834711 871.5 1.28508184640379 0.8715 999
"R13_2004" 2 4 5.21721721721722 2.03965296860238 311.5 -0.596776626197976 0.3115 999
"R14_2004" 4 6 5.34601267934601 0.750755171992654 817.5 0.871105981085917 0.8175 999
"SK2_2004" 1 NA NA NA NA NA NA 999
"SK3_2004" 1 NA NA NA NA NA NA 999
"SK4_2004" 2 4 5.32932932932933 2.08310568845395 299 -0.638147808196876 0.299 999
"SK5_2004" 4 5.33333333333333 5.31965298631965 0.805190611794715 404 0.0169901968717536 0.404 999
"SK6_2004" 3 6 5.41074407741074 1.10996990547598 626.5 0.53087558471828 0.6265 999
"SK7_2004" 2 8 5.31531531531532 2.08911571834711 871.5 1.28508184640379 0.8715 999
"SK8_2004" 5 5.8 5.32432432432432 0.604292360893125 815 0.787161490793367 0.815 999
"SK10_2004" 3 6.66666666666667 5.25191858525192 1.27233571265987 905.5 1.11192986830273 0.9055 999
"SK11_2004" 3 6 5.25392058725392 1.26843121912845 648.5 0.588190673246529 0.6485 999
"SK12_2004" 3 6 5.36202869536203 1.14134641181995 636 0.558963779997944 0.636 999
"SK13_2004" 4 6.33333333333333 5.32432432432432 0.787077654823014 957.5 1.28196881568935 0.9575 999
"SK15_2004" 1 NA NA NA NA NA NA 999
"SK16_2004" 4 5.33333333333333 5.30063396730063 0.817749162359168 412 0.039987037025343 0.412 999
"SK17_2004" 1 NA NA NA NA NA NA 999
"SC51_2004" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"SC3_2004" 2 2 5.36336336336336 2.08128869317733 82 -1.61600040128446 0.082 999
"D10_2004" 1 NA NA NA NA NA NA 999
"D13_2004" 2 8 5.32732732732733 2.11965795912721 863 1.26089809026225 0.863 999
"D19_2004" 3 6 5.28661995328662 1.19769226162206 652 0.595628835196142 0.652 999
"D20_2004" 2 4 5.36736736736737 2.05733844058151 284 -0.664629280431312 0.284 999
"D31_2004" 3 6 5.28661995328662 1.19769226162206 652 0.595628835196142 0.652 999
"D34_2004" 4 5.33333333333333 5.31464798131465 0.807230522007379 404.5 0.0231474795727733 0.4045 999
"D45_2004" 3 6 5.33533533533534 1.16334405979727 646.5 0.571339715939661 0.6465 999
"D46_2004" 1 NA NA NA NA NA NA 999
"D47_2004" 3 2 5.33333333333333 1.14229238200831 17 -2.91810869601781 0.017 999
"D48_2004" 4 5.33333333333333 5.36936936936937 0.754141266402372 388 -0.0477841985864881 0.388 999
"D51_2004" 4 5 5.32866199532866 0.773489420289868 276.5 -0.424908197458595 0.2765 999
"D53_2004" 4 5.33333333333333 5.30296963630297 0.82993366057293 411.5 0.0365856916917944 0.4115 999
"D65_2004" 3 6.66666666666667 5.35001668335002 1.12666401330443 919.5 1.16862699772845 0.9195 999
"D66_2004" 2 4 5.23923923923924 2.14826719140641 320.5 -0.576855264650738 0.3205 999
