"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"R1_1994" 3 3.34131113423517 2.79694470745459 0.716618567406609 768.5 0.759632043515983 0.7685 999
"R2_1994" 2 0.2880859375 0.761019808871371 0.305691574328992 92 -1.54709488611024 0.092 999
"R3_1994" 3 2.01136213502444 2.08220269417257 0.526205121686151 411.5 -0.134625369895927 0.4115 999
"R4_1994" 4 3.64668367346939 3.77477988192274 0.645798760166121 332 -0.198353134683010 0.332 999
"R5_1994" 3 1.91405516982548 2.69953571511087 0.67564441854202 112.5 -1.16256498792721 0.1125 999
"R6_1994" 1 NA NA NA NA NA NA 999
"R7_1994" 5 3.26839889679199 3.97662577659674 0.529912279973314 106 -1.33649833485728 0.106 999
"R9_1994" 2 0.939836240655037 2.51093386016846 0.9850386465099 87.5 -1.59496038564578 0.0875 999
"R10_1994" 2 1.34157484547165 1.77668020075975 0.718077109192458 310.5 -0.605931242923782 0.3105 999
"R11_1994" 2 3.20987654320988 2.16240932290315 0.840133459951147 865 1.24678669549435 0.865 999
"R12_1994" 2 0.848032174662453 2.21557955542443 0.889942454836179 93 -1.53666944792932 0.093 999
"R13_1994" 2 0.846018266303477 2.27298601277130 0.89018942001512 85 -1.60299337914350 0.085 999
"R14_1994" 2 0.612317550729797 1.63039508002128 0.647307531018424 90 -1.57278801884124 0.09 999
"R15_1994" 2 0.64 1.73037037037037 0.681702280296087 86.5 -1.59948177068850 0.0865 999
"SK2_1994" 4 3.68282548476454 3.73615720984142 0.64992032456242 420 -0.0820588663891755 0.42 999
"SK3_1994" 3 2.92761245674740 2.26360284159592 0.59548195368669 848.5 1.11507932531042 0.8485 999
"SK4_1994" 3 1.30536332179931 3.48760871598242 0.763705503197083 15.5 -2.85744358924694 0.0155 999
"SK5_1994" 2 2.56 1.71307307307307 0.662859586434655 871.5 1.27768677448315 0.8715 999
"SK6_1994" 2 2.86222222222222 1.91817595373151 0.744074474869046 869 1.26875239021855 0.869 999
"SK7_1994" 1 NA NA NA NA NA NA 999
"SK8_1994" 2 2.30394808004327 1.53019975085957 0.617551648805189 862.5 1.25292893425305 0.8625 999
"SK10_1994" 3 3.47550089268002 2.66834896789271 0.679275957359719 875 1.18825333951850 0.875 999
"SK11_1994" 2 0.503090567051868 1.33855328050437 0.535793208541204 92.5 -1.55930067819860 0.0925 999
"SK12_1994" 4 4.34722222222222 3.59709555234247 0.614905845255086 926.5 1.21990492636897 0.9265 999
"SK13_1994" 2 1.40248356464573 1.21061894619236 0.484907776692995 614 0.395672389009432 0.614 999
"SK15_1994" 3 2.09418282548476 3.00092959996007 0.744676422128469 116 -1.21763862468426 0.116 999
"SK16_1994" 3 3.56207612456747 2.55339076100322 0.638983285805156 951.5 1.57857863573576 0.9515 999
"SK17_1994" 2 0.570749108204518 1.51514177673512 0.598076429908266 92.5 -1.57905013691219 0.0925 999
"D10_1994" 2 3.93481213218651 2.59465214422209 1.01610321048672 878.5 1.31892112349736 0.8785 999
"D12_1994" 3 4.09057706355004 2.98440799374165 0.862443940619533 903.5 1.28259822779180 0.9035 999
"D13_1994" 2 0.975069252077562 2.52600522960634 1.02904648973037 96 -1.50715831889690 0.096 999
"D15_1994" 3 4.1304222924447 3.05072811967382 0.868654376731768 892 1.24295024775346 0.892 999
"D34_1994" 4 4.3188246097337 3.62543494826323 0.686946146117178 823.5 1.00937994250308 0.8235 999
"D44_1994" 1 NA NA NA NA NA NA 999
"D45_1994" 2 2.3801652892562 1.55461246370337 0.641819827972293 869 1.28626880874186 0.869 999
"D46_1994" 2 3.60703942971709 2.36317047722706 0.946383137265196 874 1.31433972511861 0.874 999
"D48_1994" 5 3.89882722443115 3.49386480937819 0.533013198060683 758 0.75976057727347 0.758 999
"D49_1994" 2 0.841549627674616 2.23655081228839 0.890277269594176 90 -1.56692890210448 0.09 999
"D50_1994" 2 0.867768595041322 2.27235499962773 0.891652945413978 89.5 -1.57526132988243 0.0895 999
"D51_1994" 3 2.47637051039698 1.90888430964045 0.505039498132125 839 1.12364716592535 0.839 999
"D65_1994" 3 2.52648257129923 3.15172800686608 0.848238713596884 235 -0.737110232702712 0.235 999
"D73_1994" 5 4.21340054610376 4.18798382503486 0.513230778698436 420.5 0.0495229867806301 0.4205 999
"D73B_1994" 4 2.22170262514614 3.28872011558801 0.632886989920747 55 -1.68595263836200 0.055 999
"R1_2004" 3 2.37654320987654 2.52391280169058 0.628937691656134 388.5 -0.234315089982887 0.3885 999
"R2_2004" 4 2.4 3.52216216216216 0.631939573835734 60.5 -1.77574282197724 0.0605 999
"R3_2004" 2 0.965972287680271 2.48696769160526 1.0531186253172 106.5 -1.44427737517876 0.1065 999
"R4_2004" 1 NA NA NA NA NA NA 999
"R5_2004" 3 4.140625 3.53196946946947 0.790136378536765 798.5 0.770317057996603 0.7985 999
"R6_2004" 1 NA NA NA NA NA NA 999
"R7_2004" 1 NA NA NA NA NA NA 999
"R9_2004" 3 3.66914828222116 2.58974089176944 0.750853230667425 942 1.43757441050396 0.942 999
"R10_2004" 3 1.16742382271468 3.06636520176686 0.77065857414599 25.5 -2.46405015496844 0.0255 999
"R11_2004" 2 3.11685295398461 2.11066168505565 0.8203791211078 860.5 1.22649546172050 0.8605 999
"R12_2004" 2 3.99802469135802 2.58931128659524 1.05008057140627 881 1.34152887228095 0.881 999
"R13_2004" 2 1.76431276453553 2.33917142805537 0.962786740140558 317.5 -0.597077877740518 0.3175 999
"R14_2004" 4 3.66168063278252 3.42584294687044 0.603631055490891 623 0.390698397252432 0.623 999
"SK2_2004" 1 NA NA NA NA NA NA 999
"SK3_2004" 1 NA NA NA NA NA NA 999
"SK4_2004" 2 1.99952662721893 2.67504237965776 1.07176182512306 302 -0.63028532702335 0.302 999
"SK5_2004" 4 3.09259571597234 3.26623131817937 0.589898128617942 377.5 -0.294348454052291 0.3775 999
"SK6_2004" 3 3.85763888888889 3.40941809865421 0.773252118374303 643.5 0.579656724610112 0.6435 999
"SK7_2004" 2 3.98222222222222 2.61794238683128 1.08205742772375 866 1.26082017500761 0.866 999
"SK8_2004" 5 4.72744752443519 4.11246753884152 0.495970533105759 950 1.23995266763667 0.95 999
"SK10_2004" 3 3.99833402748855 3.38203426250073 0.740399709781295 729.5 0.832387907296532 0.7295 999
"SK11_2004" 3 4.09204470742932 3.00153934341969 0.776244432602511 918 1.40484790384068 0.918 999
"SK12_2004" 3 4.24433106575964 3.45114672495625 0.78476547688346 866.5 1.01072787242548 0.8665 999
"SK13_2004" 4 3.78966620941930 3.38556633145873 0.59549031102182 711 0.678600256765156 0.711 999
"SK15_2004" 1 NA NA NA NA NA NA 999
"SK16_2004" 4 3.154296875 3.32843585773273 0.633242708149002 367.5 -0.274995638310229 0.3675 999
"SK17_2004" 1 NA NA NA NA NA NA 999
"SC51_2004" 2 3.34631054775917 2.20323900179038 0.881440910978824 875.5 1.29682152454147 0.8755 999
"SC3_2004" 2 0.999763313609467 2.68104696412389 1.06042082746338 88 -1.58548720184627 0.088 999
"D10_2004" 1 NA NA NA NA NA NA 999
"D13_2004" 2 1.93359375 1.27648155968468 0.502863179206897 878 1.30674151038797 0.878 999
"D19_2004" 3 2.97130193905817 2.59918023286444 0.689106546510487 670 0.540006052878305 0.67 999
"D20_2004" 2 1.04142011834320 1.39898478360017 0.559185247779351 300.5 -0.639438659508529 0.3005 999
"D31_2004" 3 3.58238073464411 3.39335097938969 0.770024453029621 502.5 0.245485392717969 0.5025 999
"D34_2004" 4 1.51084812623274 2.46624731240116 0.584050593781185 67 -1.63581579462679 0.067 999
"D45_2004" 3 4.04591368227732 3.55486891850528 0.763169505198185 661 0.643428177393591 0.661 999
"D46_2004" 1 NA NA NA NA NA NA 999
"D47_2004" 3 1.05087736496422 2.77046461224483 0.726713457484755 18 -2.36625210331499 0.018 999
"D48_2004" 4 3.80549256739733 3.68371974897548 0.635533172434895 525.5 0.191607336490878 0.5255 999
"D51_2004" 4 3.63364169197091 3.66398854189264 0.647853936558791 420.5 -0.0468421170409683 0.4205 999
"D53_2004" 4 4.07093425605536 3.76598570889228 0.654151239418114 582 0.466174378014387 0.582 999
"D65_2004" 3 4.14677135074507 3.05505313036157 0.806458064751752 955.5 1.35371976312191 0.9555 999
"D66_2004" 2 1.99949609473419 2.62896708752088 1.05670926321608 314.5 -0.595689859735783 0.3145 999
