				total	total R	total S	total D	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14		SK2	SK3	SK4	SK5	SK6	SK7	SK8	SK10	SK11	SK12	SK13	SK15	SK16	SK17	SC51	SC3	D10		D13		D19	D20	D31	D34	D45	D46	D47	D48			D51	D53	D65	D66
2004	Clavulinaceae	Clavulina_sp	L	20	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	10	0
2004	Pyronematecae	Geopora_cooperi	F	40	20	10	10	0	20	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	10	0	0
2004	Pyronematecae	Geopora_sp1	C	138	71	0	67	0	50	0	0	0	0	0	0	21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		11	0	22	0	0	0	13	0			21	0	0	0
2004	Pyronematecae	Geopora_sp2	E	1171	289	430	452	50	20	42	0	10	0	0	31	54	61	0	0	21		66	59	0	44	15	0	16	12	10	25	14	68	35	66	14	33	0		55		64	10	38	12	18	77	64	56			14	0	44	0
2004	Pyronematecae	Geopora_sp3	J	207	45	52	110	0	0	0	0	0	0	0	0	0	0	0	45	0		0	0	33	10	0	0	0	0	0	0	0	0	9	0	0	0	0		0		0	55	0	10	0	0	0	21			0	24	0	0
2004	Pyronematecae	Geopora_sp4	K	32	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Pyronematecae	Geopora_sp5	Z	635	247	175	213	10	0	0	0	12	54	24	80	0	22	22	0	23		0	0	0	12	22	24	27	24	44	0	12	0	10	0	33	0	0		9		20	0	21	0	23	0	0	30			30	23	25	32
2004	Cortinariaceae	Hebeloma_spp	B2 (new)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Russulaceae	Lactarius_barrowsi	C8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Russulaceae	Lactarius_deliciosus	LACT	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	11	0		0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Rhizopogonaceae	Rhizopogon_rubescens	G	550	223	91	236	12	0	61	26	10	0	0	10	0	0	23	22	59		0	0	0	11	0	21	15	0	0		44	0	0	0	0	32	67		0		0	0	0	55	25	0	24	0			54	11	0	0
2004	Rhizopogonaceae	Rhizopogon_sp1	D	54	20	34	0	0	0	0	0	0	0	0	0	20	0	0	0	0		0	0	0	0	0	0	0	0	24	0	0	0	10	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Rhizopogonaceae	Rhizopogon_sp2	T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Rhizopogonaceae	Rhizopogon_sp3	new 1	91	10	49	32	0	10	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	13	0	36	0	0	0	0	0	0	0		0		0	0	0	1	0	0	0	0			0	0	0	31
2004	Thelephoraceae	Tomentella_sp	H	22	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Tricholomataceae	Tricholoma_sp	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0			0	0	0	0
2004	Tricholomataceae	Tricholoma_terreum	B	42	0	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	19			0	0	0	0
