"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",12,4.5224,6.19181261261261,0.921708593854398,37,-1.81121519723655,0.037,999
"fr2_00",16,6.9616,8.63193193193193,0.925598056532037,44,-1.80459749255547,0.044,999
"fr3_00",18,7.02936288088643,8.77007090192686,0.934522717383471,42,-1.86267063246377,0.042,999
"fr4_00",17,7.5232980113224,8.3142169604646,0.91076118941721,206,-0.86841529737154,0.206,999
"fr5_00",10,6.8586456278764,8.4033830016736,1.06241817715881,88,-1.45398244025554,0.088,999
"fr6_00",16,5.90625,7.90962740083834,1.07904434948117,36,-1.85662192828461,0.036,999
"fr7_00",8,3.7763671875,5.05557070742618,0.881839548761021,84,-1.45060801789107,0.084,999
"fr8_00",13,4.21470918122096,7.52032917391033,1.23011425127556,6,-2.68724631818681,0.006,999
"fr9_00",22,7.70781592403214,8.94249204159114,0.881905675606623,87,-1.40000926596795,0.087,999
"fr10_00",13,7.04955370883349,7.98453239327354,1.01756093176646,191,-0.918842946158474,0.191,999
"fo1_00",19,8.44408163265306,9.19819411247983,0.769257160548187,179,-0.980312590511827,0.179,999
"fo2_00",19,9.14828341855369,9.43482562182343,0.695800224365984,329.5,-0.411816773314265,0.3295,999
"fo3_00",15,2.55279296875,2.00588402855981,0.341640812418599,938,1.60083022961579,0.938,999
"fo4_00",7,7.31404958677686,8.23554959918596,1.18234183332438,207,-0.779385442041013,0.207,999
"fo5_00",23,8.22267842048062,9.38232327243316,0.736425502236221,71,-1.57469404363534,0.071,999
"fo6_00",18,8.81611681990265,8.7030537839083,0.928328117324951,508,0.121792105489758,0.508,999
"fo7_00",18,8.52259215219976,9.12014154463619,0.822443985968054,234,-0.726553300445245,0.234,999
"fo8_00",24,7.37472,7.58617087487487,0.919022559826024,407,-0.23008235501303,0.407,999
"fo9_00",18,8.30730675855588,8.90416048439386,0.897440727782754,250,-0.665062000598737,0.25,999
"fo10_00",20,8.64723378941106,9.05806699025021,0.778005753334692,290.5,-0.528059335137607,0.2905,999
"bc1_00",18,9.815,8.77823573573574,0.840807174025066,881,1.23305829956365,0.881,999
"bc2_00",15,3.67309458218549,3.99477760588872,0.635264902693987,324,-0.50637619414996,0.324,999
"bc3_00",16,8.71525577184246,9.01400993569396,0.891771600300584,355,-0.335011973638535,0.355,999
"bc4_00",5,5.52066115702479,5.86116695207604,1.00441058038499,356.5,-0.339010561717435,0.3565,999
"bc5_00",14,6.778125,6.19963995245245,0.928428848404269,702,0.623079569901145,0.702,999
"bc6_00",16,9.14043209876543,8.68556056056056,0.863085678408849,711,0.527029412703795,0.711,999
"bc7_00",20,9.14934911242604,8.87483744099129,0.856198391321335,605,0.320616896991719,0.605,999
"bc8_00",15,8.7104,9.36209169169169,0.712844714123594,177.5,-0.914212701279427,0.1775,999
"bc9_00",20,5.73348814971655,5.13056243183967,0.737611001828636,780.5,0.817403368960264,0.7805,999
"bc10_00",11,5.89128943758573,5.24402506072602,0.864595780703732,737,0.748632356652119,0.737,999
"na1_00",15,7.39660493827161,8.0001710815754,1.12890570886738,295,-0.534647082181337,0.295,999
"na2_00",14,7.9225,7.59957207207207,0.871001690915101,616,0.370754650991148,0.616,999
"na3_00",10,6.56689342403628,8.69418171005473,0.965208958780619,27,-2.20396657808266,0.027,999
"na4_00",10,7.57561728395062,6.60030555246605,0.880256277438373,862,1.10798611322923,0.862,999
"na5_00",15,5.39891003785336,5.69917078075686,1.07927506521766,363,-0.278205948214827,0.363,999
"na6_00",14,7.6768,7.75223303303303,0.931626760129984,454,-0.0809691565992672,0.454,999
"na7_00",14,8.68292682926829,8.92083278995831,0.89542675893285,383.5,-0.265690028041544,0.3835,999
"na8_00",15,8.248,9.0760008008008,0.826080252497596,163,-1.00232489312921,0.163,999
"na9_00",26,5.90042096095224,5.09224153751661,0.645784624176847,878,1.25146897770411,0.878,999
"na10_00",17,9.06514773940904,8.58022280022992,0.952435053690405,681,0.509142263611761,0.681,999
"fr1_01",19,8.05338606030648,8.97839439609089,0.864348582568925,144,-1.07017973354593,0.144,999
"fr2_01",20,5.36612426035503,6.99088326492173,0.900193991641476,39,-1.80489874366302,0.039,999
"fr3_01",19,5.41643709825528,6.24657531728239,0.731813116489399,153,-1.13435821294019,0.153,999
"fr4_01",9,6.04591368227732,7.72078598341225,1.03517357498151,65.5,-1.61796276645184,0.0655,999
"fr5_01",24,5.36495535714286,7.55440668666115,0.942929857010248,14,-2.32196627696189,0.014,999
"fr6_01",9,5.7077580539119,7.64679965962017,1.20899517054306,71,-1.60384561737934,0.071,999
"fr7_01",14,5.14133333333333,5.65955110666222,0.781681477642368,268,-0.662952606849382,0.268,999
"fr8_01",11,4.1401652892562,4.7583332092423,0.708266569509885,223,-0.872789916392453,0.223,999
"fr9_01",16,4.66710497479728,5.90377593606464,0.899164480218318,97,-1.37535566459108,0.097,999
"fr10_01",5,2.81510107015458,2.59458626283834,0.537529451613047,625,0.410237628197863,0.625,999
"fo1_01",20,8.00384553757411,8.51371672906683,0.84296172850086,295,-0.604856868649889,0.295,999
"fo2_01",11,7.82968002015621,7.6790743880691,1.22881664330198,522,0.122561517137674,0.522,999
"fo3_01",17,6.56607495069033,7.90932846061051,1.05655290436891,119,-1.27135470866224,0.119,999
"fo4_01",20,6.09554017685506,5.63242327294615,0.949020183589732,647,0.4879947886431,0.647,999
"fo5_01",25,5.52448864702571,7.64229269614895,0.821667208390931,6,-2.57744744769666,0.006,999
"fo6_01",15,6.38671280276817,7.99412395094056,1.09880970589408,88,-1.46286580792848,0.088,999
"fo7_01",17,5.93894417271041,7.78017552043526,1.16458671625153,71,-1.58101695823155,0.071,999
"fo8_01",17,8.1838134430727,8.63712683877293,0.933321320477138,284.5,-0.485699175358472,0.2845,999
"fo9_01",22,8.08730158730159,8.37278037674863,0.867573355587666,359,-0.329054353281366,0.359,999
"fo10_01",17,5.58295857988166,7.19205643513336,0.943996825436555,42.5,-1.704558545001,0.0425,999
"bc1_01",22,7.15513264129181,8.22315818317356,0.895096123928177,120,-1.19319647726175,0.12,999
"bc2_01",9,8.48989298454221,8.47142505168664,1.06275694221474,471,0.0173773815272209,0.471,999
"bc3_01",8,6.9952128999748,8.43269371664433,1.06808874701016,98,-1.34584398599216,0.098,999
"bc4_01",11,8.0544,8.13638838838839,1.10350523011497,444.5,-0.0742981420938504,0.4445,999
"bc5_01",18,8.06004878964158,8.73529562589424,0.950870645121813,237.5,-0.710135326731165,0.2375,999
"bc6_01",18,8.2403549382716,7.89269439192279,0.997008771256686,609,0.348703598575774,0.609,999
"bc7_01",17,8.75698382692712,9.09909699659752,0.818373478625855,331,-0.418040391832899,0.331,999
"bc8_01",12,8.40063377093708,8.15802538618292,1.04121661815742,573,0.233004718253039,0.573,999
"bc9_01",19,8.451,8.60518278278278,0.904938273664093,423,-0.170379336657403,0.423,999
"bc10_01",9,9.01775147928994,9.01656686272071,0.945481095063019,466,0.0012529246490691,0.466,999
"na1_01",7,7.48086734693878,7.41412394537395,1.26808188713026,482,0.0526333529736588,0.482,999
"na2_01",12,8.47342717609882,7.99273390023175,1.1183752536177,639,0.429813941530033,0.639,999
"na3_01",13,7.60680529300567,8.09970819380607,1.0595913630556,303,-0.465182067338668,0.303,999
"na4_01",13,9.08024691358025,8.99746660240487,0.886102101722824,512,0.0934207367462797,0.512,999
"na5_01",19,9.19135802469136,9.11606938728852,0.789515474287757,524,0.0953605595517363,0.524,999
"na6_01",8,8.17993079584775,8.35267716774829,1.08304678341038,394.5,-0.159500378512353,0.3945,999
"na7_01",12,7.13979289940828,6.33301570801571,0.934374533772478,792.5,0.863440903226744,0.7925,999
"na8_01",8,7.17705495914116,7.54765661351144,1.24030305675278,341.5,-0.298799275187266,0.3415,999
"na9_01",13,8.48060941828255,8.17348234661254,0.957756591853017,625,0.320673409384523,0.625,999
