"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr_00",50,2.34104046242775,2.65999814843745,0.414768212323556,272,-0.769002243983186,0.272,999
"fo_00",52,2.63057929724596,2.62634619424743,0.37030729286643,604,0.0114313249565465,0.604,999
"bc_00",45,4.02857142857143,2.75884004305057,0.484373789977748,983,2.62138747346175,0.983,999
"na_00",44,3.18698060941828,2.77614040633431,0.49322317617035,818.5,0.83297019064261,0.8185,999
"fr_01",46,2.50699677072121,2.75152439845658,0.641732162365654,505,-0.381043123713734,0.505,999
"fo_01",48,2.51871657754011,2.71357881946117,0.44408184806565,411,-0.438798034123337,0.411,999
"bc_01",40,3.33684210526316,2.83757893231577,0.402206012229518,884,1.24131205841468,0.884,999
"na_01",37,3.42434782608696,2.90932323627976,0.464961837891261,862,1.10767066850688,0.862,999
"fr_02",38,2.87072243346008,2.90501528144114,0.697740763836316,616,-0.0491484083465496,0.616,999
"fo_02",42,2.3599615014437,2.83032599490732,0.652425200843495,278,-0.720947769729789,0.278,999
"bc_02",37,3.09830908375934,2.93769152557985,0.972497672836107,710,0.165159838080725,0.71,999
"na_02",38,3.20819256756757,2.91101954995536,0.93171590089127,727,0.318952394531352,0.727,999
"fr_03",47,2.49493670886076,2.70810557392836,0.26307115291363,220,-0.810308780368578,0.22,999
"fo_03",47,2.37851851851852,2.70305045786527,0.502268440615927,314,-0.646132452496485,0.314,999
"bc_03",51,3.15996718621821,2.64849673299222,0.332222927340353,919,1.53953990268108,0.919,999
"na_03",53,2.9177033492823,2.61320171846488,0.28060684561974,853,1.08515396388462,0.853,999
