"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr_00",50,3.98265895953757,4.02428440000694,1.31823718723246,614,-0.0315765940094292,0.614,999
"fo_00",52,3.7701804368471,3.97481812296627,1.21162438035344,543.5,-0.1688953189102,0.5435,999
"bc_00",45,5.1218045112782,4.26233451496609,1.57812717493278,841,0.544613900555074,0.841,999
"na_00",44,4.62049861495845,4.17562160498449,1.37644364926065,770,0.323207572073821,0.77,999
"fr_01",46,4.34660925726588,4.15675955826655,1.82637824570134,694,0.10394872992282,0.694,999
"fo_01",48,3.80534759358289,4.0963872963873,1.39858637526901,513.5,-0.208095622802295,0.5135,999
"bc_01",40,4.75187969924812,4.36603219761114,1.16811942631689,729,0.33031511414339,0.729,999
"na_01",37,4.97391304347826,4.43797884841363,1.3296189014407,762,0.403073538202503,0.762,999
"fr_02",38,4.88466413181242,4.44203138499716,1.87594446950579,730,0.23595194527899,0.73,999
"fo_02",42,3.32338787295476,4.32796607965039,1.93094224975988,323.5,-0.520252849001853,0.3235,999
"bc_02",37,4.18167518678726,4.66919613282177,3.02054643614621,623.5,-0.161401572973836,0.6235,999
"na_02",38,4.32179054054054,4.47606812893975,2.75050180207468,653.5,-0.0560907061696305,0.6535,999
"fr_03",47,3.87088607594937,4.12742616033755,0.872381036712561,466.5,-0.294068845598615,0.4665,999
"fo_03",47,3.25037037037037,4.1164319875431,1.49993024011006,274,-0.577401264414258,0.274,999
"bc_03",51,5.28630024610336,4.04548108403728,1.08399888971002,906,1.14466829610685,0.906,999
"na_03",53,3.93684210526316,4.00864213495792,0.956224158844625,591,-0.0750870274826781,0.591,999
