"","PD","SR"
"fr1_00",38,12
"fr2_00",45,16
"fr3_00",41,18
"fr4_00",46,17
"fr5_00",36,10
"fr6_00",49,16
"fr7_00",32,8
"fr8_00",42,13
"fr9_00",61,22
"fr10_00",38,13
"fo1_00",50,19
"fo2_00",55,19
"fo3_00",46,15
"fo4_00",28,7
"fo5_00",59,23
"fo6_00",50,18
"fo7_00",52,18
"fo8_00",64,24
"fo9_00",55,18
"fo10_00",55,20
"bc1_00",55,18
"bc2_00",49,15
"bc3_00",45,16
"bc4_00",24,5
"bc5_00",44,14
"bc6_00",48,16
"bc7_00",58,20
"bc8_00",52,15
"bc9_00",62,20
"bc10_00",41,11
"na1_00",48,15
"na2_00",45,14
"na3_00",33,10
"na4_00",41,10
"na5_00",52,15
"na6_00",42,14
"na7_00",41,14
"na8_00",40,15
"na9_00",73,26
"na10_00",55,17
"fr1_01",52,19
"fr2_01",60,20
"fr3_01",53,19
"fr4_01",34,9
"fr5_01",65,24
"fr6_01",31,9
"fr7_01",47,14
"fr8_01",37,11
"fr9_01",51,16
"fr10_01",26,5
"fo1_01",58,20
"fo2_01",44,11
"fo3_01",51,17
"fo4_01",56,20
"fo5_01",73,25
"fo6_01",45,15
"fo7_01",56,17
"fo8_01",50,17
"fo9_01",56,22
"fo10_01",47,17
"bc1_01",65,22
"bc2_01",43,9
"bc3_01",33,8
"bc4_01",39,11
"bc5_01",56,18
"bc6_01",56,18
"bc7_01",54,17
"bc8_01",46,12
"bc9_01",55,19
"bc10_01",36,9
"na1_01",34,7
"na2_01",41,12
"na3_01",45,13
"na4_01",48,13
"na5_01",61,19
"na6_01",37,8
"na7_01",45,12
"na8_01",36,8
"na9_01",42,13
"na10_01",46,14
"fr1_02",53,18
"fr2_02",55,17
"fr3_02",37,9
"fr4_02",30,6
"fr5_02",47,14
"fr6_02",43,13
"fr7_02",43,11
"fr8_02",32,7
"fr9_02",48,17
"fr10_02",31,6
"fo1_02",51,16
"fo2_02",49,16
"fo3_02",54,16
"fo4_02",51,14
"fo5_02",59,21
"fo6_02",55,19
"fo7_02",55,17
"fo8_02",50,16
"fo9_02",48,15
"fo10_02",58,20
"bc1_02",51,14
"bc2_02",57,19
"bc3_02",45,11
"bc4_02",34,7
"bc5_02",61,20
"bc6_02",53,17
"bc7_02",55,15
"bc8_02",46,13
"bc9_02",50,15
"bc10_02",42,12
"na1_02",47,15
"na2_02",51,14
"na3_02",43,11
"na4_02",38,11
"na5_02",50,15
"na6_02",55,18
"na7_02",57,15
"na8_02",52,15
"na9_02",42,12
"na10_02",46,11
"fr1_03",47,14
"fr2_03",54,18
"fr3_03",39,12
"fr4_03",52,20
"fr5_03",43,14
"fr6_03",53,20
"fr7_03",56,21
"fr8_03",63,22
"fr9_03",53,20
"fr10_03",31,9
"fo1_03",58,23
"fo2_03",54,19
"fo3_03",61,24
"fo4_03",45,16
"fo5_03",62,24
"fo6_03",65,26
"fo7_03",67,26
"fo8_03",53,20
"fo9_03",62,27
"fo10_03",42,15
"bc1_03",69,26
"bc2_03",63,24
"bc3_03",45,14
"bc4_03",45,14
"bc5_03",71,26
"bc6_03",80,31
"bc7_03",55,20
"bc8_03",55,18
"bc9_03",63,24
"bc10_03",44,14
"na1_03",60,22
"na2_03",58,23
"na3_03",61,22
"na4_03",48,18
"na5_03",67,24
"na6_03",57,20
"na7_03",65,25
"na8_03",66,25
"na9_03",59,22
"na10_03",54,19
