"","PD","SR"
"fr1_00",115,12
"fr2_00",120,16
"fr3_00",104,18
"fr4_00",122,17
"fr5_00",115,10
"fr6_00",132,16
"fr7_00",116,8
"fr8_00",120,13
"fr9_00",141,22
"fr10_00",116,13
"fo1_00",123,19
"fo2_00",134,19
"fo3_00",125,15
"fo4_00",106,7
"fo5_00",135,23
"fo6_00",128,18
"fo7_00",134,18
"fo8_00",143,24
"fo9_00",139,18
"fo10_00",129,20
"bc1_00",139,18
"bc2_00",129,15
"bc3_00",120,16
"bc4_00",99,5
"bc5_00",122,14
"bc6_00",128,16
"bc7_00",142,20
"bc8_00",138,15
"bc9_00",148,20
"bc10_00",128,11
"na1_00",131,15
"na2_00",127,14
"na3_00",106,10
"na4_00",131,10
"na5_00",137,15
"na6_00",118,14
"na7_00",116,14
"na8_00",108,15
"na9_00",155,26
"na10_00",141,17
"fr1_01",129,19
"fr2_01",147,20
"fr3_01",132,19
"fr4_01",113,9
"fr5_01",147,24
"fr6_01",110,9
"fr7_01",134,14
"fr8_01",114,11
"fr9_01",135,16
"fr10_01",108,5
"fo1_01",141,20
"fo2_01",134,11
"fo3_01",130,17
"fo4_01",135,20
"fo5_01",157,25
"fo6_01",126,15
"fo7_01",142,17
"fo8_01",131,17
"fo9_01",130,22
"fo10_01",125,17
"bc1_01",150,22
"bc2_01",135,9
"bc3_01",115,8
"bc4_01",124,11
"bc5_01",143,18
"bc6_01",141,18
"bc7_01",140,17
"bc8_01",133,12
"bc9_01",135,19
"bc10_01",120,9
"na1_01",121,7
"na2_01",124,12
"na3_01",128,13
"na4_01",138,13
"na5_01",148,19
"na6_01",125,8
"na7_01",131,12
"na8_01",123,8
"na9_01",129,13
"na10_01",129,14
"fr1_02",137,18
"fr2_02",141,17
"fr3_02",124,9
"fr4_02",117,6
"fr5_02",132,14
"fr6_02",128,13
"fr7_02",133,11
"fr8_02",117,7
"fr9_02",129,17
"fr10_02",115,6
"fo1_02",137,16
"fo2_02",131,16
"fo3_02",142,16
"fo4_02",137,14
"fo5_02",139,21
"fo6_02",139,19
"fo7_02",141,17
"fo8_02",129,16
"fo9_02",129,15
"fo10_02",138,20
"bc1_02",140,14
"bc2_02",139,19
"bc3_02",133,11
"bc4_02",121,7
"bc5_02",147,20
"bc6_02",137,17
"bc7_02",146,15
"bc8_02",132,13
"bc9_02",134,15
"bc10_02",126,12
"na1_02",128,15
"na2_02",138,14
"na3_02",130,11
"na4_02",115,11
"na5_02",134,15
"na6_02",136,18
"na7_02",148,15
"na8_02",138,15
"na9_02",122,12
"na10_02",134,11
"fr1_03",133,14
"fr2_03",138,18
"fr3_03",123,12
"fr4_03",128,20
"fr5_03",124,14
"fr6_03",132,20
"fr7_03",133,21
"fr8_03",147,22
"fr9_03",134,20
"fr10_03",106,9
"fo1_03",135,23
"fo2_03",137,19
"fo3_03",139,24
"fo4_03",123,16
"fo5_03",142,24
"fo6_03",143,26
"fo7_03",145,26
"fo8_03",134,20
"fo9_03",132,27
"fo10_03",119,15
"bc1_03",149,26
"bc2_03",142,24
"bc3_03",126,14
"bc4_03",128,14
"bc5_03",151,26
"bc6_03",158,31
"bc7_03",133,20
"bc8_03",140,18
"bc9_03",143,24
"bc10_03",126,14
"na1_03",137,22
"na2_03",137,23
"na3_03",139,22
"na4_03",124,18
"na5_03",149,24
"na6_03",140,20
"na7_03",143,25
"na8_03",147,25
"na9_03",140,22
"na10_03",133,19
