"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,6.39599363637691,6.81293131568035,6.40717231123364,6.13301459711723,5.34133122274031,4.44111437496098,4.84856834884235,8.07545426392864,6.95680543320837,7.38556674067958,8.07139629806738,9.43295718040015,7.40107651817464,9.02926645424908,7.74197210187768,7.31930735819465,7.8206696217365,6.83781787421445,7.72923021981639,9.65943913705114,7.78928058300981,8.68995209995028,10.4920302288178,9.35246488821475,8.98288016233927,8.28645132336073,7.47029036401609,9.2907223671959,10.4747599763985,8.39812383803845,9.61965864700677,6.13887129783962,9.47961814494268,7.6197858432823,9.07016485863769,8.00538946768988,8.62384579421174,9.74169875006618,9.39112413567407,7.77303286818808,5.34966152263319,5.09741031113928,5.76793582675165,5.30285060655745,5.31817611472186,4.83283734270315,4.40979919839873,4.81688888998635,3.98763215273604,7.08139012493493,6.81280795688366,5.85481375202128,8.1665967373084,5.14286081255692,5.70620385166098,6.33928630357966,6.8827951480625,7.11502491939449,5.14255536924943,6.09763872119983,8.7655701986521,7.38160353048586,7.98133658924233,7.97777393457465,8.9314242830714,8.71312148971106,7.65645648391236,9.74356645007868,9.67414767499928,7.89746443500291,8.71310995232341,7.53069967019599,9.46512389775008,8.38480899788788,8.06616517739654,8.97521079717752,7.73753246089218,9.28284092614546,8.50723148144817,9.1926126121926,8.30994757386635,10.0900379474223,10.6634100536435,6.61585334708552,9.02658044459762,4.46200414747321,3.96976237332234,4.40899435924012,3.87273407276573,4.90659254488387,8.51882535146307,6.77789354368001,8.9487743055019,4.95352299152,5.03641679883914,5.26552269596063,6.20026348418668,5.37978459680843,6.17478805418647,10.0904453281729,9.90299434138451,10.0350082507087,8.0317963763835,10.0361688817397,9.44462727026609,9.96266265715336,9.75089660159468,9.92389336156406,8.50228063475614,9.69874284534424,9.74852629730267,9.66301669189328,8.84048885401159,9.90879917896799,8.70594382137069,9.51691763379382,8.28501474573688,9.69410860854905,8.48039673169692,9.98353600627435,11.3144939483024,8.39923365201236,9.6677899168081,8.49161023311272,8.57773799236988,9.71676520363143,8.45934950363095,10.1069320515047,8.17676986105445,8.95044244956277,10.8974678441145,10.0527117464721,9.20553558616373,7.81965583234727,9.22670743387959,9.94065871255743,9.12747546620445,9.26626200146014,8.53075683392238,9.87765096488597,10.1711098978441,8.54938908571178,9.02402006215546,9.57305116989272,9.60197833714593,9.72478495477401,10.2885867561621,9.45896708958301,9.18135449453811,10.2730414705409,10.2378148609625,9.46554700411599,9.47763595150654,10.4578434233954,9.96847395329265,10.1080675943227,9.11569893928803,10.4659006499531,8.49629903430192
"fr2_00",6.39599363637691,0,7.65304975570523,7.40259664263519,7.24340759490767,6.66717771771718,6.00968925628267,6.32946749890551,8.94329735453181,7.8922088450378,8.2004753360436,8.64969948896445,10.2591221381,8.02207258973387,9.42149351243154,8.63549983180476,8.25886567487148,8.39630217985106,7.78356814328258,8.69961495317858,10.0237140766313,8.21420287506474,9.06307947693636,10.0796567950373,9.83863888854511,9.48892026275348,9.07196810502508,8.36156694867503,9.83679200913117,10.7576881249665,8.94624824728564,10.0167399448291,7.30251438477645,9.90582328960736,8.22377055580212,9.52089129345136,8.69895740619033,9.12126022196898,10.2251822586133,9.76094859979826,8.67668513696976,6.76157174957324,6.56058319352862,7.12001191022379,6.74016939806105,6.65287112440636,6.28642856121902,5.95224196503505,6.33141751861586,5.66643864473411,8.1124105161339,8.02091082736061,7.1184944830427,9.18547088353835,6.63944966029085,6.95599037462317,7.64947008424414,7.84956260691064,7.93438226817506,6.53688086374859,7.39154066715084,9.42527885871864,8.15235478010734,8.74535613684882,8.87467789644045,9.56550150116278,9.32616674193717,8.56460199397427,9.91255256003363,9.90106673598756,8.77862266698259,9.39152540079915,8.3500703511723,10.1292004688623,9.2028791669675,8.87115588035207,9.63579366020918,8.55318414031171,9.74469490600127,9.05006907332358,9.76215831729954,8.97442242203141,10.3667018727017,10.4843501068046,7.72477130943091,9.45029149825412,6.02165494894972,5.67435653961376,5.9812732628411,5.60789701279631,6.4062906895035,9.29696739377511,7.77882089553114,9.89681379533586,6.49930737013673,6.45957338685241,6.65962139165743,7.42462538427075,6.78384456995541,7.37679216661433,10.4527119709247,10.338998299136,10.3882872828954,8.82003957693808,10.4560711787979,9.92447484414844,10.1668265202206,10.1896561631992,10.2586757761801,9.16483252869278,10.1486282694163,10.1937800385956,9.99489741833745,9.59291419754762,10.3535153782377,9.30815500369664,10.0542742204593,8.93568116434637,10.1507084523722,9.18919246588535,10.3513558131702,11.3919695022817,9.09882815260913,9.93431597781178,9.14382273376712,8.98532950029094,10.0000920976291,9.17247158747961,10.1420310854972,8.74742273054127,9.54037698434997,10.9517269960002,10.2165699410217,10.081961876853,8.68950691915067,9.77293358090481,10.1585820613385,9.84598193753263,9.56692224909571,9.00998288501788,10.1451389966808,10.2737246758504,8.87429497922295,9.51280940513324,10.1597824197344,9.93363804121863,9.96084299836555,10.5418958733848,9.74052465377217,9.65402946842538,10.3108348301966,10.3647996149301,9.67706598340477,9.86863596572063,10.6352196510606,10.2415194172043,10.3239518757052,9.41074205691102,10.4390515456288,8.96288804505427
"fr3_00",6.81293131568035,7.65304975570523,0,7.48200288564271,7.41030986716585,7.02502999335191,6.40275053513599,6.80528684699203,9.02003736760286,7.77463582350304,8.14023947937333,8.43953836929678,10.6889207596046,7.87404136639901,8.84443569088274,8.81043085855792,8.33750002589041,8.17445494603516,7.87367953248058,9.07222188514195,9.6412355307125,7.98762983342629,8.60792770787226,9.33712504478887,9.63373131088833,9.31816805824785,9.17228860378483,8.5597249626194,9.68623238788462,10.3408626192757,8.79490085797587,9.74221404732231,7.65102593685652,9.65405659652247,8.15762072056604,9.28684554636467,8.56220554290927,8.71254644102596,10.0096147849864,9.48735265719475,8.78228507460702,7.16378071978495,7.05057755482522,7.52738445534422,7.21026093489248,7.05980996485742,6.65393141425634,6.39004911461207,6.81849218696201,6.15968315467836,8.31562774244152,8.44000709114164,7.51812479573685,9.64219635583442,7.20909380548453,7.27743927946803,8.12797583082111,7.9667315464802,7.8159917644296,6.96645861479375,7.77739526091873,9.38284155352905,8.0847945927746,8.73563225200603,9.08659130135319,9.48580574216044,9.20628009388904,8.68819971342481,9.30805245755715,9.36787829114288,8.89555983323991,9.3877575319623,8.42171053302032,10.1765751464542,9.32150277502079,8.96455035006844,9.64494425322858,8.67947376078847,9.39375516662078,8.87217756305862,9.6075796516489,8.8077980600508,9.58691964935002,9.02490240808127,7.9323439192145,9.0927678229366,6.44762022561663,6.15025755347863,6.43344040904128,6.14683851758856,6.84408687941623,9.39273086510016,7.88027354883514,10.4142375364701,6.99364690135599,6.85824865472455,7.02577122909234,7.70252391999789,7.18549379015148,7.73500689844804,10.114697463288,10.1168584146805,10.097454980529,8.7519036841761,10.2261866824467,9.70374518258869,9.7048278129711,9.95510752451289,9.83445647272463,9.29821288319045,9.87972150749101,9.9439216260793,9.6691357463941,9.77796351274402,10.1382070660138,9.18629393683864,9.91363512726786,8.80957057543431,9.90125203735984,9.18118248439536,9.93731602387826,10.6573805075993,8.98886366837434,9.45305740174787,9.06116160398977,8.72887933784921,9.32172859227666,9.12950844992213,9.39481362281443,8.18361206922505,9.54311814704623,10.2661910033379,9.58241369473958,10.5584514983107,8.92573074478649,9.58712498585815,9.63842774425059,9.86906651298476,9.2608722152837,8.78289367929059,9.68568528230398,9.59671682102871,8.52987063591739,9.29079859111055,10.1801138959972,9.53831175941748,9.46033574622252,10.0808535604276,9.28318881285271,9.65263845086318,9.55523569678605,9.69933785146009,9.14430150461724,9.64233209207541,10.0822922171788,9.72452333628124,9.8742959964176,8.9564835589632,9.51789210349804,8.80844393495062
"fr4_00",6.40717231123364,7.40259664263519,7.48200288564271,0,6.93915269927541,6.4673258870077,5.90980097378745,6.39926797013786,8.86691116730451,7.65097985719488,7.93589634503069,8.34429918264307,9.89042246331206,7.80572469217153,8.97765730869065,8.40861768134119,8.04054287843549,7.61160078918461,7.51117315602544,8.60277938183071,9.25876439189392,6.99502856928242,8.45912143098011,9.74537911056192,8.84248349374967,8.94103184110516,8.61145921226267,8.24675606740399,8.72014454604112,9.40394437481664,7.98765278198955,8.95459032689415,7.36949651876051,8.91199444807078,7.26828091134018,8.58252969837029,8.21180804526699,8.72441155063186,9.00700414996983,9.0222759463377,8.34039288687735,6.74279440575195,6.49654275021634,7.1484417594881,6.71631228305123,6.43530071430339,6.08652670231582,5.87241525756635,6.27209165278036,5.57552151202217,7.88395193557355,7.79578522095302,6.88180540325151,8.89976977272407,6.6219457295417,6.74443281861055,7.67992832158702,7.48198932929044,7.56561378663605,6.49742642004558,7.174636683236,8.75145006708217,7.54046239413369,8.26622771900829,8.64219223095142,8.7690389111984,8.8237230587103,7.90931424888157,8.94145550112669,9.38816392763032,8.19154171495632,8.95459914452866,7.8808682799078,9.73797856840993,8.69474582489752,8.34347736168076,8.74576262104107,8.11151420835602,8.90221100440054,8.26368854701827,9.03960894637143,8.278887942689,9.68698515424193,9.6976230996587,7.26388499070971,9.00842430310185,5.85325857723813,5.58548908926547,5.88188933026269,5.54558016707824,6.26705715109622,8.73429542681421,7.27006042148035,9.57675191219301,6.40770332330335,6.3837345053418,6.50303557110374,7.14950863852634,6.679383721881,7.17487669316109,8.98104400240687,9.00190915284142,9.03153996265658,7.82991273082745,9.14319935412959,8.68322965507197,9.18050418359632,8.80214811320326,8.95203988142142,8.77800978355844,8.84704233453754,8.83051389574297,8.62000005117867,9.5207533194008,8.98314377932473,8.28118386316149,8.83461360116773,8.19037909607228,8.82388722191368,8.17082683922601,9.75090899941713,10.5546649995946,8.77666541228517,9.45929556949766,8.7284348750791,8.00742935385435,9.3651213014351,8.90942562169133,9.4835045085769,8.22380082308809,9.26156860647173,10.2999496233633,9.67437289205546,9.73755609336652,8.62116065617427,9.41054050678506,9.56680739578143,9.59517600598474,8.89542800424244,8.41497654624424,9.26645029257916,9.21896153296413,7.60132326607381,8.94692894554478,9.84018572199894,8.95667042419387,9.36596116346098,9.84655580400607,8.97761192409698,9.17575767017891,9.5501909615714,9.51989051971231,8.7217387981701,9.42435499381764,9.53684346766387,9.28043127963181,9.40669766436956,8.94080113252584,9.74677549103113,8.16742851617523
"fr5_00",6.13301459711723,7.24340759490767,7.41030986716585,6.93915269927541,0,6.15049760521649,5.64202114767363,5.8950303418593,8.59309327460133,7.54672874334272,7.85199240611732,8.43078886574643,9.5318988666015,7.7672102375098,9.1767818431661,8.21438313414862,7.90110374781603,7.64918111763949,7.39754157401125,8.26305002317778,9.38520870906713,7.14048584845481,8.60813413471743,10.2873004017733,8.87023117422473,8.89130693575961,8.45633990590403,7.97123899192815,8.70337448810414,9.64205253765178,8.03657234495091,9.12768622626409,6.97852529438573,9.03665889090403,7.24295228659058,8.61572887476024,8.08981801911237,8.79357278824954,9.07940444979289,9.11308933719346,8.29485441609123,6.45951323587206,6.25020581457401,6.79786962137688,6.37589593867774,6.12924847735471,5.91568799786169,5.67743056271047,6.03903293355348,5.40553273184735,7.83720792141173,7.51209265729197,6.62580693942455,8.5417598317095,6.24613404652196,6.46485325557764,7.26492943164102,7.38823349134904,7.67362697006231,6.24452682794657,6.92524291862475,8.68892637755267,7.53350816135931,8.2195802435748,8.42447135108169,8.74905517294119,8.85329075725172,7.80816838410669,9.20595128215791,9.54458937019929,8.01929266262074,8.80093198818579,7.68629469522806,9.70893453848115,8.51498822391349,8.19183887105914,8.66414053271502,8.16721432358187,9.01338946047234,8.35191530479323,9.27755429093792,8.56503292660055,10.0113480315718,10.1651750259554,7.27101851961727,9.12294832357109,5.68334226739696,5.37348872496561,5.67563397389694,5.33918105461259,6.11802028815054,8.78258756872454,7.33821694167588,9.1765255173034,6.1848939520553,6.19825815931136,6.36331589327652,7.07999753420865,6.44116058853704,7.00562411112414,9.13790125469965,9.07091883052471,9.26160699734048,7.95904890518585,9.27655762451735,8.78275450731505,9.72175356431933,8.94960799324897,9.1311043337611,8.69168538422289,8.96014743487397,8.94399454139094,8.91757081810003,9.25639180942444,9.04610042076052,8.39728588083102,8.8498663744458,8.4917689560001,8.91861919957492,8.15625453093236,9.90953446138773,11.0112903648795,8.69797862263985,9.65602090672988,8.62299283895617,8.1319043874291,9.7173406146625,8.75679204101107,9.91470457105365,8.46361081037611,9.16392334579482,10.6168886602702,9.90395242571751,9.34757244494758,8.38962139146832,9.39258718510423,9.84283260726923,9.46006177126658,9.13905504356604,8.58828572660813,9.43074875807251,9.53393322290312,7.81157009968525,8.98151570351139,9.73861682528552,9.13618083851953,9.56335284392903,9.98952342494671,9.1313352206524,9.14989783653988,9.89751693038665,9.80626781034827,8.97373743430935,9.49546304156357,9.82309717580331,9.48475300506823,9.68739929195157,9.0840935984769,10.1616610925017,8.30654688978018
"fr6_00",5.34133122274031,6.66717771771718,7.02502999335191,6.4673258870077,6.15049760521649,0,4.82930774888861,5.1120635940496,8.31806326616325,7.20430733289318,7.54041924938369,8.16669581618463,9.4409201027062,7.45541835261431,9.1122185720568,7.88106717192859,7.47210735667006,7.56380363789479,6.95992450041233,7.87827266512105,9.44841858006364,7.20438078099132,8.63573133131551,10.504315560575,8.95609552429336,8.81000575000458,8.22915050568722,7.61275561314847,8.7662371185591,9.84201479767371,8.01088995762283,9.17166343737567,6.40254897009356,9.08931467092531,7.20610540380118,8.68598818500207,7.91200456437986,8.68543004984897,9.19316559427097,9.12076987059859,7.84201664006879,5.73155939007722,5.47330178874443,6.1679159330384,5.6271697883615,5.49545670296708,5.15482167731235,4.81794974928057,5.21156399076189,4.46475390438329,7.28214966970225,7.02329163337219,6.03678075693442,8.26263426435477,5.46778051671837,5.8874726333413,6.67854213446444,6.98189958954726,7.26606122376211,5.50754565488367,6.30388757237291,8.56985273479311,7.3083438078788,7.95561710929705,8.0813653261473,8.67388315264232,8.64345248833101,7.53622352047302,9.41255434748657,9.66131086225098,7.79468067981323,8.66449727899617,7.48236172111208,9.43209019055363,8.24474447694176,7.98072303589954,8.62661022564018,7.74510352412993,9.05538272852404,8.2577431783944,8.99081256309097,8.22226354608534,10.1163599573057,10.6999925316331,6.65643676270506,9.01397061650836,4.849064268166,4.46387530143108,4.83007182267188,4.37335429411189,5.28745474219316,8.46081330840092,6.83649571824394,8.99875673999166,5.33468728799588,5.44540084007991,5.60888027826907,6.42731882392594,5.72404404454861,6.39282651986374,9.39891310084711,9.27024511090412,9.40349191542994,7.74917068682703,9.42424702205619,8.89433784455121,9.60829692420773,9.1057524856051,9.37590625281067,8.4478780193608,9.12452253471805,9.11462884895969,9.02504902954319,8.96651840665822,9.2545214790962,8.31896372806978,8.97059265218628,8.14346415093139,9.10120480169139,8.06747714490756,9.81371109688149,11.031010731699,8.43433391025857,9.67109160425131,8.34454760753131,8.13869139251985,9.65768293690242,8.49318712506153,9.978381212732,8.31570997502941,8.97309733344102,10.7975795263105,9.9932294335593,9.21794932686609,7.93145606471215,9.25532866097199,9.83346025266723,9.18086999362174,9.0801145607783,8.42658206147921,9.59008433555159,9.80251008990857,7.94943737782799,8.87122764562958,9.53069211869283,9.23288938969408,9.61007125388237,10.0846009747919,9.24739808861101,9.10845818792727,10.1073210451184,10.0073763117266,9.12206559792312,9.41526771755991,10.0126933494152,9.64034991979952,9.76941329940049,9.07671017562458,10.4107142025379,8.21696115866289
"fr7_00",4.44111437496098,6.00968925628267,6.40275053513599,5.90980097378745,5.64202114767363,4.82930774888861,0,4.36308750911033,7.70252303497276,6.50276899026655,6.95890611648325,7.67818548419646,9.01127925667117,6.99527495239372,8.64581661533216,7.31549583531328,6.89021110529142,7.32433515594176,6.37422519818516,7.32235133937141,9.20469378168941,7.21332974729979,8.28017845995846,10.2479607981069,8.80985996260709,8.54528303801763,7.81498980167291,7.09244265100511,8.69109591041173,9.88154486788603,7.84507289431436,9.0784794319472,5.73028652499152,8.94355815131004,7.08909236487843,8.53414155542956,7.54551533518554,8.26463656425973,9.13402332638028,8.938920875293,7.33902561013602,4.86366951681438,4.58800518595982,5.31583612130453,4.81668696089266,4.81087953817262,4.28029758234672,3.86677219446804,4.30485561563377,3.41596811974847,6.64202009976655,6.33598518575288,5.36303069528343,7.71493979401083,4.6366972300651,5.21127329434342,5.89374307460933,6.41495154086904,6.65886224688613,4.6496770673628,5.59176869196685,8.31762911880985,6.91733790029443,7.56365817709932,7.59719205641529,8.42562608638947,8.31793160944592,7.12150443341853,9.26984673420983,9.33988507815388,7.40762660749888,8.31461771091912,7.10005794802783,9.06964242162238,7.9167208935827,7.62344742406009,8.43389046346519,7.34051317952706,8.7787244263429,8.0380948431668,8.7347827144948,7.8275840333255,9.72291149837062,10.3417426199829,6.09414301051367,8.64148317240806,3.89215980453061,3.38764022932917,3.85045766479669,3.29409886003974,4.36367791767775,8.0533346933704,6.26293743162335,8.51111438629167,4.40941333115915,4.51349335839066,4.73930313849883,5.67865684552852,4.85666669325822,5.68706597391083,9.43707777842659,9.27562606693804,9.43725824118543,7.42482699266334,9.41783058844367,8.82994151177015,9.52313947320802,9.10661280488462,9.31707797399461,8.09965422892664,9.07217995750709,9.10874436919324,9.06917794076193,8.4690157666208,9.26892754241453,8.13498975551115,8.90202068483331,7.81715338532449,9.0536169350624,7.87449738501297,9.57429944982926,10.9198410621276,7.98692966876002,9.3143045552744,8.0612574839863,8.06037506444749,9.30086697037503,8.05467870017885,9.71960176314848,7.742254384255,8.57191481785856,10.5367595215701,9.68473438434908,8.77991064907124,7.45617097411913,8.80091961332927,9.56101840935658,8.70736356382667,8.85498055163223,8.0949746152063,9.41187754213486,9.69512166877517,7.97957144492627,8.61288426919593,9.17913986345325,9.09247635038914,9.33395376492327,9.86239484937665,9.00718550036739,8.78615267423372,9.87316200275856,9.80323853603363,8.98892506726183,9.11480765610386,9.94596548023363,9.46691158623579,9.65769627190651,8.73316989853727,10.1115319581156,8.03910663857391
"fr8_00",4.84856834884235,6.32946749890551,6.80528684699203,6.39926797013786,5.8950303418593,5.1120635940496,4.36308750911033,0,7.97002573341215,6.97154617210476,7.38062585553662,8.14216589228881,9.35616256790899,7.35099585162589,9.18936163857072,7.68696055586418,7.26761477628776,7.82999604758424,6.73571325707528,7.54876404969183,9.73994414797154,7.82069537977444,8.82238945994847,10.8760944144399,9.35377645977038,8.92957618690832,8.21464203241268,7.31866604117493,9.23353108820749,10.5849625972924,8.39162484297575,9.69271237057722,5.8768458852579,9.55367145571408,7.54563891766853,9.05311991266149,7.90445060115493,8.67870896836985,9.75811730770976,9.42213741402431,7.72671433489521,5.24206957423567,5.04078336469943,5.61597937336395,5.1393996062226,5.14635298231274,4.81130812593005,4.38648168878824,4.74710245040027,4.00998640549937,7.08179425391108,6.73503905407546,5.74321358605544,8.06420640649187,4.95203748949874,5.55139071984864,6.16589113278778,6.8583601198497,7.23869381200879,5.02171393896056,5.97880272008045,8.68022694539469,7.37435593827819,7.9178207859684,7.84572134890698,8.89655838755566,8.70254240705228,7.60547134654137,9.92148066472275,9.81253817759569,7.7743650225497,8.58428757355598,7.38173066173039,9.4250009029052,8.21333922092793,7.94969008623149,8.90013423208022,7.74980378657977,9.37521814126727,8.53773227713157,9.28947027013812,8.48127705635529,10.3743204415233,11.1047585177508,6.6063156306475,9.06544024993037,4.47153007915573,3.98123129169812,4.38853335894711,3.87772527219635,4.905695531797,8.56938780675454,6.85170030209426,8.84271441779095,4.89276945984959,5.03283633705347,5.25297615391084,6.21884103677156,5.31794840038731,6.10636538288662,10.1676689943454,9.91208054188479,10.1295510213016,8.12968628996903,10.0837451670361,9.47261743108619,10.221215322425,9.81502953189549,10.0395281151688,8.39740129644968,9.75024243240734,9.79209931289611,9.79248841256786,8.62073152341316,9.91413688594377,8.75251512419931,9.49893414274661,8.43972677977274,9.74497008535244,8.43461536760215,10.0353830870485,11.5394399849812,8.34346171735667,9.84119493582564,8.33526047788943,8.5920765724261,9.95459123171163,8.34554778122607,10.3467058896119,8.41111109029465,8.89076837844994,11.1388528577637,10.2291484772381,9.10035907748911,7.64424232614388,9.21974876761302,10.0993252571697,9.01244357150573,9.39522629603922,8.6398705117651,10.0039183296958,10.3821637929227,8.62912701461908,9.02024186078895,9.47389413962596,9.67910583888926,9.83652300060247,10.3811038294067,9.56473869952702,9.21078118412686,10.5169974599206,10.435533203589,9.6096886273876,9.53117783803412,10.6170289144987,10.1042196637834,10.263357541975,9.20896151424508,10.7857525703106,8.56576246169815
"fr9_00",8.07545426392864,8.94329735453181,9.02003736760286,8.86691116730451,8.59309327460133,8.31806326616325,7.70252303497276,7.97002573341215,0,9.07516135589654,9.40453126588967,9.79977779210533,11.4467081952393,9.3037541358149,10.3015074461625,9.7198224045811,9.32607777910666,9.33990086603463,9.0806542593584,9.86284480566292,10.9573545900377,9.15917095180015,10.1950735325355,11.4472004248799,10.6876852731108,10.3025535030555,9.99891734157521,9.09762510189358,10.8032621134615,11.6737042053833,9.92995341919207,10.9650344723954,8.55768632132982,11.0440534984987,8.95054002818383,10.3177675579836,9.66670906475387,9.87282370317793,11.1489338099829,10.6662021813457,9.49374125148031,8.08768586096499,8.01869138743574,8.04712413472622,7.95045045761761,7.81007073671326,7.89074185703951,7.6521730038688,7.78583722526725,7.45719887668946,9.22741611842834,9.2441909984355,8.22478080105736,10.388091584073,7.95999698673303,8.04774470280417,8.15044222672525,8.85130621292502,9.21525495774756,8.02745573656085,8.49291305204483,9.96331334435439,8.9534792046748,9.34199960943571,9.18147580247681,10.2257160722817,9.73409036261893,9.44486026760144,10.78416399003,10.2885764373659,9.40548296054544,9.68971367871175,8.82162384694987,10.2416625066822,9.86091617547336,9.28090452063457,10.3794881801757,9.27623182518504,10.6862619120061,9.89184450806524,10.5638265686946,10.0335889479687,11.1881235708964,11.1603559940486,8.95886463073056,10.434985328367,7.72188337031487,7.4661210062551,7.60331912949762,7.37698592083593,7.95466376950058,10.3068594261621,9.05440076817382,11.1033187407433,7.95029997023529,7.9879538525898,8.08548670220692,8.81020014845018,8.19854265515542,8.47375773537345,11.383540338447,11.1451203780669,11.185427743232,10.0149554711032,11.2741093923208,10.8597358983556,10.9366566842734,11.1281382127825,11.2160907288262,9.53987620929138,11.0558710525245,11.1494000112398,10.8500288741411,9.66729620008196,11.1704030086756,10.3354901111373,10.8750130026013,9.88590871835514,11.1426501995425,10.2893152252657,11.2234283153933,12.1893443320543,10.1952286024458,10.9058410951643,10.0234749620136,9.9686742856301,11.0623868943152,9.85952898613794,11.0649068632941,9.98228565780393,10.3499843521971,11.6965924278499,11.1657445971979,11.247863113769,9.73717654420168,10.502255847177,10.8701978619487,10.5415309210384,10.4372052593023,10.2126611961258,11.0557977142336,11.1289620374902,9.78777178465269,10.2622190552744,10.7823479687226,10.9235259631482,10.5651090838643,11.0975091129527,10.5180759357333,10.7001886567926,11.1987134771306,11.1633468882953,10.5115029627539,10.6101416906242,11.5156930204037,10.9757301005177,11.1430917545856,10.2294989213043,11.3041252342093,10.0559009334153
"fr10_00",6.95680543320837,7.8922088450378,7.77463582350304,7.65097985719488,7.54672874334272,7.20430733289318,6.50276899026655,6.97154617210476,9.07516135589654,0,8.31214535000936,8.72017377135713,10.5945326991133,8.18699301848443,9.14813379711997,8.92034762364544,8.48565821462534,8.29580690277665,8.02104479076967,9.14071342171803,9.76505246409585,8.01594313734037,8.80010424204343,9.81553615533717,9.6638534792482,9.47016051072848,9.21757477419104,8.70720188151205,9.67562706517119,10.3632360104717,8.83833048547456,9.79140992768443,7.85849553347403,9.71064072651752,8.19382472584797,9.34550273469343,8.73790058055773,9.01624759321896,9.96574315744231,9.65994887697113,8.93419809635941,7.28202932511258,7.12454476013282,7.58098999383478,7.30992362716476,7.14715167063742,6.74558658961741,6.51628433459768,6.92612998810695,6.24836369399405,8.46851059753927,8.46257159837612,7.57870756743653,9.58931174109142,7.26627835778091,7.38137950561991,8.10510660691624,8.07730619821678,8.0449084188052,7.07262935144343,7.84141932752028,9.48796420637387,8.20974417200397,8.90797888806922,9.1801914234499,9.54022304438874,9.35435637021549,8.7074397462959,9.48975601957184,9.57183948576135,8.95137504170811,9.50264253042734,8.52621399698897,10.2273819875435,9.39681378983159,9.02974351064041,9.61656995236359,8.84201008545194,9.48750555206795,9.0129187844817,9.76838732897327,8.98395884280803,9.82813094163139,9.36866317968949,8.04695452938947,9.33685395296707,6.53205785916418,6.22044872178857,6.51362494294332,6.21687483226513,6.93080385180589,9.46082601806775,7.99603288164155,10.3023376707253,7.05406144108061,6.94908207930855,7.11374031667266,7.80119846012623,7.25965727214611,7.80142754044809,10.0359319474559,10.0425953912271,10.0784545237634,8.76914713599183,10.1618136153942,9.65985482224829,9.93713124250309,9.88836090381829,9.82038469147997,9.35850939496162,9.82310258359827,9.88115140067772,9.68133837031566,9.81982831962944,10.0529450419425,9.20451368019007,9.85009120317263,8.96493073894448,9.82455426426982,9.15156201573295,10.1988670480277,10.9806904066932,9.17381599068299,9.70369268026919,9.2704909009932,8.83405575429112,9.66280485817529,9.27018329593268,9.7380767435203,8.44615752920561,9.67472684845998,10.5171028857611,9.88624709994998,10.4568343032106,9.10701244550297,9.71266356799616,9.89696663231079,9.96872007666345,9.45149547767374,8.98312182603531,9.81334073358973,9.7492584941226,8.56756882391243,9.4502125450401,10.2814899218861,9.64550276826135,9.65908169928774,10.2333926166474,9.42066129328376,9.71375901196278,9.81749486068885,9.88829859210573,9.29502252168428,9.81964074125028,10.2133367326779,9.83144459046816,10.0354639973482,9.20809092298203,9.82856008524487,8.9396164936166
