"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,12.721197307499,12.6555232698324,12.7013306813036,12.966189644139,10.7774102070808,8.91623414557746,10.22384355502,15.5566752106453,13.1608909542099,15.1013937402462,15.3906312649712,24.1124367470726,13.9455119673922,15.6799963017014,16.9435195389898,14.5777603103261,16.7317558774009,14.5713401260313,17.6275890304967,17.9482347444873,17.664737649177,16.4802597630333,18.0287311546213,17.9672676077138,16.2997590774188,15.7277889208233,15.7836507286054,17.4504051160512,18.6991513700634,16.7440395790316,17.5867956213405,13.2426363570421,17.5766434499256,17.2467140388885,17.6380241935312,15.0133572088604,16.4936353050364,18.1380717184576,17.188669132022,14.5666785562385,10.7540247428208,10.9002963044402,12.0824721837557,10.9709058203501,11.94567213398,9.78548857408867,8.92458859562853,10.0062316324833,8.08076564553813,13.6566805064074,16.0045281254285,13.0146951459935,20.4788742512463,11.3789129975729,12.3228114997987,13.0970756998471,14.6275509930291,13.7603098870102,11.5107991247913,12.4972448734777,17.9411922563795,16.0514075009333,16.117231127283,16.4112504779376,17.0813264674563,17.1774165473612,15.4056456438418,18.2045443791354,18.5084993154931,15.8315539000863,17.5297196768743,16.4623184035495,17.2497792195715,16.2085424034449,16.8453083893918,17.6595281781446,16.053405852861,16.6959694082802,16.6945344537922,16.4840535953286,15.1960479569353,17.1165447946928,18.3701956187474,12.7685476815023,17.3700776707933,9.1595482209671,8.00808476517373,9.11910637376463,7.9234514183414,9.91609893978126,17.8918321197789,14.0571432647451,23.3370842202129,9.95512055960228,10.4487126750268,11.0326991284846,12.2424327462958,11.2647450210507,12.9477434419601,18.6868803407746,18.6934997692392,18.9519591050727,15.008541516805,18.4596427854668,18.2338746117154,18.7973056781304,18.3104727939068,18.3201260963711,18.7034594066826,18.1051125049542,18.2211493591452,18.5887378039878,17.7416343357833,18.6297071661792,17.6164052778295,18.1144739176373,16.647204172783,18.1690741866106,16.9896368720811,17.7408278649097,18.4334281428654,15.8658044066921,17.9274672303982,15.8181321282187,18.3163920992412,16.3900443028881,15.8833416628202,17.3746543022091,14.3731561866499,17.8392793707146,19.7587871845952,18.8769189226055,23.7312951569884,15.5782632307313,17.0839070104607,17.7894441370096,16.5321392457793,18.0068380441978,16.8867549842434,18.6497782897357,18.7340846117019,19.6007416982545,17.1703070386346,17.4987435797729,18.4971044058264,17.9545701710036,18.2799246808668,18.1297985729777,20.1792802998101,18.4742057952426,19.2889689605241,18.5660545504304,18.1900248127814,18.6731934243702,17.8399901108065,18.7327121172107,17.97869929361,18.1891849873394,17.6530377127096
"fr2_00",12.721197307499,0,13.8879307566498,14.2441884928858,14.5073227052364,13.1843028903105,12.3147288153922,12.8920481689741,15.9067240887877,14.497840941586,15.8594805627913,15.7098182658006,23.9180313298282,14.6552912530857,15.5942076830515,17.6122673675078,15.611370028829,16.7095401061591,15.4491491549663,18.1016149506721,17.2514997509153,17.0180486215734,16.0709915092842,16.3098153812121,17.384286291271,16.0585709478554,16.1540523999117,16.1926187431045,17.1702209005998,17.9138797198653,16.5466994942099,17.0933735743223,14.675042393311,17.1445856338227,16.7837642260512,17.0552963400068,15.314541888288,16.2904958931106,17.6941918004327,16.6774672995752,15.4108439374886,13.2706127236097,13.5864572689749,14.0159808454827,13.4647545266617,13.9799619911739,12.7305460928078,12.2119312780515,12.9145363646773,11.9147118655266,14.9207554636162,17.4933236949998,14.7784271569922,21.057793970998,13.8770187205704,14.1410955519698,14.7462079907013,15.6057938580948,14.9024569507445,13.7385527839229,14.4190612511737,17.4680871125078,16.3415440837245,16.1788894101311,16.5858553801801,16.8240234208777,16.8696186616634,16.0870414173278,17.2428267293484,17.4561905246527,16.1109500480648,16.9488292921693,16.3303576149936,17.0283425131436,16.3463633697978,16.7392853697381,17.3032586524276,16.3804772020618,16.4284829037004,16.4018980930355,16.6462675970506,15.8787946815853,16.6417763269224,16.931656876878,14.5788167219688,16.7385144956635,12.5312894211773,11.9079262342401,12.4532520948058,11.8887256757371,12.9912081758094,18.3820741789568,15.5024735956676,23.4510497504294,13.0151668857537,13.2855211093031,13.627939875561,14.4222919562872,13.8260369559585,14.6542743324199,17.9625482366115,17.9527609564076,18.1628597151974,15.8714894277276,17.8231065192593,17.7267889833567,17.9455021319736,17.7962351701042,17.6736290976461,18.1114365823465,17.5813541229307,17.7010139787238,17.8691120610979,17.1953422261984,17.9185185606126,17.4731176550048,17.6241536179391,16.9501612286677,17.6905795671807,17.0258914706266,17.3347153301348,17.4821450487387,16.2401490313635,17.3448867370343,15.9614113412548,17.6015554740697,16.2192813338371,16.0665292758015,16.4291378227267,15.0967493745167,17.4823381466809,18.5630313026497,18.0111931116467,23.6417192016883,15.9725153044577,16.8574725894292,16.981465136796,16.6029927312231,17.31843062348,16.7895119919823,17.7747866636386,17.6223729180761,18.7519730693232,16.8317345972272,17.0373822820212,17.6487759795586,17.0121469722441,17.3475702231379,17.3021051781983,19.4998368985773,17.3881841184757,18.1900813009325,17.5731576352255,17.3845045296974,17.6864854013135,17.0966157829387,17.6925611620613,17.1847002597234,17.0583710974414,17.2421579977745
"fr3_00",12.6555232698324,13.8879307566498,0,13.8270679793403,14.1398363531205,13.0535478830437,12.2265960715761,12.8483321797777,15.4637354753785,13.7973104020901,15.2835390914807,14.9010350023688,24.1938267290569,13.8311205823067,14.3287171624753,17.3761229247941,15.2178970743516,15.976220800521,15.0735039646237,18.1041663824296,16.3516017271534,16.3545456673505,14.9762151861987,14.6384743962988,16.7029540162999,15.2992169504843,15.7751089799639,15.8968596126352,16.539611094792,17.0013984501262,15.9061937654471,16.3336807354231,14.4877149304529,16.4036307774829,16.2637586973084,16.2835899525593,14.5818847203697,15.2587655938116,17.0187311508501,15.8049066940284,15.0452342114285,13.1973894425972,13.6787817525804,13.9761194018994,13.4877246657543,13.9378112624122,12.6453561161407,12.2071802664977,12.9778700911822,11.9855583087819,14.7017840504426,17.5859005235043,14.7588442475729,21.288361241848,14.0528258029863,13.9881656535714,14.8133209169411,15.2623224978819,14.2919642622819,13.7431945363372,14.3772167163298,16.9327705609688,15.7826872917335,15.6810071433926,16.3620774973844,16.2654173510034,16.2815458124905,15.7854515014882,16.0292853245253,16.2789788950134,15.7586786889249,16.4522729468009,15.9129847547103,16.6486383566989,16.0013418920376,16.3883352730025,16.8805033433339,16.1294892398302,15.5147937098442,15.7352874484871,16.0555346687805,15.2576719455024,15.1950504241189,14.6253785219405,14.3805458381547,15.8453107462935,12.5287309340496,11.9340794466206,12.4761512518109,12.0136057929571,13.0204623254934,18.1562203908315,15.2035146030569,23.8324057415147,13.1060906666428,13.2476273137631,13.5871630677866,14.2931524389352,13.8108245486534,14.6163080569006,17.1623244733454,17.2843135916249,17.4584545306196,15.3749606908897,17.1656255007815,17.0711192760331,17.0911015055501,17.1327817822543,16.735916593064,17.8991301738426,16.8537628222975,16.999707689975,17.1298123902459,17.0063379453398,17.2557487934402,16.949700648663,17.0382918552522,16.4622017642539,16.9866079353956,16.6121422125126,16.3565102981103,16.1305124106877,15.5731331296344,16.2285779905003,15.3365944627103,16.8619342684502,14.8998516692655,15.4942258320548,15.0031416679865,13.8855577451961,17.0128381907142,17.2551152257086,16.7575363872283,23.9709645734501,15.7677929605521,16.1476879026527,15.8641325054557,16.1390915373152,16.4922887783615,16.0429388371999,16.7720158803849,16.342426573824,17.9401230929167,16.0876506952892,16.6046887092671,16.7498412159262,15.937791296439,16.3277911332186,16.2719411153735,19.0921834992131,15.9640379754802,16.9471019113524,16.5103456817124,16.677778882907,16.5816713594237,16.0137910028801,16.7267660586157,16.1544516251065,15.4168048963234,16.6374502824832
"fr4_00",12.7013306813036,14.2441884928858,13.8270679793403,0,14.1593994620971,12.9128378525149,12.0980020400037,12.9784805927139,15.9897400829231,14.2933473522551,15.6929709479542,15.5386331848023,23.7717805048126,14.5316242632892,15.3062169811659,17.5001625355006,15.489440997511,15.7773937824642,15.2439370426421,18.1626155459227,16.5202888891956,15.4830312231799,15.4703349814974,16.117397577379,16.2547615376273,15.5250747466204,15.6781217019024,16.2069151527621,15.8350254637865,16.3599859388822,15.3855841804498,15.8757402341372,14.8461197178517,16.0000996232916,15.5976248540159,15.963212275457,14.8190010039165,16.0630058468155,16.2531729575534,15.9097030541797,15.1477596724306,13.2327171490977,13.4579423891448,14.0685563512506,13.4305700222916,13.6494018384763,12.3904788863836,12.0171499721854,12.7874278196878,11.6777453042437,14.759490146762,17.3078614151205,14.4528428581094,20.9131339664645,13.8406489779676,13.8479017574727,14.8251658629558,15.1937067539363,14.5697611105791,13.6917497078825,14.159743545982,16.7945151921348,15.6773988159105,15.7272959395957,16.4795281370625,15.9374660664527,16.4813170640556,15.3095567127271,16.1987372768487,17.0936575237057,15.4363890711096,16.5829588015943,15.833382176709,16.7827568699248,15.8481341458039,16.1927329279734,16.2680398108674,16.0003694418951,15.4891696564574,15.5407020182767,15.9691256395038,15.165237785776,16.1411340248459,16.361314843509,14.0455997160366,16.5089408126135,12.209793952767,11.6635649137362,12.2235487818786,11.6839866580712,12.7547338471803,17.8796388834076,14.9356971195074,23.3349936394605,12.8476837201141,13.1457782997548,13.4252975835471,14.0980300355352,13.6701789253515,14.426747444128,16.1672282941507,16.3278183828049,16.5727248007399,14.6518566568408,16.2514319933455,16.2398836410412,17.0340298701123,16.1048302389257,16.1220014940714,17.8690210543535,16.0080138149516,16.0397276073018,16.2456780434762,17.3597910763892,16.2405442934771,16.2935250857896,16.1399517677803,16.2330893311729,16.0664795441749,15.789974989409,16.9230302368447,16.8520136572534,16.0775701276464,17.0491693593336,15.6533653416071,16.5455838734458,15.7533919318814,15.9493547552651,15.8927109533343,14.6602572311778,17.3588405203799,18.1166388050004,17.6856121474445,23.5095674766041,16.0944744367342,16.6019300110568,16.5432299224417,16.501715021607,16.6688932198029,16.2244909109162,16.8879854365644,16.5033010713226,17.2922326157792,16.3399064146327,16.8687967650702,16.6251260148393,16.5324347178645,16.7466616533214,16.5549558313999,19.1382165443904,16.7264498082307,17.4269342605401,16.5904682043414,17.107167667962,16.5286169096978,16.0770320281789,16.7787191387938,16.8873423615942,16.547644510692,16.3909517578449
"fr5_00",12.966189644139,14.5073227052364,14.1398363531205,14.1593994620971,0,12.9209743898828,12.4125427229791,12.7410801905789,16.0724720327018,14.6532982519513,16.0299730361906,15.9835647523126,23.5973350981123,14.7483193682768,15.9068609998282,17.6665775812904,15.7423631713934,16.1411981444352,15.5357276980366,18.1021287858217,17.0394530855872,15.9673381664056,16.0150148589086,17.0412868508155,16.6444600557424,15.7387933167153,15.8615743669856,16.2396147150163,16.0969307282496,16.9112948527724,15.7990885089783,16.43648019809,14.7335715191691,16.5054661643877,15.8897465655856,16.3330078283088,14.9947000606064,16.4942436991984,16.6448109761154,16.2858199999829,15.5115372678211,13.4799595966819,13.8363350174203,14.2584597756127,13.5543945694096,13.8022580040237,12.8485944846529,12.4813335766595,13.1771675837632,12.2492210953446,15.2319073970225,17.4545658830831,14.6818474863193,20.8265628089498,13.9460600684473,14.0187914932633,14.8563409096727,15.576417802127,15.2376276564487,14.0029364227417,14.4016934619755,17.024324209826,16.108839066673,16.0904000058762,16.6214277538978,16.2965153975891,16.8586145857858,15.6432933274368,16.8470781527154,17.6091356576898,15.6611651053956,16.771013405754,16.0010097126694,17.1021992632874,15.9453069232779,16.4169107414276,16.5408275498861,16.545057276327,16.0224964628567,16.012704721815,16.5916540769155,15.9733406009869,16.8727050644629,17.2578236689076,14.5644062886058,16.98952724633,12.7273657252078,12.1687751544022,12.7032510831791,12.2161997686463,13.2839741587202,18.3614834597167,15.5601440747323,23.1483486425353,13.2500689983565,13.600181495824,13.921074051035,14.6099367588702,14.0075152498405,14.8016109066808,16.6890554957842,16.7457233041724,17.1912578091586,15.3001011654201,16.755155496091,16.7140123666214,18.0485993800992,16.6368688120878,16.6782186978503,18.154185250633,16.504278387078,16.5077194619374,16.9495022677012,17.4875932095785,16.6508644027145,16.8238199443984,16.515124810587,17.0580693136438,16.5386219714826,16.1380474563529,17.2778162789743,17.5652337204655,16.217564682732,17.5637427945948,15.701424008042,16.9824607788817,16.4709855877021,16.0580362039253,16.7006651058348,15.3805555820705,17.5668599979983,18.7460779811673,18.2044907069833,23.2984910772453,16.1463978364261,16.9804566655641,17.1594552182995,16.6801830345093,17.2956752531947,16.767740129998,17.3989067452524,17.1820589428857,17.8398843261552,16.6648199824957,17.0962732285315,17.1461154671657,17.1024038203535,17.2040248047015,17.0608580591344,19.4017729573504,17.4232763515861,18.0356719225952,17.1922989343029,17.5376774348405,17.1483016265007,16.65311984331,17.4300326848138,17.3638317774363,17.3432216640757,16.8794364980736
"fr6_00",10.7774102070808,13.1843028903105,13.0535478830437,12.9128378525149,12.9209743898828,0,10.0089195419317,10.7353097246985,15.7694993446352,13.6523329463724,15.3280118644189,15.4752296998181,24.0753039210304,13.94816307968,15.7427457130637,17.1695053312986,14.8318159035755,16.1031872798745,14.7075838986489,17.707341411605,17.3714053936823,16.4017212041394,16.1602771754932,17.7088955759268,17.0398101587933,15.7299246147794,15.4779158732913,15.7962749283085,16.3340084161879,17.452660948943,15.8910532049437,16.6535256845445,13.5822965895041,16.7346246753795,16.2218205217367,16.7161324706999,14.6587199098475,16.4357914286443,17.0134491924924,16.4757022941792,14.6764149768439,11.6281961253835,11.853987721073,12.833188517014,11.7104170555705,12.3231412199189,10.7121851307144,10.0611890810589,11.0190090200501,9.49023190312058,14.0846294630651,16.5056125559949,13.3984257644471,20.6591572091456,12.0995353521278,12.6810427653192,13.6916491556237,14.7917444528769,14.1886998462666,12.2916677092766,12.966664263105,17.2883988571967,15.8104941798062,15.8701257419679,16.3672639651367,16.4259399047713,16.8269287417893,15.1500980200209,17.4191705977348,18.1920190391302,15.4527214840433,17.0580430736945,16.0460924482074,17.0137247630889,15.7121264667616,16.4140695215093,16.7831407581097,15.9764983391064,16.1644297832768,16.0617730755823,16.1512873084542,15.1911994167113,17.0800840042733,18.223673032857,13.0524672016492,17.1073872287452,10.319304636773,9.44615410866401,10.3004704798892,9.39268774044873,11.0116372502316,17.8793183051578,14.3627719389597,23.4061185785308,10.9984168731243,11.5337342759659,11.9551465415866,12.9367886177932,12.1447997406272,13.4351043825532,17.3151771133725,17.3652386979065,17.6968902963433,14.6529906804231,17.2254791072154,17.1036757631747,18.1309557251799,17.0582663780708,17.2217918724904,18.2860647863145,16.9452463935008,16.9507895478182,17.3584860099099,17.5651778527478,17.2698951376421,16.8336614518019,16.9569314837332,16.469153477378,16.9871670144294,16.11331150625,17.3066328909308,17.8527820739643,15.7600837215598,17.7562002254392,15.335886407925,17.3348822179168,16.3227042956099,15.7270141664481,16.9849647166382,14.7237673794254,17.6105279927473,19.4169043535129,18.6137111377225,23.6937341861573,15.508208309135,16.94946077449,17.4069439940396,16.4275915548985,17.4805774537571,16.5970235309371,17.9319030626451,17.8739859172959,18.3879260391806,16.6672677274374,17.1175893603342,17.6176840098911,17.4890665425773,17.6927060750929,17.5297799636824,19.8322722357639,17.9853708211082,18.6932906031485,17.7450714961511,17.8030340587478,17.7203094349013,17.0930713932307,17.918083678401,17.6609660882864,17.9235110167435,16.9646872457477
"fr7_00",8.91623414557746,12.3147288153922,12.2265960715761,12.0980020400037,12.4125427229791,10.0089195419317,0,9.47820080995119,15.5070938429719,12.6804657259786,14.7908489097659,15.1886061749815,24.2127174880956,13.6204336340827,15.5469884790664,16.7311275186584,14.2408087917609,16.4481144809727,14.2215850970928,17.514630324976,17.887380715598,17.390004265279,16.3656829840514,18.2883875275626,17.7826690811302,16.1822258689495,15.4562308224923,15.6983834312556,17.1143600630683,18.4350924487545,16.4394494361159,17.3525415779762,12.8737464692395,17.3218865335146,17.058784548302,17.4524915542263,14.7600193142065,16.4735584647374,17.8201694328362,17.0749553363174,14.2692131736766,10.0380671282455,10.1172242098845,11.5835436895103,10.279244016836,11.3078450769208,8.84344931157171,7.92719528841175,9.17034484977889,6.93344095973802,13.2580357207239,15.5791731187115,12.4632376239108,20.3394955082714,10.6721524239509,11.7438573803032,12.7073172302009,14.2437954660798,13.2961997338729,10.8562382352634,11.8996008681159,17.924838350081,15.8156566268856,16.0303037735668,16.4130724783061,16.9123912480494,17.1931634929528,15.0085043699031,18.1124840553486,18.6989901368168,15.6114353168652,17.6432937340905,16.4174610566886,17.2895875896767,16.0442523056168,16.7898633475642,17.474015970573,15.9435482047505,16.4636586711161,16.5411815133121,16.2535966642677,14.7973958303153,17.0755741022135,18.5067557601982,12.1237386650888,17.4186716817575,8.10419009668347,6.82918894664834,8.10138551347145,6.74870014989212,8.988364297101,17.6575792196613,13.4931065453472,23.3614755840843,9.04993645020456,9.5884824454822,10.2381369584996,11.5269049998421,10.4860998601303,12.406744890597,18.3406799010389,18.4201533584407,18.7168222454484,14.4047920323998,18.1704685411729,17.9227880206622,18.7797529945487,17.9459902280082,18.0096775125128,18.8097511369779,17.7721218171556,17.8625900180513,18.3244773614076,17.9297858819369,18.331988105315,17.3032735725719,17.8192046707609,16.3909715012323,17.7985795975985,16.596707468387,17.6658571355643,18.4479077032877,15.6488017934555,17.9436398134385,15.6410791136078,18.1664885533053,16.1963802003127,15.7637645946572,17.3764076653898,13.9777505950914,17.8827587092299,19.9047091306415,18.9415615270019,23.8087812012448,15.4994781915887,17.0103567600161,17.8319138661536,16.449016333669,17.9841854067317,16.703057715332,18.5949702122604,18.6653234169148,19.3953022178924,17.1133102645037,17.5585696959298,18.3815519934754,18.0303363726465,18.3114856576152,18.0857548413837,20.2612203286908,18.4971108808378,19.2966569183367,18.5009644547615,18.3064468495594,18.5531891081421,17.6976924809838,18.7239881352329,18.0359046277166,18.2662797253619,17.517084394786
"fr8_00",10.22384355502,12.8920481689741,12.8483321797777,12.9784805927139,12.7410801905789,10.7353097246985,9.47820080995119,0,15.5923526709693,13.4907615617293,15.2727613749504,15.5433497811341,24.1043045995134,13.8918380599288,15.9544079013687,17.0839038055543,14.7164700195485,16.7093345536618,14.505647599507,17.4663730240421,17.9737891991109,17.552414818462,16.6050947027116,18.3462750038532,17.8658565948115,16.1304116091764,15.7068351571611,15.6559520695027,17.2209905305194,18.6465191562474,16.671558461333,17.5868615326131,13.0296804527305,17.5899300960903,17.023420161291,17.4919882464564,14.870036412848,16.5692839371884,18.0158581890367,17.0861557478879,14.6739811180212,11.1328345800806,11.456270083088,12.3491750938815,11.2205377467506,12.0889306025752,10.3843163723639,9.60205401855089,10.5436706369755,8.9615884422037,13.9691857789642,16.2798947665477,13.2498667231689,20.5481063584448,11.5809599842129,12.4608217082778,13.2884750975259,14.8393729628451,14.2608383139401,11.7657277136187,12.7263116449566,17.6992115150763,16.1424068845411,16.0676562396783,16.3338422779152,17.0023842675383,17.1198555493536,15.4939853898918,18.3165644854043,18.612571004589,15.7374566331688,17.2812680292407,16.2567622377772,17.2464100774074,15.9224214581897,16.6963108389029,17.4639042354811,16.203566623156,16.8209881763244,16.6857136849819,16.6455119165706,15.6259714093329,17.4985319307461,18.8434108626219,13.0941499290345,17.3109671864038,9.92151279386889,8.87775694950623,9.83872311397614,8.80357789019946,10.6149511657327,18.1448036379319,14.4959692028635,23.3445744018573,10.5264741224451,11.1113561096935,11.5995385866179,12.7717326426052,11.751849372934,13.2573258888267,18.6250819871094,18.5389476809992,18.9214466637214,15.3380652907877,18.3933959781807,18.140447862923,19.0393755049344,18.2789848636109,18.3556353273376,18.5103636609874,18.0610434715697,18.131563693627,18.6202622425157,17.4712016808748,18.4702681169319,17.6246588471184,17.9756938712734,16.9570731101886,18.1294925771706,16.8493317358752,17.6623741289275,18.5363865713547,15.7405473281462,18.0956522248901,15.4836786812775,18.1568476185157,16.7233992264325,15.7307824492105,17.5806973786631,14.8935406387826,17.7516022086232,19.9724581451208,19.0086446791477,23.6902364254066,15.341665401245,17.1506973661238,17.9056980938232,16.4350203095234,18.1066393134696,17.0223371724292,18.6929451119713,18.8503908110443,19.532539316732,17.0679737290051,17.3452336545778,18.3878918526295,18.0307155643602,18.301134291671,18.1751632297157,20.1638988949403,18.6709775083069,19.4123345722655,18.6135760096129,18.192805220892,18.7063571738566,17.9334355828088,18.7808867047873,18.0143806441199,18.5196897354308,17.6537903834581
"fr9_00",15.5566752106453,15.9067240887877,15.4637354753785,15.9897400829231,16.0724720327018,15.7694993446352,15.5070938429719,15.5923526709693,0,15.7969020926431,16.8148855878548,16.2895252855961,23.520289079408,15.7656921039461,15.734591014123,18.0354095081045,16.4504651617525,16.6615789928782,16.5135308199366,18.4467390602018,16.9559155544935,16.5050784177155,16.153210834928,16.0058001167538,16.7784623779792,15.7891680972855,16.3324107725743,15.9126297791606,16.9669490884336,17.4245075380961,16.4307245046136,16.8471360925729,15.8329356952136,17.1313268385614,15.9187662656014,16.4126645234625,15.5967426234866,15.9310450608749,17.3302881918338,16.3072459350467,15.7297645757199,15.248085063789,15.8647756022247,15.0637753632785,15.2610693717685,15.3306693348285,15.4556402940938,15.2973854311299,15.3047861198036,15.4348334756664,15.9121003546508,18.4554303102392,15.8274923505303,21.2765926300731,15.8068663299522,15.3170347619253,14.8584726555808,16.1151427862535,16.2261454810811,15.7524128209353,15.6734482704245,16.275224562789,16.1174875228072,15.467518751439,15.4420515542245,16.0551706819219,15.8359186352839,16.1976673681071,16.6341841738459,16.0383131117581,15.4918433207687,15.3384683801193,15.2006336342928,15.6507473807615,15.8951463495585,15.5584593191451,16.5589697022264,16.0610630221207,16.2860097671382,15.98380731234,16.6715635785018,16.5770194206649,16.4636113837509,16.2344556605433,16.1586740493046,16.5894032236873,15.6351401638727,15.4634865292863,15.4418897115395,15.4485263474072,15.6974141288019,18.6786583683031,16.8323807272628,23.2604578219959,15.5735617795132,15.8186461858454,15.8908418056876,16.383392074561,16.034398786008,15.8557563648323,17.4163555737098,17.1376675989964,17.3958291768153,16.7296527286091,17.1926110704296,17.3198420852851,17.3793264448354,17.367902400426,17.2746699620163,16.8677813773918,17.1308659481824,17.3081640365866,17.2631222613402,15.7110376716176,17.1249020152885,17.4148107072554,16.9473406965072,17.1919307726615,17.367517470052,17.1333183641501,17.2536683912129,17.081881787962,16.8751740042238,17.2097818743581,16.1589468198892,17.237811182387,16.6522794196954,15.9604874930009,16.165738351856,16.2587536431696,17.0575962003321,17.7397530273765,17.7041011789562,23.2731598773978,16.403904089703,16.5939377002154,16.3798659556918,16.4431412167131,16.860912608559,17.1451989054606,17.2530520910437,16.9538541449141,18.1093723437935,16.4390572298291,16.4224009767995,17.2334748532372,16.2038157561418,16.3919064001071,16.6808273757997,19.0115012201689,16.9084029078563,17.4567964744254,16.9317180654661,16.7291186885622,17.1282134473907,16.4709265277836,16.9851004098664,16.6790463294885,16.6086431570468,17.1653343857327
"fr10_00",13.1608909542099,14.497840941586,13.7973104020901,14.2933473522551,14.6532982519513,13.6523329463724,12.6804657259786,13.4907615617293,15.7969020926431,0,15.7585947312789,15.4957509742272,24.0397544498647,14.5544115349975,14.9801772704117,17.6918159200465,15.6667564707742,16.2878034789771,15.4703792777722,18.3786433401352,16.6935505533186,16.453539386798,15.3986004514077,15.3950067506112,16.8968543502745,15.7686548227405,16.0678695965184,16.3209934625478,16.7119465085588,17.1599090451351,16.1212255841567,16.5678803349403,15.0790869898279,16.6201531124003,16.4197468072154,16.5278365910196,15.1054963831396,15.8971305803824,17.1033619204932,16.2415935290702,15.50323697259,13.6469057329226,14.0341802528388,14.3425566013725,13.9313417401719,14.3202718206164,13.0272295645157,12.6574411612189,13.4019191646554,12.3787206336561,15.1278405302598,17.7604225231788,15.0611146324636,21.2713593644902,14.4088641942872,14.3980125714331,15.0330095411789,15.5841214070422,14.8015972285186,14.1116345651726,14.7236437579788,17.2464104872617,16.1267653845367,16.1115153689273,16.7052493433889,16.50485116154,16.6766370689894,15.990544123758,16.4016687859694,16.7293523012909,16.0329989379345,16.7952315503605,16.2333929978719,16.9240904297135,16.3476434433761,16.652595894391,16.9955341237269,16.5335724693612,15.8056272163584,16.0887680070898,16.4686393980995,15.6732838747829,15.7124911215914,15.2662342036343,14.7901646141166,16.3337835235067,12.8914813956005,12.3051031579455,12.856174567624,12.386038852326,13.3955766247938,18.3859355331716,15.5340654793806,23.6644859376144,13.4614158308758,13.6199384015161,13.9524304637631,14.6514517270914,14.1662987955948,14.9470559941341,17.1618128199184,17.3005023729784,17.5398047850283,15.5600659230306,17.2081450735058,17.1262394724452,17.5225840337215,17.1524424183272,16.8355661619305,18.1653857950669,16.9016039984026,17.0412168170308,17.2407952014989,17.32948554573,17.257332660355,17.0895450366032,17.0831180590431,16.8174867420745,16.9947951086169,16.6962910380969,16.9386680692276,16.7584517552447,16.1093520753598,16.7596629043153,15.9308859141048,17.1253055074136,15.5447614627836,15.9727105340194,15.6474974000849,14.4782496416666,17.4043973953251,17.7293805283041,17.322699313413,23.8191103435096,16.3090855927808,16.5346220024285,16.4087253554823,16.5540251716682,16.9037747207957,16.4735739853883,17.083348972919,16.679500365557,18.0835170880649,16.5407293892701,17.006675723489,17.0016380317022,16.4176171588235,16.7170011584181,16.6221041315689,19.2656206699648,16.4880703272235,17.3259062046471,16.8328512567028,17.1039015153572,16.8946984965576,16.3177649151094,17.0809936305861,16.6630531948912,16.0123101560745,16.9606839726642
