"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,16.9799872408877,14.8663490887243,11.4590540687041,14.4070763048488,14.539609102707,12.1536123058967,17.1957887312772,15.170061124827,14.534667615438,18.5193362380939,15.4725328978
"fo2000",16.9799872408877,0,17.036837156481,16.9834622879127,16.9843521119278,17.3872293735176,17.0051735135903,16.7394880362747,16.8657448724432,17.1860236672109,16.9238964138021,17.0754255384285
"na2000",14.8663490887243,17.036837156481,0,15.0528861791719,16.3916469263411,13.2518988152662,14.8928214212535,18.6541066392604,9.6194719671106,14.4508189261354,18.1086063797308,12.9126347195818
"fr2001",11.4590540687041,16.9834622879127,15.0528861791719,0,13.7985310508467,14.2966676112543,11.4354758715244,16.7186502074536,15.3482064391214,14.8883209902725,18.7263839273705,15.9810898057721
"fo2001",14.4070763048488,16.9843521119278,16.3916469263411,13.7985310508467,0,16.0573566006423,14.4173722610591,16.5915641921334,16.474686321351,16.4924252287319,17.883358260092,16.9800816273295
"na2001",14.539609102707,17.3872293735176,13.2518988152662,14.2966676112543,16.0573566006423,0,14.4523715359032,18.5798485040491,12.3887617292908,14.838106430552,18.5043250559268,14.272515007977
"fr2002",12.1536123058967,17.0051735135903,14.8928214212535,11.4354758715244,14.4173722610591,14.4523715359032,0,17.0203358587487,14.9234752417414,14.3996573182056,18.4924482552008,15.3851082618164
"fo2002",17.1957887312772,16.7394880362747,18.6541066392604,16.7186502074536,16.5915641921334,18.5798485040491,17.0203358587487,0,18.6711142740329,18.626708745332,16.5667099948553,18.905891000738
"na2002",15.170061124827,16.8657448724432,9.6194719671106,15.3482064391214,16.474686321351,12.3887617292908,14.9234752417414,18.6711142740329,0,14.2707372116756,17.9660705065761,11.838860220187
"fr2003",14.534667615438,17.1860236672109,14.4508189261354,14.8883209902725,16.4924252287319,14.838106430552,14.3996573182056,18.626708745332,14.2707372116756,0,17.9695386666196,14.0751423450116
"fo2003",18.5193362380939,16.9238964138021,18.1086063797308,18.7263839273705,17.883358260092,18.5043250559268,18.4924482552008,16.5667099948553,17.9660705065761,17.9695386666196,0,17.7927051259296
"na2003",15.4725328978,17.0754255384285,12.9126347195818,15.9810898057721,16.9800816273295,14.272515007977,15.3851082618164,18.905891000738,11.838860220187,14.0751423450116,17.7927051259296,0
