"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,11.9676890654221,11.4543764832903,12.8211742570585,11.7390922702326,12.4560439037226,12.5962077279617,11.8155309515818,12.9326183270107,12.0306994251222,12.3789662692353,12.2886723409529,12.3612817851841,11.6015605661021,11.9305113382034,12.8047047269589,12.1822383834893,12.4952703638853,12.8416818462568,12.1503728449325,13.1578495564396,12.690148058762,11.9818286469337,11.9436896941395,11.9230599124762,12.4033177285474,12.3995553779928,12.3278194035273,12.6063682729717,13.0404819029924,12.0623464548195,12.947940915214,11.8447248413064,13.0209728962771,12.4962536951693,11.840399881234,12.1389565926395,12.5196860819201,12.9534678232174,12.6014654241064,12.7671146039626,12.6151581852296,12.4500581431065,11.6013308098153,12.5437960080931,11.5225314290838,12.3671783996381,11.5620623692623,12.1842369767763,12.5015750925023,12.820227755037,12.8223043087055,12.0759659234903,12.5017083707267,12.4640427971166,12.1502247344106,12.8472617346932,12.7116609916582,12.7202148524321,11.8153900440364,12.6547541098118,12.8526770723782,12.4437153689303,12.4449051663322,12.889651641433,12.9437677334914,12.1416870469038,12.5161060321158,12.905404159302,12.8282627587024,12.1138996938173,12.4413254955808,12.2953251330191,12.7295865534025,12.7293936861198,12.2467238411298,12.0547650723623,11.8340088265665,12.902599415026,12.3113232248351,13.003064089472,12.9784714633455,12.0458333030682,12.4123147736386,13.0915997301632,12.5694498083898,13.4297665639374,12.6780211591029,12.4479073838519,12.7231004037382,12.5187303327527,13.071273211817,12.556854088839,13.0524216352229,12.896792086805,13.0472613369978,12.6029258690638,13.2953930102943,12.207665775729,12.6543234059173,13.5188491370953,13.6471965516872,13.4083249892218,13.5917356670292,13.5401282899053,12.4292894110194,13.6642065185067,12.7401316960091,12.9840283451031,13.1847705006388,12.8680140798741,12.6478233952876,12.9564644984959,13.3062669228452,12.7485846274088,12.6987659229195,13.5234041681735,13.1100375042236,13.4566232541776,12.8557159323249,12.8867225552327,13.207425564058,13.12032602708,12.6575842542752,12.554051919339,12.7123669160634,12.9421273428187,12.8326436133714,12.4757533800677,12.4051175455012,12.8356600840614,13.1469164535501,12.7474711444686,12.2581629306002,12.5492094974814,12.9010071610049,12.5153934494288,12.4381996397827,12.3713706741494,12.4855620875027,12.9454760383884,13.0098167492237,12.9532551528067,12.8110270479704,12.949103906377,12.684418451853,12.5352283751032,13.6517151936037,12.7220132386681,12.8608913823845,13.5526684634774,13.3355349096021,12.910128844287,13.0956068934841,13.0653773681469,12.8844682366103,12.7904787687253,12.6348619936663,13.0066895883868,12.9549564030921
"fr2_00",11.9676890654221,0,11.3624222091909,12.738002719479,11.7910815024591,12.4799098390958,12.2708565236417,12.1099845525552,12.6784271898224,11.8757171535255,12.1972626944894,12.0885326169449,12.1694682969154,11.2377154500835,11.6638351072702,12.5588576302546,12.1733492198359,12.2548958726239,12.6895414191005,12.1179297489027,12.8475227837224,12.6652215722963,11.7699154051451,11.6946928117548,11.8154853656462,12.2563608330279,12.4254099043534,12.2369066233759,12.4371994772152,12.6370365402654,11.8585372935529,12.8299158024117,11.6298652805065,12.8867236164695,12.4442531448652,11.6260041794402,11.8437476632095,12.0026790404879,12.9108723184508,12.4941010493043,12.4548938446884,12.4750306975273,12.4783006266368,11.8545183564224,12.4828038416655,11.7130312754906,12.214876441122,11.7199730707665,12.2849346878424,12.2405359558508,12.7273357436298,12.5528855944142,12.1761941066926,12.2799931715482,12.6021148919222,11.9790252846905,12.7138405804937,12.4064622066846,12.383278303429,11.6841771603329,12.5488485648997,12.6351897821862,12.242143216814,12.0270266151976,12.7441110459613,12.6027842371845,11.8757177032032,12.3954681056386,12.5659688542936,12.5753644298597,12.0343137230659,12.0755072070732,12.0341447855229,12.5608920002741,12.6998260670774,12.1521786286566,12.1836127307575,11.9122108185272,12.6972929656448,12.0109062624687,12.6994596709767,12.6985742251785,12.0978277146619,11.9428130479956,13.1269102994746,12.2951908830754,13.0525879077156,12.3041460893854,12.3827927525332,12.5042691421787,12.4230850676901,12.699989967878,12.2677615313885,13.2090350645757,12.7659061759365,12.8379006404925,12.5251824236115,13.0555936565977,11.9959140559158,12.5969274608823,13.3590030595862,13.5124328958206,13.3518246270565,12.9463329784068,13.537376042737,12.3846129526795,13.4571195653998,12.6176767856356,12.6706397186015,13.0932651419062,12.7038700852363,12.6030611938772,12.7509553684219,13.1762002974656,12.7358941960628,12.5332217543943,13.4176050473744,12.9615900570252,13.2100819446021,12.8489936418216,12.7465478989315,12.9731279046653,12.8479201049859,12.6720682911157,12.5739675965442,12.635010324091,12.6445429865146,12.6878789293592,12.2424862679361,12.082571028753,12.6812438518398,12.9289658209674,12.5717420073197,12.2633912124302,12.6230739649872,12.6186389760906,12.4266345045204,12.3944781440004,12.4030281869692,12.365459569024,12.8296649820799,12.7586762998822,12.7630246326752,12.6354234372888,12.8923690768918,12.4982116151306,12.4698268990659,13.3407808726795,12.4638731172625,12.5638915488239,13.3650020759975,12.9193034506848,12.7164945893625,13.0109147286139,12.9096363344749,12.6044982147479,12.6129146367455,12.5292986952804,12.9395076118347,12.8281137405934
"fr3_00",11.4543764832903,11.3624222091909,0,12.3180605656596,11.5343009922936,11.9605994372798,11.9362572993444,11.6944080504879,12.4121641663792,11.3623081995727,11.8860078985154,11.8068829377993,11.6014267826279,10.7945938545121,11.0644255375733,12.1993795204899,11.7594336823834,11.8857533880511,12.2788445030473,11.7249070708414,12.2802239085877,12.5187358444848,11.1668665505886,11.2457309938856,11.2516935444173,11.5460304883747,12.074485800863,11.9430545638991,12.0106779369698,12.0706644563001,11.2651056437524,12.2855426943687,11.3662722410333,12.4648130719512,12.3704285686729,11.0230617809945,11.0604917669262,11.617323594473,12.7115786078154,12.0565551369577,12.0508584180903,12.1443381849969,12.1067052627617,11.3913262676067,12.1505274193705,11.331758635107,11.7382070009768,11.1213836056298,11.9029758340732,11.6404754378328,12.3572297133184,12.3850804489257,12.0054249176525,12.0043026976053,12.3716511614125,11.4809983928846,12.391581120143,12.1668805262489,11.9508400766361,11.1146916088541,12.3288094923232,12.3026222154495,11.7209867037887,11.464370763361,12.5273122692865,12.207171340297,11.4030745178737,12.157499125457,12.028926231705,12.2807799673025,11.6206376439411,11.5467123780283,11.5705614046063,12.2433572386392,12.4354777982979,11.7641566553549,11.8130049750581,11.4606380084244,12.0601303833149,11.408569451416,12.4075075633048,12.4713265453807,11.4686493461209,11.3887384080899,12.8822972616753,11.7843836807485,12.7522316840551,12.0610008749472,11.8309641454974,12.3436726753121,11.9016024848717,12.1999103790549,11.8422729871487,12.9088974120168,12.4382598705761,12.566426118491,12.1865709883162,12.9320194968276,11.5954011135738,12.3523572048044,12.9763204702154,13.2479141738728,13.1940603584533,12.3708921168713,13.2008573549164,12.0273081573953,13.2401454338771,12.4033215253867,12.3190294253224,13.1000234895259,12.177552040256,12.2311219864651,12.4166553378588,12.8721570209045,12.4306671049873,12.2367635417178,13.2386965056249,12.8014407531046,13.060694782421,12.5672408183751,12.4876885074217,12.5822230453616,12.6434295105371,12.3732726483672,12.0543424172042,12.0719784487816,12.3311452873046,12.2695408826057,11.7821223784667,11.6264594364132,12.3448835183514,12.5251796897109,12.2936401104092,11.8376358548422,12.2135239727081,12.337291828811,11.9793417794857,12.1650054712164,11.9746515355807,11.9678786690479,12.352862572292,12.3320379427795,12.4327757871114,12.2782273904501,12.5014819717729,12.0862871000887,11.998363863153,12.952575873642,12.036186991315,12.1395053062123,13.1047329250363,12.7217645143029,12.3823745436178,12.6285902665071,12.4203358516032,12.030275425214,12.0898333533109,12.1747241137511,12.4868139171821,12.5548746791983
"fr4_00",12.8211742570585,12.738002719479,12.3180605656596,0,12.3877988682186,12.8420144932666,12.6507246612599,12.9932631670296,13.3032631353495,12.8480488547138,12.9452235547601,12.8970416021118,12.6186865107281,12.0575828821173,12.4495058436196,13.1754145185069,12.8295857412203,12.8878691429282,13.3242145567539,13.0516865353275,13.3796167617075,13.2047820498436,12.4872190972795,12.661947372867,12.6109048356353,13.0398044615148,13.2916049137555,12.8622718636302,13.112547430301,13.0678843793714,12.4858375828715,13.0182648388201,12.6596248421205,13.3562658419173,12.9641116682206,12.4278604580991,12.5552049482103,12.6080809938834,13.3993789663718,12.7702765701912,13.1356483353204,13.1077508490522,13.1781393114223,12.8818648808505,13.1667075535306,12.2252986188289,12.7436829440346,12.4320676289992,12.7914548415469,12.4540538433003,13.392559167826,12.9880899781413,12.8321159159758,13.0632265731716,13.238319906576,12.8299106175863,13.3255701126358,12.9744352464385,13.0426320987669,12.5167609619483,13.1417897018436,12.8155712882351,12.4701184778084,12.5234483925982,13.2840600170119,12.9221705310142,12.3373716721905,12.7580251760946,13.0709014755155,13.0558757779394,12.4962481776178,12.7633238649519,12.5235446792615,13.1420587787443,13.1860790906723,12.5835022075078,12.7597381069069,12.3600285793021,13.3797633161054,12.4113393890316,13.3214570062528,13.210353285631,12.7796648296243,12.5787926827442,13.6932143007888,12.9944397868798,13.5655265010415,12.3735445965499,13.1555368568828,13.0366368868363,13.1900834868986,13.256456269504,12.8326168228669,13.8763868114855,13.4769573302325,13.5989777677418,13.3561098143921,13.7322317005931,12.9208702571456,13.3889037970396,13.678711703611,14.0008183901939,13.9784405600256,13.0761748226799,14.0020299602964,13.1159603136673,13.9099005899891,13.2332336238481,13.1917877820671,13.8674514004585,13.4081182790587,13.0268446554862,13.143159997916,14.2696961718325,13.4171217063675,12.9840783374618,13.8703180273787,13.6633918995035,13.7586632252561,13.4468392418277,13.3996779506439,13.4690741595091,13.4617957943121,13.3120945347005,13.308347131636,13.1325986076447,13.2894500774322,13.266634462413,13.0444394765439,12.5630656349111,13.4416312440032,13.5072238049674,13.1981259712064,12.9648593592214,13.5477416475761,13.3871351795839,13.0592888766059,13.1124901967953,13.3404118558971,12.9076495293103,13.4847142037944,13.3829088945138,13.2057784748915,13.2629711906208,13.5564737301782,13.0189812373269,13.1741610050258,13.9321463317823,13.1423611976715,13.2430555909571,14.01593579112,13.3758227533315,13.3872025708651,13.8874132763635,13.3362534002616,13.1349229942176,13.1656376842559,13.2343774921528,13.5180605108977,13.2312787741122
"fr5_00",11.7390922702326,11.7910815024591,11.5343009922936,12.3877988682186,0,11.8871502652903,11.5399420353227,10.9194704818395,12.2704715131941,11.470059361301,11.7100716436337,11.6981629960008,12.1585356651182,11.2319279331144,11.6099793096448,12.2843843471351,11.609399197691,12.0304566727902,12.2235177188686,11.4473193497292,12.8814960689017,11.6749126538399,11.5435641224472,11.9206284746565,11.449479140487,12.2232973547356,11.7038594161986,11.4415488192817,11.8702332813433,12.7958361124999,11.4880217063056,12.3329437042958,11.136591795518,12.6069586063345,11.0540305604306,11.088006824172,11.7515670389277,12.1836582687682,11.9479817349486,12.0219795587542,12.4495228506646,11.8998571476589,11.7668348937416,10.942137270022,11.8624425289728,10.5199385870648,11.5776945419432,10.9473955672808,11.3738380530457,12.1919393893481,12.375715671589,12.1441611645544,11.1968935128906,11.5966455835716,11.5643671570823,11.5641414465222,12.1289624379797,12.1763008470039,12.330613259855,11.4535695855358,11.7233553987737,11.8388009256532,11.7034595259866,11.8995704001558,12.1111622700529,12.2313732093929,11.4944028793968,11.1286226965965,12.4598540674214,12.429062628046,11.18315920185,11.9680591361306,11.3711352079338,12.1911115963011,11.7745555139666,11.2883344844958,11.4856794034308,11.0958656929547,12.4485082957176,11.7969234334025,12.3191464965069,12.0297189769727,11.8448012421825,11.9897433079114,12.063520561166,12.1242478264783,12.6311186416058,11.1146765650544,11.9957660653018,12.3179994060461,12.269065597512,12.6682028003236,11.8522909260926,12.2102113037772,12.2782054131678,12.613926216136,12.0010318190249,12.4994784296025,11.6092367755698,11.8131348432583,12.9890276143054,12.7971146574256,12.3241656356128,13.2197137347592,12.8326278672792,11.6469784339547,12.6523400678954,11.7364281569037,12.1103341832376,12.077959693009,12.0816101746092,11.9076585694664,11.9388805235275,12.7158602065713,11.5856528583053,11.5618833663983,12.5457637543407,12.1979684783513,12.1026531343008,11.7713122031079,12.2209162381189,12.7700846906079,12.4129557982289,12.1488358806026,12.0905681347552,12.2165365188093,12.3420277150418,12.3301513461011,12.1360933443075,12.0754064807149,12.2834193203608,12.7590980487705,12.1077046839814,11.7939899505476,11.9940332762171,12.2366245885919,12.1207407626968,11.7023548176069,11.9845604307156,12.0504569536958,12.5707819558931,12.5065554805678,12.251579668654,12.1754258645966,12.291183055943,12.1277136779406,11.982567297798,13.1476591485348,12.1302015362618,12.4166743788867,12.8855786028629,12.5922673342815,12.2011948696532,12.5270984903943,12.7091930781503,12.5315808240927,12.4886976223829,11.9688265367239,12.4312132593093,12.0780614525002
"fr6_00",12.4560439037226,12.4799098390958,11.9605994372798,12.8420144932666,11.8871502652903,0,12.3868140183946,12.1868637500726,13.0531383883051,12.3796698602733,12.6179370072251,12.5913263435552,12.5222844300729,11.7829301615711,12.1166282120932,13.0271986378434,12.4698691374136,12.7656014420961,12.9481577109978,12.5402120597979,13.2616210875205,12.8714441575357,12.1500026887911,12.4501506077734,12.2064444151004,12.6471289117304,12.7538457814878,12.4832474156713,12.7643394011533,13.0707820718551,12.111951564564,12.7640648577321,12.2711205962663,13.1663671610195,12.4784179598743,11.8996105580666,12.2228885651466,12.7108141724458,13.0226910725425,12.5655357368848,12.9648278245039,12.7969116098994,12.7839869039974,12.1585483237846,12.8540072144659,11.6228922204309,12.3444237198293,11.7885380664394,12.391679347011,12.4344987322129,13.1316354090153,12.8967687743138,12.3935910312388,12.693805168232,12.7286711105754,12.3852737984021,13.0324685815737,12.8590151936018,12.968524990871,12.1589868603571,12.7450177032392,12.6462183963522,12.3169706446554,12.3783311197012,13.1116005797969,12.7973632238353,12.0886362042552,12.3090635444081,12.9958966444233,13.0335132803299,12.0622545012953,12.5554068678406,12.2266771147166,12.9013821747036,12.698416852732,12.2172828010328,12.2859749409357,11.9819208543185,13.0484411593495,12.2250192620944,13.1208616457594,13.0023628228697,12.4253820155453,12.3765674990899,13.1478574271843,12.742520622081,13.4668778241642,12.1850270966285,12.745176405469,12.9719445984408,12.8998896057703,13.1082467134436,12.6112574941412,13.4129774604342,13.0823163681168,13.4877338640276,12.9820592706774,13.5048427539146,12.518007400925,12.9877439981266,13.534978387791,13.7747341894062,13.6079630660588,13.2567952232075,13.6872952868587,12.6747742875831,13.6316744635538,12.9539278071866,12.9928414825495,13.6020734257562,12.9381182439996,12.6875982528549,12.8769864346094,13.845439671108,12.8375691851458,12.6671167559923,13.6250484253368,13.3646658338748,13.3979560006219,12.9126682613531,13.1273892735342,13.3853707892961,13.3046897577449,13.0220751794087,12.8257714919563,12.814209098126,13.1381797144425,12.9454498675161,12.7573126259837,12.5072809827272,13.1684626934806,13.3409346582918,12.9631138785045,12.6434998058895,13.0044471897356,13.1144606767543,12.7720405086895,12.7198762086079,12.8982902319283,12.7578537491402,13.2180787377562,13.2432727023583,13.1327040547764,13.0023447191733,13.1995605867213,12.7873269557295,12.7871034779735,13.8766465088821,12.8948999515445,13.124233692026,13.83957027363,13.3714390495464,13.1252940750921,13.5534365810067,13.1838808975135,12.9140937646716,12.9956827648945,12.9282152646854,13.2378422958475,13.0690108615617
"fr7_00",12.5962077279617,12.2708565236417,11.9362572993444,12.6507246612599,11.5399420353227,12.3868140183946,0,12.3474771086662,12.495655874734,11.9881578456361,12.2849981453368,12.1406801015073,12.1172618607115,11.220796554629,11.680822668814,12.6198766689865,12.3542221825107,12.2207431837059,12.5554951799561,12.2762726256655,12.7617525903325,12.4508283051859,11.7552681376756,12.2243423358762,12.0544180903691,12.4660464052439,12.465929369579,11.9246210264125,12.213476362106,12.1813252136939,11.6456543546571,12.3298882925623,11.7942956191183,12.9127107495945,11.8900284489122,11.3493584717638,11.598705621063,11.6864153906515,12.5191033986593,12.2286295541167,12.367859196268,12.3485924941983,12.6484469607613,12.2704789060239,12.517606458202,11.4003341387519,11.8938437876098,11.8962694229904,12.2340460192633,11.745102138547,12.8194460208639,12.1854599476587,12.2629804750393,12.0314449424637,12.658983900549,11.819932240079,12.4870644410084,12.2796412675095,12.4171181971709,11.8741240445375,12.2699463823925,11.8558974745636,11.5614578394623,11.4975783015276,12.5227690308004,12.0314818231345,11.4921825363069,11.5504838349572,12.3138370008967,12.3696441002941,11.4658666931778,11.7862888603227,11.4687049865561,12.4397881824852,12.2527647971254,11.5914135389931,12.2920653253656,11.7128883038215,12.4789127778891,11.5330580721389,12.2686114828951,12.1907128104906,12.4837100030894,11.5552419395117,12.7169796804929,12.1189716534685,12.5418624953072,11.0197958069965,12.4456737043759,12.1895927283726,12.6265270436603,12.3501020868403,11.8578808972522,13.219078197184,12.5744450713461,12.8934008087083,12.6408159635503,12.7595841308707,11.9809106422978,12.5248026390464,13.0194460276426,13.2597389656953,12.8760029305272,11.987510391741,13.3282234018808,12.2075897810178,12.9161895021249,12.3608897767501,11.9983675398945,12.8829163286844,12.3451479198626,12.2703498728701,11.9676639367759,13.3118273298492,12.308201637867,11.9418020775019,13.0513994403122,12.6736384653766,12.3873569175646,12.4276295497634,12.6460584424081,12.8842340089593,12.6042022506526,12.79289085702,12.6842577239425,12.5989952612807,12.4420856957046,12.5137789961652,12.2021373869888,11.854845611489,12.7037801042178,12.8583253533054,12.4573524055497,12.4458326878931,12.9416668228412,12.4625418890969,12.4923537554182,12.3449203428187,12.745949551564,12.3592159636804,12.8961119904552,12.7253106460834,12.5505185126529,12.4830035642166,12.8970699058512,12.3083675164869,12.4597078005188,13.1064565171505,12.2529143172014,12.368392919534,13.2655975396478,12.5229639364198,12.5984070052041,13.2297951673694,12.796945965026,12.3735135176302,12.7049662991718,12.4745378154706,12.9156890901956,12.47526850425
"fr8_00",11.8155309515818,12.1099845525552,11.6944080504879,12.9932631670296,10.9194704818395,12.1868637500726,12.3474771086662,0,12.6883523073966,11.725723127515,12.1418915277014,12.1168751689732,12.7607561907021,11.6182879050997,11.9806802778975,12.8675593051124,11.9176634260323,12.6039808407717,12.5027017015881,11.6233427918075,13.4007869224846,12.2375446953364,12.0406797945419,12.3113772170904,11.7865460096937,12.5077256449358,11.898536453343,11.9829718002327,12.3123938988294,13.6648514371899,11.8875919049858,12.9435455636366,11.4009666582686,13.1263905721484,11.6606172381737,11.464088567293,12.3348819095522,13.091552862812,12.3784035936364,12.5955694738372,12.8550361139967,12.3524754023566,12.1060565715395,10.845807974623,12.2225465275938,10.8135487045113,12.0906239768704,11.0738325267854,11.7491663322581,12.9861379976656,12.6693533333217,12.8464261529248,11.4886707056887,12.1187375812265,11.7193804871592,11.9362076581097,12.5034292776669,12.7012722436944,12.9305681230006,11.6549665511864,12.1336921223413,12.6306221742316,12.5447519570983,12.6382690675037,12.7349725793494,12.9882591015933,12.0729255335469,11.8400340840761,13.2610797441051,13.1089726906759,11.7193507621328,12.5661348597342,12.0845075602184,12.5412830906761,12.0900511925099,11.8656466465922,11.5781230583181,11.4933304668837,12.905172019792,12.5266013018679,12.9519101188192,12.6933552566023,12.0866430190434,12.7137544257896,12.1945403112762,12.5988164175316,13.4695896042773,12.346089543971,12.2350724158718,12.9358248941456,12.5427766775093,13.2362711260792,12.4790690266718,12.4288296614096,12.5081519257449,13.1490850601446,12.2748820476867,13.0614079120841,11.9330819629616,12.1478993422604,13.5164375541075,13.3668852536016,12.8382107673682,14.3889440410585,13.2293928677572,11.9471282300306,13.3138616416271,12.3361622661623,12.9237748318246,12.4961836610992,12.4512585399985,12.3254650813914,12.7145847078496,12.7623704035353,11.902984992756,12.2408163379602,13.0530483498967,12.6436819127691,12.9167840928523,12.0203300121145,12.6188833725886,13.3144403690768,13.0200970877371,12.5072296807461,12.1785730535173,12.5959408056816,12.8944525059235,12.6983568338351,12.4771465420881,12.7296340835838,12.6402175567207,13.2072584453317,12.5584029784114,12.0835322299955,11.9348966896273,12.7094695434542,12.3985717624542,11.9844825118888,12.0828966757471,12.5301078573156,12.9291128645534,13.0830356455503,12.9859113983578,12.6502094241689,12.6555207634017,12.6330542787965,12.3491899064086,13.8663794183657,12.6791489868977,13.0392251410487,13.4418003006676,13.3893668188169,12.7769864892487,12.800089972964,13.2000338735123,13.0240087074329,12.9386611922876,12.4282988537535,12.8726819180684,12.7775905184156
"fr9_00",12.9326183270107,12.6784271898224,12.4121641663792,13.3032631353495,12.2704715131941,13.0531383883051,12.495655874734,12.6883523073966,0,12.5156954285633,12.7295345978006,12.5597726360584,12.8395929975663,11.8173116140144,12.1595669110952,13.0638853141169,12.8260989969417,12.6782682081864,13.0757018820823,12.6840952976023,13.3974089886069,13.144777390068,12.5773192160992,12.6853035166022,12.6895867752044,12.9816458897319,12.8885286112304,12.6297776440856,12.810180999953,13.0331385751386,12.4406495370576,13.3309191656367,12.1978566436087,13.5900062648687,12.56372333244,12.1501065452326,12.5395948241771,12.3705230843441,13.0128923244945,12.8527674760084,12.6996109373938,12.8309636016797,13.0891608928576,12.5314744680865,12.9845148656799,12.1217019163498,12.7496739825277,12.5574541549332,12.91508214482,12.8870469757382,13.1405335256218,12.6457018957229,12.5397772148334,12.6018160336466,12.9687429398574,12.4818847651927,12.8433660215529,12.6724459977551,12.9462945390326,12.3204402788195,12.6607270117483,12.66182009684,12.6608014826682,12.5173248077947,12.9366270552033,12.720976318027,12.0994762889423,12.5550658398601,13.2086216768789,12.8331060975248,12.338422947764,12.5706515358246,12.3357189595336,12.7842190181206,12.7661628125892,12.4192985617948,12.6346346300294,12.400839550626,13.2703093882524,12.4862882076726,12.911604420449,12.8157033539306,12.9142336778773,12.2854372001992,13.1588445130871,12.8247550965953,13.4557602514297,12.2953545434941,13.074394983951,12.6014847988095,13.0189066693847,12.8870529342464,12.5452947293154,13.6675199579202,12.887421420741,13.3665251487528,12.9477455550668,13.2090810645135,12.4494649841732,13.0057646754576,13.5348048202499,13.8846065210006,13.511491068006,13.0649148092007,13.8702322269279,12.8120042874604,13.6771767924222,13.0344253711813,12.9746486095493,13.2780722789849,13.0862481556482,12.9354115362738,12.9729061368587,13.5512533631831,12.9436261154615,12.8130330182876,13.5362895248537,13.0588307716614,13.4712006722779,13.0272263903358,12.9818342258354,13.3377954111349,13.0230742881305,13.1419055629628,12.9490174011539,13.26987529663,12.8963063690031,12.9769592191599,12.6131082754344,12.4057042897955,13.0546361395149,13.2273982884406,12.8274908136893,12.8730933787625,13.1415581262793,12.9342573674101,12.8424070894119,12.6903808838245,13.0707683026182,12.837453444446,13.3321427644786,13.2310004752492,13.22627232199,13.0382603948462,13.3687372499879,12.8582943226808,13.0544443989691,13.7297911786091,12.8761239825632,13.0149874615418,13.7386939527126,13.040674800404,13.1925585379909,13.5731304506537,13.2620127203365,12.9439834251429,13.1552165768127,13.0398780745618,13.4854720751888,13.1835128853062
"fr10_00",12.0306994251222,11.8757171535255,11.3623081995727,12.8480488547138,11.470059361301,12.3796698602733,11.9881578456361,11.725723127515,12.5156954285633,0,12.1372470562855,12.0262036050708,12.2753921080658,11.2034629028332,11.5778736396091,12.5418163997721,12.1018817159489,12.2731940807617,12.4874295452609,11.8468852818387,12.8297481217669,12.5412053676088,11.6721292636657,11.7171115670235,11.7482000442391,12.1764489733873,12.1933773031048,11.9960805490168,12.223569118221,12.6411592621559,11.7098494175711,12.7300836943568,11.4852933977464,12.9352286037147,12.092049280003,11.3050643562876,11.6699703600284,12.0499593951112,12.6316984668849,12.4596967871456,12.375303764775,12.3111356472568,12.3215037741421,11.5439565858116,12.3982018518965,11.3820707451599,12.0066882443465,11.6145672938008,12.1636301010222,12.3525386553118,12.6546495565053,12.5202671553915,12.0464282724871,12.0690384554526,12.3928246112121,11.7428300999691,12.441031747772,12.3463432438809,12.4038121748856,11.5369632606722,12.2897572204322,12.4075517018116,12.0918081727005,11.9474095515699,12.6169899371625,12.4144285067706,11.705069470688,12.0185639238473,12.5803441702399,12.550842238311,11.7560653301232,11.872772018345,11.7291271453108,12.4198361984784,12.3858983058574,11.8469876590578,12.0014669709335,11.7236478065569,12.4260876021606,11.9669106852701,12.5427036332514,12.494790318412,12.107009496036,11.896087712765,12.7580094164377,12.169390207611,13.0078933683544,11.9680126897256,12.218310937331,12.5236047273302,12.3554134147271,12.5426801007682,12.0607135543835,12.9431662163113,12.5416091551553,12.8140378891291,12.3635874160194,12.9126165530355,11.7948307247629,12.3509543840054,13.2567588807042,13.3447026575908,13.0054708743045,12.930189226955,13.3912222992966,12.1277566849811,13.2650775827408,12.4342776166739,12.4427732993616,12.7863681606752,12.3056298703325,12.4308259461816,12.416133211318,12.8392281860529,12.273546489348,12.2565558956505,13.1942313192798,12.7009300522102,12.7426038991391,12.4954204182599,12.6186976114696,12.9642810531608,12.6949075999036,12.6189633076428,12.3449835100804,12.5037922779983,12.5192768439782,12.5156771399627,12.0816713551327,12.1315844749837,12.5238936057978,12.8467301154828,12.4260598749128,12.1658066972208,12.3177627563475,12.4004006452981,12.3345455164738,12.1839195767961,12.2451526072539,12.3196429157714,12.7337867590746,12.7121236725039,12.7267667580084,12.4432157405973,12.6960648155451,12.3856368296638,12.3025134673254,13.240298139164,12.3084258977236,12.4298142988987,13.2597556475055,12.8179597665454,12.5932849857468,12.8128755203221,12.8622430808349,12.4973538999293,12.6028458646695,12.3557409194081,12.8454375225338,12.6969071017103
