"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,16.7560274020925,15.819449892905,17.2211730497391,17.7069007085022,16.8183201317661,17.2609629108364,16.7321503576871,17.334162335947,16.9271819716596,17.7864057906666,17.5758217415955,16.7064662467996,17.0783872751419,16.4724554988651,17.4722941726132,17.4390823001975,17.5606757232948,16.8778888583706,17.2571034957099,16.5917881486337,18.0784448075252,16.3229312766881,16.4427878834268,16.9418544128738,15.8846365463352,17.2336455892211,17.5618183389148,16.9815493998242,16.9507879624682,16.5853059348443,16.3471260972493,17.4616334063051,17.0612631869903,18.1770701063744,16.4390504605491,15.7903509368061,17.7008263381095,17.7400044044104,17.0322259921822,16.7059004867847,17.1758601536878,17.4977723029894,16.5611929367468,17.6154665895232,16.5807592375826,16.4178271074001,15.9283921419133,16.7587432174756,16.7473141494444,17.0438389443533,17.6163697180948,17.8322652292402,17.3586626526703,17.7673263106619,16.3651298734345,17.4337702166894,17.4107482365533,17.3001604193099,16.2643598533171,17.5768615122896,17.6239587178637,16.8839059086936,16.5164231788847,17.9740561974813,16.8069118036306,16.7064444104572,17.1141355863796,17.0519579209006,16.9215087603678,16.3159993657457,16.2953479161878,16.7925580748782,16.9997670472437,16.8298501748552,16.9577592848245,16.5314259241917,16.9332956006836,15.9644553491143,16.1198254225088,17.1035749111022,17.7927428167754,16.4818145136658,16.6011798689629,16.9344794877335,16.6226072675723,17.8456826088849,18.2148289340634,16.5539089517353,17.6526009258117,16.7076170375249,16.8315941224451,17.2119825972519,17.4258301364775,17.1778317065214,17.6655655204241,17.2472891625028,17.9016478353213,16.7855878061345,17.4171709116176,16.7874225262458,17.5676005083062,17.722448754611,16.7292263673955,17.3114829670041,17.3032326744577,17.5449254962393,17.731434385264,17.2289126034746,18.5962136633155,16.1345254506796,17.2010334602271,17.2218524727246,16.9232990631143,16.9998676205561,17.5944983489949,18.0381399942148,18.1178249461913,17.6766493897028,17.0342100497954,17.5486648736236,17.3702457508225,18.115532663737,17.9058676491049,16.6143433044893,16.5479675760072,17.8019202142932,16.6695625258248,16.3519542537766,17.4341782904775,17.4048174251565,17.1681024155785,17.6890414419159,16.7868627851971,16.8752123135782,17.3818418160886,16.9530981472214,17.6873144549147,16.8719906062507,17.3667874381003,16.72242796443,17.1907259349943,17.9151498311386,17.1703421178278,17.2380505937475,17.1793215187058,16.6994956604249,17.4949541676139,16.9395782199436,16.8581716383538,17.9039595437464,17.7931806792264,17.4562523039104,17.3081669430167,16.9734790600903,16.4827203498562,16.821842965301,17.4401926205414,17.0275376770354,17.7068766697285
"fr2_00",16.7560274020925,0,15.7840131080275,17.159236652451,17.9330863765792,16.9560603003184,17.1149825038064,17.240810926965,17.214526613588,16.868458546791,17.687793543583,17.5220933114755,16.5946459011882,16.7475004203681,16.2447613378516,17.3215579078758,17.5086160540623,17.4129315127811,16.8802110739614,17.3881196521003,16.3372584652908,18.1057733373597,16.1820012883568,16.171217975581,16.8511587419918,15.8399397444332,17.4204043211408,17.6199742621447,16.9436989382844,16.6406976550306,16.4843971333676,16.3432455321418,17.4201383373782,17.0560740132666,18.33656140229,16.3326933833361,15.6196616053595,17.2521906531514,17.9015595979737,16.9617487615631,16.4826776147139,17.1283588590278,17.6615712645304,17.0041223084018,17.6908573351084,16.9321806585793,16.3505446608979,16.2022139036283,16.9735447104662,16.5889526327762,17.071276938092,17.4978902385317,18.1327941045632,17.3269399052205,18.0320309910313,16.3443102108444,17.4515063736381,17.2313915578641,17.029512891931,16.1954053793149,17.5726308065198,17.5166589384556,16.77005580695,16.1932567791745,17.9368847195446,16.5054495758261,16.5371469221787,17.1761845424073,16.7554383719557,16.7459277240775,16.3890181089906,15.9969158353229,16.6026926480948,16.947390530019,16.9793291192006,17.0404930873203,16.8154638455719,17.1822700847872,15.880031196341,15.9096448077597,16.9091083555851,17.6020838913618,16.6442836443403,16.2118804418887,17.1555862160013,16.4889359624023,17.571412831755,17.9485146200379,16.5915947210534,17.5673074438408,16.7013647643892,16.5592762608603,17.0363798208511,17.7250334087452,17.2166286712384,17.5743061435859,17.296480648456,17.8336268347448,16.7325882098267,17.4975534588733,16.7236297163623,17.5737201190218,17.8336943873605,16.1367003317007,17.4436810679515,17.4179131195132,17.4706648977835,17.7340861423093,17.0400458882745,18.6573727436419,16.0784980097582,17.3278923697079,17.1146403736889,16.9271841166818,17.161659132389,17.5672949848049,18.0834274473778,18.137758591633,17.5277329058112,17.2350984989608,17.5625048168738,17.237377297134,17.995292983763,18.0965474345751,16.7484042513565,16.5479735978234,17.6097229129349,16.6308515602709,16.2356954526418,17.2199873789581,17.3656498388569,17.0406593881406,17.6493378990044,16.9362340790987,17.0709123613601,17.1630335186074,16.97004906221,17.8163066883101,17.0317452583863,17.3209975389453,16.7001486629797,17.006515953361,17.7923521781589,17.1183976652435,17.2395771841013,17.0873502076461,16.6861990254967,17.2756002336902,16.7706855694969,16.65757730777,17.8429915903815,17.4974802414986,17.3381800168937,17.3512237487138,16.8828131119156,16.2851051898255,16.6901042872432,17.4193798734609,17.0679877141423,17.6953576657441
"fr3_00",15.819449892905,15.7840131080275,0,16.3581761721476,17.283378735655,15.9902367188401,16.375635270432,16.4050075099401,16.5659989247023,15.9884369998406,17.0299215157372,16.893593292172,15.5499408643377,15.9054885221046,15.1811379968171,16.5919883872215,16.7447122349111,16.6401213846801,16.0413598075178,16.6347730005308,15.3077549763925,17.7290329330155,15.09582644387,15.3405107361028,15.8603175314381,14.6396308114476,16.7080656149,17.0235828094138,16.1049009273748,15.5924495927235,15.3815576719054,15.3020379790308,16.7483192720099,16.1461273049321,17.9173445807975,15.2396342320516,14.3017605542751,16.4751942741555,17.3738123428836,16.0873642669228,15.6338196010692,16.4010278937128,16.9568704723492,16.2191323609545,16.9817481942133,16.1997452195718,15.3788814875694,15.1131654634163,16.1777548137584,15.4804813166684,16.3065756101882,16.9971906819801,17.6614239436192,16.6973302719616,17.5061773353763,15.4563658723984,16.7908129490627,16.6332658759837,16.2180533486418,15.1669194556939,17.038401268968,16.7334967290806,15.7998469637782,15.1129873350062,17.3945563296004,15.6647208664645,15.6066900617166,16.5634437013994,15.7884653561052,16.1478407496447,15.5478995320491,15.0140803050538,15.7308045750237,16.3022976458495,16.3025422389096,16.2451053647991,16.0193847932432,16.3327796462341,14.7582238273675,14.7680778108626,16.2148814895531,17.0299771822055,15.544293273945,15.1284420533931,16.5700498865347,15.5493126966969,16.8879890454471,17.1738351650361,15.6602148058364,17.0779657936211,15.7757215075961,15.6399022842658,16.1894390958406,17.1736697911943,16.4990702286315,16.9917367907185,16.6102607857271,17.4512596812801,15.9882112792336,16.9381099331976,15.8561377950595,17.0080206639783,17.438737201156,15.0159484696005,16.7440476310537,16.6946313505448,16.9124984227845,17.2275367126407,16.3135811061415,18.5058332296124,15.1838011551091,16.5461854892685,16.4453299910291,16.4355661125744,16.5303927445627,16.8893946410432,17.5761813549475,17.6877795436242,17.1115615604938,16.5843866487385,16.9648859921069,16.4388800985188,17.3570390237009,17.4274469022709,15.8277579304711,15.5702476551225,16.909217846023,15.7647416869691,15.3057958171246,16.2649061752671,16.6534256670518,16.2204693565855,17.0087300550684,16.0858602864116,16.3216869100244,16.5991914262675,16.0985585260265,17.2304065970361,16.2134347200144,16.455644691837,15.8190276513329,16.1802885676707,17.086098022108,16.4010901816169,16.5574269192684,16.2514279545805,15.8528590378791,16.533219636055,15.9236242600957,15.858390263042,17.2800822080543,16.9219354481673,16.6734405287433,16.6807668262787,15.974996590013,15.241447392686,15.6982103793714,16.731624271375,16.2220529251727,17.0424931577603
"fr4_00",17.2211730497391,17.159236652451,16.3581761721476,0,18.1635082678398,16.9097014652228,17.1423852313522,17.703494532824,17.4777674214275,17.4902387650018,17.990880226656,18.004909911386,16.6577724116999,17.2408141337538,16.6607356926052,17.5502994231993,17.733722516235,17.6753897290552,17.1144479551606,17.9248486498516,16.4516171376931,18.2796953776328,16.5699615611593,16.644989254898,17.2517617428987,16.2874334154535,17.9266235755918,17.961758566022,17.2746289592081,16.7554719386567,16.7557562546205,16.1486009866234,18.1296070998624,17.1062366722431,18.5794554325618,16.8041162129829,16.0383606157114,17.4906217163673,18.0904469828622,16.8709106228552,16.798674481248,17.3985200177109,17.9207329155138,17.667373302984,17.9912676546063,17.1372033525278,16.5303167478157,16.5483556574783,17.0432817902193,16.4323866671007,17.3516283866574,17.5975563462393,18.392251423391,17.8066078144868,18.2616850525367,16.865086360144,17.7007428644677,17.4293599766389,17.2692249892169,16.6174885909189,17.8071937211094,17.3461710292847,16.6538935971436,16.3681170390567,18.1559909015389,16.5220880715602,16.6935575478318,17.3058308494563,16.8970089008611,16.881283375506,16.610255648207,16.3230368362467,16.7954761551226,17.2089135405398,17.1802503032878,17.1938359783333,17.0277234132375,17.3231761029936,16.2209904298011,15.9980784417595,17.1577790620253,17.7522511497614,16.9387854523782,16.5045866182277,17.4130595556373,16.8359752263273,17.7015668275113,17.650454796584,16.9206324002259,17.7471321789393,17.045747021626,16.6987757885841,17.234188210439,17.9660513143772,17.5876092643646,17.9259977215471,17.7177331532238,18.1329637690435,17.2847477765972,17.8785005487359,16.6675620235116,17.6681599260816,18.1151835963095,15.9728610948143,17.5355488201568,17.8037196947635,17.5642178145524,18.0320459022829,17.2324289479231,19.0379277441777,16.4242941529204,17.372058367138,17.1977389231847,17.6040408509951,17.5004265109057,17.6545281824415,18.1259476985032,18.4412457719173,17.7339521712613,17.5119418123008,17.8479573095793,17.3222884248171,18.258462478507,18.358581077341,17.0853842426065,16.622523621991,17.8748906529401,16.8738336971484,16.6628624203738,17.3388522037729,17.7062182323304,17.191373021103,17.9051664564827,17.2632951394356,17.5759427136504,17.5429381815426,17.2016905784495,18.1344094164838,17.5274646412236,17.4047194464734,16.9661350630083,17.2187173472446,17.7807647567373,17.4027657471181,17.4820934432003,17.2515028054837,16.9559711761994,17.4692842126733,17.0859677992807,16.89243165703,18.1022063501423,17.5930988004931,17.6658053562055,17.7900379328987,16.9092840952689,16.4636106618097,16.8033713101688,17.7299102770353,17.2496188485912,17.704089525074
"fr5_00",17.7069007085022,17.9330863765792,17.283378735655,18.1635082678398,0,17.6708992316152,17.7302400101732,17.1428229793556,17.9848497044061,17.8231770542119,18.4395256707407,18.3854438129696,17.9071202232146,18.0902317711125,17.4681354131382,18.2735924225153,18.2317402372042,18.3934178768806,17.6555718505664,17.9393521517968,17.7675958527508,18.5099683572491,17.3749902530187,17.8552584772802,17.8229804667279,17.1629498875941,17.9375662089753,18.2096650331472,17.6399014424892,18.2076445826311,17.4029735211652,17.2212944173655,18.1027721086708,18.051110159573,18.1635784353585,17.0885121968837,16.959168471145,18.7323278700469,18.1370614452611,17.7678088407637,17.6461393665433,17.8218266197901,18.1134288888642,17.2571752268267,18.2853513227978,16.9769100901815,17.0324492814545,16.6858554604137,17.2808571149172,17.9600587980386,17.9229699287962,18.3049299085257,18.2228613140347,17.8955559562287,18.1554973402365,17.2155209674046,18.0408482114731,18.2530795039032,18.2790182317824,17.2124164303071,17.9203094068646,17.9330697657697,17.6466727123012,17.444268623582,18.4862304015095,17.473915505191,17.4190330934928,17.2855279638692,18.0715741185316,17.8953554009134,16.8580345575831,17.2907560317978,17.3307131859308,17.8182367438202,17.2600513823869,17.4890341219894,17.3293338241936,17.6646132732169,17.0015839554411,17.0446613480352,17.7299999923856,18.1747584034541,17.6621517185921,17.5272013340611,17.2785617250302,17.7054139750332,18.502563417707,17.7506572563585,17.5069236967614,18.5594580322806,17.8260838176474,17.7520774553703,17.8672474139801,17.9667162618941,17.8681767635053,18.6124495645686,17.9339316706069,18.5025416715479,17.6005063566745,17.9084028552266,17.5734188283064,18.191221037365,18.1185984346972,17.8747691769527,18.0060708980596,17.9680933933428,18.0130755658651,18.1637165417718,17.8668323673045,18.7875459880181,16.8503114129206,17.8812533358636,17.7431245056895,17.7766348217269,17.2612937925506,17.8623913909864,18.3852116051591,18.5168146496719,17.894410541619,17.3931950410379,18.1966621469669,18.2431954266698,18.6777742926804,18.6893087279968,17.3996176646542,17.4709686920774,18.4929396004296,17.5211095088945,17.3180822555468,18.3892298078965,18.1356089512643,18.0280740630971,18.3847916717223,17.6746981406658,17.6430718561389,18.11520644467,17.8308943350475,18.1947837892897,17.7513606413176,18.1719601530658,17.7196806985622,18.0065784476026,18.5456675466709,17.9902781631985,17.9459294511759,17.9910849140205,17.483367980026,18.4211202735474,17.713461868688,17.8358399272817,18.6214168771188,18.3729926370626,18.1907032952729,18.1058944231967,17.9401299020087,17.5190440894561,17.7602910945123,18.1684506273368,17.8220651829295,18.1946870387995
"fr6_00",16.8183201317661,16.9560603003184,15.9902367188401,16.9097014652228,17.6708992316152,0,16.860603296784,16.7732647316488,17.2634271950998,17.0702599975844,17.6945725495497,17.625881543394,16.5444263200182,16.8217399308294,16.2721572304314,17.5524787697312,17.4537952516682,17.6239101361924,16.7609533075643,17.4326430420002,16.4579695104199,17.9219910572817,16.1247494375204,16.4453106869054,16.8484072402186,15.8661704007802,17.2540621599584,17.5447950115438,16.9333882725602,16.7181944857465,16.2827249891753,15.8534994356223,17.5968948593543,16.9003496651713,17.9810626865526,16.2032405388961,15.5868304439215,17.7208134091982,17.6896548733733,16.6434898293977,16.7048110598621,17.0692379766213,17.7431762833394,16.9820011733815,17.7470866218742,16.4723250699305,16.1040666238984,15.6828824329462,16.6491316571736,16.3877259650292,17.1850503799001,17.5487609626498,17.9261297266922,17.344856564701,17.7703548306247,16.4410304072058,17.5126088655747,17.4663977879614,17.3693643386454,16.3241327407849,17.4242117581303,17.199583530978,16.5516281491185,16.1562039125568,18.0947752852776,16.5069176556156,16.3962232369468,16.7787799116631,16.9520128711144,17.1396947095389,16.058047889734,16.3413595535274,16.6257661251209,17.1009622139602,16.545859714515,16.8581530716311,16.5298649771097,16.9844155067901,15.958692644248,15.6646042505646,17.0497723165223,17.5374012775769,16.579701935051,16.2464159361799,16.7944101624342,16.5930627118155,17.7631722871833,17.4211475951976,16.6567989737008,17.7150088362701,16.9226116777178,16.6527072867642,17.0594142882523,17.7333661465089,17.1584000141886,18.0456881494418,17.4752943359716,17.9701874947412,16.9121315764061,17.6140691884433,16.5723590147392,17.7015777511633,17.9326881378173,16.1529647954952,17.3427232444611,17.3750823393942,17.3856883628361,17.9277244627931,17.127041678163,19.069832477777,16.1099225728444,16.9910525872669,17.0849330087121,17.5464133540537,17.0257944862942,17.381727866197,18.0654185903899,18.263773862372,17.5323511338578,16.8484185707295,17.6580667651915,17.385288309605,18.0533357461075,18.0757508023198,16.640115012911,16.4608852251273,17.8219856758353,16.5580015667461,16.3898666615521,17.1630129169075,17.5559184802415,17.171685979678,17.7215139903227,16.9215200685858,17.1448585899208,17.4012026679517,16.9364928816546,17.7610252536349,17.1832999889144,17.2862654007239,16.8067685411454,17.2553951469474,17.9387212437089,17.2592947158563,17.285992182323,17.0011129450281,16.7350167200539,17.6542301261117,16.9290287224802,16.9739212506457,18.1304527197588,17.7037565101515,17.4994961317222,17.7255428178725,16.875070027599,16.2565597561413,16.7920901903934,17.5640497263362,17.0624940814314,17.60551968237
"fr7_00",17.2609629108364,17.1149825038064,16.375635270432,17.1423852313522,17.7302400101732,16.860603296784,0,17.4130161358453,16.9520772470647,17.1261343058123,17.6552358406083,17.4508681180962,16.4238685786204,16.7124413472057,16.24196095396,17.3774747015448,17.6759969126584,17.3048983275918,16.7898130389081,17.4579256898052,16.2993763609723,17.8719851056644,16.2467014115376,16.9153861626338,17.1972746086691,16.1116441146788,17.3358186538951,17.3620071404688,16.7312379014567,16.0763689608389,16.2541141093455,15.9174534480062,17.3425328679662,16.9771400438177,17.709748668142,16.1457318182986,15.4108438333231,16.6868058967354,17.5042536011013,16.7808867372143,16.3908444598619,16.9796856348981,17.8988396500093,17.4305612421903,17.6960311556252,16.6756064610469,16.1450560687779,16.2851750243177,16.886999632069,16.0183185111389,17.2114501569229,16.9492479435492,17.9946835776958,16.9087580505597,18.0472319893633,16.158292783244,17.2233605160835,17.1227535040246,17.0133656162023,16.4304064710547,17.3013315701908,16.8156885923722,16.1563784824796,15.6418293630369,17.6804194942279,16.1464692956291,16.1587675878893,16.4778749242398,16.5539102180992,16.627064028054,15.8806071705515,16.0144085250594,16.287588056775,16.9236773687614,16.5427502018579,16.6823013287432,17.0347107189243,17.1617041949106,15.8963216395057,15.3897795997097,16.4457391570187,17.0469529856877,17.056723891639,15.7491056226169,16.7744218635455,16.3118397228517,17.0483238248339,16.6766920151325,16.6804608259601,16.9973187475317,16.9735236181051,16.1344101349606,16.6311694569466,17.8582543870798,16.9861103449149,17.5923346503484,17.4128594230651,17.3248003687411,16.6350526343037,17.4484035186729,16.5213147861683,17.4874494130812,17.4453794300068,15.1757187829913,17.3772171267772,17.2189915237697,17.0281831408087,17.6198089488771,16.4127542191375,18.4707200160557,16.0367488549199,16.9475995017731,16.5376877597228,17.2605710734615,16.9214794547977,16.9915832076091,17.791671097842,17.7302498984516,16.979749122514,16.8012094235812,17.3836258253047,17.1167186125191,17.6112266577251,18.0658136751685,16.8699901322771,16.6987571851368,17.3477690552416,16.4918070408786,16.1577974635684,16.6953668423825,17.3648808931144,16.9436117535152,17.4134093681963,17.053324895787,17.524964786832,17.0159178923172,16.9566873828606,17.6125798032014,17.3521114698891,17.1818209560679,16.8411998391923,17.032612307513,17.5407558980677,17.0227980618286,17.3522276225166,16.9248870595004,16.7975125648832,17.0683004191143,16.6344001896497,16.3966987229433,17.7191821484162,17.0362593428145,17.3255123413518,17.6394160975174,16.862075298979,16.0870316871693,16.9335760803199,17.4491102479601,17.1165842803492,17.2989567474821
"fr8_00",16.7321503576871,17.240810926965,16.4050075099401,17.703494532824,17.1428229793556,16.7732647316488,17.4130161358453,0,17.3798851541263,17.0501791264197,17.7948995987608,17.6757439935349,17.400738491216,17.3696010902419,16.8321558801946,17.9505050535811,17.493658881271,17.9741172610214,16.8203835122862,16.9916242241643,17.2727041138171,17.8691229057475,16.6647474393129,17.2195998732285,17.0703381268486,16.4178318428729,16.9622794810675,17.58990922936,17.0149975260364,18.0127950293848,16.6206743726084,16.6393291958314,17.1031171039257,17.4199610827225,17.5169446320376,16.2960706673129,16.4011321511987,18.6856615821536,17.3974681260651,17.2809116602486,17.138941561027,17.2149352276347,17.6230574409729,16.1236680841767,17.5848480527384,16.1812150675848,16.3683637920987,15.5317692611762,16.5322404861768,17.6423515264913,17.1785875379697,17.9574569724021,17.4757601842086,17.2472056038949,17.215289543572,16.5658487062344,17.4208312608043,17.7461228183499,17.9084941933024,16.3649072253896,17.291557944917,17.6072800964522,17.3937422975064,17.0001155208634,18.1361330609636,17.2142852979096,16.9307786122029,16.7192861657281,17.8233472935504,17.7406188886097,16.2470275266888,16.9204614225844,17.0161065182075,17.2050341368992,16.3547088688461,16.9419709947247,16.2531640632833,16.9543651667797,16.4049961191017,16.582646526425,17.4049963388662,17.7552409775047,16.8695486414447,17.2175091443696,16.2268745482152,17.0970908395323,18.3168965848995,18.15750255276,16.7721795715887,18.1578393322592,17.1156938433805,17.4226273720352,17.3896050024606,17.1635355904072,17.0304475323433,18.2218840715157,17.2480385751757,17.964590417415,16.8440457297266,17.1935029077335,17.0249430506762,17.7656514486067,17.5355571871334,17.9942486126382,17.3744955878031,17.0696719352221,17.540288203605,17.7257795968727,17.5532304198435,18.2871386126019,16.140179339588,17.1168575589468,17.3654000946123,16.917032769577,16.5162642904963,17.4124339281551,17.8976339137182,17.9464521742038,17.5137864290131,16.3246479372712,17.64422665861,17.8814608851269,18.2739712280655,18.0600702031928,16.5597371666034,16.8536882370988,18.0567569905445,16.827153085698,16.6326788298383,17.9969727726748,17.5184450832802,17.6187792795353,17.7925146892205,16.8463063309009,16.5443094999868,17.593678465664,17.1125598474803,17.4971952611984,16.9155523219934,17.6056545962526,17.0806039935218,17.6626907988699,18.363214030712,17.4489457227044,17.3608986240343,17.3870495854706,16.9449916786891,18.2121407170542,17.2508139896328,17.5210982850692,18.2408593190394,18.2126129040357,17.6893907414526,17.4865464104585,17.4584221218804,16.9986785450798,17.3167814704151,17.5917569198786,17.2506007273469,17.7900013330435
"fr9_00",17.334162335947,17.214526613588,16.5659989247023,17.4777674214275,17.9848497044061,17.2634271950998,16.9520772470647,17.3798851541263,0,17.2631311498123,17.825036001915,17.6042425542291,16.9151936812681,17.1220332421505,16.4827636072353,17.4987193496967,17.8585320158182,17.4340113184788,16.9304649346362,17.5283286353407,16.6378971287791,18.2469423978298,16.6645958830402,16.9666777233614,17.4087707094516,16.3232652334484,17.5269984105948,17.6606701375932,16.950412268293,16.6947320037635,16.6823754229749,16.5291312994881,17.4967558136074,17.3669287793178,17.9385309010675,16.4493168944623,16.0001235195218,17.1782444542032,17.5559141451454,17.0413764106334,16.4268310419422,17.1880286297106,17.917160483885,17.3154770148847,17.7755075471659,17.0220082781417,16.5414380908273,16.6777517830126,17.1914179359011,16.8978405686403,17.1457185689522,17.171497249291,18.0035955899962,17.1898023989341,18.0180893247116,16.5137589108631,17.2158472453491,17.116327105412,17.2172868242854,16.50779500475,17.3143475289035,17.0767400264147,16.8310823786848,16.3196420554366,17.6940677220158,16.3116709222085,16.4250241725726,16.8958022851934,17.0188446484687,16.685728836699,16.3553355365214,16.1840810721503,16.5572821897378,16.8835384636177,16.6889820992283,16.9404284023763,16.9477139310541,17.3091298084102,16.1409093885295,16.0137339160525,16.7340914658926,17.3548762978788,17.1505649195291,16.2092524566901,16.8619179842188,16.7079767876047,17.5532989786378,17.4875665441866,16.993092755013,17.2704241613004,16.9777253403306,16.4415475624513,16.8720156987808,17.777040412184,16.9990832907761,17.6915604487949,17.3293866332438,17.5274964099659,16.7937074937479,17.4679829421842,16.5949332283439,17.5884531552413,17.5733348509173,15.9994567145286,17.4569119305707,17.4159642610957,17.3045349902867,17.7034599477414,16.9022960744817,18.4189005311421,16.187798153632,17.2776434794598,16.9232218697978,17.0243929951031,16.9856030240853,17.3351061728184,17.7789664478642,17.7552884039058,17.4039485179669,16.9894531742615,17.4246330604144,17.238873608087,17.7826981510491,18.1740759695212,16.8482579098897,16.9012162124204,17.4781561064399,16.647507505385,16.2876058136707,17.1488018692324,17.3456053221809,17.024131333615,17.5034389725507,17.1627992364461,17.3089166307742,17.1988166281737,17.0359331501475,17.712383164533,17.3487668441987,17.3806023119759,16.9064694264023,17.117071871305,17.8282878188235,17.1989344354499,17.4340205631197,17.1010090710351,16.9728348965873,17.3364939679959,16.8216598945233,16.7461926671109,17.8298700557168,17.2169030314409,17.4705791351894,17.5337977765735,16.9343186441549,16.3783046154481,16.9196362907196,17.5598612563297,17.2716407207074,17.5798073301185
"fr10_00",16.9271819716596,16.868458546791,15.9884369998406,17.4902387650018,17.8231770542119,17.0702599975844,17.1261343058123,17.0501791264197,17.2631311498123,0,17.8460431312398,17.5873047112107,16.9202309469339,16.8614679830848,16.4022401669145,17.5328422237967,17.6649164072246,17.614536061408,16.8846926811481,17.3211145178057,16.5842807464469,18.2543312745289,16.2162607677642,16.1817986850489,16.9988196403169,15.9983652496251,17.4177757545684,17.5979050514707,16.99612948557,16.8433757911882,16.5588919067563,16.5426819465863,17.3895425308965,17.2999963534168,18.2413141977841,16.2547625065255,15.6804154991825,17.4998655791776,17.8178333955254,17.1550651598511,16.5846311646265,17.1869882037547,17.7549395828652,16.9512412846994,17.8190144991646,16.8689668264945,16.3176941682283,16.3699484728619,17.0955132660314,16.9439348402382,17.167235655828,17.6765192098178,18.2393231478685,17.3681819534857,18.0771912325237,16.3857423896957,17.3843055021408,17.3126207218284,17.2751294730755,16.2426459056893,17.558223429824,17.4703481994833,16.8558275118735,16.2843258034933,18.0325123659666,16.5450365846515,16.6021764199,17.0805449353013,17.0050151518944,16.9277470945569,16.3856054227487,15.9832776677572,16.5798708849037,17.0193484040889,16.9038061059559,16.940449674809,16.8398271659189,17.1894606353469,15.7887425571991,16.0877253952081,16.9671734343581,17.6010247020187,16.8017407285979,16.3582195604356,17.043841334776,16.5607001478511,17.7635153579277,17.8248124160113,16.7157008872262,17.8096583747297,16.8382737594217,16.6727948008511,16.9960019747089,17.7441654600813,17.1896667993352,17.7523322676134,17.3566244364452,17.9276462808734,16.7763711995952,17.4470468634026,16.7758054933199,17.6780028897754,17.7545461049418,16.3948320879265,17.5632142942509,17.3683214362471,17.5687830499898,17.7977828963183,17.0468669845391,18.5508895225679,15.9662390531046,17.3981344597913,17.0387847250165,16.8748566427218,16.9950527866203,17.5377864085464,18.0910406919495,18.0927599479349,17.3093914510188,17.0937036798638,17.6755470640506,17.4372873856766,17.9849858928307,18.2178588951117,16.8032100966299,16.6397015273131,17.6751457375758,16.6883612903091,16.2287591090081,17.4728795414242,17.414516444508,17.1949589827351,17.7156181898884,17.0026924677232,16.972663602913,17.1876910364588,17.0978086834131,17.828685786579,17.0989105055403,17.4507703171618,16.847577802314,17.2030975112859,17.9987353435867,17.1882005457549,17.335453191649,17.1490750129521,16.8139468517332,17.4238704124896,16.8420499253363,16.7778995007067,18.002786011841,17.5884550746167,17.4523814864722,17.4175979551102,17.067960784447,16.4358568081431,16.8750792769279,17.4824018028938,17.2352568247336,17.8007929671679
