"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,10.7361168397597,10.7519783805184,10.5937162971088,10.6820979754868,10.1523685998081,10.3929377869785,10.5067641009762,10.6432270012105,10.7182534972145,10.7142096761816,11.3716501778603
"fo2000",10.7361168397597,0,10.8618976676279,10.7668656061204,10.8067951026186,10.313219960816,10.5512653665134,10.6600138346726,10.8315771965681,10.8835520867659,10.9412768141502,11.5171063478267
"na2000",10.7519783805184,10.8618976676279,0,10.770107914614,10.8285916730916,10.3485580904056,10.5691669401886,10.6846795119219,10.8434055450254,10.8896742042272,10.9595997771491,11.4989115051256
"fr2001",10.5937162971088,10.7668656061204,10.770107914614,0,10.6912313540078,10.1760796604675,10.4259817765534,10.5311563971761,10.6801015743195,10.757653265627,10.7938522527186,11.3702776648461
"fo2001",10.6820979754868,10.8067951026186,10.8285916730916,10.6912313540078,0,10.258319273458,10.4798354135856,10.5806077562734,10.7448401372244,10.8100920068203,10.8591600760278,11.4437525664483
"na2001",10.1523685998081,10.313219960816,10.3485580904056,10.1760796604675,10.258319273458,0,9.95312677245098,10.0152576380641,10.2562361430558,10.3056403699701,10.3349129446765,11.0585975194653
"fr2002",10.3929377869785,10.5512653665134,10.5691669401886,10.4259817765534,10.4798354135856,9.95312677245098,0,10.2972918138169,10.4560478613881,10.5245216788373,10.5880170114659,11.2197975675054
"fo2002",10.5067641009762,10.6600138346726,10.6846795119219,10.5311563971761,10.5806077562734,10.0152576380641,10.2972918138169,0,10.5721799260387,10.6396192026151,10.678241534797,11.3283442108341
"na2002",10.6432270012105,10.8315771965681,10.8434055450254,10.6801015743195,10.7448401372244,10.2562361430558,10.4560478613881,10.5721799260387,0,10.8114911739092,10.8400458247313,11.4342323347712
"fr2003",10.7182534972145,10.8835520867659,10.8896742042272,10.757653265627,10.8100920068203,10.3056403699701,10.5245216788373,10.6396192026151,10.8114911739092,0,10.862373805272,11.4925644601346
"fo2003",10.7142096761816,10.9412768141502,10.9595997771491,10.7938522527186,10.8591600760278,10.3349129446765,10.5880170114659,10.678241534797,10.8400458247313,10.862373805272,0,11.5409797438115
"na2003",11.3716501778603,11.5171063478267,11.4989115051256,11.3702776648461,11.4437525664483,11.0585975194653,11.2197975675054,11.3283442108341,11.4342323347712,11.4925644601346,11.5409797438115,0
