"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,4.92314491789189,6.59235721749892,1.12873874072069,66,-1.47882963469585,0.066,999
"fr2_00",16,7.3553002890447,9.07370912356217,1.12219452707347,71,-1.53129318764265,0.071,999
"fr3_00",19,7.4435661862241,9.21559212812728,1.13007212244852,58,-1.56806446836663,0.058,999
"fr4_00",20,6.9869610453331,8.83905662070404,1.08489391216057,44,-1.70716745168427,0.044,999
"fr5_00",12,6.57746409967205,8.96955188834471,1.22155253808626,28,-1.95823569931771,0.028,999
"fr6_00",17,5.42561897951984,8.45037472090164,1.29466900453146,7,-2.33631586976663,0.007,999
"fr7_00",9,3.87828952078214,5.46070353440205,1.0795508908215,66,-1.46580770492047,0.066,999
"fr8_00",16,4.49686525973935,8.12402636236931,1.35149747989314,3,-2.68380900193521,0.003,999
"fr9_00",26,9.14837968579335,9.52763489483176,1.02497610551472,365,-0.370013707634637,0.365,999
"fr10_00",17,7.91838685556781,8.7498792272421,1.17349281322276,261,-0.708561963315957,0.261,999
"fo1_00",21,8.47078081440923,9.80176768626909,0.945367387081577,81,-1.40790436612026,0.081,999
"fo2_00",20,8.91788610253045,10.0108763102528,0.884142869656922,122,-1.23621446853547,0.122,999
"fo3_00",15,2.25127963972228,2.11062043173849,0.385244083523933,649,0.365117114056971,0.649,999
"fo4_00",9,7.87902846741847,8.93899282325916,1.29161274304768,225,-0.820651825824826,0.225,999
"fo5_00",25,9.31405732769767,9.95381642027709,0.878074121186039,237,-0.72859349472147,0.237,999
"fo6_00",21,8.4940152010425,9.26031125422805,1.1219598633771,261,-0.682997741896927,0.261,999
"fo7_00",20,8.70930521594789,9.6525231347864,0.943385539352317,162,-0.999822320242552,0.162,999
"fo8_00",24,6.54697371388893,7.97391286258979,1.11659256719784,99,-1.27794075531225,0.099,999
"fo9_00",19,7.64701271610584,9.45733687059511,1.08670575059949,57,-1.66588255697606,0.057,999
"fo10_00",23,8.54803101116016,9.70361508679381,0.91784343149194,110,-1.25902091357265,0.11,999
"bc1_00",18,9.49306044213975,9.27001784859331,1.07949710662577,588,0.206617129566575,0.588,999
"bc2_00",17,2.88729251903653,4.35744931763158,0.790197152966545,25,-1.8604936667714,0.025,999
"bc3_00",17,8.3915741627547,9.50523629445357,1.03472047519275,151,-1.07629273644307,0.151,999
"bc4_00",5,6.67147211293884,6.06664389922404,1.25035567113773,685,0.483724933373924,0.685,999
"bc5_00",14,6.60791369428428,6.52861602147851,1.07931241651755,543,0.0734705462405604,0.543,999
