"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,8.63584029018139,11.0382003413955,1.73493003294118,70,-1.38470140328453,0.07,999
"fr2_00",16,12.8901042762711,15.2034227656147,1.80215522842731,110,-1.28363997332373,0.11,999
"fr3_00",19,11.1905299918697,15.4012022655658,1.83126365585017,9,-2.29932607478158,0.009,999
"fr4_00",20,12.1601986586815,14.9842285559523,1.73962405411052,49,-1.62335643186695,0.049,999
"fr5_00",12,12.8018162419645,15.0979927310494,1.89371756091325,138,-1.21252320645829,0.138,999
"fr6_00",17,9.74655044280807,13.9673776193666,2.10438874739937,22,-2.00572597709176,0.022,999
"fr7_00",9,6.8167057525209,9.12203984845935,1.69470665008933,82,-1.36031453928438,0.082,999
"fr8_00",16,9.42672248637654,13.4853135623763,2.25050050559756,36,-1.80341709140036,0.036,999
"fr9_00",26,13.5286048714423,16.120005102599,1.64484427842296,76,-1.57546842892704,0.076,999
"fr10_00",17,12.2025861288192,14.7412905073385,1.7722549702508,68,-1.43247129850625,0.068,999
"fo1_00",21,15.5138704385117,16.3805083320999,1.40036044588672,281,-0.618867732328351,0.281,999
"fo2_00",20,14.8383710117571,16.7585693065201,1.38538852083198,108,-1.38603595012454,0.108,999
"fo3_00",15,5.05177965280755,3.6076877761363,0.641791425380086,988,2.25009531066268,0.988,999
"fo4_00",9,12.6706264854226,14.9771369898974,2.02862603511179,158,-1.13698161442935,0.158,999
"fo5_00",25,12.1268836441202,16.6418906841125,1.39008542236445,1,-3.2480068975276,0.001,999
"fo6_00",21,17.6496288551728,15.6141907163476,1.73698940762794,847,1.17181954586863,0.847,999
"fo7_00",20,14.6085191801696,16.2142081394352,1.51475203865364,165,-1.06003419588907,0.165,999
"fo8_00",24,11.3562093198499,13.3630259842481,1.81377835490707,147,-1.10642883071619,0.147,999
"fo9_00",19,14.0200859826684,15.6816346783389,1.66878174453842,171,-0.995665671145113,0.171,999
"fo10_00",23,18.2942681853837,16.3482836311751,1.41033919205846,917,1.37979896266538,0.917,999
"bc1_00",18,12.9347235833149,15.6536930490475,1.60199220709031,50,-1.69724262933279,0.05,999
"bc2_00",17,5.83226787490966,7.40218291480689,1.20699946307325,81,-1.30067583949038,0.081,999
"bc3_00",17,12.3461141159026,16.1111567652503,1.66867260524777,18,-2.25630997806706,0.018,999
"bc4_00",5,8.59117256069256,10.3867173117133,2.02552153480868,201,-0.886460459770122,0.201,999
"bc5_00",14,8.87647814050894,10.9451231630015,1.78255282309144,117,-1.1604957764477,0.117,999
"bc6_00",17,12.1149391350699,15.8208455327244,1.60092630218336,12,-2.31485134112693,0.012,999
"bc7_00",22,13.959468517521,16.0491203506017,1.55324882669196,97,-1.34534261167357,0.097,999
"bc8_00",16,15.5659405291396,16.5957196655245,1.46426934585422,248,-0.703271661938759,0.248,999
"bc9_00",22,7.68025669565182,9.42939897011546,1.43306234582597,93,-1.22056258023826,0.093,999
"bc10_00",12,6.94292843322518,9.51321659534434,1.65198621686092,43,-1.55587748607442,0.043,999
"na1_00",17,10.3471855542358,14.5159571891742,2.11181550738177,17,-1.97402264561776,0.017,999
"na2_00",14,9.7642193788083,13.3029215134876,1.6644928538049,10,-2.12599418891469,0.01,999
"na3_00",11,13.81257038083,15.3732211545877,1.86159027832215,237,-0.838342782475354,0.237,999
"na4_00",11,9.49507755120459,12.0994500596977,1.71308137603943,60,-1.52028534366204,0.06,999
"na5_00",18,8.41547017756522,10.421079871333,2.16502180203634,181,-0.926369282693292,0.181,999
"na6_00",14,10.2689073296062,13.7509010943735,1.89563280832979,24,-1.83685033803316,0.024,999
"na7_00",14,12.3065828523688,15.7746759246137,1.71658598430308,30,-2.02034334659494,0.03,999
"na8_00",16,13.3841625331626,16.0611033198188,1.63761673466798,64,-1.63465646752742,0.064,999
"na9_00",28,7.74452851514347,9.54497292744621,1.29114903837703,54,-1.39445126688542,0.054,999
"na10_00",18,12.1241405181735,15.414338910864,1.77213463435877,34,-1.85663003752588,0.034,999
"fr1_01",20,12.7488505218696,15.8865708940287,1.73747408380705,37,-1.80590916515077,0.037,999
"fr2_01",22,10.1701771334602,12.5792948639763,1.6829110717231,66,-1.43151814198325,0.066,999
"fr3_01",19,10.7777858118193,11.1015985998222,1.40213243038741,464,-0.230943084251633,0.464,999
"fr4_01",10,11.8010085174028,13.9039667533174,1.90182441930532,143,-1.10575835212108,0.143,999
"fr5_01",29,10.265275191805,13.3945055941809,1.73091620700999,29,-1.80784626644715,0.029,999
"fr6_01",10,10.3988337024092,13.3684841692216,2.28169511270993,88,-1.30151064016846,0.088,999
"fr7_01",14,8.29922113242716,9.91343768389751,1.47108875366181,128,-1.09729378832669,0.128,999
"fr8_01",12,6.82081978843285,8.77864242133697,1.35935953479922,59,-1.44025372448158,0.059,999
"fr9_01",17,8.58770283201423,10.4121034606571,1.7807446178701,160,-1.02451559327187,0.16,999
"fr10_01",6,4.49714501438862,4.96614720326737,1.06477324499265,344,-0.440471425333364,0.344,999
"fo1_01",22,12.990180749872,15.0763096304585,1.60282420877335,95,-1.30153317448517,0.095,999
"fo2_01",12,16.5866513511555,13.4295536485801,2.29037972997109,906,1.37841671460096,0.906,999
"fo3_01",18,12.3135746499699,14.0615468170366,2.05413101725014,229,-0.85095456540388,0.229,999
"fo4_01",22,13.608732803477,10.1775828030871,1.90745971044366,975,1.7988060149338,0.975,999
"fo5_01",27,11.580608654734,13.7175430786124,1.57965350786601,72,-1.35278680624409,0.072,999
"fo6_01",16,11.3392216136664,14.1055764890656,2.09563118603679,96,-1.32005807788672,0.096,999
"fo7_01",18,12.0416592209193,13.8263324785778,2.16358348108137,216,-0.824869145685328,0.216,999
"fo8_01",17,13.7718107961769,15.1277761308857,1.86435825985286,264,-0.727309425397567,0.264,999
"fo9_01",23,13.1414870930618,14.8074955524825,1.64816162903428,165,-1.01082832537296,0.165,999
"fo10_01",17,11.2968498167571,12.6426474117764,1.82297590402217,236,-0.738242119410316,0.236,999
"bc1_01",23,12.1241659067021,14.5752248443528,1.77002541005333,80,-1.38475918126893,0.08,999
"bc2_01",9,11.769960428235,15.0305992202513,1.96877670456832,52,-1.65617501692825,0.052,999
"bc3_01",9,12.3377859288041,15.0618382352903,2.06797600576385,121,-1.31725527708918,0.121,999
"bc4_01",11,11.5574422936737,14.4842898464913,2.05913423508915,96,-1.42139715951589,0.096,999
"bc5_01",20,13.4229290414277,15.4208737337231,1.81850543262978,157,-1.09867403002813,0.157,999
"bc6_01",18,10.6076355688314,14.0767279929571,2.04859170031341,39,-1.69340353355669,0.039,999
"bc7_01",17,12.7958919825767,16.0373852931859,1.61748767869975,27,-2.0040296771935,0.027,999
"bc8_01",13,12.1195595103585,14.6833386842456,2.07418957901494,127,-1.23603898111605,0.127,999
"bc9_01",19,10.5023062977936,15.3339674492099,1.72391481304893,3,-2.80272616421861,0.003,999
"bc10_01",9,13.1440105636625,15.8759216983955,1.80955533623399,96,-1.50971406070326,0.096,999
"na1_01",8,10.2826893509112,13.2758642201586,2.51098608038098,114,-1.19203164550929,0.114,999
"na2_01",12,11.024743129582,14.1057246651535,2.15257656774977,77,-1.4312993933555,0.077,999
"na3_01",13,11.2385779409003,14.2600604652073,2.01294599249179,67,-1.50102513210836,0.067,999
"na4_01",13,12.8508022897771,15.9233581303337,1.78446248184917,62,-1.72183829685936,0.062,999
"na5_01",20,12.5660303959013,16.0618051736924,1.6684691408281,12,-2.09519894150163,0.012,999
"na6_01",8,11.3847464648984,14.777163997043,2.14453967833393,70,-1.58188611123303,0.07,999
"na7_01",12,8.87307765019365,11.2366932889949,1.82245508015225,80,-1.29694040996819,0.08,999
"na8_01",9,11.4567427998967,13.8269160784085,2.36123849106239,170,-1.00378394113225,0.17,999
"na9_01",13,11.036163024105,14.7152486002834,1.85495838629711,19,-1.98337903607782,0.019,999
"na10_01",16,11.87015587298,15.7806927278382,1.78513336291106,20,-2.19061328195739,0.02,999
"fr1_02",18,12.3197835686383,14.9548098594334,1.79682071730526,75,-1.46649371604916,0.075,999
"fr2_02",18,12.1958225637051,14.1781138785754,2.14347416651726,186,-0.924802988454572,0.186,999
"fr3_02",9,10.8335561765452,13.6495647941723,2.23648071479745,109,-1.25912492738939,0.109,999
"fr4_02",6,6.03640334137361,10.5018311599301,2.07901816311606,10,-2.14785416394039,0.01,999
"fr5_02",14,11.0092903521373,13.455706007086,2.29090420091538,150,-1.06788212879925,0.15,999
"fr6_02",14,13.5974548311586,16.5422773858126,1.44948463455808,30,-2.03163419911089,0.03,999
"fr7_02",11,7.18015764691669,7.43729040103824,1.1754428173625,441,-0.218753945596868,0.441,999
"fr8_02",7,4.57650363555676,4.72823701135134,1.01382941258787,511,-0.149663615900903,0.511,999
"fr9_02",17,6.96293872578371,8.00546506077388,1.21702260040563,205,-0.856620357454907,0.205,999
"fr10_02",6,4.34250324882351,4.53004403589744,0.965388508761788,475,-0.194264573663167,0.475,999
"fo1_02",16,8.46225043314227,8.98501784271218,1.5315144378031,417,-0.341340177190754,0.417,999
"fo2_02",16,16.2548184383998,13.81632009988,2.40960455679351,808,1.01199108859786,0.808,999
"fo3_02",16,13.1227081614526,13.6354256131411,2.12314831042834,454,-0.241489230483872,0.454,999
"fo4_02",15,6.53734927865352,4.46972435371783,1.11144238627772,989,1.86030778604753,0.989,999
"fo5_02",22,8.53507302798717,9.99873254329264,1.47114155248934,153,-0.994914128303147,0.153,999
"fo6_02",19,9.89601326107354,9.94056561395018,1.34114339789688,542,-0.0332196787804406,0.542,999
"fo7_02",18,10.1192573033479,11.1708975166973,1.74385380297079,298,-0.603055262750756,0.298,999
"fo8_02",16,12.489674007361,12.755900897652,1.71293626172123,491,-0.155421364028734,0.491,999
"fo9_02",16,11.7480297406934,12.2003749530691,1.63261019541208,431,-0.27706871710523,0.431,999
"fo10_02",20,12.6992941745008,14.1843408562282,1.78083079315127,223,-0.833906672907134,0.223,999
"bc1_02",14,2.92784432318221,4.04555216018295,0.878654915634316,82,-1.27206690261767,0.082,999
"bc2_02",19,4.17834987697551,5.51850283420779,1.14615669969688,102,-1.16925805833243,0.102,999
"bc3_02",11,6.76301379809745,9.38478425908263,2.29690228422914,119,-1.14143752609183,0.119,999
"bc4_02",7,9.41184709846055,11.8136743694087,2.83084582740949,208,-0.848448632452058,0.208,999
"bc5_02",21,6.07708575709615,8.09087301380131,1.44907559648546,64,-1.3897047618422,0.064,999
"bc6_02",17,7.11527146062873,9.47067847866482,1.4514632161471,28,-1.62278106109261,0.028,999
"bc7_02",15,9.2686392598902,11.2499094020456,1.73570726142381,123,-1.1414771293462,0.123,999
"bc8_02",14,4.69615173827196,6.17746872188074,1.37024494667949,130,-1.08105998653631,0.13,999
"bc9_02",15,6.62491832701249,8.64273942585798,1.58783884209142,82,-1.27079716489849,0.082,999
"bc10_02",12,14.6745736118601,15.2715619562459,1.88252708423129,387,-0.317120720007896,0.387,999
"na1_02",15,5.61375076124995,7.68985707917576,1.37973689199855,46,-1.50471175335362,0.046,999
"na2_02",14,4.56104671613915,6.10696411860007,1.07670100142055,58,-1.43579080953886,0.058,999
"na3_02",11,7.42515858865925,11.8791754977573,2.54327833811245,42,-1.75128960222409,0.042,999
"na4_02",11,13.9216429877625,15.8348651729305,1.69863813054591,149,-1.12632711509496,0.149,999
"na5_02",15,3.24306806936751,4.13751661089093,1.04760940944309,179,-0.853799644658515,0.179,999
"na6_02",19,10.5079810705251,13.562361584655,2.03966195716158,60,-1.49749349562824,0.06,999
"na7_02",15,5.44594596339007,6.68154951167544,1.50279694696771,206,-0.822202594155203,0.206,999
"na8_02",15,11.2062728205265,12.1957028520452,2.11378493279398,362,-0.468084532238025,0.362,999
"na9_02",12,5.40658968982792,6.56959695793012,1.2141208626792,164,-0.957900736122593,0.164,999
"na10_02",12,9.39848905131467,12.3132068361223,1.87212508258843,48,-1.55690333510072,0.048,999
"fr1_03",21,13.9882474765736,16.5454163922186,1.5094834361627,63,-1.69406888103766,0.063,999
"fr2_03",27,10.9567310185911,16.0361205687655,1.65351613041845,2,-3.07187178687452,0.002,999
"fr3_03",20,14.3976365844878,16.8600218527712,1.3164324966646,37,-1.87049869592423,0.037,999
"fr4_03",26,14.4351765900275,16.6890725651689,1.39984599587417,64,-1.61010281258395,0.064,999
"fr5_03",22,12.6265582635478,16.2148331533456,1.557854114894,16,-2.30334461711903,0.016,999
"fr6_03",25,11.3079185474677,15.1162254399483,1.64847177607098,9,-2.31020448621659,0.009,999
"fr7_03",29,12.0737368831575,16.1409323106176,1.61718962478064,3,-2.5149774430514,0.003,999
"fr8_03",27,14.0393513896891,17.0976582438875,1.2066224934605,8,-2.53460122844829,0.008,999
"fr9_03",23,11.18254212968,16.0925343642896,1.59366818095063,2,-3.08093760878169,0.002,999
"fr10_03",13,11.1421065544479,14.6352499472543,2.09873989169978,43,-1.66440034166278,0.043,999
"fo1_03",32,16.1247151654214,17.4994151549221,1.04356634415166,117,-1.31730962502261,0.117,999
"fo2_03",27,14.4591585249921,16.6267352937428,1.49404424740831,97,-1.45081162924778,0.097,999
"fo3_03",33,14.8573992895258,16.7592530695568,1.39082193828832,107,-1.36743153647093,0.107,999
"fo4_03",24,6.23310090959216,4.45410775125591,0.783177710875295,981,2.27150636903086,0.981,999
