"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,6.12939107826592,9.69513566520349,1.23851896913847,1,-2.87903913931811,0.001,999
"fo2000",62,9.0283949627357,10.0984469328443,1.23359256841865,223,-0.867427380403525,0.223,999
"na2000",66,7.46933649124654,9.55997046043669,1.35044014422047,53,-1.5481130194015,0.053,999
"fr2001",56,5.6314840444337,8.22122254378251,1.23088821437333,12,-2.10395913220056,0.012,999
"fo2001",56,7.97716767585521,9.66513254090539,1.35911734705356,112,-1.24195667777292,0.112,999
"na2001",52,8.74871001593989,10.3048899148732,1.32259691042189,138,-1.17660935593515,0.138,999
"fr2002",40,6.86391229262677,8.33986895358613,1.42503577433699,155,-1.03573305845326,0.155,999
"fo2002",46,7.89420926552779,8.14260420105057,1.72249202550337,457,-0.144206725979005,0.457,999
"na2002",49,5.04066125901554,5.32263298039245,1.02271242620968,431,-0.275709685489924,0.431,999
"fr2003",75,8.10447525261691,11.0609930348797,0.870041471379119,1,-3.39813431832893,0.001,999
"fo2003",85,9.05878033251564,9.64047243103794,1.1528024769287,340,-0.504589563402089,0.34,999
"na2003",108,8.43188037570037,10.8233079324877,0.990611281852174,7,-2.41409279360922,0.007,999
