"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,11.9029389617893,14.2884010292787,1.26925906258603,26,-1.87941306688734,0.026,999
"fo2000",62,16.8078879152321,14.87424443063,1.32661861033416,941,1.4575730127252,0.941,999
"na2000",66,11.2202849782911,14.1050630965206,1.40739794024761,23,-2.04972455602857,0.023,999
"fr2001",56,10.4933224095112,12.0509327220962,1.31734403237787,107,-1.18238688930286,0.107,999
"fo2001",56,15.3875173669482,14.312545223064,1.3578892150458,762,0.791649371666838,0.762,999
"na2001",52,13.6052240280543,15.198189728205,1.27153304804924,120,-1.2527914257475,0.12,999
"fr2002",40,11.6801166322237,12.4057426251127,1.5365316314634,341,-0.47224930358113,0.341,999
"fo2002",46,15.2672109087338,12.0153871797526,2.07140855782036,976,1.56986110572168,0.976,999
"na2002",49,6.71154769502098,7.71172984318494,1.1609272383484,193,-0.861537325618162,0.193,999
"fr2003",75,13.7596769228408,16.313574225555,0.897079401141908,3,-2.84690217996676,0.003,999
"fo2003",85,16.401227275757,14.2350789831139,1.13135107474838,972,1.91465614961725,0.972,999
"na2003",108,13.1306913155519,15.979235940239,1.01248376465158,8,-2.81342252008094,0.008,999
