"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,10.6410256410256,11.8646595313262,0.729129901402958,59.5,-1.67821109509581,0.0595,999
"fr2_00",16,10.3666666666667,11.8642642642643,0.602591321019398,13.5,-2.48526247451444,0.0135,999
"fr3_00",19,9.33333333333333,11.822617939577,0.543508827187078,1,-4.5800260855503,0.001,999
"fr4_00",20,10.6736842105263,11.8477214056161,0.527214781913623,23,-2.22686699115006,0.023,999
"fr5_00",12,9.83333333333333,11.8268874935542,0.765114340319761,14,-2.60556371141556,0.014,999
"fr6_00",17,10.4705882352941,11.8269004298416,0.587612857816224,20,-2.30817310497259,0.02,999
"fr7_00",9,10.4444444444444,11.8933933933934,0.918572427754693,71.5,-1.57739216328393,0.0715,999
"fr8_00",16,9.71666666666667,11.8681014347681,0.627142974224613,2,-3.43053315834627,0.002,999
"fr9_00",26,10.9753846153846,11.8249295449295,0.449227914044382,42,-1.89112230782034,0.042,999
"fr10_00",17,10.5294117647059,11.837793676029,0.603721483367415,35,-2.16719455472289,0.035,999
"fo1_00",21,10.6,11.8608036608037,0.521290945708882,17,-2.41861799285454,0.017,999
"fo2_00",20,10.6631578947368,11.8535693588325,0.527173025238417,24,-2.25810389967753,0.024,999
"fo3_00",15,10.3619047619048,11.8277515610849,0.644805401460544,16.5,-2.27331656319853,0.0165,999
"fo4_00",9,9.27777777777778,11.8472361250139,0.938919616241257,16,-2.73661163617216,0.016,999
"fo5_00",25,9.58666666666667,11.8301434768101,0.457428908456843,1,-4.90453657096563,0.001,999
"fo6_00",21,11,11.8197530864198,0.518141480351319,75,-1.5821027991504,0.075,999
"fo7_00",20,10.7473684210526,11.8155418576471,0.534945982229366,31.5,-1.99678747402293,0.0315,999
"fo8_00",24,10.6449275362319,11.8557506782144,0.469269398286852,10,-2.58023034615698,0.01,999
"fo9_00",19,10.9590643274854,11.8005490870988,0.54939759911307,78,-1.5316498670032,0.078,999
"fo10_00",23,10.6324110671937,11.8300276561146,0.483327953802101,19.5,-2.47785500403997,0.0195,999
"bc1_00",18,10.8496732026144,11.8578447728775,0.611341157764713,60,-1.64911450416543,0.06,999
"bc2_00",17,10.6323529411765,11.8350850850851,0.610490555896373,32.5,-1.97010769829627,0.0325,999
"bc3_00",17,10.0588235294118,11.8355855855856,0.589582325336681,4,-3.01359450549879,0.004,999
"bc4_00",5,11.4,11.9257257257257,1.47789620855301,343.5,-0.355725742229529,0.3435,999
"bc5_00",14,9.89010989010989,11.7983367983368,0.680046222745394,10,-2.80602530299082,0.01,999
"bc6_00",17,10.1911764705882,11.8333333333333,0.588772152752035,9,-2.78912114825631,0.009,999
"bc7_00",22,10.7359307359307,11.8504131837465,0.497697819265884,25.5,-2.23927532867166,0.0255,999
"bc8_00",16,10.4,11.8292042042042,0.614831313530145,22,-2.32454686798273,0.022,999
"bc9_00",22,10.6969696969697,11.8246341579675,0.505850819245797,20.5,-2.22924312483885,0.0205,999
"bc10_00",12,9.96969696969697,11.8585100251767,0.743307309051849,14.5,-2.54109307479979,0.0145,999
"na1_00",17,9.60294117647059,11.8506447624095,0.616072515972918,3,-3.64843996065828,0.003,999
"na2_00",14,10.3516483516484,11.8293238293238,0.651187855040714,19.5,-2.26919999541928,0.0195,999
"na3_00",11,10.4,11.8552734552735,0.82180779863688,51.5,-1.77081971926683,0.0515,999
"na4_00",11,11.7818181818182,11.8523250523251,0.811859359762404,430.5,-0.0868461632658964,0.4305,999
"na5_00",18,10.0457516339869,11.8442494782364,0.57290232697993,7,-3.13927481099668,0.007,999
"na6_00",14,9.2967032967033,11.8182468182468,0.674412455532158,2,-3.73887448379619,0.002,999
"na7_00",14,9.3956043956044,11.8413358413358,0.703810933901876,2,-3.47498358994295,0.002,999
"na8_00",16,9.43333333333333,11.8414247580914,0.649324589473448,3,-3.70860962883119,0.003,999
"na9_00",28,11.047619047619,11.8288923844479,0.438773298249124,40,-1.78058541836178,0.04,999
"na10_00",18,10.4248366013072,11.8205394937421,0.584262834915103,17,-2.38882709806062,0.017,999
"fr1_01",20,10.7052631578947,11.8365418049629,0.533869217585025,23.5,-2.11901830973791,0.0235,999
"fr2_01",22,11.025974025974,11.8348261681595,0.510929047663705,65.5,-1.58310071796479,0.0655,999
"fr3_01",19,10.5497076023392,11.8464429341622,0.534258906173559,11,-2.42716652326952,0.011,999
"fr4_01",10,9.55555555555556,11.8472472472472,0.81917388190054,9.5,-2.79756440277955,0.0095,999
"fr5_01",29,10.9704433497537,11.829533967465,0.423381588422637,30.5,-2.02911662009669,0.0305,999
"fr6_01",10,8.46666666666667,11.8009565120676,0.863506777133106,2,-3.86133604703254,0.002,999
"fr7_01",14,10.6153846153846,11.8513018513019,0.696157904820684,45,-1.77534037516328,0.045,999
"fr8_01",12,9.21212121212121,11.814162647496,0.783232968620869,2,-3.32218067882981,0.002,999
"fr9_01",17,10.4558823529412,11.8442707413296,0.598382531100175,18,-2.32023549523701,0.018,999
"fr10_01",6,10,11.871004337671,1.27248386605093,81,-1.47035603954457,0.081,999
"fo1_01",22,11.5021645021645,11.8589845256512,0.496677427383186,241.5,-0.718414012423812,0.2415,999
"fo2_01",12,10.969696969697,11.8723723723724,0.756016475689217,117.5,-1.19398906201414,0.1175,999
"fo3_01",18,10.0849673202614,11.873684141658,0.539122567378414,2.5,-3.31782961728821,0.0025,999
"fo4_01",22,10.3679653679654,11.8355021688355,0.511396324536582,7.5,-2.86966630470016,0.0075,999
"fo5_01",27,10.5185185185185,11.8401307290196,0.444614514245495,5,-2.97249002935466,0.005,999
"fo6_01",16,9.86666666666667,11.8151401401401,0.629722056948368,5.5,-3.09418012593647,0.0055,999
"fo7_01",18,10.9346405228758,11.8307196084974,0.568499315753241,56,-1.57621840658558,0.056,999
"fo8_01",17,10.7941176470588,11.8567538126362,0.585301509684994,45,-1.81553634835018,0.045,999
"fo9_01",23,10.6086956521739,11.8452602800429,0.504229933359018,19,-2.45238242726166,0.019,999
"fo10_01",17,9.76470588235294,11.8157127715951,0.593012027934952,1,-3.45862611991937,0.001,999
"bc1_01",23,10.3873517786561,11.8232145188667,0.491118609003916,6,-2.92365777611802,0.006,999
"bc2_01",9,10.0555555555556,11.8019130241352,0.951454486936628,49.5,-1.83546085762062,0.0495,999
"bc3_01",9,9.38888888888889,11.8277166054944,0.957696443818525,13,-2.54655609545902,0.013,999
"bc4_01",11,9.38181818181818,11.8262262262262,0.823134026155805,11.5,-2.96963552317707,0.0115,999
"bc5_01",20,10.8157894736842,11.8456245719404,0.540319228223982,38.5,-1.90597529101675,0.0385,999
"bc6_01",18,10.1437908496732,11.8236406340982,0.585947290755688,7.5,-2.86689572752947,0.0075,999
"bc7_01",17,9.51470588235294,11.8202467173055,0.606308187549543,3,-3.80258898411166,0.003,999
"bc8_01",13,10.025641025641,11.8004158004158,0.744181893866222,20.5,-2.38486691144063,0.0205,999
"bc9_01",19,10.5964912280702,11.8643087531976,0.540851421274802,20.5,-2.34411425255976,0.0205,999
"bc10_01",9,10.6666666666667,11.7821710599488,0.979108880365929,124,-1.13930576634671,0.124,999
"na1_01",8,9.85714285714286,11.8446303446303,1.06758865376158,52.5,-1.86166036936108,0.0525,999
"na2_01",12,10.3484848484848,11.8314981648315,0.740191059913025,34.5,-2.00355475317536,0.0345,999
"na3_01",13,9.33333333333333,11.8037781371115,0.71775988623034,2,-3.44188195965208,0.002,999
"na4_01",13,11,11.8373758373758,0.726950202490637,127.5,-1.151902612458,0.1275,999
"na5_01",20,10.6842105263158,11.8481692218534,0.538926314205881,22,-2.15977335835375,0.022,999
"na6_01",8,9.89285714285714,11.8258615758616,1.04978899354334,49,-1.84132663315509,0.049,999
"na7_01",12,10.3181818181818,11.8523675190342,0.76366026845571,35.5,-2.00898981422044,0.0355,999
"na8_01",9,9.83333333333333,11.7926259592926,0.970146238647138,39,-2.01958482949077,0.039,999
"na9_01",13,10.8717948717949,11.8037268037268,0.743581706187705,117.5,-1.2533013173628,0.1175,999
"na10_01",16,9.6,11.8325909242576,0.635484924992761,2,-3.5132083177001,0.002,999
"fr1_02",18,10.9019607843137,11.8701119420074,0.567362713014996,50.5,-1.70640603530118,0.0505,999
"fr2_02",18,10.9019607843137,11.8658724083561,0.57403680040757,55,-1.67918088763292,0.055,999
"fr3_02",9,10.7222222222222,11.8043043043043,0.944469401289254,128.5,-1.14570369416413,0.1285,999
"fr4_02",6,10.3333333333333,11.8924257590924,1.29951236054778,112.5,-1.19975190163016,0.1125,999
