"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,16.5384615384615,18.34462667796,1.29138940431326,105.5,-1.39862161906072,0.1055,999
"fr2_00",16,16.4666666666667,18.4082916249583,1.09566535064571,73.5,-1.77209670557472,0.0735,999
"fr3_00",19,13.6842105263158,18.3985740126091,0.973670311559003,1,-4.84184783116664,0.001,999
"fr4_00",20,16.1684210526316,18.4214319582741,0.91779629608203,23,-2.45480496626576,0.023,999
"fr5_00",12,18.5151515151515,18.2657202657203,1.39244138696694,489,0.179132315202559,0.489,999
"fr6_00",17,15.5147058823529,18.3861361361361,1.04862057529512,13,-2.73829287869454,0.013,999
"fr7_00",9,17.3888888888889,18.3884996107218,1.62383255137319,236,-0.615587315938228,0.236,999
"fr8_00",16,16.2166666666667,18.294994994995,1.12421276915997,63,-1.84869660382998,0.063,999
"fr9_00",26,17.2123076923077,18.3597997997998,0.801693022853743,88,-1.43133602860536,0.088,999
"fr10_00",17,16.6176470588235,18.3735500206088,1.05086498022028,78,-1.67091205324708,0.078,999
"fo1_00",21,17.9333333333333,18.3488440821774,0.954928895406028,293,-0.435122186419345,0.293,999
"fo2_00",20,17.9157894736842,18.314324851167,0.960264720835862,303,-0.415026574271977,0.303,999
"fo3_00",15,15.5809523809524,18.3788169121502,1.19957177226956,33,-2.3323861030044,0.033,999
"fo4_00",9,15.8333333333333,18.3284951618285,1.64038265034832,106,-1.52108523457337,0.106,999
"fo5_00",25,14.6266666666667,18.3131064397731,0.865497408745009,1,-4.25933080314112,0.001,999
"fo6_00",21,17.847619047619,18.3523142189809,0.929349188983223,250.5,-0.543063013713944,0.2505,999
"fo7_00",20,17.3473684210526,18.3594015067699,0.973888126523655,156.5,-1.03916770125312,0.1565,999
"fo8_00",24,17.1594202898551,18.4135512323918,0.865988315068582,90,-1.44820769600963,0.09,999
"fo9_00",19,16.374269005848,18.3278483161524,1.02461715972184,49,-1.90664317083545,0.049,999
"fo10_00",23,17.5256916996047,18.3657016700495,0.904569071705467,160.5,-0.928629992689233,0.1605,999
"bc1_00",18,15.3333333333333,18.3651102082475,1.01132307809644,12,-2.99783218694135,0.012,999
"bc2_00",17,18.8235294117647,18.4320644173585,1.04176163427803,574,0.375772135895047,0.574,999
"bc3_00",17,15.0441176470588,18.3195254077607,1.05329767276244,9,-3.1096696075589,0.009,999
"bc4_00",5,17,18.3509509509509,2.6075342886969,305.5,-0.518095181646136,0.3055,999
"bc5_00",14,15.8241758241758,18.2746922746923,1.24819969998129,51,-1.96324069822575,0.051,999
"bc6_00",17,14.1617647058824,18.3536036036036,1.09712630512153,2,-3.82074413689035,0.002,999
"bc7_00",22,17.5324675324675,18.3562003562004,0.867479529735825,182,-0.949570330476476,0.182,999
"bc8_00",16,18.2,18.3425592258926,1.12394769866159,372.5,-0.126837953458439,0.3725,999
"bc9_00",22,16.8744588744589,18.3280943280943,0.916309806208923,78,-1.58640172110525,0.078,999
"bc10_00",12,15.2424242424242,18.3106743106743,1.39637640820333,42,-2.19729440444921,0.042,999
"na1_00",17,14.8235294117647,18.2133162574339,1.13238276740785,10,-2.99349914466537,0.01,999
"na2_00",14,14.7032967032967,18.2610082610083,1.26200224552133,13,-2.81910081407334,0.013,999
"na3_00",11,18.1090909090909,18.2909818909819,1.46199766864427,361.5,-0.124412634706627,0.3615,999
"na4_00",11,17.0545454545455,18.4248248248248,1.43903297164682,173,-0.952222358540699,0.173,999
"na5_00",18,18.8235294117647,18.2583629381015,1.07915114791833,647.5,0.523713916028732,0.6475,999
"na6_00",14,15.032967032967,18.2320562320562,1.29197604618572,20,-2.47612113903645,0.02,999
"na7_00",14,13.7362637362637,18.3997623997624,1.18487309713334,2,-3.93586340577861,0.002,999
"na8_00",16,16.4666666666667,18.3719052385719,1.06408459520257,61,-1.79049539904536,0.061,999
"na9_00",28,17.9365079365079,18.3262098076913,0.781667621225014,270,-0.498551891624497,0.27,999
"na10_00",18,15.5947712418301,18.3081512885434,1.09249394724369,23,-2.48365682350837,0.023,999
"fr1_01",20,15.6421052631579,18.2890574785312,0.996681061483387,20,-2.65576654123811,0.02,999
"fr2_01",22,17.2640692640693,18.384115717449,0.896860308824647,114.5,-1.24885273922717,0.1145,999
"fr3_01",19,17.7309941520468,18.3829794706988,0.986578554338888,233,-0.660854947418641,0.233,999
"fr4_01",10,16.5777777777778,18.3926148370593,1.53350688571891,121.5,-1.18345543550051,0.1215,999
"fr5_01",29,17.6600985221675,18.3809129326371,0.746663163356072,168,-0.965380972096834,0.168,999
"fr6_01",10,15.1555555555556,18.408363919475,1.55252726871484,46,-2.09516987525256,0.046,999
"fr7_01",14,15.4285714285714,18.3053603053603,1.24527703085635,37.5,-2.31015975201162,0.0375,999
"fr8_01",12,14.3636363636364,18.32089665423,1.3301211644608,6.5,-2.97511264110876,0.0065,999
"fr9_01",17,16.6617647058824,18.3165960077725,1.09949981182682,93.5,-1.50507647576639,0.0935,999
"fr10_01",6,15.0666666666667,18.3398064731398,2.25910718446567,101.5,-1.4488643252433,0.1015,999
"fo1_01",22,16.961038961039,18.3437030103697,0.905918234826758,85,-1.5262570022063,0.085,999
"fo2_01",12,18.1818181818182,18.2699669366336,1.36008075772577,387,-0.0648114123479088,0.387,999
"fo3_01",18,18.1307189542484,18.3396075814376,1.02829097455234,358,-0.203141554636537,0.358,999
"fo4_01",22,17.6796536796537,18.3676750343417,0.857560514541618,208,-0.802300645868452,0.208,999
"fo5_01",27,17.6467236467236,18.345935679269,0.763518851433863,192.5,-0.915775728696506,0.1925,999
"fo6_01",16,15.95,18.3566733400067,1.08773447499251,34,-2.21255590894389,0.034,999
"fo7_01",18,17.6601307189542,18.3010723141442,1.05930570227057,237.5,-0.605058194075738,0.2375,999
"fo8_01",17,17.3088235294118,18.3282841665195,1.08785076952725,170.5,-0.937132799520585,0.1705,999
"fo9_01",23,16.7905138339921,18.3870036043949,0.842280125978328,52,-1.89543801540901,0.052,999
"fo10_01",17,15.1029411764706,18.2311281870105,1.14929253356901,16,-2.72183705990476,0.016,999
"bc1_01",23,17.4466403162055,18.3263105002235,0.916506954838232,172,-0.959807429037212,0.172,999
"bc2_01",9,16,18.244299855411,1.70102384714536,130,-1.3193817706773,0.13,999
"bc3_01",9,15.1111111111111,18.3227672116561,1.63234142673548,51,-1.96751491320537,0.051,999
"bc4_01",11,14.4,18.3207571207571,1.40642431382041,13,-2.78774839302001,0.013,999
"bc5_01",20,18.0736842105263,18.381391918234,0.937330129031693,330.5,-0.328281038000542,0.3305,999
"bc6_01",18,15.0196078431373,18.2701525054466,1.06736300744311,8.5,-3.045397526092,0.0085,999
"bc7_01",17,15.1323529411765,18.2722281104634,1.10390598078391,14,-2.84433205720766,0.014,999
"bc8_01",13,16.7948717948718,18.3001719668386,1.33745481104031,142,-1.12549609866517,0.142,999
"bc9_01",19,16.0233918128655,18.3687078891757,0.972919497408743,32.5,-2.41059623386796,0.0325,999
"bc10_01",9,17.1666666666667,18.3397286175064,1.67777578866386,217,-0.699176826108525,0.217,999
"na1_01",8,15.5,18.1928356928357,1.8907471804452,125,-1.42421774877465,0.125,999
"na2_01",12,14.7272727272727,18.3914217247551,1.3200778767349,17.5,-2.77570669280914,0.0175,999
"na3_01",13,15.4102564102564,18.2055902055902,1.32963583055465,44,-2.10233037580503,0.044,999
"na4_01",13,16.9230769230769,18.3629013629014,1.25481462737035,137.5,-1.1474399552082,0.1375,999
"na5_01",20,16.2,18.2802802802803,1.01065187335965,48,-2.05835494408666,0.048,999
"na6_01",8,16.0714285714286,18.2987987987988,1.75583574709529,140,-1.26855272826915,0.14,999
