"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,10.6579080649021,11.8547281785254,0.313622144419769,1,-3.81612119844893,0.001,999
"fo2000",62,10.9328068282564,11.8516015435133,0.337640556744775,4,-2.72122141994756,0.004,999
"na2000",66,10.9082258241017,11.866817068596,0.317051899883419,1,-3.02345213779449,0.001,999
"fr2001",56,10.7091035203185,11.8572028393061,0.351079450347611,1,-3.27019800746208,0.001,999
"fo2001",56,11.0519045828736,11.8778005395796,0.373032574830159,18,-2.214004921908,0.018,999
"na2001",52,10.4314140360162,11.8426405841884,0.376834752773492,1,-3.74494798525254,0.001,999
"fr2002",40,10.7761814175862,11.8594883744312,0.459758752744599,9,-2.35625086064803,0.009,999
"fo2002",46,11.0798855732765,11.8726842409249,0.411545800986171,35,-1.92639231344032,0.035,999
"na2002",49,11.2024865685871,11.8367800340459,0.403770225043464,59,-1.57092679478894,0.059,999
"fr2003",75,11.2372976010289,11.8863362242315,0.289549167758141,12,-2.24154891629574,0.012,999
"fo2003",85,11.1365836718931,11.8423020460327,0.258567395264286,3,-2.72934015295459,0.003,999
"na2003",108,11.5536579338877,11.8568418602082,0.203175872492649,76,-1.49222406480114,0.076,999
