"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,18.3785080065554,19.7876041084583,0.526936517509904,12,-2.67412877088431,0.012,999
"fo2000",62,18.8098817175004,19.7567760733862,0.567936495143179,63,-1.6672539341693,0.063,999
"na2000",66,19.1245916315938,19.7992592934503,0.510742317180531,101,-1.3209550866686,0.101,999
"fr2001",56,18.8982171464454,19.8244728801191,0.5847629121792,81,-1.58398508931062,0.081,999
"fo2001",56,19.0351286983615,19.7374292941403,0.591499660403217,131,-1.18732206084452,0.131,999
"na2001",52,17.4770034020525,19.7212644205145,0.641594490842799,5,-3.49794309410917,0.005,999
"fr2002",40,19.0017732575147,19.7498804997312,0.754152017465276,156,-0.991984672706844,0.156,999
"fo2002",46,18.3952554003698,19.7553709677816,0.69048392738338,36,-1.96980047394586,0.036,999
"na2002",49,19.1485006933483,19.7863010783141,0.648719356582712,168,-0.983168420201939,0.168,999
"fr2003",75,18.9059478156152,19.7809714971211,0.472540847680358,46,-1.8517418881379,0.046,999
"fo2003",85,18.5342814629275,19.7359042526177,0.430760595030541,6,-2.78953739862152,0.006,999
"na2003",108,19.7425741831493,19.8107665088834,0.338838358889775,402,-0.201253264115289,0.402,999
