"","PD","SR"
"fr1_00",43.90985619918,13
"fr2_00",47.80124433909,16
"fr3_00",50.2279009036,19
"fr4_00",52.34957245838,20
"fr5_00",40.08110202932,12
"fr6_00",49.05150441777,17
"fr7_00",32.50358065588,9
"fr8_00",54.06162483628,16
"fr9_00",71.71217588742,26
"fr10_00",48.74681346453,17
"fo1_00",60.93847705509,21
"fo2_00",54.37064520579,20
"fo3_00",45.75469911514,15
"fo4_00",28.20549962297,9
"fo5_00",65.27756089391,25
"fo6_00",57.36554803646,21
"fo7_00",58.93350435279,20
"fo8_00",68.24091326768,24
"fo9_00",61.61701028594,19
"fo10_00",68.62775697172,23
"bc1_00",56.99135698248,18
"bc2_00",49.40047013375,17
"bc3_00",49.42145655113,17
"bc4_00",24.78677518477,5
"bc5_00",44.88415834583,14
"bc6_00",51.54100693276,17
"bc7_00",63.13699012219,22
"bc8_00",44.13948197029,16
"bc9_00",66.51009993978,22
"bc10_00",32.93934585318,12
"na1_00",48.68954938712,17
"na2_00",44.30747416092,14
"na3_00",35.76660487388,11
"na4_00",43.57901696624,11
"na5_00",44.90236195734,18
"na6_00",37.83931851732,14
"na7_00",36.65643363156,14
"na8_00",40.31328240502,16
"na9_00",74.24614597774,28
"na10_00",55.42851581403,18
"fr1_01",63.86156881478,20
"fr2_01",69.37925375513,22
"fr3_01",52.43538756782,19
"fr4_01",41.18288428598,10
"fr5_01",77.52138421658,29
"fr6_01",26.77608889046,10
"fr7_01",53.49105526156,14
"fr8_01",40.51929341256,12
"fr9_01",54.55314326588,17
"fr10_01",26.55284592956,6
"fo1_01",72.81857505308,22
"fo2_01",44.62178097698,12
"fo3_01",53.07479148168,18
"fo4_01",50.75858197218,22
"fo5_01",79.55284531885,27
"fo6_01",40.97493590604,16
"fo7_01",65.19359567028,18
"fo8_01",50.77743929948,17
"fo9_01",63.41454323452,23
"fo10_01",51.873122696,17
"bc1_01",65.70438931285,23
"bc2_01",41.33919766912,9
"bc3_01",30.66199164412,9
"bc4_01",34.65575978872,11
"bc5_01",56.06218473375,20
"bc6_01",52.75921340116,18
"bc7_01",50.9094929734,17
"bc8_01",38.40490562094,13
"bc9_01",51.74890303654,19
"bc10_01",32.31626834088,9
"na1_01",28.90456650562,8
"na2_01",41.2609309984,12
"na3_01",37.13991931216,13
"na4_01",46.25389219276,13
"na5_01",67.56834280074,20
"na6_01",31.19189493362,8
"na7_01",47.02735421332,12
"na8_01",36.23478665596,9
"na9_01",45.00471962342,13
"na10_01",46.07510048592,16
"fr1_02",58.41842623868,18
"fr2_02",61.46891227239,18
"fr3_02",42.97570681066,9
"fr4_02",31.65984721056,6
"fr5_02",45.74025181368,14
"fr6_02",46.22446564314,14
"fr7_02",44.32735246928,11
"fr8_02",26.1956809585,7
"fr9_02",48.44405330538,17
"fr10_02",30.11376694848,6
"fo1_02",59.81989315598,16
"fo2_02",49.32313018762,16
"fo3_02",57.07301691874,16
"fo4_02",58.79251329174,15
"fo5_02",60.87184744536,22
"fo6_02",62.81066285008,19
"fo7_02",63.72126586978,18
"fo8_02",54.56039617298,16
"fo9_02",50.71696042986,16
"fo10_02",64.93294568108,20
"bc1_02",58.61028032672,14
"bc2_02",60.28573292994,19
"bc3_02",42.59482387534,11
"bc4_02",26.96986042166,7
"bc5_02",65.34833975162,21
"bc6_02",51.80384186184,17
"bc7_02",57.79922756974,15
"bc8_02",45.79409071794,14
"bc9_02",44.27119501742,15
"bc10_02",43.25513612162,12
"na1_02",49.881602768,15
"na2_02",48.14405758572,14
"na3_02",36.25623859394,11
"na4_02",45.92779612356,11
"na5_02",48.44018980554,15
"na6_02",57.09133390134,19
"na7_02",56.32509727482,15
"na8_02",52.54311930538,15
"na9_02",41.88212771215,12
"na10_02",45.00284970904,12
"fr1_03",69.30375094798,21
"fr2_03",73.12167050078,27
"fr3_03",55.46564404526,20
"fr4_03",73.51685326602,26
"fr5_03",62.9069538511,22
"fr6_03",63.01817610702,25
"fr7_03",79.08008460912,29
"fr8_03",71.58694979018,27
"fr9_03",64.37876588918,23
"fr10_03",39.96938438152,13
"fo1_03",80.66197928598,32
"fo2_03",77.87969694512,27
"fo3_03",83.82009109108,33
"fo4_03",69.09325357572,24
"fo5_03",89.62099350899,36
"fo6_03",71.17140956511,29
"fo7_03",80.65235817112,34
"fo8_03",66.63266290402,23
"fo9_03",79.220897394,34
"fo10_03",61.64658992928,23
"bc1_03",77.41477639666,29
"bc2_03",70.58389998286,30
"bc3_03",55.2475099018,21
"bc4_03",52.98610656248,18
"bc5_03",81.12163522833,34
"bc6_03",86.54476333289,36
"bc7_03",65.26467455467,25
"bc8_03",63.07291931354,23
"bc9_03",73.0071780076,27
"bc10_03",45.8110876888,15
"na1_03",81.89090640654,33
"na2_03",70.51508275722,32
"na3_03",70.72117059549,26
"na4_03",65.459839354,26
"na5_03",70.84338289776,27
"na6_03",59.73527176876,21
"na7_03",79.22240009732,31
"na8_03",78.18300784485,32
"na9_03",75.29434896604,26
"na10_03",68.41124105744,28
