"","PD","SR"
"fr1_00",76.39740132163,13
"fr2_00",89.64438611403,16
"fr3_00",72.79984396143,19
"fr4_00",96.96079692946,20
"fr5_00",93.66279782219,12
"fr6_00",86.18579740879,17
"fr7_00",61.91309721219,9
"fr8_00",91.71148961999,16
"fr9_00",115.40404703233,26
"fr10_00",97.18770054579,17
"fo1_00",109.26057414563,21
"fo2_00",100.68417541343,20
"fo3_00",73.92151076196,15
"fo4_00",60.84965104533,9
"fo5_00",106.76936289723,25
"fo6_00",100.76144022373,21
"fo7_00",105.92621628173,20
"fo8_00",116.53750822193,24
"fo9_00",100.79401781329,19
"fo10_00",112.17900618269,23
"bc1_00",86.15435222119,18
"bc2_00",89.00493536056,17
"bc3_00",78.35336132246,17
"bc4_00",38.74039639453,5
"bc5_00",84.58901509039,14
"bc6_00",73.68345361162,17
"bc7_00",106.06711473379,22
"bc8_00",98.96134948039,16
"bc9_00",111.71791253359,22
"bc10_00",68.86459269806,12
"na1_00",86.63034312919,17
"na2_00",64.43062274742,14
"na3_00",63.1452276393,11
"na4_00",71.19391643766,11
"na5_00",104.36052227519,18
"na6_00",71.70914718279,14
"na7_00",57.96269371129,14
"na8_00",73.9697164336,16
"na9_00",134.42126965359,28
"na10_00",93.91713533979,18
"fr1_01",94.48126073393,20
"fr2_01",111.55932746249,22
"fr3_01",113.98016461009,19
"fr4_01",69.99880940283,10
"fr5_01",133.01733382849,29
"fr6_01",64.68463652339,10
"fr7_01",76.19666204309,14
"fr8_01",56.56301794709,12
"fr9_01",94.48871858249,17
"fr10_01",47.78714658936,6
"fo1_01",105.50750257373,22
"fo2_01",73.29123277793,12
"fo3_01",98.21153522353,18
"fo4_01",90.04363753909,22
"fo5_01",142.64470964559,27
"fo6_01",79.51933926479,16
"fo7_01",105.01656484193,18
"fo8_01",90.66481383233,17
"fo9_01",104.84946968003,23
"fo10_01",84.87199478773,17
"bc1_01",121.63864064319,23
"bc2_01",72.55465701916,9
"bc3_01",62.75213007966,9
"bc4_01",61.06558122076,11
"bc5_01",109.02475737199,20
"bc6_01",91.84932884399,18
"bc7_01",88.62464858509,17
"bc8_01",80.99513360689,13
"bc9_01",87.21815281329,19
"bc10_01",57.81760570673,9
"na1_01",52.58497977809,8
"na2_01",61.03039376859,12
"na3_01",79.79319776979,13
"na4_01",84.71874285263,13
"na5_01",100.89302273689,20
"na6_01",62.67445348439,8
"na7_01",76.55458890939,12
"na8_01",71.01403867109,9
"na9_01",67.47299700079,13
"na10_01",68.15919036396,16
"fr1_02",92.93777816029,18
"fr2_02",104.32602737799,18
"fr3_02",61.77632693723,9
"fr4_02",44.41596460663,6
"fr5_02",80.65945585279,14
"fr6_02",80.12763729469,14
"fr7_02",70.48418198099,11
"fr8_02",58.66121101636,7
"fr9_02",88.21831825689,17
"fr10_02",54.43235760483,6
"fo1_02",94.81844809733,16
"fo2_02",83.83271948633,16
"fo3_02",94.84847164609,16
"fo4_02",99.95716456699,15
"fo5_02",106.92609440003,22
"fo6_02",96.69917479583,19
"fo7_02",108.90451781813,18
"fo8_02",78.71993931433,16
"fo9_02",80.85411851533,16
"fo10_02",107.46030410929,20
"bc1_02",80.02866346689,14
"bc2_02",99.67181933349,19
"bc3_02",78.50959562919,11
"bc4_02",44.43317520206,7
"bc5_02",106.84964614759,21
"bc6_02",97.41737014749,17
"bc7_02",92.14064524179,15
"bc8_02",95.94430095609,14
"bc9_02",80.17766112239,15
"bc10_02",80.10119488963,12
"na1_02",75.62594385009,15
"na2_02",89.24330632909,14
"na3_02",75.92922587129,11
"na4_02",61.64739472983,11
"na5_02",95.58663414749,15
"na6_02",103.90471140899,19
"na7_02",105.53521879889,15
"na8_02",95.49306792283,15
"na9_02",74.09546614109,12
"na10_02",76.93354518063,12
"fr1_03",109.17055434073,21
"fr2_03",116.03591996416,27
"fr3_03",104.58134587923,20
"fr4_03",129.83385145293,26
"fr5_03",103.44215796073,22
"fr6_03",112.74593378519,25
"fr7_03",127.52795936056,29
"fr8_03",120.04181842549,27
"fr9_03",93.19003869696,23
"fr10_03",76.2876527081,13
"fo1_03",133.11387776023,32
"fo2_03",122.20452016953,27
"fo3_03",143.73130052663,33
"fo4_03",103.90089521725,24
"fo5_03",158.80007662143,36
"fo6_03",118.54041868793,29
"fo7_03",137.35470375083,34
"fo8_03",125.63363049393,23
"fo9_03",142.58837931873,34
"fo10_03",105.7657375508,23
"bc1_03",121.72646203299,29
"bc2_03",119.35028707522,30
"bc3_03",105.62698541536,21
"bc4_03",99.25363124859,18
"bc5_03",143.22182667499,34
"bc6_03",152.38379292639,36
"bc7_03",116.58023758879,25
"bc8_03",103.65588880012,23
"bc9_03",125.13354966019,27
"bc10_03",80.61506560276,15
"na1_03",133.90599925869,33
"na2_03",126.25911890602,32
"na3_03",123.12097372229,26
"na4_03",114.66259675522,26
"na5_03",120.25899246169,27
"na6_03",95.81255777419,21
"na7_03",122.73317495782,31
"na8_03",141.23623139042,32
"na9_03",118.97332512112,26
"na10_03",121.86073169636,28
