"","fr_00","fo_00","bc_00","na_00","fr_01","fo_01","bc_01","na_01","fr_02","fo_02","bc_02","na_02","fr_03","fo_03","bc_03","na_03"
"fr_00",0,38.4673256701195,33.2040484158373,32.3079595856084,19.9089595375723,29.0972319248246,28.1067299752271,28.5556496607188,23.8683542495439,39.9312575453276,36.2645429252692,35.3323028140134,29.189899026853,44.4166281310212,32.8819118769768,33.3281646707415
"fo_00",38.4673256701195,0,43.7986633249791,43.2320293160552,37.7978281336731,39.6452326177816,41.1098629765296,41.645970519014,39.8479063379782,41.5081407262992,45.6047922550741,45.089603626062,41.9279550891365,43.306577327565,42.789264159513,43.8621000831527
"bc_00",33.2040484158373,43.7986633249791,0,24.8385937142024,33.7946389115955,40.1350633267661,29.627495053423,28.5917358613926,33.5649523047162,50.3873606055562,21.4424263568871,21.9354393161959,31.8224954792043,49.5374647730437,26.4972817605951,28.4049242724035
"na_00",32.3079595856084,43.2320293160552,24.8385937142024,0,32.655072472411,39.1389159642704,29.1328890092267,28.0754907864627,32.8488285954029,49.4467098931159,21.7423267173045,22.1094486973123,31.7631508818682,49.0735405765877,26.6635905639926,28.6654402311495
"fr_01",19.9089595375723,37.7978281336731,33.7946389115955,32.655072472411,0,27.4265906068857,27.6859198588506,28.0691645996162,22.7661944852595,38.116940918806,37.0604796636708,35.8826763557152,30.032191958142,43.9228537256309,33.9534646532168,34.8198093334913
"fo_01",29.0972319248246,39.6452326177816,40.1350633267661,39.1389159642704,27.4265906068857,0,35.0318137589964,35.5144943036503,31.506964071491,38.6132017108182,42.9847979459184,41.96502971889,37.2596899749543,43.2039651416122,39.9426680061241,41.1030176803214
"bc_01",28.1067299752271,41.1098629765296,29.627495053423,29.1328890092267,27.6859198588506,35.0318137589964,0,28.4787969924812,29.1232186931206,45.1542996085015,29.4617552532531,29.2140120148344,30.6601161130675,46.6206594263436,29.8242427232972,31.0349419002051
"na_01",28.5556496607188,41.645970519014,28.5917358613926,28.0754907864627,28.0691645996162,35.5144943036503,28.4787969924812,0,29.4812453849121,46.0265355483952,27.8635661406418,27.6497010869565,30.9639317556412,47.4254209339775,29.3085465634697,30.745271479093
"fr_02",23.8683542495439,39.8479063379782,33.5649523047162,32.8488285954029,22.7661944852595,31.506964071491,29.1232186931206,29.4812453849121,0,41.780200812178,35.8196410833786,35.1351399522146,29.7590187867995,45.3841721823217,32.7932981281796,33.2569881322733
"fo_02",39.9312575453276,41.5081407262992,50.3873606055562,49.4467098931159,38.116940918806,38.6132017108182,45.1542996085015,46.0265355483952,41.780200812178,0,53.4449607274607,52.4351478975366,47.2339420816023,41.4394046982497,49.6926005553709,51.0390419569792
"bc_02",36.2645429252692,45.6047922550741,21.4424263568871,21.7423267173045,37.0604796636708,42.9847979459184,29.4617552532531,27.8635661406418,35.8196410833786,53.4449607274607,0,16.1916630243594,32.9016381528843,51.6549764786414,24.3082856734551,27.0058202740613
"na_02",35.3323028140134,45.089603626062,21.9354393161959,22.1094486973123,35.8826763557152,41.96502971889,29.2140120148344,27.6497010869565,35.1351399522146,52.4351478975366,16.1916630243594,0,32.9590510605542,51.1969112862863,24.8482844128994,27.5712001325488
"fr_03",29.189899026853,41.9279550891365,31.8224954792043,31.7631508818682,30.032191958142,37.2596899749543,30.6601161130675,30.9639317556412,29.7590187867995,47.2339420816023,32.9016381528843,32.9590510605542,0,46.6761068917018,29.6896605435042,29.4741638907395
"fo_03",44.4166281310212,43.306577327565,49.5374647730437,49.0735405765877,43.9228537256309,43.2039651416122,46.6206594263436,47.4254209339775,45.3841721823217,41.4394046982497,51.6549764786414,51.1969112862863,46.6761068917018,0,47.8277355452253,48.6705674286727
"bc_03",32.8819118769768,42.789264159513,26.4972817605951,26.6635905639926,33.9534646532168,39.9426680061241,29.8242427232972,29.3085465634697,32.7932981281796,49.6926005553709,24.3082856734551,24.8482844128994,29.6896605435042,47.8277355452253,0,27.3022502561124
"na_03",33.3281646707415,43.8621000831527,28.4049242724035,28.6654402311495,34.8198093334913,41.1030176803214,31.0349419002051,30.745271479093,33.2569881322733,51.0390419569792,27.0058202740613,27.5712001325488,29.4741638907395,48.6705674286727,27.3022502561124,0
