"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,10.2112,10.3549473684211,10.5898795180723,10.5733333333333,8.993125,6.935625,7.70632911392405,12.0616216216216,10.1677192982456,12.6765714285714,13.9697297297297,24.15675,10.8745454545455,13.167032967033,15.3158139534884,12.1434482758621,14.79696,11.5373451327434,15.539512195122,15.473,17.1221212121212,14.2570212765957,15.7018181818182,15.884,14.2955555555556,13.3569230769231,13.4704,15.7447933884298,17.0174074074074,15.2522222222222,15.606,10.3219047619048,15.6833333333333,16.1939896373057,15.7216,12.9707317073171,13.8632,16.5168674698795,15.1516981132075,11.9193277310924,8.65961538461539,8.96242424242424,9.76969696969697,8.59357142857143,9.97333333333333,8.07146666666667,7.26690909090909,8.04820512820513,6.30965517241379,11.0318987341772,15.0431746031746,11.0661538461538,20.11,9.14328767123288,10.3675294117647,10.0161038961039,12.42,11.6219047619048,8.80123076923077,10.4921568627451,15.3903448275862,13.7473015873016,13.6896,13.4953424657534,14.9172222222222,14.0371014492754,13.483829787234,16.174,15.8,13.8992857142857,14.5932203389831,14.2660869565217,13.9633333333333,13.7844444444444,14.1898039215686,15.2515384615385,13.1564556962025,14.6326315789474,15.2526984126984,14.1093023255814,13.0819512195122,14.1364705882353,15.2516666666667,10.7875776397516,13.676,7.66263157894737,6.43844155844156,7.36852459016393,6.34666666666667,8.08982456140351,16.3110489510489,11.9121804511278,23.2470659898477,7.7992039800995,8.68814814814815,8.71972413793103,10.5623076923077,9.56416666666667,10.7623762376238,17.104803256445,17.0215966386555,17.1525,13.3564227642276,16.752202166065,16.3090612244898,15.9168,16.7073754152824,16.6938823529412,15.8251851851852,16.3506598984772,16.604388185654,16.9537888198758,14.5866666666667,17.0356592765461,15.2075,16.412864321608,13.8606153846154,16.6744086021505,15.3029702970297,13.3158974358974,14.6442105263158,11.605,15.0333333333333,12.4252631578947,16.0152380952381,13.6311111111111,12.7331147540984,14.849900990099,11.5257142857143,14.9242666666667,17.3681553398058,16.7107692307692,23.8007754442649,11.6426966292135,14.7463157894737,14.7788888888889,13.6781818181818,15.768932038835,14.7556923076923,16.4923489932886,16.3704761904762,17.3228295819936,14.1928888888889,14.5802985074627,15.9260416666667,15.2854736842105,15.4270588235294,15.8622222222222,18.6588235294118,15.6365079365079,15.8141843971631,16.4850526315789,15.4473333333333,16.5248192771084,15.4757142857143,16.1921951219512,15.0661417322835,15.0718987341772,15.4922352941176
"fr2_00",10.2112,0,11.4896842105263,12.0472289156627,12.0810256410256,11.07875,9.794375,10.1113924050633,12.7978378378378,11.5333333333333,13.5348571428571,14.1394594594595,24.2825,11.8090909090909,13.2874725274725,16.1460465116279,13.2158620689655,15.05024,12.618407079646,16.3336585365854,15.276,16.8627272727273,14.1770212765957,14.4618181818182,15.713,14.2766666666667,13.9913846153846,14.0416,15.8,16.6396296296296,15.3705555555556,15.513,11.7714285714286,15.6344444444444,16.1019689119171,15.5616,13.4653658536585,13.9272,16.4397590361446,14.9388679245283,12.9455462184874,10.8730769230769,11.3042424242424,11.5793939393939,10.84625,11.8266666666667,10.5728,10.008,10.548717948718,9.49931034482759,12.3863291139241,16.4177777777778,12.6912820512821,20.8211764705882,11.4131506849315,12.0456470588235,11.8155844155844,13.4792592592593,12.7580952380952,10.9015384615385,12.2533333333333,15.3310344827586,14.2184126984127,14.012,14.053698630137,15.0316666666667,14.2173913043478,14.2906382978723,15.6488,15.28,14.3471428571429,14.5267796610169,14.4736231884058,14.3233333333333,14.2461111111111,14.4674509803922,15.35,13.7903797468354,14.6905263157895,15.1619047619048,14.5837209302326,13.8686178861789,13.98,14.3116666666667,12.4673291925466,13.626,10.4563157894737,9.61298701298701,10.1622950819672,9.59333333333333,10.6989473684211,17.0027972027972,13.3157894736842,23.6358984771574,10.4758208955224,11.122962962963,11.0270344827586,12.5092307692308,11.8354166666667,12.4411881188119,16.8079240162822,16.7361344537815,16.8407142857143,14.2608130081301,16.5725631768953,16.2383673469388,15.6298666666667,16.5877740863787,16.4303529411765,15.9007407407407,16.2355329949239,16.4739240506329,16.6842236024845,14.8022222222222,16.7649474912485,15.4531818181818,16.3143718592965,14.4563076923077,16.5759139784946,15.6431683168317,13.4584615384615,14.176,12.441,14.8414814814815,13.0703157894737,15.7893333333333,13.7666666666667,13.4039344262295,14.3592079207921,12.3128571428571,15.0405333333333,16.6590291262136,16.1969230769231,24.0272697899838,12.5680898876405,14.9484210526316,14.4366666666667,14.2354545454545,15.5254368932039,15.0086153846154,16.0842953020134,15.727619047619,16.92,14.2826666666667,14.6370149253731,15.625,14.8901052631579,15.0547058823529,15.54,18.4905882352941,14.9434920634921,15.154609929078,15.9802105263158,15.2226666666667,16.0310843373494,15.2147619047619,15.6917073170732,14.7949606299213,14.373670886076,15.4611764705882
"fr3_00",10.3549473684211,11.4896842105263,0,11.775776791376,11.8812415654521,11.1457236842105,9.96151315789474,10.3256495669554,12.5932669511617,10.9939058171745,13.1097744360902,13.4122332859175,24.5622368421053,11.3186602870813,12.2331983805668,16.0411260709914,12.9745916515426,14.4430315789474,12.4465766185375,16.5165596919127,14.48,16.2113237639553,13.220156774916,13.0488038277512,15.085,13.6362573099415,13.7198380566802,13.9208421052632,15.2393214441061,15.8003898635478,14.8301169590643,14.8389473684211,11.8065162907268,14.9187134502924,15.6411235342242,14.904,12.9278562259307,13.0981052631579,15.8380469245403,14.1962264150943,12.8256523662096,11.0445344129555,11.5629984051037,11.7543859649123,11.0977443609023,11.9748987854251,10.7042807017544,10.2001913875598,10.8237516869096,9.7978221415608,12.343237841439,16.6446115288221,12.825641025641,21.1180598555212,11.7906272530642,12.0948606811146,12.1563909774436,13.3173489278752,12.3015037593985,11.12,12.4117647058824,14.9321234119782,13.7918128654971,13.6938947368421,14.0222062004326,14.6020467836257,13.8398169336384,14.1249720044793,14.5528421052632,14.3481781376518,14.1259398496241,14.1973238180196,14.2053394355454,14.1777777777778,14.0754385964912,14.2740970072239,15.0182186234818,13.6199866755496,13.9152354570637,14.5430242272348,14.2034271725826,13.4466409927257,12.7541795665635,12.2798245614035,12.4916639424649,12.8547368421053,10.6662049861496,9.88516746411483,10.4058671268335,9.96810207336523,10.951431209603,16.9294074346706,13.201899485556,24.0328720277852,10.820528934276,11.2988304093567,11.2140834845735,12.5894736842105,12.027850877193,12.6090672225117,16.0552453045776,16.1152145068554,16.2093984962406,13.8950791613179,15.9742352270568,15.653447905478,14.935298245614,15.9721629655534,15.5778328173375,15.8612085769981,15.580336628373,15.8298911836553,16.0196142530239,14.8304093567251,16.1477614690168,15.025956937799,15.7867230891299,14.1611336032389,15.9277872099604,15.2371026576342,12.4836707152497,12.7991135734072,11.8610526315789,13.8385964912281,12.5956786703601,15.0720802005013,12.5915204678363,13.0515962036238,13.0949452840021,11.2815789473684,14.3769824561404,15.4497700562085,14.9668016194332,24.3636085366891,12.3103489059728,14.4060941828255,13.3631578947368,13.9464114832536,14.7601430761369,14.3128744939271,15.1244083362769,14.5281954887218,16.1239465222542,13.6,14.0813825608798,14.8058114035088,13.8938504155125,14.1018575851393,14.633216374269,18.1473684210526,13.5234753550543,13.8268010451661,14.9759556786704,14.4024561403509,15.0079898541535,14.2771929824561,14.7486521181001,13.8478242851223,12.8095936042638,14.7115789473684
"fr4_00",10.5898795180723,12.0472289156627,11.775776791376,0,11.9357429718876,11.0881024096386,9.98569277108434,10.614305322556,13.2402040594812,11.6313675755654,13.7487091222031,14.2963204168023,24.6243975903614,12.1106243154436,13.3027935919502,16.4208461753993,13.47486497715,14.2673734939759,12.8064825674379,16.8145753746694,14.6204819277108,14.6462212486309,13.618559343758,14.6330777656079,14.4102409638554,13.7670682730924,13.5948100092678,14.3171084337349,14.2262272229414,14.8670236501562,13.9106425702811,14.1933734939759,12.3614457831325,14.330655957162,14.3921593108184,14.3079518072289,13.0755215985895,14.018313253012,14.7632457541007,14.1995908160946,13.0709729675003,11.2342446709917,11.5264695144213,11.9883169039796,11.1883605851979,11.7673772011121,10.5731726907631,10.1730558598028,10.8100092678406,9.67885334441213,12.593869147476,16.645630139606,12.6478220574606,21.1333569572407,11.7590361445783,12.0374202693125,12.2782037239869,13.3815261044177,12.7699368904188,11.2834105653383,12.2952988424285,14.7660988782717,13.7376171352075,13.7609638554217,14.2346921934313,14.1271753681392,14.1341016238869,13.5726736734171,14.5985542168675,15.2400370713624,13.6729776247849,14.2777210537064,13.95355334381,14.4216867469879,13.880187416332,14.0396881644224,14.2011121408712,13.6107976208632,13.7526949904883,14.1384585962899,14.2566545250771,13.5041629934372,13.7760453579022,14.0491967871486,12.3174436877947,13.721686746988,10.5066582117945,9.79940541386325,10.333991704523,9.8499452354874,10.8894525470302,16.9316707388997,13.1292689555213,24.0230444621124,10.7596954984116,11.3998215082552,11.2586622351475,12.6102873030584,12.0848393574297,12.5954908743886,14.6705465007929,14.7927508352739,15.0806798623064,13.0533842687824,14.7545561306598,14.5599213179248,15.0525301204819,14.606252251531,14.6620836286322,16.0062472110665,14.4139196379426,14.5261552539271,14.8466661677767,15.3400267737617,14.7400149020821,14.2609529025192,14.5524005570019,14.1469879518072,14.6684803731053,14.1483955624478,13.4952116156935,13.9510462904249,12.6668674698795,14.9393128067827,13.0379201014585,14.7421686746988,13.6413989290495,13.6342089670156,14.1104616485745,12.2358003442341,15.0355020080321,16.6503684641479,16.1763206672845,24.3775230161356,12.8831731420062,15.0110970196576,14.2513386880857,14.5158817086528,15.064451982688,14.6561631139944,15.151774884774,14.5793172690763,15.4376476968969,13.8907630522088,14.4599892105736,14.5714106425703,14.5750158528852,14.5010630758327,14.8291834002677,18.4883061658398,14.403901319564,14.4390327266513,14.8238427393786,14.9690763052209,14.7857453912034,14.1861732644865,14.7481633852483,14.6961388862537,14.0774744547812,14.2491849751949
"fr5_00",10.5733333333333,12.0810256410256,11.8812415654521,11.9357429718876,0,10.8766025641026,9.98157051282051,10.1590392729633,13.1702471702472,11.7813765182186,13.8769230769231,14.6971586971587,24.6661858974359,12.0722610722611,13.723865877712,16.5163983303518,13.551724137931,14.4806153846154,12.8527342863626,16.6904315196998,14.9435897435897,15.1142191142191,14.0229132569558,15.3799533799534,14.6923076923077,13.8717948717949,13.6323471400394,14.3220512820513,14.3708412799322,15.2602089268756,14.1972934472934,14.5525641025641,12.1758241758242,14.6581196581197,14.7269828616979,14.5651282051282,13.1219512195122,14.3692307692308,15.0089589125734,14.4741170778907,13.214824391295,11.2569033530572,11.6200466200466,11.989121989122,11.0936355311355,11.7488494411571,10.7090598290598,10.3160839160839,10.9243918474688,9.8735632183908,12.8172671210646,16.7545787545788,12.715318869165,21.1503267973856,11.6420793818054,12.0470588235294,12.0785880785881,13.5868945868946,13.1562881562882,11.3049309664694,12.3484162895928,14.9778956675508,14.0708180708181,14.0687179487179,14.3062873199859,14.3846153846154,14.3545150501672,13.7692307692308,15.0938461538462,15.6489151873767,13.8754578754579,14.4519774011299,14.1508732813081,14.531339031339,13.8810541310541,14.2161890397185,14.3579881656805,14.0175267770204,14.0985155195682,14.5624745624746,14.6159809183065,14.0258494892641,14.3122171945701,14.7200854700855,12.5347985347985,13.9846153846154,10.6855600539811,9.93939393939394,10.4640605296343,10.003885003885,11.076473234368,17.249058633674,13.461345671872,24.0241572302486,10.8151549942595,11.5384615384615,11.416091954023,12.82741617357,12.1501068376068,12.6991622239147,15.0309292697352,15.0926524455936,15.5224358974359,13.4354805086512,15.080810885865,14.8563055991627,15.7558974358974,14.9636255217651,15.0549019607843,16.1272554605888,14.7379929714955,14.8350102780483,15.3626373626374,15.2763532763533,15.0353349489872,14.5769230769231,14.8221878623889,14.6674556213018,14.9809760132341,14.3670982482864,13.5989480604865,14.4356275303644,12.5858974358974,15.2877492877493,12.8280701754386,15.0246642246642,14.1232193732194,13.5166036149643,14.6905305915207,12.7069597069597,15.1986324786325,17.1391585760518,16.6188362919132,24.3732239758088,12.7404206280611,15.2132253711201,14.7022792022792,14.495337995338,15.5304953945731,15.0280078895464,15.528136293237,15.0985958485958,15.8520900321543,14.0729344729345,14.5786452353617,14.9046474358974,14.9495276653171,14.7956259426848,15.1726495726496,18.7254901960784,14.976393976394,14.9674486270231,15.3090418353576,15.2547008547009,15.2224281742354,14.5506715506716,15.2101313320826,15.0191802947708,14.7010710808179,14.6654600301659
"fr6_00",8.993125,11.07875,11.1457236842105,11.0881024096386,10.8766025641026,0,8.29296875,8.65981012658228,12.6908783783784,11.0383771929825,13.3410714285714,14.4577702702703,24.63193359375,11.4147727272727,13.6229395604396,15.9778343023256,12.8189655172414,14.499875,12.1274889380531,16.1181402439024,15.2046875,15.608428030303,14.1775265957447,15.8948863636364,15.1125,13.9947916666667,13.3730769230769,13.85375,14.751291322314,15.896412037037,14.4201388888889,14.86015625,11.1428571428571,15.0034722222222,15.0281735751295,14.953125,12.922256097561,14.229375,15.4954819277108,14.721108490566,12.453518907563,9.85306490384616,10.1633522727273,10.8352272727273,9.66964285714286,10.6430288461538,9.21875,8.63579545454545,9.33440170940171,7.93534482758621,11.848496835443,15.9037698412698,11.7367788461538,20.7440257352941,10.2076198630137,11.0345588235294,10.9659090909091,12.9241898148148,12.4014136904762,9.94519230769231,11.2570465686274,15.0700431034483,13.8164682539683,13.7825,13.8523116438356,14.4852430555556,14.1263586956522,13.4331781914894,15.639375,15.9182692307692,13.7176339285714,14.4629237288136,14.0484601449275,14.1692708333333,13.6258680555556,14.063112745098,14.5649038461538,13.4426424050633,14.3133223684211,14.7237103174603,14.203851744186,13.4420731707317,14.4577205882353,15.4895833333333,11.421001552795,13.9125,9.01644736842105,8.06290584415584,8.77535860655738,8.0217803030303,9.44106359649123,16.7329545454545,12.562265037594,23.821288071066,9.13899253731343,10.0422453703704,9.95021551724138,11.5817307692308,10.7565104166667,11.5993193069307,15.7725576662144,15.7594537815126,16.05078125,13.1445630081301,15.6220667870036,15.3141581632653,15.7225,15.5197259136213,15.6959558823529,15.9074074074074,15.2790291878173,15.4102056962025,15.8276397515528,14.9288194444444,15.7222870478413,14.6537642045455,15.3314227386935,14.1189903846154,15.5534274193548,14.5334158415842,13.4903846153846,14.6371710526316,12.07109375,15.3865740740741,12.4411184210526,15.3520833333333,14.0360243055556,13.0855532786885,14.9266707920792,12.2823660714286,15.1454166666667,17.590109223301,16.9293870192308,24.2793820678514,12.0688202247191,15.0472861842105,14.8624131944444,14.0859375,15.6489684466019,14.8947115384615,16.022860738255,15.754650297619,16.3785168810289,14.0416666666667,14.5214552238806,15.3225911458333,15.2161184210526,15.1511948529412,15.5434027777778,18.8097426470588,15.5071924603175,15.5186170212766,15.8019736842105,15.4088541666667,15.7980045180723,14.9732142857143,15.655487804878,15.1710137795276,15.1965981012658,14.8617647058824
"fr7_00",6.935625,9.794375,9.96151315789474,9.98569277108434,9.98157051282051,8.29296875,0,7.02175632911392,11.7967342342342,9.64802631578947,12.3544642857143,13.8293918918919,24.5521484375,10.4829545454545,12.9739010989011,15.1758720930233,11.796875,14.40375,11.1089601769912,15.453506097561,15.20625,16.5518465909091,13.9787234042553,15.8068181818182,15.471875,13.9904513888889,12.9201923076923,13.30625,15.1869834710744,16.5303819444444,14.7170138888889,15.146875,9.98363095238095,15.2118055555556,15.7410945595855,15.300625,12.59375,13.8075,15.972703313253,14.872641509434,11.563025210084,8.04086538461539,8.27462121212121,9.26704545454546,7.94838169642857,9.36017628205128,7.25375,6.43068181818182,7.33867521367521,5.36584051724138,10.6064082278481,14.8154761904762,10.5344551282051,20.2172181372549,8.48865582191781,9.81176470588235,9.48417207792208,12.0173611111111,11.1848958333333,8.17596153846154,9.92463235294118,15.21875,13.4384920634921,13.511875,13.3420376712329,14.5607638888889,13.8632246376812,12.9893617021277,15.901875,15.8269230769231,13.5613839285714,14.4867584745763,14.0507246376812,13.7421875,13.4552951388889,13.952818627451,14.8094951923077,12.909414556962,14.2195723684211,14.9444444444444,13.7936046511628,12.677337398374,13.9935661764706,15.23828125,10.1919642857143,13.50625,6.79646381578947,5.49472402597403,6.51536885245902,5.41287878787879,7.3171600877193,16.1470716783217,11.3949718045113,23.5662753807107,7.00606343283582,7.97077546296296,8.01508620689655,9.96454326923077,8.90104166666667,10.2230816831683,16.4927917232022,16.4770220588235,16.6827566964286,12.6803861788618,16.1953971119134,15.7552295918367,15.7554166666667,16.0975913621262,16.1691176470588,15.7280092592593,15.7690355329949,16.0023734177215,16.4574922360248,14.4930555555556,16.4656505250875,14.7056107954545,15.8761777638191,13.5509615384615,16.0702284946237,14.6905940594059,13.0969551282051,14.5348684210526,11.2359375,14.9623842592593,12.0361842105263,15.6494047619048,13.392578125,12.4364754098361,14.7199876237624,11.12890625,14.74625,17.4575242718447,16.7454927884615,24.1629139741519,11.2854634831461,14.5435855263158,14.640625,13.4268465909091,15.5864684466019,14.4831730769231,16.2323825503356,16.0857514880952,16.9280546623794,13.9180555555556,14.3236940298507,15.5621744791667,15.1184210526316,15.1907169117647,15.6052083333333,18.7389705882353,15.4970238095238,15.6223404255319,16.1878289473684,15.2723958333333,16.1780873493976,15.0978422619048,15.9233993902439,14.9360236220472,14.9837816455696,15.0794117647059
"fr8_00",7.70632911392405,10.1113924050633,10.3256495669554,10.614305322556,10.1590392729633,8.65981012658228,7.02175632911392,0,11.8508381799521,10.2576060404175,12.700904159132,14.138898392063,24.6058544303797,10.614499424626,13.337599109751,15.4565793347071,12.108249672632,14.7277974683544,11.3121989470147,15.405989502933,15.4664556962025,17.0134253931722,14.3248047401023,16.0322209436133,15.7965189873418,14.0682137834037,13.1894839337877,13.2789873417722,15.5263102835025,17.0039849976559,15.1230661040788,15.5670886075949,9.97950572634117,15.6751054852321,15.9961959729783,15.5792405063291,12.7366471133066,13.9372151898734,16.4087235016013,15.0561261046095,11.8374640995639,8.68451801363194,9.10395090141926,9.72535481396241,8.48395117540687,9.85264524505031,8.22210970464135,7.47111622554661,8.17656604998377,6.64207769532955,11.1014260535171,15.3015873015873,11.0577734501785,20.4254157359146,9.0126582278481,10.2677587490692,9.8093046194312,12.4646038443507,11.8863773357444,8.71859785783836,10.4604120129064,15.2247926669577,13.7886276873619,13.6369620253165,13.3313681290099,14.8217299578059,13.9031370390754,13.4532722865607,16.3037974683544,15.9143135345667,13.7875226039783,14.3758850032182,14.0748486516236,13.7848101265823,13.4528832630098,14.0193596425912,15.0379746835443,13.224162794424,14.6768820786143,15.2521599357042,14.152193111569,13.3430071009571,14.4169769173492,15.6677215189873,10.8362292633069,13.5443037974684,7.93604263824117,6.75028768699655,7.58580618385557,6.66244725738397,8.32933599822341,16.564220589537,12.1142095745693,23.659474394397,7.8997417973424,8.91701828410689,8.87071147970319,10.7755598831548,9.69778481012658,10.7735305176087,17.0673788708929,16.9139453249654,17.1604882459313,13.5025213543275,16.6848238358543,16.2174115215707,16.1350210970464,16.6781614029185,16.7404318689501,15.6277543366151,16.297757501767,16.5278000320461,16.9977199465367,14.225035161744,16.9237995362096,15.1659953970081,16.3034158132434,14.0471275559883,16.6380835715258,15.2001503947863,13.1282051282051,14.728580946036,11.3329113924051,15.196905766526,11.9243171219187,15.8934297769741,13.8909985935302,12.4262295081967,15.0409825792706,11.8562386980109,14.8928270042194,17.6804719183974,16.968841285297,24.2015091715916,11.2581425117337,14.7388407728181,14.8811533052039,13.4614499424626,15.8901314980951,14.8895813047712,16.5688556622207,16.5037673297167,17.3217469168464,14.0298171589311,14.3786132627999,15.8371571729958,15.311125916056,15.3920327624721,15.8841068917018,18.819061801936,15.8649789029536,15.9657060777449,16.5423051299134,15.4206751054852,16.5763306390117,15.4996986136227,16.2469898116703,15.083424698495,15.3734978368851,15.4969471332837
"fr9_00",12.0616216216216,12.7978378378378,12.5932669511617,13.2402040594812,13.1702471702472,12.6908783783784,11.7967342342342,11.8508381799521,0,12.4928085980718,14.1714285714286,14.4864864864865,24.5513513513514,12.6380016380016,13.5115335115335,16.7219777917452,13.7601739670705,15.0677477477477,13.1871163198597,16.7813667325862,15.1009009009009,16.5511875511875,14.3124400996741,14.5143325143325,15.5022522522523,14.1051051051051,14.1000693000693,14.1664864864865,15.7169235351054,16.2836169502836,15.3075575575576,15.3387387387387,12.9094809094809,15.6146146146146,15.8033888811091,15.270990990991,13.8211382113821,14.0904504504505,16.1699772061218,14.8451470338263,13.2897267014914,12.3024948024948,12.7867867867868,12.3953043953044,12.1099581724582,12.8930468930469,12.2575375375375,11.9397215397215,12.1832601832602,11.6912084498291,13.1321701448284,17.3419133419133,13.5246015246015,21.3516163222046,12.6698753548069,13.022151563328,11.974025974026,13.9766433099766,13.6121836121836,12.1649341649342,13.1633986928105,14.9847778813296,14.3955383955384,14.0587387387387,13.7403430828088,14.8135635635636,13.7451364407886,14.5227142035653,15.3873873873874,14.6791406791407,14.3886743886744,14.0326767445412,14.3047395221308,13.5155155155155,14.1478978978979,14.1515633280339,15.035343035343,13.8437678184514,14.6709340919867,15.037895037895,14.5537397862979,14.2871163846774,13.981981981982,13.8873873873874,13.4041743606961,13.4846846846847,12.3812233285917,11.8015678015678,12.0069413675971,11.7815997815998,12.3859649122807,17.2835632835633,14.1123077965183,23.9985549000777,12.0286854018197,12.717050383717,12.3865796831314,13.7259182259182,13.2486861861862,13.2150566407992,16.4294498025841,16.3003255356197,16.3593951093951,14.7422544495715,16.1291833349595,15.9408714837286,15.181981981982,16.2826613989405,16.1775304716481,15.2345679012346,15.9325010289477,16.203063823317,16.2608695652174,13.958958958959,16.3437509855246,15.3542178542179,16.0235864004708,14.5488565488565,16.3475733798314,15.6639015252877,13.6927696927697,14.0756756756757,13.0261261261261,14.9249249249249,13.3230915125652,15.5243243243243,14.1141141141141,13.4520750258455,14.2005173490322,13.0936293436293,14.91003003003,16.2884632205021,16.1401593901594,24.2980395581365,12.921753213888,14.8259838786155,14.0858358358358,14.1244881244881,15.2533893116417,15.2679140679141,15.8019227280972,15.3263620763621,16.5022450102836,14.0560560560561,14.2307382008875,15.3053678678679,14.3334281650071,14.4046104928458,15.1587587587588,18.3630100688924,14.7139997139997,14.6825122995336,15.6092935040303,14.6183183183183,15.6549441007272,14.8013728013728,15.201713909031,14.51670568206,14.1071958033983,15.3937466878643
"fr10_00",10.1677192982456,11.5333333333333,10.9939058171745,11.6313675755654,11.7813765182186,11.0383771929825,9.64802631578947,10.2576060404175,12.4928085980718,0,13.083709273183,13.5599810336652,24.5657894736842,11.3923444976077,12.3740119529593,16.0591595267238,12.9195402298851,14.2898245614035,12.309268747089,16.540864356012,14.3631578947368,15.833067517278,13.1743187756626,13.3748006379585,14.869298245614,13.5818713450292,13.4963562753036,14.040701754386,14.8841525300855,15.4356725146199,14.5141325536062,14.5491228070175,11.9949874686717,14.6062378167641,15.4376874829561,14.6856140350877,12.9328198545143,13.4063157894737,15.4030860283238,14.1754385964912,12.812324929972,10.915991902834,11.3152578415736,11.6204146730463,10.9359335839599,11.8335582546109,10.3780116959064,9.9170653907496,10.6324786324786,9.40774349667272,12.2824783477682,16.5552770815929,12.668016194332,21.0576195390437,11.5630857966835,11.9950464396285,11.8519024834814,13.2124756335283,12.2355889724311,10.9171390013495,12.2363261093911,15.0308529945554,13.8028404344194,13.8757894736842,14.1148762316751,14.4756335282651,13.8804983473176,13.8842851810377,14.4691228070175,14.4831309041835,14.1071428571429,14.3484983645555,14.3198576150521,14.0458089668616,14.0238791423002,14.2930856553148,14.7375168690958,13.6837663779702,13.7054478301016,14.5073795600111,14.1121991024072,13.3273427471117,12.8266253869969,12.4005847953216,12.2850604772802,12.9157894736842,10.3051708217913,9.48644338118022,10.060396893874,9.57363104731526,10.647891658972,16.8268924058398,12.9877324891175,23.9904889126369,10.4790084664397,11.0045484080572,10.9219600725953,12.3475033738192,11.7613304093567,12.3943025881536,15.5256254612107,15.6749226006192,15.8292606516291,13.4725431464841,15.5009183608842,15.206015037594,14.9263157894737,15.4644751413417,15.1537667698658,15.8492527615335,15.109092528275,15.3448811903176,15.6384439359268,14.82261208577,15.6845790087822,14.6756379585327,15.3938111610685,14.0604588394062,15.417091114884,14.7952058363731,12.6495726495726,12.9968605724838,11.9,13.9519168291098,12.6160664819945,14.8918964076859,12.682261208577,13.0146678170837,13.2131318394997,11.2437343358396,14.3569590643275,15.5772440810765,15.1538461538462,24.3484397585239,12.3248570865366,14.359649122807,13.4376218323587,13.877990430622,14.7361607903253,14.2580296896086,14.9746850347345,14.3817878028404,15.863146612512,13.5610136452242,14.012568735271,14.5747441520468,13.876269621422,13.9958720330237,14.4982456140351,18.1351909184727,13.5742133110554,13.7882294388453,14.8373037857802,14.3409356725146,14.8019446205876,14.0409356725146,14.6217372700043,13.8958419671225,12.9078392182989,14.5242518059855
