"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr_00",50,6.77030221524274,8.51446082555542,0.90545429196612,31,-1.92628012897854,0.031,999
"fo_00",52,9.53536993296411,8.82698505195076,0.864611419967128,793,0.819310113947237,0.793,999
"bc_00",45,8.16861100118718,8.24356229823582,0.921152052878737,440,-0.0813669109398516,0.44,999
"na_00",44,8.14621971900154,8.44275514916087,0.968958804464859,354,-0.306035126357203,0.354,999
"fr_01",46,5.71581187915754,7.1339422769911,0.840006203711695,41,-1.68823800534727,0.041,999
"fo_01",48,8.07557779747777,8.53409825393468,0.882862793867069,297,-0.519356416016272,0.297,999
"bc_01",40,8.95186839278648,9.08680263507331,0.841796678968554,413,-0.160293151134983,0.413,999
"na_01",37,8.86241512287335,8.8545286185997,0.884653977349292,465,0.00891478982243438,0.465,999
"fr_02",38,7.22815133947288,7.39171736742582,0.970763365604102,411,-0.168492171983794,0.411,999
"fo_02",42,7.72233935236091,7.18926055142951,1.27586794136734,615,0.417816596567273,0.615,999
"bc_02",37,4.8492358488655,4.34695362837832,0.683159154859847,739,0.73523455978603,0.739,999
"na_02",38,5.31499811678232,4.82654118698513,0.733700714770552,722,0.665744110594126,0.722,999
"fr_03",47,8.71699727607755,9.6160794057958,0.614763744376996,77,-1.46248398338679,0.077,999
"fo_03",47,9.17110672153635,8.11174098872535,0.820589055209572,898,1.29098204038372,0.898,999
"bc_03",51,8.4133917377374,9.16235589462141,0.777749755243981,175,-0.962988611483476,0.175,999
"na_03",53,9.14189327167418,9.4129832971636,0.702152290370599,340,-0.386084371164465,0.34,999
