"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr_00",50,10.92628387183,13.7660772470155,1.67508440178028,26,-1.69531360459648,0.026,999
"fo_00",52,17.4586605988949,14.5493266525942,1.70895694310843,934,1.70240330397607,0.934,999
"bc_00",45,11.5330883599977,13.4876542979748,1.73296411587968,117,-1.12787444360031,0.117,999
"na_00",44,11.7764212981791,13.739828017949,1.81282270612708,126,-1.08306604563911,0.126,999
"fr_01",46,9.71948725495081,11.5493650470367,1.61684718915066,97,-1.1317567945596,0.097,999
"fo_01",48,15.2670719780377,13.9060141602325,1.80036915331757,764,0.755988190142661,0.764,999
"bc_01",40,13.9446119057041,14.9251888781766,1.57577661991496,320,-0.622281711811044,0.32,999
"na_01",37,13.2052325141777,14.4803596367634,1.76930558996998,258,-0.720693547691418,0.258,999
"fr_02",38,11.3821059851796,12.0503187530709,1.84466401659421,385,-0.362240907764357,0.385,999
"fo_02",42,15.7455315829891,11.6659443428177,2.39519546652367,950,1.70323770948533,0.95,999
"bc_02",37,6.619625724986,7.10940092621156,1.26527437463315,349,-0.387090113452712,0.349,999
"na_02",38,7.48561478497078,7.88834033254858,1.44692134568457,417,-0.278332715720122,0.417,999
"fr_03",47,13.2431084762057,15.7417695022374,1.232205150088,23,-2.02779628526402,0.023,999
"fo_03",47,16.7022002743484,13.3172311428026,1.70062370607458,947,1.99042805263433,0.947,999
"bc_03",51,12.8483506633081,15.0511696626783,1.51211422321433,51,-1.45678082088773,0.051,999
"na_03",53,12.6165096952909,15.3627620615281,1.38394582897465,20,-1.98436406161354,0.02,999
