,order,name,genotype,NRI,HI
81,1,fr1_00,H-17,-1.335544747,0.998
89,2,fr2_00,KH-8,-1.466379857,0.999
93,3,fr3_00,17,-1.889201939,0.999
97,4,fr4_00,KSCR-1,-1.030179585,0.999
101,5,fr5_00,TP-1,-1.035274922,0.999
105,6,fr6_00,TP-2,-1.555007179,0.999
109,7,fr7_00,TP-3,-1.265614525,0.999
113,8,fr8_00,TP-4,-2.170814574,0.999
117,9,fr9_00,OO31,-1.364897127,0.999
85,10,fr10_00,H-14,-1.129049983,0.9637
41,11,fo1_00,1994,-0.415258725,0.4814
49,12,fo2_00,1935,-0.575781976,0.4384
53,13,fo3_00,984,2.387559231,0.5073
57,14,fo4_00,989,-1.055347361,0.528
61,15,fo5_00,HM-1,-2.212416128,0.5079
65,16,fo6_00,WSU-6,1.392012348,0.527
69,17,fo7_00,MH-2,-0.399247508,0.439
73,18,fo8_00,1997,-0.16676365,0.475
77,19,fo9_00,1976,-1.071605624,0.4678
45,20,fo10_00,1981,1.30841981,0.4806
1,21,bc1_00,11,-0.585247542,0.0285
9,22,bc2_00,2028,-0.806031201,0.044
13,23,bc3_00,WC-3,-1.286458995,0.0089
17,24,bc4_00,WH-3,-0.488234343,0.1879
21,25,bc5_00,RL-6,-0.16790697,0.001
25,26,bc6_00,13,-0.989291428,0.0271
29,27,bc7_00,EC-2,-0.563028031,0.001
33,28,bc8_00,NUL,-0.220069797,0.068
37,29,bc9_00,999,-0.086123246,0.01
5,30,bc10_00,WC-4,-0.611599109,0.001
121,31,na1_00,1000,-1.230209888,0.001
129,32,na2_00,T-15,-0.971381102,0.001
133,33,na3_00,1008,-1.317665051,0.001
137,34,na4_00,HE-10,-0.16435396,0.001
141,35,na5_00,WC-5,-0.405065338,0.001
145,36,na6_00,XSU-1,-0.98984619,0.001
149,37,na7_00,HE-8,-0.970688736,0.001
153,38,na8_00,1020,-0.858932077,0.001
157,39,na9_00,1019,-0.092723389,0.001
125,40,na10_00,RM-2,-0.720505027,0.001
82,41,fr1_01,OO31,-0.980268552,0.999
90,42,fr2_01,KSCR-1,-1.164600232,0.999
94,43,fr3_01,TP-6,-0.243839377,0.999
98,44,fr4_01,TP-4,-0.917959186,0.999
102,45,fr5_01,17,-1.708000667,0.999
106,46,fr6_01,KH-8,-0.737918536,0.999
110,47,fr7_01,TP-3,-0.721384587,0.999
114,48,fr8_01,TP-5,-0.87919211,0.999
118,49,fr9_01,H-14,-0.801425539,0.9637
86,50,fr10_01,H-17,0.164481029,0.998
42,51,fo1_01,HM-1,-0.785517783,0.5079
50,52,fo2_01,WSU-6,1.505838049,0.527
54,53,fo3_01,MH-2,-0.318734524,0.439
58,54,fo4_01,984,1.959264451,0.5073
62,55,fo5_01,1976,-1.480300936,0.4678
66,56,fo6_01,1997,-0.835050682,0.475
70,57,fo7_01,1935,-1.027432632,0.4384
74,58,fo8_01,989,-0.103910453,0.528
78,59,fo9_01,1981,-0.317659723,0.4806
46,60,fo10_01,1994,-1.357089428,0.4814
2,61,bc1_01,H-10,-0.70141607,0.066
10,62,bc2_01,13,-0.300891114,0.0271
14,63,bc3_01,3200,-0.45138949,0.001
18,64,bc4_01,NUN,-0.27846372,0.0031
22,65,bc5_01,10,-0.27340099,0.0149
26,66,bc6_01,RL-6,-0.440299808,0.001
30,67,bc7_01,HE-1,-0.92732876,0.001
34,68,bc8_01,1005,-0.159252576,0.001
38,69,bc9_01,HE-2,-1.499529791,0.001
6,70,bc10_01,T-48,-0.417323094,0.001
122,71,na1_01,HE-8,-0.104090813,0.001
130,72,na2_01,HE-10,-0.337623231,0.001
134,73,na3_01,WC-5,-0.541702072,0.001
138,74,na4_01,T-21,-0.849262734,0.001
142,75,na5_01,1019,-0.775507278,0.001
146,76,na6_01,XSU-1,-0.476233764,0.001
150,77,na7_01,1000,-0.049693773,0.001
154,78,na8_01,1020,-0.208155254,0.001
158,79,na9_01,RM-2,-0.967998394,0.001
126,80,na10_01,T-15,-1.120881161,0.001
83,81,fr1_02,OO31,-0.579407958,0.999
91,82,fr2_02,KSCR-1,-0.25011523,0.999
95,83,fr3_02,TP-6,-0.600293144,0.999
99,84,fr4_02,TP-4,-1.700092199,0.999
103,85,fr5_02,17,-0.549962667,0.999
107,86,fr6_02,KH-8,-1.799151399,0.999
111,87,fr7_02,TP-3,0.313963606,0.999
115,88,fr8_02,TP-5,0.379074676,0.999
119,89,fr9_02,H-14,-0.445551173,0.9637
87,90,fr10_02,H-17,0.317074323,0.998
43,91,fo1_02,HM-1,-0.024573556,0.5079
51,92,fo2_02,WSU-6,1.456619852,0.527
55,93,fo3_02,MH-2,0.213025167,0.439
59,94,fo4_02,984,1.91751252,0.5073
63,95,fo5_02,1976,-1.119453851,0.4678
67,96,fo6_02,1997,0.166868147,0.475
71,97,fo7_02,1935,-0.439926245,0.4384
75,98,fo8_02,989,0.234593421,0.528
79,99,fo9_02,1981,-0.142827155,0.4806
47,100,fo10_02,1994,-0.457475224,0.4814
3,101,bc1_02,H-10,-0.418661053,0.066
11,102,bc2_02,13,-0.091162803,0.0271
15,103,bc3_02,3200,-0.329149521,0.001
19,104,bc4_02,NUN,-0.041233714,0.0031
23,105,bc5_02,10,-0.340859951,0.0149
