"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"fr1_00",12,2.48,4.60136136136136,1.62105255044096,36,-1.30863207413252,0.036,999
"fr2_00",16,2.7,3.97571571571572,0.86768347482722,41.5,-1.47025471007126,0.0415,999
"fr3_00",18,2.18947368421053,3.77345766819451,0.802020143479991,2,-1.97499276902327,0.002,999
"fr4_00",17,2.56626506024096,3.84175742007067,0.884138737639233,31.5,-1.44263824842178,0.0315,999
"fr5_00",10,3.76923076923077,4.9703806370473,1.20858106106666,173.5,-0.993851307546085,0.1735,999
"fr6_00",16,2.46875,4.01887825325325,1.04019093019958,29,-1.4902343485689,0.029,999
"fr7_00",8,2.296875,5.53578578578579,2.19568968532307,10.5,-1.4751222850096,0.0105,999
"fr8_00",13,2.87341772151899,4.41328670442594,1.28826079631086,95.5,-1.19530842459588,0.0955,999
"fr9_00",22,3.20720720720721,3.47880312745178,0.634294349149053,386,-0.428185937032124,0.386,999
"fr10_00",13,2.57894736842105,4.36374971462691,1.11626161546882,20.5,-1.59891043593419,0.0205,999
"fo1_00",19,2.68571428571429,3.68494208494208,0.626207896807069,25.5,-1.59568061074077,0.0255,999
"fo2_00",19,3.32432432432432,3.70364959554149,0.573087069081995,284,-0.661898150702981,0.284,999
"fo3_00",15,10.21875,4.15093531031031,2.03520723457198,985,2.98142350646951,0.985,999
"fo4_00",7,3.04545454545455,5.76153426153426,1.43627610494475,39,-1.89105681472309,0.039,999
"fo5_00",23,2.95604395604396,3.35895235895236,0.473803115333086,222,-0.850370944954966,0.222,999
"fo6_00",18,3.67441860465116,3.72892660101962,0.789659740713997,534.5,-0.0690271943193867,0.5345,999
"fo7_00",18,3.31034482758621,3.78595837216527,0.694581609806148,274.5,-0.68474825400546,0.2745,999
"fo8_00",24,4.78,3.33244044044044,0.822197026330319,942,1.76059936146984,0.942,999
"fo9_00",18,3.11504424778761,3.74609122396733,0.719509076638752,204.5,-0.877052141062222,0.2045,999
"fo10_00",20,3.68292682926829,3.6098049268781,0.648490606291396,606,0.112757072624947,0.606,999
"bc1_00",18,5.3,3.80563063063063,0.787437501227482,950,1.89776251072612,0.95,999
"bc2_00",15,4.81060606060606,4.1627688294355,1.82775566403524,712,0.354444110839355,0.712,999
"bc3_00",16,3.36170212765957,3.97546482652866,0.751191175013606,223.5,-0.817052594977523,0.2235,999
"bc4_00",5,3.45454545454545,6.90872690872691,2.27833519092049,61.5,-1.51609889007855,0.0615,999
"bc5_00",14,6.8375,4.28400900900901,1.51250781939346,922.5,1.68824977844741,0.9225,999
"bc6_00",16,5.61111111111111,3.97261150038928,0.826623418480763,957,1.98215968007923,0.957,999
"bc7_00",20,5.36923076923077,3.61629321629322,0.68206970383337,985.5,2.57002699736653,0.9855,999
"bc8_00",15,4.04,4.118998998999,0.679044919725499,468.5,-0.116338399278406,0.4685,999
"bc9_00",20,4.58677685950413,3.62411998775635,1.33179561120697,792,0.722826283287832,0.792,999
"bc10_00",11,9.2962962962963,4.68770622474326,1.75685143321918,992.5,2.62320989948959,0.9925,999
"na1_00",15,4.45833333333333,4.1201340229118,1.06968383745139,663,0.316167542764151,0.663,999
"na2_00",14,3.125,4.18586086086086,1.18136081974667,181.5,-0.897999022083999,0.1815,999
"na3_00",10,3.57142857142857,4.96806330139663,1.1108524976184,102,-1.25726388783602,0.102,999
"na4_00",10,8.63888888888889,4.93368368368368,1.57027075240986,983.5,2.35959639413707,0.9835,999
"na5_00",15,4.3419689119171,4.15385852173417,1.52901408294844,635,0.123027244994494,0.635,999
"na6_00",14,4.42,4.27117117117117,1.15281937646764,618,0.129099867565425,0.618,999
"na7_00",14,3.48780487804878,4.22773993505701,0.839349721761699,197,-0.881557517473394,0.197,999
"na8_00",15,3.74,4.08816816816817,0.778368719486271,357,-0.447304933319984,0.357,999
"na9_00",26,3.07831325301205,3.2989013109495,1.17474417282669,565,-0.1877754008404,0.565,999
"na10_00",17,3.30188679245283,3.92688915330425,0.839464128367062,256,-0.74452539391669,0.256,999
"fr1_01",19,3.38655462184874,3.68190879955586,0.710676382875071,376.5,-0.415595881366215,0.3765,999
"fr2_01",20,2.67307692307692,3.61400823900824,1.04800101563103,190,-0.897834355021834,0.19,999
"fr3_01",19,4.48484848484848,3.67603967603968,1.21187255428449,788.5,0.667404180373027,0.7885,999
"fr4_01",9,5.39393939393939,5.31998665331999,1.48340029684304,550.5,0.0498535296081528,0.5505,999
"fr5_01",24,2.66517857142857,3.36402920777921,0.872558224337351,228.5,-0.800921493670369,0.2285,999
"fr6_01",9,3.29487179487179,5.2323990657324,1.49909834563787,100,-1.29246174975677,0.1,999
"fr7_01",14,2.68,4.22495829162496,1.62998662484316,148,-0.947834950347286,0.148,999
"fr8_01",11,2.34545454545455,4.86158886158886,1.94448320878947,12,-1.29398613717047,0.012,999
"fr9_01",16,3.1025641025641,3.95273050828606,1.37426901865422,350.5,-0.618631719249921,0.3505,999
"fr10_01",5,10.3793103448276,6.80421801111456,2.90757945325602,852,1.22957683227177,0.852,999
"fo1_01",20,3.56962025316456,3.6512588537905,0.793167810683816,532.5,-0.10292727406015,0.5325,999
"fo2_01",11,5.3015873015873,4.77161288272399,1.4259288988342,676.5,0.371669596777651,0.6765,999
"fo3_01",17,3.6025641025641,3.92957059623726,1.00697534778852,429,-0.324741310093957,0.429,999
"fo4_01",20,4.38235294117647,3.52019176038784,1.20379426293382,802,0.716203098266493,0.802,999
"fo5_01",25,2.95205479452055,3.29239513486089,0.805725612146753,433.5,-0.422402285852062,0.4335,999
"fo6_01",15,3.78823529411765,4.07121238885945,1.06466776111271,464,-0.265789108187191,0.464,999
"fo7_01",17,2.97402597402597,3.84462384462384,0.974000182075534,216,-0.893837482394182,0.216,999
"fo8_01",17,5.22222222222222,3.87081525970415,0.842308689185565,923,1.60440819365732,0.923,999
"fo9_01",22,2.73809523809524,3.47916964583631,0.766710578790191,135,-0.966563431158641,0.135,999
"fo10_01",17,2.67692307692308,3.87435127435127,1.16647008055185,106,-1.02654000080457,0.106,999
"bc1_01",22,3.48039215686275,3.49244342381597,0.844492532425575,578,-0.0142704245336706,0.578,999
"bc2_01",9,6.93103448275862,5.21787304545925,1.21273785823928,911.5,1.41263952935932,0.9115,999
"bc3_01",8,4.98412698412698,5.48100481433815,1.30415486279475,371,-0.38099603381946,0.371,999
"bc4_01",11,5.72,4.73753753753754,1.22071693771586,775,0.804824142360792,0.775,999
"bc5_01",18,4.72602739726027,3.74496414222442,0.778548739904753,890.5,1.26011796661039,0.8905,999
"bc6_01",18,4,3.79640751862974,0.951779401627941,636,0.213907215287525,0.636,999
"bc7_01",17,4.34782608695652,3.85177931554743,0.719909850507522,769,0.689040122258901,0.769,999
"bc8_01",12,4.58510638297872,4.59532937192512,1.12400582749058,518,-0.00909513874071045,0.518,999
"bc9_01",19,4.02,3.65921921921922,0.771022660417153,722.5,0.467925003119343,0.7225,999
"bc10_01",9,4.46153846153846,5.13759913759914,1.02041985555668,263,-0.662531870954095,0.263,999
"na1_01",7,6.05357142857143,5.79806592306592,1.70095368882304,560,0.150213087625154,0.56,999
"na2_01",12,5.8135593220339,4.59484908637451,1.19151007779677,840,1.02282830701097,0.84,999
"na3_01",13,5.28985507246377,4.39317578448013,1.09508970005465,800,0.818818118679122,0.8,999
"na4_01",13,4.75,4.31820709598487,0.856520618418012,699,0.504124354662524,0.699,999
"na5_01",19,3.98611111111111,3.68330830830831,0.636246015593884,697.5,0.47592094155617,0.6975,999
"na6_01",8,6.27450980392157,5.46848809593908,1.30750159765419,733,0.616459444048552,0.733,999
"na7_01",12,8.21153846153846,4.61819511819512,1.56887696075264,977,2.29039206593964,0.977,999
"na8_01",8,6.91139240506329,5.50070323488045,1.63010505427316,804,0.865397703347313,0.804,999
"na9_01",13,3.26315789473684,4.3232179547969,1.04360662712813,157,-1.01576593373809,0.157,999
"na10_01",14,4.71428571428571,4.23102467546912,0.87252077109744,718,0.553867661177576,0.718,999
"fr1_02",18,4.45348837209302,3.77668366040459,0.859580817901452,799.5,0.78736600165271,0.7995,999
"fr2_02",17,4.58536585365854,3.88510461681193,0.992935538318239,764.5,0.705243401835182,0.7645,999
"fr3_02",9,5.05882352941176,5.14682329388212,1.45194952939959,510.5,-0.060608005091432,0.5105,999
"fr4_02",6,3.08333333333333,6.37883717050384,2.15358325930951,46.5,-1.53024213153808,0.0465,999
"fr5_02",14,4.29813664596273,4.17819683037074,1.20036685903134,599.5,0.0999192994121623,0.5995,999
"fr6_02",13,4,4.37977977977978,0.757746601031176,309,-0.501196282850966,0.309,999
"fr7_02",11,4.90789473684211,4.63580685949107,1.9439058033265,623.5,0.139969682113931,0.6235,999
"fr8_02",7,7.1038961038961,5.90740090740091,2.65880494713523,682,0.450012400414848,0.682,999
"fr9_02",17,2.5,3.89751226636473,1.58079867912808,220.5,-0.884054550915711,0.2205,999
"fr10_02",6,5.43939393939394,6.25941092607759,2.79042217432824,437,-0.29386843117424,0.437,999
"fo1_02",16,5.30701754385965,4.06645241732961,1.61515794010529,812,0.768076666514215,0.812,999
"fo2_02",16,5.54545454545455,3.99323799323799,1.0552414010149,920.5,1.47095873107677,0.9205,999
"fo3_02",16,5.09774436090226,3.97730060887956,1.08406109050023,844,1.03356144948038,0.844,999
"fo4_02",14,5.00507614213198,4.19817888954945,2.03162574096283,751,0.397168256098254,0.751,999
"fo5_02",21,2.76119402985075,3.5852668588987,1.26283414158301,349.5,-0.652558243329523,0.3495,999
"fo6_02",19,4.46296296296296,3.65467319171023,1.29563302421008,772,0.623857030616775,0.772,999
"fo7_02",17,4.98620689655172,3.94607711159435,1.37469069874827,811,0.756628226192604,0.811,999
"fo8_02",16,3.48076923076923,4.03368753368753,1.19106175210677,403.5,-0.464223036245006,0.4035,999
"fo9_02",15,3.67708333333333,4.178751668335,1.35259274920073,440,-0.370893852046829,0.44,999
"fo10_02",20,3.89108910891089,3.64597270537865,0.89221154441715,672,0.2747290203383,0.672,999
"bc1_02",14,5.75712347354138,4.29068960412244,2.05867070167723,796,0.712320755439042,0.796,999
"bc2_02",19,3.21008403361345,3.74151252092429,1.6908378221891,521,-0.314298911661918,0.521,999
"bc3_02",11,6.60714285714286,4.76087694837695,1.83189939660707,819.5,1.00784241328178,0.8195,999
"bc4_02",7,10.219512195122,5.87015470755308,1.90304955909426,991.5,2.28546727371562,0.9915,999
"bc5_02",20,3.36823104693141,3.6545896076582,1.50024531656824,556,-0.190874490701179,0.556,999
"bc6_02",17,5.51020408163265,3.85274253845682,1.33863927954307,882,1.23816891413913,0.882,999
"bc7_02",15,6.17333333333333,4.12335001668335,1.46337932046714,889,1.40085573711373,0.889,999
"bc8_02",13,3.56810631229236,4.48408541431797,2.01996519520204,416,-0.453462814211507,0.416,999
"bc9_02",15,3.07058823529412,4.12572572572573,1.68000774379953,344.5,-0.628055135058658,0.3445,999
"bc10_02",12,5.81481481481481,4.53101249397546,1.0405667505386,887,1.23375297180585,0.887,999
"na1_02",15,3.38578680203046,4.10737641194494,1.70637977236922,457,-0.422877498666427,0.457,999
"na2_02",14,5.57805907172996,4.33425830894185,1.96585794234217,765,0.632701242545638,0.765,999
"na3_02",11,6.05590062111801,4.73186851447721,1.62784909606309,796,0.813362927708068,0.796,999
"na4_02",11,4,4.76170615059504,0.977311006079099,245,-0.779389719195888,0.245,999
"na5_02",15,3.35355892648775,4.27694555699223,2.09555036665668,453,-0.440641582849515,0.453,999
"na6_02",18,4.14204545454545,3.82437551187551,1.06118957052265,672.5,0.299352680702925,0.6725,999
"na7_02",15,5.80904522613065,4.14304505510536,1.85464059053745,817,0.898287344472773,0.817,999
"na8_02",15,5.46153846153846,4.06148456148456,1.25930676901786,860,1.11176556379968,0.86,999
"na9_02",12,3.19354838709677,4.59415329307802,1.99043324249488,314,-0.70366836529804,0.314,999
"na10_02",11,5.73267326732673,4.77505228000278,1.58632907996549,757.5,0.603671078982421,0.7575,999
"fr1_03",14,3.38461538461538,4.18264418264418,0.788034670240583,161,-1.01268234528966,0.161,999
"fr2_03",18,3.14736842105263,3.77049681260208,0.772331715076658,237.5,-0.806814454703049,0.2375,999
"fr3_03",12,3.325,4.54537037037037,0.844505382840308,66,-1.44507115664073,0.066,999
"fr4_03",20,2.88888888888889,3.61811811811812,0.631653571830337,104.5,-1.15447653864467,0.1045,999
"fr5_03",14,3.57894736842105,4.26039723934461,0.977272372548591,265.5,-0.697297795441027,0.2655,999
"fr6_03",20,3.84761904761905,3.58412698412698,0.837931583150535,703,0.314455343121644,0.703,999
"fr7_03",21,3.29166666666667,3.54808975642309,0.657401201713676,391.5,-0.390055705842937,0.3915,999
"fr8_03",22,3.19672131147541,3.4803984312181,0.467366975417631,294.5,-0.606968687698151,0.2945,999
"fr9_03",20,3.78217821782178,3.61416862406961,0.645989021933747,644,0.260081190310691,0.644,999
"fr10_03",9,2.69642857142857,5.08946446446446,1.32774273472671,19,-1.80233401429867,0.019,999
