"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"fr1_00",12,65,69.5695695695696,7.68316190566437,253,-0.594751174799619,0.253,999
"fr2_00",16,79,83.3053053053053,7.79007396541619,281.5,-0.552665523385091,0.2815,999
"fr3_00",18,58,89.5185185185185,7.77343295637532,2,-4.05464595827881,0.002,999
"fr4_00",17,69,86.1761761761762,7.9168393746723,23.5,-2.16957492293282,0.0235,999
"fr5_00",10,67,62.047047047047,7.92403745118891,724,0.625054207966902,0.724,999
"fr6_00",16,73,83.1611611611612,7.8550912132827,94.5,-1.29357646973965,0.0945,999
"fr7_00",8,46,53.7497497497497,7.7096247681433,179.5,-1.00520453106515,0.1795,999
"fr8_00",13,66,73.2292292292292,7.81284760390667,154,-0.925300171683163,0.154,999
"fr9_00",22,99,100.469469469469,8.00293150314977,440,-0.183616399676934,0.44,999
"fr10_00",13,57,72.977977977978,8.07328131914351,37.5,-1.97911819820904,0.0375,999
"fo1_00",19,90,92.5255255255255,7.61400323019882,375,-0.331694832425173,0.375,999
"fo2_00",19,89,92.035035035035,8.1216806861702,350,-0.37369543968937,0.35,999
"fo3_00",15,69,80.2472472472472,7.91917651294731,86.5,-1.42025464754558,0.0865,999
"fo4_00",7,40,48.6966966966967,7.5332994298447,156,-1.15443396053567,0.156,999
"fo5_00",23,94,103.081081081081,7.69420782801152,128,-1.18024899821662,0.128,999
"fo6_00",18,88,89.3753753753754,7.7855934368912,418,-0.17665645997623,0.418,999
"fo7_00",18,88,89.4504504504504,7.69947147662331,431.5,-0.188383118874357,0.4315,999
"fo8_00",24,101,105.86986986987,7.7842322438591,255,-0.625606959981398,0.255,999
"fo9_00",18,85,89.027027027027,7.95857701895279,302.5,-0.505998373507846,0.3025,999
"fo10_00",20,93,95.4424424424424,7.98736730803507,370.5,-0.305788171277088,0.3705,999
"bc1_00",18,82,88.983983983984,7.9738892369326,195,-0.875856658710072,0.195,999
"bc2_00",15,81,79.956956956957,8.04092420517043,536.5,0.129716810708444,0.5365,999
"bc3_00",16,67,83.3883883883884,7.70480586206099,26.5,-2.12703456541144,0.0265,999
"bc4_00",5,39,38.3913913913914,7.16999187817058,531,0.0848827472819805,0.531,999
"bc5_00",14,72,76.3723723723724,7.97563156591551,279,-0.548216443580223,0.279,999
"bc6_00",16,64,83.9099099099099,7.94532240933421,15.5,-2.5058655752622,0.0155,999
"bc7_00",20,95,95.4304304304304,7.5210402876818,469.5,-0.0572301721525686,0.4695,999
"bc8_00",15,88,80.2452452452452,7.80684369844682,839,0.99332778447935,0.839,999
"bc9_00",20,96,95.1351351351351,7.54762811332347,536,0.114587636258623,0.536,999
"bc10_00",11,65,66.1511511511512,8.1125707259625,398.5,-0.141897209902546,0.3985,999
"na1_00",15,71,79.7917917917918,8.20129350303588,133.5,-1.07200062874683,0.1335,999
"na2_00",14,61,76.7537537537538,7.89532112169307,35,-1.99532780376329,0.035,999
"na3_00",10,55,61.6936936936937,8.17655075412241,212.5,-0.818645159185113,0.2125,999
"na4_00",10,63,61.6106106106106,7.57114072457183,549.5,0.183511235616078,0.5495,999
"na5_00",15,85,79.5135135135135,7.71210221721582,763.5,0.711412573635102,0.7635,999
"na6_00",14,64,76.5815815815816,7.90012183140255,62.5,-1.59258070319504,0.0625,999
"na7_00",14,57,76.9239239239239,7.4174291184799,5,-2.68609562770005,0.005,999
"na8_00",15,69,79.5545545545546,7.96741716300052,89.5,-1.32471468966986,0.0895,999
"na9_00",26,113,110.706706706707,7.45427377146728,627.5,0.307648117523041,0.6275,999
"na10_00",17,85,85.983983983984,7.77744952964119,440,-0.126517565975049,0.44,999
"fr1_01",19,85,92.0890890890891,8.01883248483911,180,-0.884055017047949,0.18,999
"fr2_01",20,99,95.2792792792793,7.84577551730975,690,0.474232370338901,0.69,999
"fr3_01",19,99,92.6156156156156,7.69225180763999,803,0.829975999751254,0.803,999
"fr4_01",9,60,57.9279279279279,7.93919848321748,574,0.260992602269888,0.574,999
"fr5_01",24,102,105.740740740741,7.68856813794842,308,-0.486532820367111,0.308,999
"fr6_01",9,53,58.039039039039,7.99771244082016,258,-0.630060042334091,0.258,999
"fr7_01",14,67,76.5305305305305,8.00781299461546,115,-1.19015398298374,0.115,999
"fr8_01",11,53,65.975975975976,7.98303709034319,71.5,-1.62544352846269,0.0715,999
"fr9_01",16,87,83.1131131131131,7.76161733309941,695.5,0.500783112600934,0.6955,999
"fr10_01",5,36,38.3533533533534,7.19651623760988,389,-0.327012859507555,0.389,999
"fo1_01",20,88,95.04004004004,7.79627874841866,180,-0.903000042355847,0.18,999
"fo2_01",11,71,66.0710710710711,8.17089229618072,726.5,0.603230192035799,0.7265,999
"fo3_01",17,86,86.2842842842843,7.74656580859655,484.5,-0.0366981048516758,0.4845,999
"fo4_01",20,86,94.968968968969,7.70472345805924,106.5,-1.16408707175432,0.1065,999
"fo5_01",25,118,108.277277277277,7.36169704354343,906,1.32071758253758,0.906,999
"fo6_01",15,74,80.2022022022022,8.13988147924449,210,-0.761952396729229,0.21,999
"fo7_01",17,92,86.1211211211211,7.87924548183838,767,0.746122061107205,0.767,999
"fo8_01",17,81,86.1511511511512,7.96800818806974,256,-0.646479148812098,0.256,999
"fo9_01",22,91,100.362362362362,7.75894498494374,113,-1.20665404646251,0.113,999
"fo10_01",17,75,86.1311311311311,7.98921002198419,82,-1.39327056123211,0.082,999
"bc1_01",22,109,100.085085085085,7.47673531092194,884.5,1.19235395452506,0.8845,999
"bc2_01",9,63,57.8798798798799,7.98982228249147,730,0.640830288721204,0.73,999
"bc3_01",8,51,53.4844844844845,7.67432733923495,348,-0.32373970703368,0.348,999
"bc4_01",11,55,65.5425425425425,7.79457842654991,100.5,-1.35254813866938,0.1005,999
"bc5_01",18,90,88.6296296296296,7.64262929416435,554,0.179306141594063,0.554,999
"bc6_01",18,85,89.036036036036,8.04326369606714,296.5,-0.501790838712588,0.2965,999
"bc7_01",17,81,86.1811811811812,8.02252628928886,247.5,-0.645829130918369,0.2475,999
"bc8_01",12,74,69.4094094094094,7.91851990377523,719,0.579728364186088,0.719,999
"bc9_01",19,81,92.4414414414414,7.52952267728971,64.5,-1.51954405767988,0.0645,999
"bc10_01",9,60,57.8268268268268,8.11348867244645,566.5,0.267846947337624,0.5665,999
"na1_01",7,50,48.7667667667668,7.73915018252987,509.5,0.159349954988223,0.5095,999
"na2_01",12,57,69.4464464464464,8.27707102145883,82.5,-1.50372594534688,0.0825,999
"na3_01",13,71,73.044044044044,7.92146206103589,383.5,-0.25803873430112,0.3835,999
"na4_01",13,76,73.2722722722723,8.4344663368061,602.5,0.323402527060253,0.6025,999
"na5_01",19,93,92.1731731731732,8.14897863210686,538,0.101463859970027,0.538,999
"na6_01",8,54,53.2942942942943,7.94353050168121,499.5,0.0888403091744086,0.4995,999
"na7_01",12,63,69.3943943943944,8.08401578617155,197,-0.79099231910613,0.197,999
"na8_01",8,54,53.5745745745746,8.06574899236331,478,0.0527446894055615,0.478,999
"na9_01",13,60,72.8668668668669,8.17832888921285,68,-1.57328802022601,0.068,999
"na10_01",14,62,76.9109109109109,7.92253774239229,49.5,-1.8820877092355,0.0495,999
"fr1_02",18,87,88.9319319319319,7.64947058113925,382.5,-0.252557600090045,0.3825,999
"fr2_02",17,95,85.963963963964,7.79527005132271,883,1.15916908285978,0.883,999
"fr3_02",9,52,57.6246246246246,7.88470490107196,238,-0.713358926579475,0.238,999
"fr4_02",6,41,43.5335335335335,7.48871071700815,381.5,-0.33831371370501,0.3815,999
"fr5_02",14,75,76.4594594594595,8.03425208225074,405.5,-0.181654676069187,0.4055,999
"fr6_02",13,61,72.987987987988,7.86037064706712,64.5,-1.52511739283706,0.0645,999
"fr7_02",11,66,65.952952952953,7.8902027469238,474,0.00596271712604433,0.474,999
"fr8_02",7,57,48.7077077077077,7.71412120611388,865,1.07494970207626,0.865,999
"fr9_02",17,78,86.5265265265265,7.91089195160615,139,-1.07782113302601,0.139,999
"fr10_02",6,51,43.5095095095095,7.32536563066346,843,1.02254151780982,0.843,999
"fo1_02",16,80,83.0860860860861,7.9299662879013,320,-0.389167617369888,0.32,999
"fo2_02",16,81,83.053053053053,7.83050584776309,383,-0.262186516805876,0.383,999
"fo3_02",16,88,82.8708708708709,8.153483975837,731,0.629072080638092,0.731,999
"fo4_02",14,85,76.981981981982,7.89292545385524,854,1.01584869449156,0.854,999
"fo5_02",21,88,97.8878878878879,7.71105467311619,95.5,-1.28230032168764,0.0955,999
"fo6_02",19,84,92.3413413413413,7.81798211120907,141,-1.06694300686387,0.141,999
"fo7_02",17,90,85.9209209209209,7.99904508032972,686,0.509945754538858,0.686,999
"fo8_02",16,74,83.3423423423423,7.80016692944281,119.5,-1.19771056528013,0.1195,999
"fo9_02",15,75,80.01001001001,7.47446554412022,231.5,-0.670283377512005,0.2315,999
"fo10_02",20,96,95.1171171171171,7.75367889263138,525.5,0.113866320118301,0.5255,999
"bc1_02",14,70,76.3283283283283,8.06302257061561,199,-0.784858069403266,0.199,999
"bc2_02",19,85,92.3153153153153,7.92169060489964,178.5,-0.923453803003961,0.1785,999
"bc3_02",11,72,65.6826826826827,7.83908878865926,787,0.805873933518462,0.787,999
"bc4_02",7,44,48.5975975975976,7.46308444902111,286,-0.616045232906435,0.286,999
"bc5_02",20,89,95.2592592592593,7.70093895401065,201.5,-0.812791699380947,0.2015,999
"bc6_02",17,84,86.1401401401401,7.76859591853453,383.5,-0.275486093315028,0.3835,999
"bc7_02",15,81,80.1951951951952,7.58273913586258,540.5,0.106136422522895,0.5405,999
"bc8_02",13,78,73.2082082082082,7.9111228293799,723.5,0.605703121432561,0.7235,999
"bc9_02",15,77,79.983983983984,7.84262438589662,335,-0.380482838034432,0.335,999
"bc10_02",12,78,69.998998998999,8.49136063359805,835,0.942251936555748,0.835,999
"na1_02",15,67,80.021021021021,8.11098852349176,64,-1.60535562136581,0.064,999
"na2_02",14,78,76.4224224224224,7.9720037270806,561.5,0.1978897190199,0.5615,999
"na3_02",11,71,65.5155155155155,7.71365740298146,750,0.711009602573824,0.75,999
"na4_02",11,59,66.2362362362362,7.96650353702671,185,-0.90833277141015,0.185,999
"na5_02",15,85,80.1751751751752,8.1150509825412,722.5,0.594552620212123,0.7225,999
"na6_02",18,89,89.0910910910911,7.69227227913465,496.5,-0.0118418963585276,0.4965,999
"na7_02",15,90,79.8578578578579,7.86610239888315,906,1.28934784062589,0.906,999
"na8_02",15,86,79.956956956957,7.55813468714651,788.5,0.799541592361399,0.7885,999
"na9_02",12,73,69.4464464464464,7.96465670306513,668.5,0.446165313338113,0.6685,999
"na10_02",11,71,66.0620620620621,8.05418474682722,725,0.613089728278599,0.725,999
"fr1_03",14,74,76.8298298298298,8.06083278088025,333,-0.351059240000859,0.333,999
"fr2_03",18,80,89.5865865865866,7.69849295953151,98,-1.24525496574202,0.098,999
"fr3_03",12,66,69.6036036036036,8.2199856054457,298.5,-0.438395366679989,0.2985,999
"fr4_03",20,91,95.7337337337337,7.47749952668111,251.5,-0.633063728970211,0.2515,999
"fr5_03",14,67,76.8898898898899,7.86648912732157,101,-1.25721776637823,0.101,999
"fr6_03",20,79,95.3983983983984,7.70468440372215,17,-2.12836730735866,0.017,999
"fr7_03",21,92,98.1581581581582,7.30161888128833,197.5,-0.843396273933102,0.1975,999
"fr8_03",22,95,100.816816816817,7.40345187576924,222,-0.785689826100534,0.222,999
"fr9_03",20,85,95.1101101101101,7.6580139882594,83.5,-1.32020000559023,0.0835,999
"fr10_03",9,42,57.7897897897898,7.949354711958,31,-1.98629830494765,0.031,999
"fo1_03",23,96,102.871871871872,7.77911491477753,182,-0.88337451588712,0.182,999
"fo2_03",19,91,92.2542542542542,8.03607967684272,431,-0.156077876861847,0.431,999
"fo3_03",24,102,105.636636636637,7.48512881692165,315.5,-0.485848236628244,0.3155,999
"fo4_03",16,75,83.1641641641642,8.00557653065996,148,-1.01980964555105,0.148,999
"fo5_03",24,104,105.81981981982,7.52388098908025,384,-0.241872488740983,0.384,999
"fo6_03",26,109,111.132132132132,7.59288234355866,379,-0.280806686533329,0.379,999
"fo7_03",26,107,110.853853853854,7.54058243304333,301,-0.511081721879467,0.301,999
"fo8_03",20,94,95.044044044044,7.74325371004323,437.5,-0.134832730934528,0.4375,999
"fo9_03",27,105,113.657657657658,7.29035097602483,110.5,-1.18755018601016,0.1105,999
"fo10_03",15,78,79.3843843843844,7.80437139185729,412,-0.177385764320339,0.412,999
"bc1_03",26,103,110.548548548549,7.55098869393321,153.5,-0.999676844253969,0.1535,999
"bc2_03",24,90,105.65965965966,7.51886633650691,20,-2.08271552635883,0.02,999
"bc3_03",14,73,76.6746746746747,7.46785155737816,302.5,-0.492065843360817,0.3025,999
"bc4_03",14,66,76.6146146146146,7.76164369527043,89.5,-1.36757303367103,0.0895,999
"bc5_03",26,117,111.174174174174,7.47069717806487,771.5,0.779823580981353,0.7715,999
"bc6_03",31,130,122.730730730731,7.48937567909982,824.5,0.970610846716531,0.8245,999
"bc7_03",20,98,95.2522522522522,7.6040828891855,637,0.361351630142748,0.637,999
"bc8_03",18,83,89.6526526526526,7.4569217398427,186,-0.892144625456801,0.186,999
"bc9_03",24,102,105.508508508509,7.53506683062344,322,-0.465624073067209,0.322,999
"bc10_03",14,76,76.8968968968969,7.72915649347208,444.5,-0.116040721604537,0.4445,999
"na1_03",22,90,100.920920920921,7.61016306767378,77,-1.43504427221941,0.077,999
"na2_03",23,92,103.115115115115,7.45553027121557,68.5,-1.49085507143986,0.0685,999
"na3_03",22,100,100.998998998999,7.38471848706947,438.5,-0.135279225707552,0.4385,999
"na4_03",18,82,89.4134134134134,7.69654037394177,158,-0.963213736721639,0.158,999
"na5_03",24,103,105.602602602603,7.62716070330377,369,-0.341228237327589,0.369,999
"na6_03",20,79,95.0790790790791,7.77687033305217,29.5,-2.06755139155941,0.0295,999
"na7_03",25,102,108.487487487487,7.75369803771812,208.5,-0.836695916700507,0.2085,999
"na8_03",25,108,108.16016016016,7.51660648967442,487,-0.0213075089643408,0.487,999
"na9_03",22,87,100.521521521522,7.57072778044082,34.5,-1.78602664283541,0.0345,999
"na10_03",19,91,91.7927927927928,7.62524733381888,458,-0.103969452804064,0.458,999
