"","PD","SR"
"fr1_00",35.13957249687,13
"fr2_00",44.77575849583,16
"fr3_00",45.13281728753,19
"fr4_00",46.86793838542,20
"fr5_00",37.14759670133,12
"fr6_00",46.48770773128,17
"fr7_00",27.42427807883,9
"fr8_00",43.07058324051,16
"fr9_00",66.3471860265,26
"fr10_00",48.08099971333,17
"fo1_00",52.44468397223,21
"fo2_00",52.58139678225,20
"fo3_00",44.67081684353,15
"fo4_00",28.39223628562,9
"fo5_00",60.3051618283,25
"fo6_00",52.61912053652,21
"fo7_00",49.47508171078,20
"fo8_00",57.10842063276,24
"fo9_00",50.9933307389,19
"fo10_00",52.71933088008,23
"bc1_00",53.6310097838,18
"bc2_00",49.03069654032,17
"bc3_00",48.93765241344,17
"bc4_00",20.81723938904,5
"bc5_00",41.20155137104,14
"bc6_00",49.83135647774,17
"bc7_00",57.9101585002,22
"bc8_00",48.28068836313,16
"bc9_00",60.2406674613,22
"bc10_00",40.89709167141,12
"na1_00",44.93080607306,17
"na2_00",41.20041648253,14
"na3_00",33.55864602421,11
"na4_00",38.04176723133,11
"na5_00",46.70414901573,18
"na6_00",38.07277961524,14
"na7_00",39.37664512814,14
"na8_00",41.39069380913,16
"na9_00",66.20852545318,28
"na10_00",52.4432215114,18
"fr1_01",51.6413312274,20
"fr2_01",59.22095292507,22
"fr3_01",44.37092793292,19
"fr4_01",32.82395364013,10
"fr5_01",61.35367750177,29
"fr6_01",29.75637564854,10
"fr7_01",43.57599399671,14
"fr8_01",37.06630509943,12
"fr9_01",46.47895541742,17
"fr10_01",26.56623736144,6
"fo1_01",56.53493913909,22
"fo2_01",40.8094236942,12
"fo3_01",48.36578952042,18
"fo4_01",52.1074698591,22
"fo5_01",66.55922507897,27
"fo6_01",42.14666266274,16
"fo7_01",51.8496323244,18
"fo8_01",45.26307307151,17
"fo9_01",56.07707734882,23
"fo10_01",45.75300112582,17
"bc1_01",59.0871219697,23
"bc2_01",35.13249181341,9
"bc3_01",32.42686065824,9
"bc4_01",36.13974001712,11
"bc5_01",52.79700083292,20
"bc6_01",54.63481521891,18
"bc7_01",51.62815812811,17
"bc8_01",42.53980790753,13
"bc9_01",47.74995827942,19
"bc10_01",30.39590772084,9
"na1_01",33.25884911314,8
"na2_01",38.46129823624,12
"na3_01",39.10913800384,13
"na4_01",43.52417719949,13
"na5_01",61.0670709891,20
"na6_01",31.12549050324,8
"na7_01",41.51378008644,12
"na8_01",33.06399307744,9
"na9_01",40.83530215951,13
"na10_01",43.2358367301,16
"fr1_02",44.788384008,18
"fr2_02",49.2838443682,18
"fr3_02",34.55354822501,9
"fr4_02",25.68798795231,6
"fr5_02",41.05857995898,14
"fr6_02",43.80964282823,14
"fr7_02",36.3506629665,11
"fr8_02",25.77152502991,7
"fr9_02",42.67999843772,17
"fr10_02",25.44233167741,6
"fo1_02",47.53012889901,16
"fo2_02",44.77277189011,16
"fo3_02",49.38548392141,16
"fo4_02",44.74705307334,15
"fo5_02",58.99268440688,22
"fo6_02",46.05457909243,19
"fo7_02",51.6210695787,18
"fo8_02",47.62286059953,16
"fo9_02",49.06632557753,16
"fo10_02",54.58202171843,20
"bc1_02",47.99917203391,14
"bc2_02",51.20761673512,19
"bc3_02",37.87431958613,11
"bc4_02",31.09685650141,7
"bc5_02",60.36772849249,21
"bc6_02",47.45375912661,17
"bc7_02",51.2069299428,15
"bc8_02",40.80525700633,14
"bc9_02",45.77438850923,15
"bc10_02",35.48603374321,12
"na1_02",47.41019691334,15
"na2_02",43.36875519213,14
"na3_02",37.88740882884,11
"na4_02",38.91103679593,11
"na5_02",45.30484187963,15
"na6_02",48.3733911599,19
"na7_02",50.3265927258,15
"na8_02",44.5778941792,15
"na9_02",38.99150138623,12
"na10_02",45.17634908443,12
"fr1_03",55.2299123465,21
"fr2_03",60.144038837,27
"fr3_03",49.5377940124,20
"fr4_03",62.23051364002,26
"fr5_03",54.54879948273,22
"fr6_03",62.24834293804,25
"fr7_03",68.45276653039,29
"fr8_03",71.23442561711,27
"fr9_03",51.17424038561,23
"fr10_03",36.970067107,13
"fo1_03",69.06178841138,32
"fo2_03",64.0127909083,27
"fo3_03",72.1412181771,33
"fo4_03",57.47940062282,24
"fo5_03",82.60485375295,36
"fo6_03",70.30889689533,29
"fo7_03",76.15111024148,34
"fo8_03",56.19611381648,23
"fo9_03",71.23499327209,34
"fo10_03",56.0934886545,23
"bc1_03",70.9837320583,29
"bc2_03",66.58783077729,30
"bc3_03",52.5345736533,21
"bc4_03",48.53150793563,18
"bc5_03",81.5647422443,34
"bc6_03",82.57241031538,36
"bc7_03",59.56062216061,25
"bc8_03",59.312897495,23
"bc9_03",63.8223931562,27
"bc10_03",37.48404308366,15
"na1_03",73.41363978023,33
"na2_03",67.9043004043,32
"na3_03",64.1729539143,26
"na4_03",57.45296210003,26
"na5_03",65.9107463159,27
"na6_03",56.81528311851,21
"na7_03",69.78260670642,31
"na8_03",70.67777274735,32
"na9_03",64.1607184776,26
"na10_03",66.405589375,28
