"","PD","SR"
"fr1_00",85.95772049962,13
"fr2_00",96.61624482178,16
"fr3_00",74.41006923808,19
"fr4_00",105.98972267247,20
"fr5_00",100.5752098582,12
"fr6_00",91.7032821183,17
"fr7_00",66.6577481191,9
"fr8_00",102.32325449213,16
"fr9_00",120.93711156083,26
"fr10_00",103.76865516651,17
"fo1_00",110.3566945007,21
"fo2_00",109.55940660928,20
"fo3_00",82.7431807131,15
"fo4_00",64.446919487,9
"fo5_00",110.6555257373,25
"fo6_00",111.398815293,21
"fo7_00",111.4499702936,20
"fo8_00",113.65461336988,24
"fo9_00",103.73951088513,19
"fo10_00",109.58885027193,23
"bc1_00",94.4235613558,18
"bc2_00",97.69392178342,17
"bc3_00",87.29810988571,17
"bc4_00",47.04820685801,5
"bc5_00",84.59501176577,14
"bc6_00",76.828205796,17
"bc7_00",113.88333701903,22
"bc8_00",104.46943157488,16
"bc9_00",114.05669666234,22
"bc10_00",71.3314576651,12
"na1_00",83.84365941758,17
"na2_00",68.5956299245,14
"na3_00",72.18244481981,11
"na4_00",78.33898554763,11
"na5_00",113.8694942079,18
"na6_00",72.7762580216,14
"na7_00",64.9333094995,14
"na8_00",86.1367596539,16
"na9_00",134.5317110973,28
"na10_00",99.7913565886,18
"fr1_01",103.34750131253,20
"fr2_01",121.32808529771,22
"fr3_01",114.2311879206,19
"fr4_01",72.3178835488,10
"fr5_01",131.16153777547,29
"fr6_01",64.232024242,10
"fr7_01",76.93285753883,14
"fr8_01",61.8401417576,12
"fr9_01",103.10122951603,17
"fr10_01",48.3348927268,6
"fo1_01",113.37111873513,22
"fo2_01",84.3718909879,12
"fo3_01",102.8386899365,18
"fo4_01",100.503000873,22
"fo5_01",146.0991008432,27
"fo6_01",86.3678481186,16
"fo7_01",111.4487538833,18
"fo8_01",98.87767881353,17
"fo9_01",110.0689313893,23
"fo10_01",86.16029340133,17
"bc1_01",129.8768816056,23
"bc2_01",69.1401733683,9
"bc3_01",61.9394051786,9
"bc4_01",64.4856842311,11
"bc5_01",109.6781265662,20
"bc6_01",96.17424194023,18
"bc7_01",90.5973541204,17
"bc8_01",87.1520090845,13
"bc9_01",94.5981913559,19
"bc10_01",69.7061466264,9
"na1_01",57.7358838997,8
"na2_01",66.73305301503,12
"na3_01",78.6924824227,13
"na4_01",88.40986348768,13
"na5_01",112.20649680163,20
"na6_01",62.4222683385,8
"na7_01",77.25355139633,12
"na8_01",69.0684125954,9
"na9_01",70.41952986043,13
"na10_01",73.6564030421,16
"fr1_02",102.97315247923,18
"fr2_02",113.7693281231,18
"fr3_02",60.1875165816,9
"fr4_02",46.7790386517,6
"fr5_02",89.1169870677,14
"fr6_02",84.9112175277,14
"fr7_02",72.6277489082,11
"fr8_02",63.417084549,7
"fr9_02",88.7253777608,17
"fr10_02",59.8847785337,6
"fo1_02",92.8048506897,16
"fo2_02",91.5404034273,16
"fo3_02",96.5390056146,16
"fo4_02",102.5335954246,15
"fo5_02",111.5959553131,22
"fo6_02",95.23102951921,19
"fo7_02",104.5732209054,18
"fo8_02",89.5538558915,16
"fo9_02",89.6492797047,16
"fo10_02",113.88880985033,20
"bc1_02",82.78169922333,14
"bc2_02",102.8428720863,19
"bc3_02",84.6394347361,11
"bc4_02",50.7111172987,7
"bc5_02",104.51192038149,21
"bc6_02",99.0933846591,17
"bc7_02",91.2165907103,15
"bc8_02",91.6215056949,14
"bc9_02",88.4255161293,15
"bc10_02",91.0963664005,12
"na1_02",77.0836988486,15
"na2_02",92.9968010934,14
"na3_02",79.7587960775,11
"na4_02",70.8132036577,11
"na5_02",98.248999727,15
"na6_02",101.9323445301,19
"na7_02",101.2897162733,15
"na8_02",97.3968533023,15
"na9_02",90.57312336321,12
"na10_02",86.9368120497,12
"fr1_03",110.8934337754,21
"fr2_03",124.3404401754,27
"fr3_03",108.41151514204,20
"fr4_03",131.70954308653,26
"fr5_03",99.3185402062,22
"fr6_03",107.07666782105,25
"fr7_03",128.04644239341,29
"fr8_03",128.74868939691,27
"fr9_03",111.07021601463,23
"fr10_03",78.6871086879,13
"fo1_03",139.89133293403,32
"fo2_03",122.75546491592,27
"fo3_03",140.1768914985,33
"fo4_03",115.93247181863,24
"fo5_03",172.51997911213,36
"fo6_03",136.08279343179,29
"fo7_03",143.26257661423,34
"fo8_03",130.11806315813,23
"fo9_03",153.4597742276,34
"fo10_03",114.99545009353,23
"bc1_03",128.70801670283,29
"bc2_03",118.82052743303,30
"bc3_03",105.3690218301,21
"bc4_03",100.92793354641,18
"bc5_03",151.88199691618,34
"bc6_03",162.29926250891,36
"bc7_03",124.21900265047,25
"bc8_03",106.3780792335,23
"bc9_03",123.51091429631,27
"bc10_03",88.84129255213,15
"na1_03",131.73843827171,33
"na2_03",137.68443754223,32
"na3_03",127.49994659057,26
"na4_03",117.86860605578,26
"na5_03",122.6891344948,27
"na6_03",92.4078255955,21
"na7_03",129.02886583633,31
"na8_03",150.73741318423,32
"na9_03",118.5436006997,26
"na10_03",128.01442162366,28
