,,,Estimate,Std. Error,t value
(Intercept),1,ultra,12.18431982,1.057568047,11.52107409
crosstypeHybrid,1,ultra,2.394728549,0.686389921,3.488874874
crosstypeNarrowleaf,1,ultra,0.572636842,0.594431109,0.963335926
(Intercept),2,all,9.617076057,1.034743945,9.294160261
crosstypefo,2,all,1.562282731,0.126984705,12.30292048
crosstypena,2,all,0.74696525,0.109971981,6.792323335
(Intercept),3,ue,6.716952777,0.647325815,10.37646364
crosstypefo,3,ue,0.821758155,0.369356309,2.224838553
crosstypena,3,ue,0.834066297,0.319871946,2.607500618
(Intercept),4,equal,6.716952777,0.647325815,10.37646364
crosstypefo,4,equal,0.821758155,0.369356309,2.224838553
crosstypena,4,equal,0.834066297,0.319871946,2.607500618
