,,,Estimate,Std. Error,t value
(Intercept),1,ultra,1.643416556,0.357491478,4.597078975
crosstypeHybrid,1,ultra,-0.860784967,0.21369253,-4.028147204
crosstypeNarrowleaf,1,ultra,-0.160488342,0.18506316,-0.867208484
(Intercept),2,all,1.509640309,0.270846802,5.573779345
crosstypefo,2,all,-0.476106097,0.044416662,-10.7190877
crosstypena,2,all,-0.445423848,0.038465958,-11.5796895
(Intercept),3,ue,1.836464986,0.311568867,5.894250615
crosstypefo,3,ue,-0.560817464,0.15182098,-3.693939167
crosstypena,3,ue,-0.507726228,0.131480825,-3.861599027
(Intercept),4,equal,2.029513417,0.2880941,7.044619858
crosstypefo,4,equal,-0.260849961,0.195373,-1.335138228
crosstypena,4,equal,-0.854964113,0.169197981,-5.053039674
