"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"14","PD.lmm.14",5,2239.46926953948,0,1,0.627475447028118,-1114.63909336847,0.627475447028118
"17","PD.lmm.17",6,2241.54655734396,2.07728780448042,0.353934326209913,0.222085099557161,-1114.63909336847,0.849560546585279
"22","PD.lmm.22",7,2242.92462561959,3.45535608010823,0.177696535553242,0.111500213081618,-1114.28282563031,0.961060759666897
"25","PD.lmm.25",8,2245.02867376865,5.55940422917183,0.0620569904966067,0.038939237853078,-1114.28282563031,0.999999997519975
"12","PD.lmm.12",4,2279.30184828845,39.8325787489671,2.24112161709029e-09,1.40624878852811e-09,-1135.58743208073,0.999999998926224
"16","PD.lmm.16",5,2281.09524159335,41.6259720538733,9.14186948145945e-10,5.73629863955148e-10,-1135.4520793954,0.999999999499854
"20","PD.lmm.20",6,2282.02963046201,42.5603609225282,5.72974180026949e-10,3.59527229747979e-10,-1134.88062992749,0.999999999859381
"24","PD.lmm.24",7,2283.90710427201,44.4378347325351,2.24102547774694e-10,1.40618846345066e-10,-1134.77406495652,1
"6","PD.lmm.6",6,2707.58695104858,468.1176815091,2.23633581774422e-102,1.40324581694404e-102,-1347.65929022078,1
"9","PD.lmm.9",7,2709.67755480052,470.208285261045,7.86263622557802e-103,4.93361118046404e-103,-1347.65929022077,1
"4","PD.lmm.4",5,2839.13624600374,599.666976464259,6.08093793734109e-131,3.81563925058334e-131,-1414.4725816006,1
"8","PD.lmm.8",6,2841.21353425116,601.744264711684,2.15225219491354e-131,1.35048540812062e-131,-1414.47258182207,1
"10","PD.lmm.10",4,2948.71376364408,709.244494104602,9.76146373253359e-155,6.12507881922028e-155,-1470.29338975855,1
"13","PD.lmm.13",4,2948.7137638576,709.244494318121,9.76146269040743e-155,6.12507816531169e-155,-1470.29338986531,1
"11","PD.lmm.11",4,2948.7137638675,709.244494328025,9.76146264206672e-155,6.12507813497909e-155,-1470.29338987026,1
"15","PD.lmm.15",5,2950.77786250324,711.308592963763,3.47777573279573e-155,2.18221888259954e-155,-1470.29338985035,1
"18","PD.lmm.18",6,2952.6885271856,713.219257646124,1.33784564291959e-155,8.3946529284559e-156,-1470.21007828929,1
"21","PD.lmm.21",6,2952.68852739915,713.219257859666,1.33784550007643e-155,8.39465203215013e-156,-1470.21007839606,1
"19","PD.lmm.19",6,2952.68852740788,713.219257868399,1.33784549423475e-155,8.39465199549501e-156,-1470.21007840042,1
"23","PD.lmm.23",7,2954.77913112134,715.309861581861,4.7036731094385e-156,2.95143938701906e-156,-1470.21007838118,1
"3","PD.lmm.3",5,3050.98153693372,811.512267394241,6.05829109522955e-177,3.80142891320563e-177,-1520.39522706559,1
"5","PD.lmm.5",5,3093.22577025303,853.756500713553,4.06566345041232e-186,2.55110399101335e-186,-1541.51734372524,1
"2","PD.lmm.2",5,3093.22577031476,853.756500775281,4.06566332492997e-186,2.55110391227626e-186,-1541.51734375611,1
"7","PD.lmm.7",6,3095.30305799382,855.833788454341,1.43897789974391e-186,9.02923300905393e-187,-1541.5173436934,1
"1","PD.lmm.1",3,3098.53326093947,859.063991399993,2.86170239253357e-187,1.79564798801643e-187,-1546.22865578619,1
