"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,5.93771904545926,5.38528939671056,5.55859299266165,5.16188944371869,4.61217311902759,3.70235435592829,4.1443189010436,6.77478467134301,5.52643212069767,6.70902170671296,7.15355895518192,9.89449857322749,6.22177802809033,6.89795753053297,7.26220601439454,6.41885713895354,7.37597842205734,6.2431259018874,7.63736403984526,8.36204644080714,8.40137384858588,7.47852789933748,8.99113127562524,8.2106823278745,7.70333131502861,7.2844009401101,6.71481503855349,8.21994172653391,8.95559743987478,7.89211355332755,8.56865689798456,5.50860351323417,8.37307284973372,7.88719438618264,8.08986965845776,6.68822571906929,6.97784482367496,8.62375028870746,7.93846680193605,6.55684405176285,4.49351046101745,4.66601838611331,5.25929051710021,4.66065717682058,4.96978954510954,4.17366775263603,3.90578877052296,4.33738893657966,3.45248504289444,6.19271553081013,6.68659736158112,5.58606447721467,8.47999615051927,4.83424861700183,5.24927579676838,5.5340683989857,6.34537347265496,6.37903257939081,4.66920209076455,5.5468592434409,7.50420382750347,6.24645964949194,7.00658121208648,6.98667917034757,7.71527656476722,7.63826826063452,7.02788844972605,8.39919971916896,8.25370100284727,6.94091944849427,7.59157616959795,6.93650220854874,8.01830860526876,7.37510630382874,7.2698454421125,8.04025154890143,7.33659147103323,7.68882221557368,7.8112395049353,7.83389799421692,7.24423807817395,7.14432660595295,7.6128681253917,6.11496240010801,7.8516522964581,3.88694876844881,3.16222472458239,3.98045100278063,3.35223596066237,4.40132936362121,8.16135069053255,6.34937142230366,9.51167484548083,4.42036863378694,4.64460938258556,4.87557676146992,5.80553735183309,5.14494337561995,6.04874688579241,8.85425171395798,8.79009325436405,9.13433414051654,7.10420042564264,8.94625213062977,8.53431304878551,9.33145677071261,8.75841939973088,8.61517402022728,8.85291878429632,8.5679033634422,8.61456935667847,9.02490144698422,8.94880470673909,8.76305538262139,8.12704271625308,8.43390016918749,7.92093206693312,8.61999848846552,7.88451433556151,8.21297379957968,8.62350732777233,7.04212503254994,8.11603679957461,7.13494684248116,7.27464973202921,7.30042542545657,7.2618818583617,8.3804335850714,6.181308137399,8.00269046617385,8.91549052022527,8.40344162059813,9.72407723657213,6.99537338232588,8.02803422059172,8.3053527008799,7.59504337878257,8.57029134235879,7.75165731698296,8.51402868899982,8.65053542456724,6.87771096463732,7.79154563408173,8.41554660086581,8.34888739397134,8.49205123869079,8.53154817760444,8.34289617535725,9.11687431063903,8.54853953923088,8.91115172047969,8.658655748612,8.26934238952998,8.7613547232495,8.28375843191184,8.74820213154461,8.09196355606199,8.31652412174467,8.32975271221729
"fr2_00",5.93771904545926,0,6.65056274333202,6.89197377362152,6.54594262125244,6.25218802245318,5.64279838304045,5.90830404896803,7.92713514784514,6.83459764505583,7.82700054635849,8.09141874196469,10.7986529372625,7.23174407689423,7.73547438271396,8.41918411538998,7.66612880809362,8.24533364732112,7.4294619986613,8.78308887361149,9.00742679705723,9.05753870097265,8.18718185332052,9.02823281942658,8.94213590162411,8.51496335862902,8.32502508540008,7.85118436651011,9.0082692977772,9.53574913125426,8.70151386295409,9.253319097186,6.93904330498502,9.08224908890364,8.69672788059637,8.80895395196869,7.70524746854461,7.86635547318093,9.34735629675098,8.61626541939193,7.7894302342806,6.23903266464605,6.43800340393777,6.8847211793564,6.40904722150809,6.58595253253025,5.9814240197012,5.82086388037371,6.1899406337911,5.52428401754962,7.5416005198789,8.12017455771366,7.11098395871632,9.63307779510611,6.58615096198685,6.79354305021648,7.10396471528394,7.60263815470744,7.60233493846523,6.32628903543811,7.12421575170529,8.38736766274977,7.30261985985674,8.05606176018994,8.1308615296589,8.61268840271915,8.54781095360997,8.19434205672969,8.92300331981402,8.82217643679954,8.06296596664992,8.50293509282217,7.97346437321198,8.97270944180529,8.42861444173522,8.2996732192252,8.89704570443092,8.44564306616975,8.47802377666488,8.64212113314493,8.76949757500436,8.30103460006312,7.83064738108024,7.9345177226752,7.57420085604209,8.5625864850843,5.81618645365716,5.25257273665151,5.91838498150064,5.47350124937543,6.26446693029244,9.22990548534204,7.68974738011352,10.53192456994,6.30287160934996,6.42532864333318,6.60672534408238,7.37478272772209,6.8714025499553,7.54154901099579,9.46364381064829,9.44786562189253,9.7534348807976,8.21990355844796,9.6126106912068,9.24891078022496,9.92394409338331,9.44692160076095,9.23281808137905,9.70422074965604,9.2660051825175,9.30241717464496,9.64544330152762,9.89522168364558,9.428296214977,8.97277812588937,9.1908180210407,8.9130529009839,9.31661016124601,8.79030707960331,8.95473032841842,9.15274461947735,8.0534783185257,8.73562656365456,8.10773126207991,7.92789471067138,8.06974530961419,8.28290932961162,8.88225715190333,7.21119769226052,8.84443583116885,9.36296125599359,8.96701297160479,10.6745892308699,8.10473382606097,8.88944609022239,8.9177501232712,8.59665222245228,9.20373415349724,8.56773963601564,9.09299489352808,9.10139616458696,7.44829463852753,8.60859923076976,9.25429731656822,8.94675325772746,9.08917144846778,9.14439868564026,8.95197575905357,9.80848690443625,8.99088466194807,9.3974813483493,9.1968171596518,8.97783497345196,9.28229554874272,8.90824235907382,9.28696480815525,8.73928477273717,8.73344652835685,9.05770250593687
"fr3_00",5.38528939671056,6.65056274333202,0,6.11514928397562,5.793823366254,5.62028955198127,5.03802194968541,5.36449391112542,7.13206711955016,5.94147592842878,6.97955333358875,7.16127855829329,10.1294711109079,6.35737359524162,6.57156825869062,7.66093169925389,6.88302258558648,7.21468823773255,6.69694579849937,8.15325974206368,7.95620337881713,7.96697150180612,7.09047249407705,7.92951442748575,7.91003293421883,7.5681029220601,7.53690306874637,7.13932515330847,7.9807097845773,8.35451645567565,7.70538460799122,8.21642331629656,6.30681737505359,8.04507106034635,7.71120384704323,7.75389452396862,6.76010984945886,6.79084210816049,8.28331270230249,7.6132417967398,7.01254815426527,5.63787334030155,5.90459495627485,6.30095349883523,5.8470362452904,5.9549746807383,5.35643228159517,5.24797431189659,5.65106441955914,4.99217012265385,6.84528843020268,7.48857873372249,6.48370512883188,8.99308170227337,6.08464529484254,6.11354738353109,6.53509348017039,6.81525074402681,6.70806778495536,5.77522633636456,6.49110296560018,7.46309236743663,6.38356064097592,7.19295991853229,7.40362404045268,7.6561999376474,7.63568568594765,7.37402504080181,7.68926841131171,7.71366124384703,7.22615871401545,7.62028700432874,7.1197096821817,8.15703857056213,7.61310948859572,7.47220465067208,7.99410475673963,7.71516021510433,7.39331048893952,7.66029510806934,7.83829025541677,7.38014201599882,6.58512950914173,6.30682104706337,6.85803500540246,7.54984858031002,5.22746537451037,4.69812510383604,5.35008289390086,4.96308007935957,5.69634210833408,8.43261308765963,6.90880403846247,9.91258088665046,5.7644646707949,5.82876529529991,6.00260574928634,6.70275393717855,6.26003133555406,6.92040053120715,8.30788142420475,8.36056329024093,8.65739628905121,7.28464845763986,8.54168695479174,8.18867368703587,8.83877220818542,8.36085386961877,8.05564718440755,8.96221929332748,8.16920783241441,8.20552448328477,8.53194838127191,9.18498152897177,8.33699889398901,8.01239492624947,8.15790462867131,8.03203954687663,8.22015915024246,7.87180644116593,7.84957775576523,7.86308171629329,7.15196450901893,7.68175429064106,7.18896603121548,6.86499424495936,6.8191293485008,7.41283614422712,7.61452208453893,6.06772558708074,8.02449635859264,8.13784237896277,7.75591050327561,10.0295936094424,7.46458698665462,7.93054607513439,7.7872785483151,7.75469875490007,8.204159669452,7.58842214710766,7.96293358431823,7.84450004986818,6.29351801058422,7.6409009046725,8.44579668286594,7.84695298440265,7.9656444902025,8.01079037897406,7.81732072956183,8.95593245118918,7.72647264315261,8.14212219058884,7.99659973791062,8.04855694865382,8.06671649404765,7.71699953484812,8.17061046994322,7.63590048841486,7.4111843458532,8.12405244356735
"fr4_00",5.55859299266165,6.89197377362152,6.11514928397562,0,5.89559513803028,5.68541741053014,5.15312454151939,5.57772940205913,7.49125242674196,6.24532927571912,7.22781416233905,7.46257707040863,9.98447223210364,6.67761954963835,6.99637180661955,7.79611524056873,7.09210022537382,7.16174452772379,6.84306271124773,8.27932796600454,7.97382494338834,7.54661415655769,7.27931486151969,8.41528647991914,7.65792798984265,7.65332167365179,7.52617841112261,7.36134173001907,7.6000988961886,7.94791481439688,7.44642503609791,7.93094696460297,6.59440325628625,7.78897270605857,7.42502618004275,7.57288213492124,6.88106991612126,7.14884006090577,7.8627246520994,7.59384466306211,7.14305043027742,5.81802653474974,5.98378134647362,6.53045701036917,5.99493722266627,5.99338112165285,5.41095466114866,5.34356968776938,5.74251990258593,5.04287785787751,6.97752533373642,7.48903715956617,6.50222770977233,8.91169020867532,6.17441780710012,6.2050959583171,6.73920919818477,6.8862405726886,6.89579367437158,5.91309875025245,6.53676753501535,7.42578574501711,6.42029742346607,7.2595700323784,7.55669584690116,7.5076426620656,7.763171559074,7.20797786245281,7.68205388429118,8.04451604286083,7.13623857556329,7.72944679926908,7.16259290360019,8.29805658565906,7.59878424151926,7.44845767683689,7.70224246460545,7.7137849989079,7.33965420717419,7.56042085504889,7.80249416509062,7.34680686554018,6.94367215690704,6.94487218629802,6.80139525419038,7.84859135880389,5.26332593639925,4.76990343141841,5.42652054441798,5.01478439876444,5.74660973409111,8.34491386606698,6.86385501737763,9.76048115757545,5.83223770748888,5.95296900761387,6.08621373595467,6.73955597515751,6.37244625553893,6.98290627674071,7.73914357670608,7.83986914069939,8.15693016504698,6.94237976520444,8.04318892019599,7.74213859268731,8.73226965043143,7.79937928523058,7.666369209541,9.02706580329679,7.70058170542095,7.67525437869065,8.03498971658277,9.49318535971274,7.78630748133812,7.6772173193321,7.68702681328238,7.92522496778122,7.71463141493613,7.48455882766831,8.08237279016885,8.10388130071427,7.4105910029713,7.99488727754054,7.38489585150585,6.7619494168528,7.15657144933576,7.69167259388133,7.94502827762053,6.39929638635754,8.23514731784211,8.44690827365678,8.11334214378623,9.88157030322789,7.69657513511096,8.19014664006725,8.05897073029017,8.0061889864314,8.26151606241535,7.66285444202216,7.93355538036157,7.80538310020991,6.04354970677209,7.74099881003456,8.6205838141967,7.71676161990827,8.2219000150827,8.15296909242821,7.90146898156237,8.9828214659877,7.96827723895171,8.27481541624922,7.9661743447619,8.22538052415377,7.93355839447069,7.67365849543595,8.12119983010856,7.95111439387112,7.80621706175424,7.98040110993639
"fr5_00",5.16188944371869,6.54594262125244,5.793823366254,5.89559513803028,0,5.23647285463325,4.7626936662707,4.98904507813461,6.99452418083703,5.91685952423216,6.91113414664442,7.23314347342537,9.50818373857233,6.3792479571711,6.82122803816232,7.40228111318336,6.74143344920092,6.91970594662584,6.50092127753817,7.77253612076446,7.78506491126226,7.39109220131082,7.10865720747515,8.49513665196324,7.4025713691412,7.3200040796496,7.14919017852146,6.88667649334307,7.31106907609241,7.82603301833151,7.21211931391336,7.78595648016823,6.04279666609891,7.61068029982303,7.13199199287626,7.30099336438252,6.49995599300486,6.89450812937892,7.63336098252138,7.37195609939283,6.8262580833021,5.38618567723394,5.60385000366411,6.03073096932852,5.51931815522465,5.54198782902566,5.08069192126728,5.00584299806868,5.36924336957938,4.74422121338539,6.68674180111976,7.05785842188618,6.08915473930013,8.42956744022627,5.68089502741821,5.7596126615494,6.18689566587308,6.56325218919869,6.71895996449846,5.50489452470415,6.11157495652708,7.07963832357389,6.15384491614795,6.94477432466062,7.11443038637853,7.20370101542124,7.48622606068921,6.87840714411361,7.57362788101391,7.84731023977936,6.73644784148952,7.31158898311652,6.73309553604819,7.95562506079163,7.16975098034185,7.05842267349875,7.36764120402982,7.50514107268223,7.13080033998911,7.34726021653912,7.68703484064904,7.29684680281094,6.87316806410265,6.95147894570069,6.5722592670176,7.62750631436658,4.94708239823598,4.43811879368774,5.08236860570433,4.6875747569305,5.44042004413036,8.13858327716635,6.68517893273933,9.25753964949505,5.46044145578711,5.60815689979106,5.77011870783912,6.46332938905448,5.97122650526391,6.6174208227888,7.58198776720374,7.61315602661755,8.05202641762407,6.79779490381782,7.86557774287018,7.54292017095297,8.84472190863777,7.64083515748998,7.52242765567114,8.66051668687951,7.51080494090346,7.48713546944386,7.98429669500828,8.95168949052822,7.55582729656445,7.50167016818031,7.42404800746189,7.89483721483599,7.51675248776201,7.21065299232246,7.85891791281397,8.08502521524175,7.04073663837452,7.83551843372618,6.99735484403168,6.5732183681033,7.08067161577456,7.26655027287611,7.93286508109576,6.30415848194137,7.87308632798101,8.35371598207003,7.96258201895693,9.38280809538956,7.25288406148204,7.86538887151487,7.93695043308127,7.59754213620487,8.15139846237168,7.5123405629983,7.76151221110872,7.74083827281626,5.92723470927735,7.47000248780672,8.23976155345242,7.55201342107681,8.0516854191222,7.93272965828926,7.70474860028431,8.68814877614066,7.9078829746708,8.17036786749132,7.85435374865103,7.95866252051374,7.83453939091955,7.52038542638953,8.02446895066621,7.74695083200282,7.78931197226744,7.82428213903889
"fr6_00",4.61217311902759,6.25218802245318,5.62028955198127,5.68541741053014,5.23647285463325,0,4.1873633210764,4.48902067506924,6.98975435394609,5.77390361597605,6.86272692697302,7.25345140109758,9.92386563461688,6.32231645888933,6.95756305227556,7.42926351663232,6.59112354785299,7.14332810116455,6.38617712653924,7.79494444443575,8.12823439364977,7.83532930856334,7.36212197906471,8.93444909985697,7.81754702759369,7.53239953867307,7.23589352596408,6.85934641262602,7.72737530912281,8.36267199803893,7.5280819196584,8.14875114564065,5.8016275525501,7.98735294005294,7.48061557849777,7.71504763343192,6.61326393315131,7.02960657052779,8.10025529332131,7.67605762350731,6.69633724722235,4.93482879040908,5.11915323045012,5.68622953754347,5.06367753475427,5.22122581096313,4.58540611951737,4.40851266363705,4.82280098294281,4.04492649883161,6.44819222526093,6.95044871847856,5.82534110595007,8.60977451462552,5.22762129382592,5.49130440189118,5.90635639803993,6.47651877770534,6.58107625736194,5.0815672314428,5.81414591038789,7.32025092078837,6.22073286154908,7.007608513753,7.11395025738095,7.47590818669469,7.59251652057278,6.94969199773379,8.04810313161519,8.18982890550477,6.85670626204143,7.52376871634346,6.87801403880543,8.0315612366248,7.26612673673354,7.19592180022532,7.69686602488055,7.41101668602508,7.45493571569269,7.57678306406622,7.73454798077029,7.25157226817555,7.11331803990816,7.49792098175539,6.27318986395678,7.82601339275856,4.37657267145374,3.7590299691321,4.49746424862033,3.97127980105581,4.88729160683362,8.19309001369858,6.49687146958775,9.59239950923469,4.9018335487662,5.13243632569777,5.30417531615231,6.12257414788695,5.56125949387158,6.33486785309121,8.18599210174108,8.17851688981075,8.55637061386616,6.90057659002714,8.37330698311567,8.01280682518012,9.06567104031754,8.15749095115175,8.07384656530739,8.8299315481289,8.01733816319587,8.01002134237225,8.45066995832268,9.0795409878142,8.13219641402145,7.78307022610482,7.91016955573433,7.87600981749119,8.04664111744872,7.50305988001135,8.07699314491372,8.37464785457373,7.07924892894939,8.08518042493399,7.04703387109665,6.91903819758736,7.26067573375932,7.31125997788495,8.24299805038983,6.30588384081937,8.02351653797374,8.7887340998673,8.3201968719829,9.76285286283585,7.12995942585584,8.0508725909609,8.19486299869682,7.66590469145043,8.40620873497815,7.66523814074996,8.20619151648318,8.25520138442989,6.38854299672644,7.65130522115798,8.38003836799605,7.97368528750795,8.35922042125978,8.3146630591631,8.10923242507978,9.04475407245399,8.33977593056157,8.6456092708362,8.29934909502535,8.19312089788085,8.32410083521718,7.94645813016538,8.41442550760208,8.02179805512705,8.19754068623284,8.06399869146166
"fr7_00",3.70235435592829,5.64279838304045,5.03802194968541,5.15312454151939,4.7626936662707,4.1873633210764,0,3.74013558937318,6.46661561057544,5.14031996751806,6.3741985161217,6.84544325855644,9.6411646764965,5.89280178991741,6.58215857525508,6.93929482316782,6.07642103278894,6.98345499956387,5.89184553550695,7.35406049669101,8.0250707523292,7.95445987689356,7.15973366971299,8.83391290555748,7.79199583729868,7.36565550271787,6.91479248667163,6.42330907029912,7.74681122578167,8.49080147653924,7.46041733213146,8.15348971225266,5.1782563192354,7.95561228506944,7.47499425982623,7.67178346343351,6.31990549815734,6.69159213317391,8.14725478558345,7.59308804790087,6.2078034171575,4.0713459455533,4.23459286999943,4.88151208866596,4.24313705772842,4.54444340806385,3.69137795348691,3.42704789969957,3.89433498172735,2.939719954239,5.84233085067809,6.31425068470464,5.18136710224579,8.16999712792166,4.41166660566556,4.83328749626785,5.15510679954106,5.96492762549134,6.00091407524134,4.2681409533672,5.12373880585317,7.16915372929405,5.88923853301475,6.68176418110715,6.69389534187316,7.31610771686331,7.33882891992543,6.59340501305638,8.02770844294764,8.00347347199463,6.54893072004308,7.28966282006464,6.60260924439566,7.71647313573087,7.01239563006433,6.92755541011034,7.6235539091753,7.04560363257483,7.28532259803368,7.45148485073336,7.47847328314697,6.85773270106859,6.85364997340379,7.34125433743559,5.68539419477679,7.5833561900364,3.3804125774911,2.63546284212822,3.48639849760177,2.83063518948493,3.93001878976152,7.81845120177283,5.93266370371943,9.2400669045707,3.94867202132648,4.18870117494013,4.42767635485382,5.3670889819131,4.69927201530462,5.6496094231747,8.3368664694152,8.29783699079366,8.67251045619784,6.60472637282513,8.46335952922876,8.0556028639394,9.01339420679224,8.24944996175527,8.13184570130606,8.5722080555698,8.07265175782946,8.10948555165077,8.5650383056561,8.68214627889268,8.25882706928308,7.68777289650166,7.94906049406049,7.56729187047566,8.11117088393265,7.41578258398171,7.89424288215021,8.32116952328636,6.71859064468736,7.85516589559727,6.80436292428812,6.91456830481635,6.95732701991598,6.9475527913977,8.07921894824024,5.81223954551355,7.74082696280439,8.65242274598827,8.12716271879578,9.46512593485197,6.74659998328157,7.703595054834,8.02062749924811,7.28246058527612,8.2726326985694,7.42731067235116,8.16285376243698,8.28270518941936,6.47450619984091,7.4788145444007,8.14290509684717,7.9685203792972,8.20338594123446,8.20074327592533,7.99698323511905,8.85880562930203,8.24081764724695,8.56909286105909,8.29195956710279,8.01962543831251,8.36540448303411,7.88381563194488,8.41530843785712,7.80572757866091,8.04357136224943,7.99974878362126
"fr8_00",4.1443189010436,5.90830404896803,5.36449391112542,5.57772940205913,4.98904507813461,4.48902067506924,3.74013558937318,0,6.61495824620844,5.52132574337196,6.68069733383193,7.14792160622257,9.89039449359986,6.14819830134059,6.93430241993797,7.22833479915825,6.3621150706409,7.33348895554748,6.12364659810912,7.48157827388935,8.34303921008024,8.36891195287606,7.48352982420835,9.14926204098487,8.15306624480937,7.58633415027139,7.18819098298702,6.55705226550295,8.12109030641954,8.96345378846211,7.83767582681226,8.5643295980911,5.3034992360305,8.36475672041979,7.77296795313241,8.00331383751192,6.56563203877518,6.95256928030832,8.56966742816929,7.88709397385577,6.49785127433683,4.46352223215805,4.70424028715706,5.17046117214196,4.58569238210056,4.88415546505159,4.23385894621705,3.98451825514441,4.3697935375439,3.59714228647012,6.19106834616279,6.68511863508569,5.53789479575508,8.45282046195217,4.73848856309306,5.16148078343319,5.39160890260647,6.3152214404166,6.47539506569839,4.60435742477884,5.48263518718569,7.36727051429512,6.21765099594422,6.91867636019802,6.8411032315199,7.62823000992595,7.54561303895836,6.97371078949046,8.44121701741607,8.24886825625648,6.81724662911316,7.4050777927686,6.76788641740754,7.90053114035729,7.18170301451157,7.12559116965681,7.91389438174595,7.33542805349555,7.68978778540948,7.77925852351153,7.86534622570111,7.36519861162106,7.25840701178077,7.77925519630614,6.1430457701028,7.77926804564596,3.99767724327627,3.29439477937154,4.0661178586381,3.48704054139598,4.49604079803982,8.21939089684174,6.43008081354043,9.49305762116481,4.4502958816992,4.72129972360206,4.92558111105023,5.87163917864179,5.15672864134625,6.02008195227884,8.84799496965308,8.7319381642171,9.14656870155595,7.18457604568264,8.92212200455958,8.49372613940275,9.4545791061469,8.75599523434725,8.63573709052767,8.7000540319962,8.54573365716227,8.58806558848815,9.06815700143584,8.68396754968255,8.70434819572744,8.10886139230848,8.36562517193479,8.01336267452461,8.60161810032894,7.79500434743645,8.15923124761567,8.67313608630129,6.9211464982811,8.15517627411272,6.95118017817713,7.21541793114073,7.39127008194331,7.09687667894959,8.44183988482522,6.31581098297242,7.89485265146757,8.99145319626573,8.43725579584785,9.69869061172418,6.81510573599406,7.95602091485301,8.31764993985738,7.44834651262625,8.59461046572754,7.7759698611602,8.52362905067637,8.70923132441617,6.88131473355171,7.70990086219448,8.27091659428573,8.30620426643721,8.47850215925387,8.48962365559665,8.32769569933522,9.09207089458251,8.62143830761378,8.94608612921638,8.67512530020289,8.21948982486581,8.78505284607809,8.29084410073273,8.76746613402559,8.05549101603692,8.43617145699766,8.33154040095357
"fr9_00",6.77478467134301,7.92713514784514,7.13206711955016,7.49125242674196,6.99452418083703,6.98975435394609,6.46661561057544,6.61495824620844,0,7.15344154637429,8.12005098520275,8.35113630960175,10.8541189047098,7.62675330549745,7.7510916461502,8.52774509420682,7.86738074178533,8.26419123254759,7.82335222275019,8.91550481842028,9.03983046888717,9.04210739780819,8.43843929978891,9.53409641898375,8.86235654150992,8.4213678421128,8.35750182138528,7.69761535731495,9.01141852191038,9.52693509007043,8.74001834667329,9.28230905047212,7.23847798889349,9.28482899842486,8.46674378736662,8.63553441529392,7.72236944789583,7.72807075514864,9.32143524496174,8.6347016133508,7.69863753233821,6.69930003373153,7.01742525966374,6.89449147468913,6.7556284381172,6.83605090513131,6.71977888982448,6.66300173822822,6.77683721454723,6.48931664447499,7.77408568774166,8.3643175322077,7.33057928152425,9.76552427319773,7.01902222459389,6.96533084081858,6.79330957723984,7.69777242648339,7.98619808291881,6.93171163929257,7.31852222790115,8.01529447077925,7.21470706151851,7.75209849727392,7.57038374996539,8.3459588283833,8.08999476917545,8.16772204428403,8.87964516956598,8.33946198284619,7.77287320044565,7.88374751058222,7.52087086279946,8.22386080238475,8.13572135981349,7.8155483328048,8.70514839656417,8.31522748619103,8.49686467198804,8.58345194198597,8.68221392767099,8.49128121066001,7.89547099255083,7.81065906064335,7.90692322950486,8.61717771386881,6.66322534231841,6.22146791997605,6.671555251825,6.40518067084317,6.94752252741382,9.25939959102663,8.06982311719132,10.6050256690704,6.88706840241038,7.06334474975873,7.148148257167,7.84861262342419,7.34657710375061,7.68611272739869,9.4487464123186,9.29466746503651,9.6025430516629,8.5175393625209,9.48063736668483,9.22745429263189,9.78963900151425,9.43633831757085,9.25958919180317,9.01078521035712,9.22468805996031,9.30827110719811,9.56271086986311,8.8160960463634,9.28346763515267,9.06855043920161,9.05748079730354,8.97766971451376,9.3520325064713,8.93918444886049,8.89403735733766,9.09666273559667,8.19109584339963,8.83547355527931,8.02552312733069,7.96684142611372,8.26246179701383,8.02152121101409,8.88223394804489,7.62939414477571,8.68962260091983,9.213868657323,8.97406985082148,10.7117050102241,8.21781294384621,8.60079334561997,8.73738750404233,8.28141315368006,9.14251563141741,8.84954719211307,9.08453891799333,9.0734178044263,7.41873851192707,8.45237337320053,8.89062521923705,9.02082311711787,8.75342431287613,8.80892726110721,8.77678531057119,9.81583217548178,8.99155050428224,9.2815103997531,9.10458196224689,8.80350003582507,9.24847912524174,8.74812811226189,9.19362642078776,8.62037602750623,8.77345972102405,9.25119874256848
"fr10_00",5.52643212069767,6.83459764505583,5.94147592842878,6.24532927571912,5.91685952423216,5.77390361597605,5.14031996751806,5.52132574337196,7.15344154637429,0,7.10752420486031,7.33598172670822,10.0202451012466,6.55417471737513,6.75936302775257,7.70908947666431,6.99281653403263,7.26617803831213,6.77625171356965,8.18201080649424,8.00730509562535,7.92344302098217,7.21381873883171,8.19719809897563,7.87366288439948,7.64117369560459,7.54833458761064,7.22037734100845,7.90995546787959,8.29609498865896,7.68181032556376,8.19642774206629,6.45579414519906,8.02687130913699,7.67882408304798,7.72185365495084,6.85047465783818,6.97561601387429,8.1852148583698,7.69199869964238,7.09353799740717,5.7372433970941,5.97488771115996,6.34829196410768,5.93282582006031,6.02072901463497,5.43867199214425,5.36003679864863,5.74630562852472,5.08750211865044,6.94563430669767,7.49027213651409,6.52970681265103,8.92502862309268,6.13961435457486,6.18348872673675,6.51111710910039,6.86733446927733,6.84984675324813,5.85205488967424,6.53144598928911,7.49597172974283,6.46059924931548,7.2750807810672,7.43908800462223,7.63285852275792,7.70265293192439,7.34693533939045,7.75670514725206,7.82080516078886,7.22358342225367,7.64760076152753,7.15523490733139,8.1383599085155,7.62426787564417,7.4756430582903,7.91496217625048,7.8126416072423,7.40500777838032,7.72275528417118,7.90644338712048,7.47001939594784,6.76996906125871,6.53782792224199,6.92870074333126,7.67991089018547,5.30550066924267,4.7846747518129,5.42767597502307,5.04333454279624,5.77043846168873,8.4397168331566,6.96891944304018,9.79209444281669,5.81844195615153,5.90093350378693,6.06771580849867,6.7611075336637,6.31174417239325,6.95040692818411,8.16885236414388,8.2236895045227,8.56005458522961,7.25007681880508,8.41600600139209,8.07966305864679,8.93154983647126,8.23016565720533,7.97325589406219,8.93357211570816,8.05183021762229,8.08494885378564,8.45852921057627,9.12446094067496,8.19030665495298,7.96347948003751,8.03621068345824,8.10170427022897,8.08743985844697,7.78880607377109,7.9880029232315,8.04261893199259,7.27011998954548,7.84030338187668,7.30626707097555,6.90770112718967,7.00468634817605,7.48087087424678,7.78755395769208,6.26054949984839,8.08734703895814,8.26349980101016,7.91165919517048,9.9168698538848,7.59066324341435,7.9604212083461,7.92195369879754,7.78455361567517,8.29205703105221,7.69730850138555,7.99750250328158,7.90051834066671,6.29413172198897,7.72095682839519,8.4814977239536,7.85427260299208,8.05843685697726,8.05034162061416,7.85509299021575,8.95272587871004,7.86572542971134,8.21409010438751,8.04007536563451,8.12362976713151,8.08600369151162,7.72830161246153,8.22433270016551,7.75705053887639,7.60256720186321,8.19815029857682
