"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,11.2753811667031,11.2844379275406,12.3107808188284,12.5296248190523,10.1591032056495,8.01054500352861,8.90226764011654,13.61970116199,11.8718551609144,13.9857190621536,14.4970184894153,25.3046565683975,12.9995764454085,14.3227517095195,16.473104704839,13.1933815116919,17.2214291439936,13.2142664755467,16.6780250381757,17.789945196365,20.910753091795,16.4085409451754,17.9820122559058,18.5817143485109,16.1093235495252,15.6598678762777,14.313131603192,18.8842207663498,20.0381035397824,18.178539012474,18.2512144065987,11.8175333963472,18.3561848118794,19.4160164861589,18.6068235677489,14.6924965630014,14.8698065915933,19.6405276932168,17.3172445350187,12.658028045399,9.40033172232394,9.81658667695995,10.3814856996114,9.48162170348822,11.1102215027659,9.15067636667822,8.14511564742794,8.57267593286285,6.96511698701665,11.7499528225737,15.7569105510885,12.226542111803,21.0926641448632,10.1293420976013,11.494693676148,11.2210435134531,13.8005967697013,12.5737156965673,10.0337787631232,11.4618775408741,16.9083488028266,15.0197880025099,14.5739487218614,14.204010100966,16.97911723024,15.0584091634629,15.2815773643745,18.7391275728134,17.1943889004766,15.3559596370011,15.86938644757,15.8074010451633,15.136779344435,15.3356851565147,15.5673106114612,17.8495857768185,13.3936653818238,17.1465555008624,16.8995819353647,14.9670648190905,13.9667907238976,15.1195488620266,17.1566023623408,11.5945778089629,16.1588764588531,8.61342950184825,7.13774290974093,8.14666638599248,6.84373088545464,8.71657961791258,17.0474468319978,12.9116914443059,24.3034171924076,8.5786662125794,9.52374454414182,9.40609509943727,11.49137816778,10.6200228215616,11.725585648813,20.7824229547654,20.4559166700512,19.9758375786097,15.5187062726237,19.9828182407609,19.554595097069,16.7397922449555,20.0483026765562,20.0564071280728,16.8020258429007,19.6880628947149,20.0526795813376,19.7799248581157,15.5053249164941,20.5616845465688,17.6152853649775,19.5910219283531,14.4478841906702,20.2152874938231,18.1483769834909,16.4052052720683,16.5003739383791,14.7282370805137,16.8213408634922,14.4959565243558,18.4345670842527,15.3919917970405,14.5189753674061,16.4766622520706,13.1361723717493,16.4229802775039,18.8860915717886,18.1537999912513,24.8075411850743,13.1125724528044,16.645926130029,16.3948811385659,15.5472948922629,17.2860746490872,16.6373037399557,18.9203189025871,19.1701206777532,20.0932871807597,15.9630767272134,15.9998455955884,18.7179403164949,16.902692517378,17.8647385635477,18.3117751601027,20.8331538311177,18.1020582259802,19.0331391193202,19.2166292124033,17.0509294497594,19.1143212970205,18.0658805672323,18.2378148327998,16.7816639606942,17.1203535315431,17.9848323697361
"fr2_00",11.2753811667031,0,12.7336651034829,13.9600908738788,14.2455243344099,12.5707817088832,11.1303695240195,11.6231240623601,14.628809801676,13.3855146187053,15.0802844808313,15.2107767885898,25.8025126838146,13.9316050226178,14.6552570557578,17.6057204983799,14.6046075787782,17.550580943489,14.5146793635535,17.8037175078142,17.6636841005819,20.6391982578523,16.4491573126402,16.7199832558513,18.5145545482283,16.3858602327965,16.5122728858515,15.3508586075334,18.9709239463743,19.6236311909834,18.3533414192456,18.1741698747661,13.6629899348301,18.3443215503489,19.4791615267593,18.5021869073807,15.4077836404669,15.2436198863585,19.5656289201754,17.2734234708623,13.9415306580951,11.9861178436751,12.5155925788691,12.6285886775211,12.0849956360115,13.3078448729699,11.9314691027998,11.2229524196361,11.4531646222387,10.4318330698091,13.3999360807893,17.5418233037363,14.2063631591225,22.1949457464371,12.7599826364095,13.5139715446083,13.2908390775983,15.1274136756583,13.9158101502116,12.4479103919882,13.5867260910984,17.1441248787344,15.7620047993456,15.3008740738142,15.1525449687215,17.2941597316136,15.4862788402733,16.3297641134144,18.2374680040529,16.841508311677,16.2063870594837,16.20245381593,16.4128289966082,15.6975624635843,16.1094726490004,16.1976106461898,18.0921408663012,14.3901441268267,17.2760971868314,17.1427262482885,15.5626961185063,14.8877356881261,15.1024506419143,16.1748172720494,13.5024514056423,16.2467293206288,11.7007910318073,10.6236436328813,11.2503200104745,10.419213933213,11.6429557644989,17.9546850895453,14.5062823560633,25.0762748391667,11.545817434971,12.2599240801339,12.0027650985669,13.695466606292,13.1802842933441,13.688341101688,20.3809830917422,20.1534810383262,19.6305591636,16.4727822643695,19.7529727944195,19.4481005443155,16.5191630457046,19.862056041293,19.7195344985456,17.1260173720085,19.522773398248,19.8651700998393,19.4540730999242,16.0187979616807,20.2662404181652,17.8982691837196,19.5362175636735,15.1960208215965,20.0475013248759,18.5647086815215,16.5449951113323,16.123236194239,15.5685745179891,16.763851522827,15.171995089209,18.2359744564278,15.5823989933638,15.314491192375,16.066110897563,14.0005484363335,16.7984755307316,18.294069720311,17.8604566481325,25.4125017346821,14.2428120268126,16.999074773561,16.2091693144118,16.2715051104584,17.1732562658563,16.9738276789003,18.5910076626036,18.5096865779506,19.6055703418011,16.2154601132619,16.3419451371066,18.4240113036449,16.6365157379204,17.5714243963983,18.0304733208903,20.8478003394715,17.5181158826318,18.4869518149205,18.7540096858665,17.0087805542138,18.6095524468287,17.7836367440771,17.8183181158624,16.6708176946105,16.5011762679202,18.0790064208465
"fr3_00",11.2844379275406,12.7336651034829,0,13.4324347615105,13.8224037880494,12.4291976784865,11.1335378186375,11.7040347673219,14.1763907074962,12.6810463168909,14.4039280555378,14.37142264586,25.8935039535792,13.1590766711073,13.2917431381333,17.2711034326489,14.1535364727154,16.4914388348746,14.1158709171731,17.7292231046181,16.4341192900959,19.4261505040694,15.1615947616752,15.0612316052748,17.3992782701156,15.4245757032313,15.9580403768125,15.0034319433505,17.9057937998059,18.2183472495002,17.3124239155005,17.0040282578404,13.5607879001388,17.1854557868902,18.525322426691,17.3444466281343,14.5081258892504,14.0878058993448,18.4313471063019,16.1480301282268,13.5215427266582,11.974837546456,12.5971307684993,12.6316194123236,12.1650087449363,13.2110526969042,11.8614441373743,11.2465519164889,11.5609385049743,10.5818330682744,13.1233018311617,17.5757294007662,14.0835366953654,22.3017093134043,12.9744793328007,13.3172027877943,13.3973996302391,14.6709478057948,13.1829185162067,12.4893491471236,13.513959036968,16.3148510470371,14.9633914942961,14.6408302584073,14.8174764428251,16.4194516305887,14.7450481703482,15.7949592739377,16.6539049514376,15.5645004389253,15.6218541912378,15.5178872228192,15.7690141632816,15.2309243364672,15.5985297745755,15.6338093143555,17.3023455123559,13.9519638622653,16.0560343107996,16.1385638460155,14.8007148204576,14.1178364254749,13.5128457235504,13.6913243593872,13.2371869686453,15.2106942660606,11.72478214394,10.7436206695763,11.3184120820655,10.6526625258725,11.7125510142844,17.5689182178905,14.0811334736376,25.2958292542976,11.710581950054,12.2675482148395,11.9929820069679,13.5500793592449,13.1893398707684,13.6213661193604,19.0125338225473,18.9464619663655,18.4183977076554,15.6521464116857,18.5857356115004,18.3121145008668,15.3603419768913,18.6607259699067,18.3026981051765,16.7725618989712,18.2993921155169,18.6374128889847,18.2000114361187,15.7800379522694,19.0541154646126,16.9950246344999,18.4585908751878,14.5232070128982,18.829166277427,17.7630003147357,15.4005018139112,14.5378526323974,14.8386807743922,15.5360552577227,14.384742748904,17.0403168449813,14.0749161561852,14.6806926770363,14.4650989899305,12.7018904769056,16.1152449402447,16.7980982452023,16.4324582965905,25.5588135826685,13.9072961030692,16.1671685214603,14.8852460376052,15.7208753051012,16.08817266052,15.9793302139941,17.233426436711,16.8438767481061,18.2179427212605,15.2435359597606,15.6842199323262,17.1552617979414,15.3146046075804,16.2588903665409,16.7199118762126,20.2413106206779,15.8515520709483,16.9632631947107,17.3129849993391,15.9439680224551,17.0904860516849,16.3433348004165,16.4695595115023,15.4467925686122,14.6692231032836,17.0867366294874
"fr4_00",12.3107808188284,13.9600908738788,13.4324347615105,0,14.42657143728,13.0229890559371,11.9286754657908,12.7807471818791,15.4340950535625,13.9057418664353,15.5518894697881,15.6950822191495,26.2025206618609,14.5671139625626,14.861256043129,18.1486418135937,15.1997600751482,16.5144637886857,15.0094755643682,18.5894448340788,16.7630304263969,17.8813801737723,15.8736557369038,16.9772978123675,16.6960016411039,15.8458293170757,16.1797848909952,15.9794931266559,16.829374218867,17.1285038224568,16.518899631063,16.3587582045474,14.7820209470625,16.616334696376,17.4191239784718,16.788500869426,15.0281054230592,15.540054147707,17.2575137816004,16.3362094162657,14.3605001671342,12.9218675789605,13.2616658022507,13.5704601905795,13.0070160518033,13.6039907998566,12.397646020135,11.9709228126869,12.3136033811753,11.2834412638816,13.9843584744224,18.1029975346841,14.4643973341308,22.693303353458,13.6709640309226,13.8524126206748,14.2498111969503,15.2196203441698,14.2162422151243,13.3673097132542,14.0105515377864,16.4120375154239,15.3167297340471,15.1282162662437,15.5904291187791,16.1004447741022,15.5087567843052,15.5188769746126,16.7455000382151,16.8348693170281,15.4448580846626,15.9379683713356,15.8812635364011,15.9787257907466,15.7545155027518,15.723375557706,16.5098875648433,14.4981696198013,16.0167937759672,15.9680122116552,15.2879171567091,14.6417434538958,14.9244367158523,15.7948614314022,13.6533960096686,16.4739271436975,12.2761653929457,11.4657989762664,11.9978485587424,11.368023672227,12.3990022136196,18.0178759552125,14.5368889929291,25.578644443274,12.420618618479,13.0907821779695,12.762821493466,14.2131505607725,13.9435313672382,14.233577952564,17.3146425575617,17.3674513903178,17.1353402948807,14.964297929538,17.1842046649634,17.0694842295519,15.7983071066345,17.0660041924512,17.1996660699067,17.3629342482725,16.9407042571035,17.0983205457371,16.9228134603946,16.8555487510693,17.3647811895652,16.3005103696177,17.0429056856201,14.9730780024359,17.3422575266672,16.7709317517001,16.4998281238426,15.7164256519886,16.024500433984,16.9076795826707,15.2588701993884,16.9604257620913,15.5061667323547,15.7421549246752,15.8187683778903,14.144469181052,17.0903165353402,18.1388117453192,17.9256411155033,25.8420143369701,15.0519950101088,17.2200293396111,16.0709774428306,16.7773347637531,16.6904619712668,16.6866123303113,17.3633326861313,16.9233355641325,17.6250904678152,15.9496342920729,16.4951257595089,16.9896050019018,16.3171249397128,16.9284890900998,17.1086539282044,20.8721537340605,16.874645110516,17.673093561244,17.3115312791035,16.9802168312366,16.8932760106393,16.3553802577565,16.6234262591267,16.6608928087383,16.1870947745273,16.9557043142486
"fr5_00",12.5296248190523,14.2455243344099,13.8224037880494,14.42657143728,0,13.0962996584031,12.2052720151314,12.5738511179683,15.6347433855259,14.3569432513768,16.00679161532,16.2750689249313,26.22938585147,14.927860601654,15.6313264406829,18.4224699253968,15.5187376595143,17.1862661475,15.3862043713098,18.6485711262467,17.5520990604862,18.8210704840015,16.6841935675752,18.1949607143587,17.4769314089029,16.3407283124083,16.5898184187109,16.1651779698416,17.5223358025731,18.1231856295074,17.3013542648477,17.2593356107997,14.7512126290863,17.4620976483221,18.1234060655575,17.5563270817078,15.4532692910436,16.1325154814335,18.0874592078265,17.0462457362014,14.7887643805054,13.1607539352028,13.6011915883945,13.7775023536197,13.1275521220804,13.846876469106,12.8438363193664,12.3746652382868,12.6432729419494,11.7366919214603,14.4664276482895,18.3265955705,14.7893183732241,22.7583170678352,13.7790013346049,14.11995468868,14.3095046886893,15.719897592561,14.9142314648173,13.6623244285632,14.3159970971945,16.962513231897,15.9724768017724,15.6628629367577,15.8576875882516,16.7634475771631,16.0312450730133,16.0728117554376,17.7574783811329,17.5816600822874,15.9326376954318,16.3615674930511,16.3205521220985,16.3958257393981,16.0775711203471,16.1780909075962,17.1382872773415,15.081428504981,16.863049238129,16.7257808687168,16.0065847212974,15.5130000058477,15.871845683153,16.9940881012516,14.18178715606,17.0931188865997,12.7441594661172,11.8851179221154,12.4105124105215,11.7767714486081,12.8471517802151,18.5640054510942,15.1977035035265,25.5646142044232,12.7499926402112,13.4935004752514,13.1984562135288,14.7036749849257,14.2672156423205,14.6188448560892,18.3440765796502,18.2731932452897,18.1477087241267,15.8441046900907,18.1165622840456,17.9616814863221,16.8869426801304,18.0480424234585,18.2134902902748,17.7513563605348,17.8833068584756,18.0378625269986,17.9994655054116,17.0426063469918,18.2776184044352,17.1246659989762,17.873635393481,15.8241255162693,18.284165255167,17.4787642966311,17.0474189517198,16.6184363460766,16.3248761685251,17.6238670198603,15.4954294347056,17.7494643309535,16.3822003824788,15.993005788987,16.8016045386897,14.9803762111857,17.4659460136566,19.0048372845398,18.6478667156278,25.8239718479021,15.1718077580247,17.763320791899,16.872660362596,17.0690606370598,17.5148963537644,17.4205405837892,18.2043509128496,17.9788172952812,18.6378198552485,16.4735777024176,16.8781077412174,17.8518696247238,17.0912026072941,17.6480400192609,17.9166136524726,21.3484625720751,17.8516602372649,18.5582733781765,18.2413014326172,17.5940190813173,17.8777290737259,17.2643030119386,17.5582382374362,17.3269458374944,17.2254209957909,17.7214489419353
"fr6_00",10.1591032056495,12.5707817088832,12.4291976784865,13.0229890559371,13.0962996584031,0,9.73249524364611,10.2753656791368,14.6953334608261,13.030826362151,14.9514898570396,15.3864841654276,26.2985336908691,13.8088798809176,15.0681215404537,17.5456459539025,14.2315009584404,16.9526924248709,14.13079447141,17.7316776279004,17.5745926448469,19.3457578681625,16.4945464441708,18.4187938944406,17.6869979733096,15.996935281715,15.8910414682137,15.1629582126703,17.705258708473,18.6576684039059,17.3205930106932,17.3798810245249,13.1117915934693,17.5786991647068,18.3324277013295,17.7636757177739,14.8091438491332,15.5976475029994,18.4126240654901,16.9590369299664,13.5503888953682,11.0288498227018,11.4305658707365,11.9115166899363,10.9918291176522,12.1076747211373,10.6235079303492,9.88778862107097,10.2920939413777,8.97945119362666,12.9439533183369,17.0744062407579,13.2349448283801,22.2223132996635,11.6298424252614,12.4953124182526,12.6389796636586,14.6049919824873,13.6599362868598,11.6019423816178,12.5940118473332,16.757920693472,15.3215351182879,14.9599334383787,14.9882350650587,16.5908959341577,15.4652612487852,15.3559208457667,18.1350339329576,17.6053022781397,15.3488197423355,16.0142726439543,15.8657981434752,15.7238169120255,15.4053842364937,15.6690615339033,17.1041728828595,14.0639536034042,16.7956266467912,16.5275785090937,15.2962974343692,14.5600427375556,15.6427092800832,17.4894399110525,12.528448089185,16.6895642321271,10.3180395535863,9.16070058888616,9.93845157642499,8.9482832532637,10.474703217313,17.8231083164522,13.8410479480627,25.4140590851113,10.334825189781,11.2913105664795,11.0403965345883,12.8848279124897,12.2141576035621,12.9477422059409,19.0408601595825,18.8644878778477,18.6249867342538,15.2396033164043,18.5720759856154,18.3038321801886,16.7065560430939,18.5267077525482,18.7600734583098,17.2670264880394,18.3147069524658,18.519701765454,18.4353963829029,16.335887187068,18.8929410329375,16.9944825413629,18.2482254376752,14.9686092102167,18.7649131043393,17.3412767091107,16.7034222718848,16.5730390249374,15.4539488435311,17.3832040940259,14.7451332738665,17.8454607579057,15.9591872644863,15.1580671468724,16.7431241079649,14.0958317838758,16.9930580566074,19.2493908153405,18.6564725343433,25.80470232672,13.9690810291697,17.2757901021109,16.705367276281,16.3087730524442,17.366774017441,16.9867834556423,18.476718397969,18.4784691987436,19.0797201349908,16.1010890726294,16.3713458530325,18.0693049296339,17.0484733460368,17.768483724727,18.0845657937898,21.3450869538859,18.1024945123288,18.9090231475297,18.6006394523989,17.4098866466375,18.294335121463,17.5038287249283,17.761818357362,17.1656659534684,17.4166075504983,17.6149282677296
"fr7_00",8.01054500352861,11.1303695240195,11.1335378186375,11.9286754657908,12.2052720151314,9.73249524364611,0,8.5795011114895,13.6674154994428,11.6541232474881,13.8665075993733,14.4769933176552,25.534956611062,12.9158884459413,14.313899091774,16.4493424983613,13.0650127301289,16.9277026569833,13.0640431596419,16.7276189437757,17.6213496378154,20.3232132596059,16.2730823719193,18.2512616724931,18.1903600420525,15.9421759148671,15.4137562042742,14.3264834936572,18.3618490761054,19.5430149577839,17.708886726716,17.8448219838644,11.7397390039675,17.9512302647545,18.9735801955596,18.2414786174558,14.4741622113074,14.9484270479164,19.1157784784321,17.1246137445993,12.5434359495336,9.07312223580502,9.40702946124051,10.158378443977,9.15647772854635,10.7378772236658,8.6241606069323,7.61655712041734,8.15905631286384,6.36896444788957,11.5745144166596,15.6095678233581,11.9028559171422,21.1519308145632,9.78709059838455,11.1702571594867,11.0585068084257,13.5854997655976,12.3521980305195,9.73782915592619,11.1346688357868,16.8059489225205,14.8366175632599,14.5022069128069,14.2482648805817,16.6975751985386,15.0814382587141,14.9066804258028,18.5035623604865,17.3549868726332,15.0893454220805,15.8775979793536,15.675489814339,15.1855286561892,15.1616205547392,15.4454336736891,17.4767375938557,13.3348023240702,16.8294689618054,16.6307612738982,14.8336426760922,13.7396061749266,15.1174918773229,17.2793316678339,11.2378177882244,16.2338818752332,8.03526241042587,6.52562975128162,7.6079311788573,6.24798979392073,8.24488038543478,16.9788820910004,12.6023534806482,24.4911840672966,8.12696855099931,9.10142060397241,9.01430622099599,11.1389594695197,10.2411600936779,11.4542081545696,20.1324277625586,19.8779896875228,19.4938398607592,14.9460476326893,19.432756023663,19.0218979655639,16.6987495046211,19.4248508184016,19.5207550652604,16.8870746176947,19.1109437269056,19.4347870165069,19.2801255963784,15.6736919929143,19.9515331535972,17.2003330894703,19.0367063754416,14.3124688809048,19.5992795653932,17.640524050285,16.3982885912225,16.5247825788128,14.6720285352579,16.8899887734336,14.3992208531302,18.2015180689719,15.3357295337298,14.4961633933742,16.5132741574463,12.9705457242527,16.4744391215997,19.0353540039664,18.2826740934319,25.0192848666999,13.1234092553959,16.6522634414806,16.4408779084877,15.5631451682263,17.2393952823066,16.5346746707496,18.7341652947965,18.9418516918335,19.7573407108339,15.9002893353125,16.0143533225019,18.4580722402174,16.9194580348396,17.8065467777708,18.1751470801583,20.97317274425,18.0774059635005,18.9787528691149,18.9916654226271,17.1162058873453,18.826105513739,17.7916057362448,18.0831413018792,16.8386342525357,17.1813633610625,17.7374062449328
"fr8_00",8.90226764011654,11.6231240623601,11.7040347673219,12.7807471818791,12.5738511179683,10.2753656791368,8.5795011114895,0,13.9468529052003,12.4069469908352,14.4454118550371,14.9941754033085,25.8660536423373,13.2659750174864,14.948333923437,16.9527614291193,13.5754925513667,17.6389028559796,13.4438629743001,16.9081752330188,18.2489937962773,21.3175542700079,16.9424383568189,18.808422555712,18.9523622488963,16.3533586428322,15.9774633651007,14.5241149914551,19.1460050390768,20.5080070888569,18.5504364196941,18.6967665639864,11.8721475601022,18.8140205555415,19.6896847645602,18.959568787038,14.9238007018256,15.332946806738,20.0218235556242,17.672024980233,13.0329725135885,9.86744495062474,10.4161608611711,10.7780271759833,9.83036743325428,11.4332587906202,9.78833688435431,8.81178008474112,9.13798723097638,7.76566709059477,12.253150740108,16.3083563151006,12.6582763999586,21.61048043385,10.4461981172662,11.8337327032391,11.5682756725256,14.290821959869,13.2806167105181,10.4141483665701,11.8718636046689,17.1542786574995,15.4810956035498,14.8852537035135,14.459401348471,17.328610308544,15.3905612015163,15.6946654611349,19.3429638134956,17.7554003187255,15.6297849917172,16.0537271127772,16.0156796110457,15.4748973511598,15.4491242416971,15.8119036764511,18.1099529447104,13.818250590574,17.6827178549839,17.3033251370382,15.4710602793129,14.6691184543245,15.8624349509076,18.0922214334986,12.0995166229331,16.5253805618677,9.36367353723568,7.938036971117,8.85071475188757,7.63978293181524,9.42563854088757,17.6525985265998,13.5729668771412,24.8463431703635,9.17730192253123,10.2268392354516,10.043625567819,12.1539376044789,11.2105118697891,12.2088374079253,21.2499831690638,20.8296658775814,20.4527791186353,16.1506187206156,20.4133594568613,19.95850654555,17.3992633087355,20.5137884780501,20.5970273065961,17.0282591553996,20.1387882639787,20.474472428571,20.3060269128012,15.6168796014263,20.932976611443,18.0653408530908,19.9485916580686,15.0739719358906,20.6775003334238,18.4719169159731,16.7700481473043,17.0600882726857,14.9868466515234,17.4083955552954,14.5625419136123,18.8031810263884,16.1048577864113,14.7226382502462,17.1317411160376,13.9253929571262,16.7412692805303,19.59713574669,18.7701434106824,25.3236412981214,13.188019366431,17.1177674402743,16.9457824088964,15.8225798617047,17.8257591075985,17.1946453673172,19.4499057254538,19.7926471326555,20.6200268259839,16.2757794832628,16.2372652579954,19.1097907818609,17.414366632521,18.3435073424396,18.8346965591421,21.3566532075287,18.7765689912528,19.6568353090626,19.7616195661191,17.4960369256212,19.6553715688304,18.6185321994486,18.7626730810413,17.2666821575856,17.889299024835,18.4204251178986
"fr9_00",13.61970116199,14.628809801676,14.1763907074962,15.4340950535625,15.6347433855259,14.6953334608261,13.6674154994428,13.9468529052003,0,14.578394889738,15.9803917496811,15.9272889315325,25.6184171355268,15.0785090760279,15.0130501011077,18.1680347961756,15.4449548043145,17.596433756852,15.595786812204,18.3727830010687,17.5744307845719,20.2226806999846,16.7428739665126,16.9910789998385,18.2068059672118,16.4157629463231,16.8184963379203,15.5980662899134,18.8539034704257,19.2136249870694,18.334162196868,18.0330950728614,15.0181717672628,18.3820647179722,19.0138437653542,18.1632840201415,15.9025364815818,15.3757884245627,19.2729624005416,17.2300236835483,14.4837739106159,13.7729782035027,14.4127413972703,13.7781980071838,13.7045349189049,14.6189499948185,14.1140110701799,13.672070382935,13.5017424980049,13.1790235113669,14.4129826008677,18.4868872573446,15.2384965776272,22.5101729433991,14.4551303638403,14.6999273367801,13.675661982153,15.7818896419321,15.041339919109,14.2644964061615,14.78752381538,16.6274467264327,15.904023904861,15.2552333577588,14.7591151960536,16.9873094804102,15.046862139082,16.6159102667425,17.9028368993396,16.1689242030953,16.1474028213665,15.5385174753067,16.066366214617,14.9570427178655,16.1030879003332,15.7528214378704,17.744075660548,14.5133865559102,17.3122016743639,17.0446211541981,15.7001597580642,15.5237844763763,15.1701737519162,15.8057755338473,14.8091488380831,16.4140143199029,14.1256970311451,13.3956810168886,13.6232788185067,13.2037103884033,13.8232318828103,18.2891450746015,15.6108075976755,25.0539602745612,13.6267256607339,14.3107214850673,13.8727989429845,15.2905618928535,14.9919723459848,14.8194228211647,19.8966805829507,19.5657586996145,19.0514654344628,17.1079037440442,19.243320636516,19.1413058341638,16.1832716656717,19.4830768297649,19.392286989853,16.5684682890469,19.1724859143659,19.5257245753965,18.9619922872907,15.3512298731347,19.6853423156911,17.9102606839678,19.1054761503484,15.521336071009,19.7614674175682,18.6873744805437,16.6253478985211,15.9160956824168,16.2504930392669,16.8891251822663,15.4996672091722,18.0316412049421,15.9955759780954,15.4900825658457,16.0482659447153,14.9798939265449,16.6912054348616,17.8376173524032,17.8051689454586,25.2528535881246,14.8617053485645,17.0359340443719,15.9279799595571,16.3774045054221,16.9866775877804,17.3598180622094,18.3020378646592,18.0682727516006,19.0771124730641,16.1198938059806,16.1080445330612,18.2127841554329,16.1932527995687,16.9821511759793,17.6909487555033,20.6764595682542,17.2935753635981,18.0388218972122,18.3472732637065,16.6780737984472,18.2228732819283,17.3769072620574,17.3863469759082,16.515441343447,16.3240062495761,18.0878166543
"fr10_00",11.8718551609144,13.3855146187053,12.6810463168909,13.9057418664353,14.3569432513768,13.030826362151,11.6541232474881,12.4069469908352,14.578394889738,0,14.9414092104619,15.0130167161571,25.7983394263176,13.9043338998775,14.0066863942513,17.6434333188928,14.6516673584356,16.7645746101771,14.5935971442966,18.0741867301558,16.741374010148,19.2584017084779,15.5861799196559,15.8578608749764,17.4682058147787,15.821159687086,16.2028722740958,15.4920483035472,17.897232518552,18.1917500684529,17.3634469123306,17.0951035019951,14.2426317743327,17.278302077477,18.4988432792155,17.4563786081469,14.9984844166666,14.8203868170255,18.3394667107185,16.5192494921888,14.0286373970761,12.5086507480064,13.0146841034898,13.0804561092839,12.6694641932427,13.6314737635713,12.2884390443349,11.7513141575531,12.06317139014,11.0522394726281,13.6100153225488,17.8241128680003,14.4288208770325,22.3446626661644,13.3959532991559,13.7657737175044,13.6805890607135,15.0474121099112,13.7346804543988,12.9725288219868,13.9005684812085,16.6496076382175,15.3599555152771,15.1212831378455,15.2293442395707,16.596845726476,15.1850682498557,15.9532854410847,16.949747173756,16.0837627952222,15.874373040702,15.8930138099862,16.097101330582,15.5209277669726,15.9173846508115,15.9135970858288,17.3125217836453,14.404669166214,16.2847593481463,16.4127444327132,15.2053676460425,14.5479138981461,14.1295428867537,14.4734278559116,13.6598683186653,15.7610380593087,12.1438176278251,11.2058433168442,11.7617181701597,11.1104330163884,12.1559842181818,17.8269477688155,14.4539403968707,25.1950400791648,12.1368242838355,12.6991259627137,12.4341159989116,13.9549346605302,13.6016964308106,13.9934299241754,18.7846668019673,18.7554937260213,18.3221368836125,15.7349637406313,18.4245362552004,18.1988444488542,15.7771781984456,18.4658595122853,18.229980978323,17.0645333816951,18.160099754991,18.4672669796819,18.1219736457552,16.1321978863531,18.8369007153231,17.045275833171,18.3217765553874,14.9185639967928,18.6371522297403,17.7256332406185,15.9827426849052,15.1645202720915,15.4110883304341,16.1183686327425,14.9481387679433,17.2836070877005,14.7615686013128,15.1677865828318,15.1172298314278,13.370670683547,16.526036513325,17.3156949591414,17.0465683729159,25.4631275022666,14.4856933557789,16.5791945803706,15.440329874831,16.1513143067438,16.4840719657564,16.4169647437043,17.4810654405084,17.1090396830292,18.3122383827705,15.681313335746,16.0612225789538,17.3398460473613,15.7785279887281,16.6024271527817,17.0091224130886,20.4470127906866,16.3634118657349,17.3274980402678,17.5289161669297,16.3816852950604,17.2917943005578,16.5555973048394,16.7624351304782,15.9721776036514,15.3062187569847,17.3182176800979
