"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,18.8732899451166,17.8399588665632,11.9094393478182,15.4095676458792,15.7188825601502,12.8096059900893,18.7594411989017,18.7686196531398,15.8277200094616,20.392158278475,17.7799770971129
"fo2000",18.8732899451166,0,20.4506420521241,18.5849881078047,18.8935839107274,19.5385750212886,18.5007545310056,18.6886994265529,20.6677675912767,19.1529961164451,19.1216426692586,19.8490477889378
"na2000",17.8399588665632,20.4506420521241,0,17.9086890713229,19.6787138135833,15.4605498014295,17.1828653284768,22.4757622014969,11.551959452957,16.6031462926253,21.6892904137337,15.0667596288138
"fr2001",11.9094393478182,18.5849881078047,17.9086890713229,0,14.4336758609281,15.2514616941018,11.8144667118175,17.9251881375925,18.9120380348566,15.9708656674001,20.2976266300788,18.143779482062
"fo2001",15.4095676458792,18.8935839107274,19.6787138135833,14.4336758609281,0,17.6153835150045,15.2290680660755,17.9964265691076,20.4069489101596,18.0340233165731,19.6938813201941,19.5793796376108
"na2001",15.7188825601502,19.5385750212886,15.4605498014295,15.2514616941018,17.6153835150045,0,15.244246234872,20.6942693336187,14.7383517711918,16.0551026766732,20.7869190603564,16.0643245665025
"fr2002",12.8096059900893,18.5007545310056,17.1828653284768,11.8144667118175,15.2290680660755,15.244246234872,0,18.3465785362177,17.7102739742756,15.2851043624252,19.961862220362,17.0502977913981
"fo2002",18.7594411989017,18.6886994265529,22.4757622014969,17.9251881375925,17.9964265691076,20.6942693336187,18.3465785362177,0,23.1752448493378,20.6044187280721,18.2388305155663,21.9458548608564
"na2002",18.7686196531398,20.6677675912767,11.551959452957,18.9120380348566,20.4069489101596,14.7383517711918,17.7102739742756,23.1752448493378,0,16.5949584996957,21.9990991306189,13.7924871313246
"fr2003",15.8277200094616,19.1529961164451,16.6031462926253,15.9708656674001,18.0340233165731,16.0551026766732,15.2851043624252,20.6044187280721,16.5949584996957,0,19.9679372767938,15.6947646404246
"fo2003",20.392158278475,19.1216426692586,21.6892904137337,20.2976266300788,19.6938813201941,20.7869190603564,19.961862220362,18.2388305155663,21.9990991306189,19.9679372767938,0,20.6713596415609
"na2003",17.7799770971129,19.8490477889378,15.0667596288138,18.143779482062,19.5793796376108,16.0643245665025,17.0502977913981,21.9458548608564,13.7924871313246,15.6947646404246,20.6713596415609,0
