"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,18.4969796812058,17.1439714338334,18.8004744140626,19.5232168680276,18.0068350724104,19.6532597567308,17.6474868746697,19.566210232676,18.7422085851738,19.8430277183266,19.6528520237069,18.6838088004869,18.7469833197607,18.3565632570442,19.973783431556,18.9515725926457,19.5592893888006,18.4631439876994,18.9394860691333,18.6305239139165,20.4407872201561,18.1735175501713,19.2210791719308,18.1915493802967,17.5772247028654,19.2591421300017,19.5542775938125,19.0609827600323,19.4859405822994,18.0576113355876,18.2575755090456,19.4751313845993,18.9606804619573,20.6253140134368,18.015417463172,17.8309926498247,20.8010432152721,19.7728910969962,18.8106944469363,19.0833062190196,19.2385189229942,19.4325973653117,18.1105927964335,19.1485849229148,17.9092211598615,18.1014920425657,16.9591813473788,18.5511131188109,17.9785751707571,18.7094489934381,20.1383423156199,19.7685738593827,19.7191520377378,19.2441460781434,18.5024946359111,19.5500740075667,19.4709733169959,19.653437070999,17.7823361864238,19.7600190051187,19.1154015607795,18.7682900237325,18.362582188428,20.3108061355875,18.989161745368,18.4176810691941,18.9536541744947,19.5160432640073,19.8791857566034,18.008116918151,18.2230834663263,18.8054733625136,19.1594127246207,18.4831373473212,18.0604159694231,17.4240706688003,17.4780288211355,17.9705718196284,18.1640141137925,19.9931522427171,20.3089211276479,17.3975257822184,18.7278707108859,18.660441683283,18.7183413597698,20.3484420887486,21.002443009578,18.1173503786819,20.4696125856949,18.3792779445983,19.5686325583697,19.2354790675192,19.3527460804687,19.0496512217399,20.3543601248927,19.1476979114024,21.0126390906187,19.0643333938404,19.515983320331,18.4618653000827,19.7871780605632,20.1519828470587,19.3217415261407,19.0261302498185,18.9035680932262,19.7147011582131,19.8298794264332,19.7817640988872,21.3521050496397,18.1774966861785,18.6536920910712,19.4474418721427,19.4521562055364,18.8487973442149,19.7672869085233,19.8990479953218,20.5269932839215,21.1514143758506,18.5998174021782,19.8219931925042,19.9189363814759,20.7090084998911,19.8562141161703,18.4169456969472,18.2749382268165,20.3781006565908,18.7004402704568,18.6756445760368,19.4486670068648,19.6928493447639,19.6571051590564,19.9494842640708,18.5979425011487,18.4701533887488,20.3697062746387,18.7770730954655,19.9352846108152,18.7737738239767,19.5456093385192,18.6713503331879,19.5919968664022,20.3949254804809,19.4082632217682,19.6439353614837,19.1228293746131,19.1058193697017,20.3671421731632,19.3082268766845,19.8481591846403,20.6803383264929,20.6520046061832,19.588310991755,19.8447511386436,18.8148401103044,18.366744292065,18.5873487167208,19.6151018794064,19.0394810496516,20.0988505211111
"fr2_00",18.4969796812058,0,17.3654699604908,18.8979845652924,20.1414504845521,18.4094040900022,19.78161067305,18.7447089734719,19.8329437385245,19.0277938328985,20.0566636664274,20.002301964345,18.770632910435,18.7386838330708,18.384418494473,20.098864126528,19.316572613914,19.6742288798047,18.8575074525783,19.5289861404299,18.5545757514569,20.8181816437654,18.2694272776353,19.0496087116225,18.3276866390232,17.7861041226551,19.8887739159614,19.9664791202812,19.3585233635034,19.3187884685292,18.2538556705199,18.4351127157893,20.0295364108864,19.2227639091818,21.3002424207889,18.2651966130786,17.867384667058,20.5542170392633,20.3892620155687,18.9282454465104,19.1578294229069,19.5612231991,19.8484339850033,19.0308779086263,19.5725622582247,18.6691070438537,18.3837882219357,17.6408119197302,19.0778220670853,17.8991334248042,19.1105581246102,20.3623173304229,20.475554617009,20.1500633755233,19.953103647169,18.8428648589062,19.9791434380507,19.6810371599294,19.5959823573777,18.057589078025,20.1564052069103,19.2831754917222,18.8033102146056,18.3008417319159,20.6230151936775,18.9365692962965,18.5539304634228,19.4482657703221,19.3742252962072,19.9720077303069,18.4783817413453,18.1896598153833,18.8602828981279,19.502821674,19.1448534929075,18.523004749275,18.1955976155073,18.0691876563611,18.10761060985,18.1598235446844,20.0969529145965,20.4420727455458,17.7568864749375,18.5121203747042,19.4062927625804,18.8500831060714,20.2437530092364,20.855400211175,18.4314981869007,20.7582166163792,18.6660066065445,19.4980245319047,19.3818768669055,20.0340401417983,19.5391024915045,20.568688038552,19.5888751733639,21.3946710564125,19.4440948693523,20.0546665846537,18.7039985284795,20.0722374161138,20.7286559188398,18.7677580430429,19.441088049022,19.4837181041243,19.9659970569083,20.1715233619741,19.9108590781183,21.9388680084594,18.4970180495367,19.1533478063062,19.6899713126386,19.9212778946023,19.4303212948708,20.0305476134526,20.265889700295,20.97914990008,21.3497943072021,19.3669555168615,20.1776776788589,19.9735540842227,20.9284509431709,20.3916751019413,18.8944812340375,18.4859294719605,20.4931392823168,19.0401730697847,18.9581334854527,19.4423300614673,20.0077888271332,19.7569498651014,20.304363955537,19.1601687386342,19.1454503964177,20.4906992119384,19.1157953151985,20.5102730146234,19.3304871925754,19.7711215240576,18.9594067549504,19.6056052642729,20.3930213424749,19.6955541536354,19.8950436864779,19.3139942565154,19.284977723213,20.3418504536033,19.442992875388,19.9015725812633,20.9017201170077,20.6542639839254,19.7819618275538,20.2108416000865,18.9471687634773,18.4114709210488,18.6558143042298,19.9076778875551,19.3151411328829,20.3701380905205
"fr3_00",17.1439714338334,17.3654699604908,0,17.6430323232851,19.0519914454482,16.9395733266166,18.627422411395,17.4213720527066,18.7656075024409,17.6815302974268,18.9885809042376,18.9777465127958,17.2482436912312,17.3636519782634,16.7980638866802,18.9389036205114,18.1168037830691,18.4974195061504,17.5102108587767,18.3123010050611,17.0172564487425,20.1249637447045,16.6814076938675,17.8825397650058,16.8183590591462,16.0361212337115,18.7957765643777,18.9807861870974,18.0622257240518,17.8396472418382,16.5889844224793,16.8794399433917,18.9200195092768,17.8824179121974,20.5028739292845,16.5938716721782,15.9964276897865,19.3903914429993,19.4636226713492,17.5970550392632,17.8647222092776,18.4303373908272,18.7443254527688,17.7991251509629,18.4630014316166,17.46661541529,16.8839293657261,15.9887909835627,17.8518146740785,16.3131093435355,17.9048248020206,19.5081899698987,19.6497158439484,19.1046001828538,19.0152076623723,17.4686914182707,18.8592265715184,18.6332621112259,18.3404468205992,16.4787326693969,19.2055435496752,18.0237673499254,17.3696599472734,16.6504243506897,19.723149496887,17.5987569000099,17.0879779597491,18.3668849787403,17.9638555348641,18.9749807889863,17.116506958377,16.6697109821759,17.4558064798836,18.3993073665391,18.0035996563134,17.1914286203908,16.8768859039252,16.7103993295158,16.5010231909346,16.4922399183847,19.0187112496418,19.4782058122898,16.1744641521503,16.9295866786404,18.3786086890722,17.4297844207722,19.2160009043938,19.6610853805906,17.0175159837447,19.9449644117781,17.265998868465,18.1185869098069,18.0236061011559,19.0910893556103,18.3841261617864,19.6722867200605,18.4763408056384,20.6601792711477,18.2217668919467,19.0650336001109,17.3688837606536,19.1206868316904,19.9635246811892,17.1501771730883,18.3433473657574,18.3019015701339,19.0031163552856,19.2735918424498,18.7557517790047,21.4409956465289,17.0248512462328,17.8982370862201,18.5609817225462,19.0046045537955,18.3371082801609,18.9354112485903,19.3926971779895,20.1834991990191,20.592220059111,18.2083041797518,19.2178714190912,18.7889422517281,19.9279344173186,19.375533165574,17.4734411110794,16.9675756806663,19.3840002542205,17.7024801101856,17.5247630850214,18.0628113396247,18.8829645443375,18.524876854265,19.2560748071891,17.8197153736343,17.9008684537698,19.5554832987558,17.7879518904207,19.5343652148096,18.0674564212957,18.464871123213,17.6214550537895,18.3569251869748,19.3431587270915,18.5679578286285,18.814480106954,18.0270923933114,18.0254499813996,19.2386195370919,18.1433192886969,18.7145679444389,20.0218047658944,19.6954800010398,18.7004070913302,19.1480877418104,17.5744426651019,16.8409800935647,17.1637207540025,18.823351076443,18.0363799138834,19.3527927617112
"fr4_00",18.8004744140626,18.8979845652924,17.6430323232851,0,19.8584419420034,17.9367310066392,19.1642197574302,19.0474648264021,19.5991767419834,19.3346894738598,19.9540186320649,20.090988932626,18.2972994715057,18.8361045901424,18.3075751382236,19.8364486101694,19.1608745040995,19.3802964963522,18.7174007410912,19.7749987997045,18.1760617552322,20.5154316038733,18.2428883645951,19.315727861466,18.3347245954051,17.8345232638756,20.1000834019637,19.8109959920686,19.1859761502048,18.766836294573,17.991402296588,17.6313194299837,20.449335365808,18.8804505901071,20.9653425265597,18.2153956328701,17.7295145576216,20.1167040574217,20.0409758573209,18.1738069142219,18.9350661475275,19.3533960179316,19.6752682760291,19.480161687515,19.4391428655939,18.401663991582,18.0399621129316,17.629232415583,18.7284333886612,17.1669712252863,18.974476669128,19.8365836798263,20.3053524153163,20.1776841321962,19.8120232051447,18.9269839092036,19.7260434880886,19.3974156228921,19.3142382850306,18.0787524899615,19.8351430839193,18.2940911931069,17.9524774791391,17.8175542582035,20.218170460481,18.2119009083291,18.0741515303598,18.9192444830318,18.8869227331475,19.4941431050591,18.084943441868,17.988205892843,18.3600414933965,19.2465194106657,18.854209163476,18.0832046231193,18.1020535247922,17.7502162772658,17.9379256676465,17.5739356760405,19.7481044205086,19.9507320954752,17.6338640131536,18.143446950288,19.1926806671744,18.755010489378,19.7197382706089,19.5520682405451,18.3867661938992,20.389836400888,18.622236400558,19.0304905162436,18.9573012964693,19.89524814805,19.469565434928,20.5169172958648,19.6034768346313,21.2338997696286,19.6242098372542,20.046081198118,18.0348485084787,19.6478364014801,20.5206063649471,17.6951610273509,19.045995323389,19.4794569962998,19.4803661930573,19.9420769940366,19.4628641734153,21.9059435754447,18.3811893751507,18.7067698840594,19.0797686910398,20.3318207730562,19.2808612893167,19.4783128724143,19.708475369752,20.7777136823033,20.983584130318,19.2230913976697,19.9797450690637,19.5038871048176,20.6225800874425,20.272266581648,18.8403941344939,18.095803750656,20.1798828565804,18.7715838130491,18.942494797645,18.9455340738718,19.9246135363008,19.3652004590347,20.0820741403971,19.1219697559305,19.4295568311791,20.4193246452359,18.9043317050895,20.4621403512945,19.5724046876598,19.3601283166637,18.8124387034977,19.25161849019,19.7421759901947,19.5312109794469,19.7288523515598,18.9643348944094,19.103802786756,19.9701765671554,19.2194092918354,19.686152276372,20.6607568798753,20.120508950078,19.6308319232611,20.3278912383215,18.4352632502191,18.0462897484232,18.2520108879409,19.7862900348861,19.0500122909288,19.7949653246762
"fr5_00",19.5232168680276,20.1414504845521,19.0519914454482,19.8584419420034,0,19.1695875906819,20.4856224242528,18.7269173348437,20.7438199820391,20.2077970393701,20.9545832603548,21.0586634415792,20.1810666770744,20.4252878723509,19.8377849325293,21.1180562882052,20.1124127247202,20.7616686904083,19.795954226907,20.2027173645109,20.1017044058958,21.2372506015348,19.7096288774559,21.198339678775,19.4571582361155,19.2470482417696,20.546854261025,20.6462907399896,20.1601690664693,21.0678020225264,19.3423661616402,19.3078237375357,20.9733991471841,20.2930125301871,21.1416349196981,19.2240290669548,19.41865774065,22.2541201767458,20.6340373150107,19.7742820165833,20.4965073102725,20.3607963336208,20.2636277304031,19.3315186645542,20.2006080905528,18.7067770529167,19.1892218783839,18.1452626143903,19.3894698134574,19.3306725135792,20.0415977896341,21.2320435482444,20.5603055112181,20.8644158935273,20.066234729937,19.8804314887396,20.6760756742009,20.8619252781446,20.9788230076475,19.2779249584118,20.5897737750685,19.7810163363102,19.760726691262,19.7874410175886,21.1938836924987,20.015485681962,19.5810459766015,19.5630623154635,20.7963046403759,21.208252282075,19.0099545150208,19.7172808892278,19.7020101068609,20.4427747470712,19.4835840876233,19.0573537016062,18.7524294310465,18.5665364732463,19.3916257933724,19.4582675116016,21.0865690300315,21.1534451059389,18.7922487279944,20.0940789613417,19.5256471391405,20.233562447975,21.2257796917985,20.7131006674845,19.3981294192368,21.8293187499194,19.8708650889432,20.8882014881646,20.3877916124,20.2108240428372,20.3180800058795,21.7031844562943,20.3125233856792,22.1672276219635,20.4825694198135,20.5579406156471,19.6249873113339,20.6450840647961,21.0300739276917,20.6760559101179,19.9362992692429,20.122950724174,20.4924826848511,20.5903470478804,20.864209467185,22.0730735514639,19.3820205460306,19.7488521426399,20.3528424906311,20.8087681257614,19.5706703124294,20.3868699724456,20.5359222514156,21.4477405773006,21.8570245343806,19.6180455496833,20.8604505932333,21.0606495169809,21.7099154572973,20.9942903117651,19.6143805560417,19.4579765158087,21.5135618523259,20.000869119587,20.2611003926917,20.7633811360744,20.9168835665609,20.8468918067923,21.1431951468382,19.985435259556,19.8250131013507,21.6450299334543,20.0743549130076,20.9918196539094,20.1468126477578,20.7580950659413,20.0619934264833,20.6862727403003,21.177184460241,20.6478119271921,20.6668014784216,20.3524368432217,20.164452201982,21.5738027954373,20.5375802241537,21.2955283077911,21.6991624507549,21.658747929012,20.7266560343718,21.0407370378522,20.0674580488519,19.7920745834214,19.8203854349465,20.7584020678383,20.0985894046236,20.9148249310027
"fr6_00",18.0068350724104,18.4094040900022,16.9395733266166,17.9367310066392,19.1695875906819,0,18.952011564251,17.6423530772224,19.2879696464088,18.623555146974,19.5585740350192,19.63876637519,18.1367432731367,18.256928376632,17.7790587879036,19.7388677095532,18.6466062195265,19.3015821375966,18.103589136667,19.0251051641845,18.0684498313917,20.0946245735571,17.6326962376836,18.8860681595012,17.652278274674,17.1417962689292,19.2297603307997,19.3104935692088,18.7215911182098,18.9171244514093,17.4161904585493,17.2091260625139,19.8161990904578,18.5282720516321,20.3574906598163,17.4602340618853,17.2196448156324,20.6177959765015,19.5315397486567,17.8602574050866,18.7183918553179,18.8860036624576,19.2153146983607,18.2945206051303,19.0107442859268,17.3947600587741,17.4207535112586,16.4157503111603,18.0802927090349,17.0822986177456,18.5629099452035,19.8443683257995,19.6957641113848,19.6860980853818,19.0164815173282,18.2895730237592,19.3813858550242,19.3072720839993,19.385444462668,17.5186924949798,19.3200551679478,18.1923324798752,17.8700639568222,17.6534326959299,20.1455201171216,18.1540367989814,17.6875787614111,18.317349566405,18.9756952228827,19.6510709055967,17.3707206306199,17.8121818901181,18.0890984825643,18.9083274261964,17.9926110367544,17.5299550360103,17.1200000330149,17.0646950659461,17.4959918255453,17.2710847381642,19.6537434641163,19.791357696934,16.9869494915533,17.9197099273167,18.3015684955895,18.3960256496332,19.8888040360971,19.5972407292647,17.8023448886021,20.3836639858235,18.2160763059524,18.9868220117651,18.7712714756772,19.3259644710647,18.8424809377203,20.5487180818167,19.1202000975913,21.0939617095195,19.0713158156728,19.5792242565596,17.7933698423952,19.5069809825938,20.1818330186422,18.1584594627017,18.5934547492032,18.8399460080564,19.2227523765406,19.6846360219473,19.4153802577322,21.7805920877539,17.7238833454098,18.1569168760872,18.9424402873299,19.8740228604706,18.5119081905976,19.2126438222382,19.541517522772,20.5669522388039,20.7688173733358,18.3408051195461,19.6501719778049,19.5151527748618,20.4710415811453,19.8246917297325,18.0295548625291,17.6298910270764,20.131761428891,18.2478935201605,18.4824227320361,18.8857763719052,19.6208049654566,19.2307503762969,19.8028735402241,18.5357979098086,18.5088822357439,20.1749187548375,18.4370442410504,19.8932978439889,18.8604041075663,19.1942477521349,18.4020808178985,19.212330171964,19.937873600748,19.2010383883515,19.2686650247343,18.605402333822,18.6173069527919,20.1616858224703,18.9577646815376,19.7270302015049,20.6338217505263,20.3068680796371,19.3245104761294,19.9872955045234,18.2287624374051,17.677185112678,18.0172931586918,19.4530729956718,18.6420814955316,19.7184849252505
"fr7_00",19.6532597567308,19.78161067305,18.627422411395,19.1642197574302,20.4856224242528,18.952011564251,0,19.9558860768243,20.1902139132415,20.0305101538621,20.6481068042119,20.7107166952322,19.0609113645693,19.6135452099938,19.0248680433967,20.5726860104926,20.0753371239087,19.9850117117611,19.4725347570576,20.3763106460365,18.8893117543312,21.1720153714301,19.0012075396873,20.5442808488622,19.2465828155794,18.6422864002297,20.6594315343167,20.3083857848153,19.6980712651699,19.063845823575,18.646303940418,18.3228793184627,21.0181551711515,19.6287881058768,21.3164580608383,18.7367125536087,18.1816286107087,20.3380159291486,20.554926333923,19.10960358115,19.5875700680828,20.0269942661371,20.4208916146427,20.2679887287706,20.0798837906577,19.0011868393956,18.7371584971409,18.5200459882009,19.4755139498686,17.5167719577231,19.8114625729227,20.2799236420417,20.9504295841392,20.4792561576616,20.6313116561755,19.3198044485424,20.3348867718951,20.1493657212771,19.9452108182995,18.9816206063788,20.4628532193237,18.9076279436728,18.4127968606148,18.2980025888273,20.6692821726575,18.8558016277883,18.7124346766235,19.2495196747957,19.409694355217,20.1172675908679,18.5746386915569,18.6335365626343,18.8485864346727,19.9845360397692,19.4817354553817,18.6967300046694,19.2251257470282,18.5056071822043,18.5413737950214,18.1159089864476,20.0474117541037,20.4123062230914,18.6168077367117,18.508727896813,19.7475401100802,19.2043977302802,19.9015137994197,19.6643676533508,19.0258297682444,20.6703415938222,19.3961574046448,19.4709550843868,19.4756634364694,20.5511058348615,20.012860023802,20.9230107145474,20.256814544217,21.5063596747687,20.0942160564917,20.6225242410781,18.8933435792766,20.2389257803672,20.8382571554253,17.9196245209286,19.6715581942484,19.9925845100203,19.8549301417396,20.3631990621623,19.6834606889015,22.3382111015518,18.9819365360807,19.4095686251948,19.3970739027283,20.8486796472101,19.7378426549348,19.8060817150664,20.2688771802685,21.130611297877,21.2367900714935,19.8251017077019,20.4796841266812,20.097618227008,21.0657832218565,20.8735520665964,19.5616566530278,18.9559579530376,20.6734546752209,19.4556751160249,19.5885378374459,19.3678128685423,20.5247558833132,19.9942846605807,20.6672953477961,19.9247510927237,20.3828827845032,20.9582509234464,19.6407727134789,21.0138770087742,20.292046069282,20.1007240283534,19.5691810570672,19.8956136845809,20.2427498356081,20.0687039265071,20.4042667742791,19.668179750242,19.7217492290931,20.3513292096082,19.7512589475471,20.0391878814648,21.0703501151347,20.6044557149993,20.2193701672538,20.8621135854827,19.2280121657693,18.7060960998246,19.2125410421634,20.4052133183731,19.6924030215108,20.2975074827454
"fr8_00",17.6474868746697,18.7447089734719,17.4213720527066,19.0474648264021,18.7269173348437,17.6423530772224,19.9558860768243,0,19.6270161187216,18.6785721721217,19.7900484490184,19.78204622887,19.3373692684817,19.1447045867632,18.680416177904,20.3757555785747,18.7175090904656,19.9800468890229,18.2971841608487,18.4730128332375,19.2840011017587,20.1058120665798,18.4959516557353,20.0200861168238,18.1132882942554,17.8444655239919,18.7702549511085,19.5364168284445,19.0203300520082,20.8749855175719,18.1337311353279,18.4059568038268,19.2060174965892,19.1781055090426,19.9787040332486,17.9088533642679,18.4931844807795,22.249858726725,19.3725960051955,18.9521833199715,19.5377009293169,19.1603561248707,19.1647868800148,17.0505244784769,18.9101202462424,17.0890476566138,17.9835860504844,16.0795212554156,17.9991407480996,18.896130853176,18.6597527526659,20.5677681079854,19.1321792200288,19.6362292128739,18.3370768070898,18.5622487240586,19.5234025484653,19.887092127443,20.3254007648791,17.7823859595301,19.4224599170035,19.323098181934,19.3823594450632,19.1531267291835,20.5257832455697,19.551590480341,18.7032715892562,18.5436111659034,20.3994963309951,20.7134448047118,17.8088066391156,18.9204470843667,19.0962192006851,19.2431718778303,17.8448039566525,17.9544174672078,16.6877609267849,17.1842829650556,18.3261206064428,18.750417070959,20.457660673466,20.4521432143764,17.3177466396042,19.5492948379229,17.7157246054357,19.1991852892089,20.9454271538773,21.3607116918134,17.9806750874107,21.0884691541792,18.5489378307527,20.3246012244352,19.623618684393,18.7178888457913,18.8141426126057,20.8901140567194,18.9511881333872,21.1931617333891,19.0433405661477,19.1846613257884,18.6647151997147,19.7714553194306,19.9021923644028,21.0730649509902,18.7424592611887,18.578550398471,19.64809552351,19.7059067076487,20.3403535274104,21.0335003995125,18.0211731969821,18.4193886819728,19.7516982173528,19.1235794323835,18.1347226847896,19.6892252334171,19.6569019643617,20.4234752690896,21.1930175557917,17.8068974463937,19.7588102654363,20.4261715958153,20.9725259818727,19.7662690107613,18.0168852293824,18.332392400974,20.7801043992789,18.7174309235019,18.9633043253524,20.1960486853731,19.7663924539816,20.0417338260863,20.0450515258173,18.4620346188068,17.74412830163,20.6394872046325,18.7874869640013,19.6244378456043,18.4881968510239,19.8355263243576,18.8178803723638,20.0079442319665,20.8530032382451,19.5552127270135,19.5130523983651,19.3283297168713,19.09840166197,21.1345463141992,19.64929370345,20.6601473744175,20.9224283759108,21.3049060049742,19.7521663022048,19.8179251071834,19.1920517346509,18.8273524700381,18.9528693508308,19.6645797578521,19.0055203691204,20.2384348915377
"fr9_00",19.566210232676,19.8329437385245,18.7656075024409,19.5991767419834,20.7438199820391,19.2879696464088,20.1902139132415,19.6270161187216,0,20.1312687415292,20.7306499523238,20.7775958316,19.6045649612046,19.9881286337269,19.2581114165108,20.7156834064881,20.1429734422892,20.1710559895131,19.5788725548105,20.3031477737953,19.3504745194618,21.4807328836441,19.4900197468403,20.6506776598931,19.4999914178374,18.8323687141652,20.6270501276619,20.6370932580038,19.9389818092198,19.9056419064417,19.1511374780986,19.092118857794,20.9502348845409,20.0117985896045,21.5042768754227,19.1470391391495,18.9130663003538,21.0024669743212,20.6033129256723,19.4876465995056,19.6637452862554,20.1759066025068,20.4298344079431,19.873360008475,20.1218466113635,19.2703912678292,19.2202439614206,18.699751614359,19.7460131464686,18.6482538094801,19.7095205633881,20.5119287628417,20.7770643122583,20.6580043490573,20.420133333933,19.6325145117712,20.312589161468,20.1881709869591,20.2477168758704,19.0505391042774,20.4533278520052,19.4300006899833,19.3340874333286,19.1655030744787,20.7891147959737,19.2907216788397,19.0638795704464,19.7947693326973,20.0790139110233,20.3135838597688,19.0662154326712,19.0535595392192,19.3898408716263,19.9531210888778,19.5185264656954,19.1000180510048,19.0024186361638,18.7379903643179,18.9853728798589,18.8746186497132,20.4396839625603,20.7780031710162,18.6722467323308,19.0969639141372,19.7148023901093,19.6741617041242,20.5763542513573,20.8709888499665,19.3006908887296,20.9446983397513,19.4265398478344,19.8840937666788,19.8666649966115,20.4550080836756,19.939052315586,21.0623534640063,20.1277696806575,21.6079953564082,20.1571622930875,20.5928311105787,19.1114593913799,20.4479068426706,20.9923417924332,19.1594178786753,19.7881360087311,20.1325994204079,20.2363720006538,20.5836769247206,20.3597338498844,22.2033839401096,19.2561996687818,19.6970993477849,20.0650739308234,20.5286252497577,19.8225833570905,20.3087554240206,20.3604063767185,21.1297680894372,21.8689797232583,19.884114481132,20.4544863185319,20.3247882553932,21.2412230334353,20.8560430111294,19.4462780170528,19.2737752265658,20.8618060460101,19.6130409737513,19.6914244000443,19.8714572418704,20.508394778468,20.1276246741511,20.7045162430623,19.9435841091792,20.0086835656486,21.1169651660654,19.6803382883834,20.9539123986187,20.1533604265606,20.3318054928562,19.6494483772117,20.1207091654368,20.6942206560686,20.2610873570545,20.4921508936686,19.9040767842424,19.9652272418483,20.7713158439744,20.0507785189014,20.4618623564318,21.2123448727641,20.8960473957529,20.440061283755,20.7635584761291,19.4279984262484,19.0667859147227,19.3395731061954,20.562366630347,19.9047847839309,20.6973399437251
"fr10_00",18.7422085851738,19.0277938328985,17.6815302974268,19.3346894738598,20.2077970393701,18.623555146974,20.0305101538621,18.6785721721217,20.1312687415292,0,20.4046383764475,20.3541209104824,19.2679722185716,19.1421482324314,18.7387880266267,20.4859962200336,19.5837816280677,20.1044502361162,19.0700274450512,19.6498855197137,18.9636984959132,21.1144819720592,18.5372544799656,19.4356585031306,18.6024900818084,18.0668895973033,20.0454037562553,20.1787800124103,19.6019205586675,19.8292333735583,18.5532621754977,18.7392085988786,20.3132758048476,19.5716060110722,21.4299320806699,18.4247237491097,18.1577606877416,21.1488587820618,20.5426856948366,19.2853908668951,19.5145382290821,19.8096932307961,20.037855461839,19.0345617927138,19.8479809471635,18.70446081526,18.5598009074687,17.8274993689475,19.2867215370415,18.381667494875,19.3885177871019,20.7992078112975,20.734129499573,20.4258227897888,20.0935485082979,19.0597169452489,20.1609859767582,20.0557936062246,20.0601356054908,18.3237370036804,20.3609110601353,19.5668853042327,19.1316545761431,18.7179175865968,20.9393282097722,19.2456152500801,18.861454977255,19.5676372107855,19.8230515547591,20.3987637215203,18.6602470326846,18.4572454122495,19.0764762900543,19.7854687677787,19.2584609721391,18.6667779625471,18.336301435214,18.2026063775441,18.2479522888995,18.5733128620671,20.428963880966,20.7371673789131,18.0048370723526,18.9308698577559,19.4657916916979,19.1744765436634,20.6415102401243,21.0716634494706,18.6337724292218,21.250031456298,18.955772036823,19.8642752457254,19.6673848711706,20.1318418080416,19.7350077229315,20.9354697065118,19.8246591629868,21.7406799036585,19.6976746735993,20.2127353772084,18.9920871896195,20.3117673902622,20.8705427466545,19.3352211036387,19.6281806252461,19.6495966480083,20.2263724076131,20.4055802990355,20.209001548989,22.102254156602,18.5721396965678,19.392467083146,19.8841652956952,20.0218042556583,19.4365128584106,20.2399153741234,20.4754887572955,21.2112021342671,21.4200310048819,19.4631903876853,20.4530832239256,20.3553099045217,21.2132334367253,20.6355914337533,19.0186892138072,18.7000260802008,20.8298589506328,19.265181323928,19.2129095407432,19.9248513921663,20.2698099316357,20.0816233606013,20.6014328747715,19.3811475777267,19.1719594352984,20.7666465507136,19.399279863412,20.7061048504751,19.4944258579292,20.1240217244513,19.2333565273364,19.9837800755028,20.7867008174216,19.925595789209,20.0839913848221,19.6034254744279,19.4963087802764,20.6989233860583,19.7469772081936,20.2481889731382,21.2178868686413,21.054813696486,20.0757547164199,20.385761699218,19.2913365327687,18.7420501485091,19.0049172438973,20.1488926004703,19.5736879307868,20.6904942207093
