"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,12.3532702164661,12.3983734381931,12.3087611610427,12.3847264334858,12.2359292404355,12.0668652751567,12.3862544759645,12.2495906111285,12.4013166612474,12.4191626512371,12.7656816669344
"fo2000",12.3532702164661,0,12.560721433936,12.5726475975862,12.5856740501596,12.4388610485335,12.3044915348026,12.6135011540793,12.5531380939018,12.6669102238691,12.7871928628427,13.013843518542
"na2000",12.3983734381931,12.560721433936,0,12.6153264806368,12.6534359785095,12.5136854167597,12.3722736402811,12.6846200706768,12.6106713334893,12.7145405122568,12.8376750406626,13.0370805982659
"fr2001",12.3087611610427,12.5726475975862,12.6153264806368,0,12.6080442525399,12.4489651507403,12.3118914820768,12.6218867770444,12.5114252180368,12.6662953937422,12.742816108767,12.9827094544073
"fo2001",12.3847264334858,12.5856740501596,12.6534359785095,12.6080442525399,0,12.5049326801565,12.3528526680627,12.6482813082958,12.5657437565751,12.7009365096105,12.7840617700762,13.0513356415486
"na2001",12.2359292404355,12.4388610485335,12.5136854167597,12.4489651507403,12.5049326801565,0,12.1866508610878,12.4527802624097,12.4419211813283,12.5527430238716,12.6482398925315,12.9840484244325
"fr2002",12.0668652751567,12.3044915348026,12.3722736402811,12.3118914820768,12.3528526680627,12.1866508610878,0,12.3365955176315,12.2342210144595,12.386223469682,12.4898043720719,12.7793999508479
"fo2002",12.3862544759645,12.6135011540793,12.6846200706768,12.6218867770444,12.6482813082958,12.4527802624097,12.3365955176315,0,12.5652314994557,12.6976832654827,12.7812438541499,13.0889570137828
"na2002",12.2495906111285,12.5531380939018,12.6106713334893,12.5114252180368,12.5657437565751,12.4419211813283,12.2342210144595,12.5652314994557,0,12.615584834194,12.6688068061699,12.9489637362948
"fr2003",12.4013166612474,12.6669102238691,12.7145405122568,12.6662953937422,12.7009365096105,12.5527430238716,12.386223469682,12.6976832654827,12.615584834194,0,12.7609192806202,13.0879532436846
"fo2003",12.4191626512371,12.7871928628427,12.8376750406626,12.742816108767,12.7840617700762,12.6482398925315,12.4898043720719,12.7812438541499,12.6688068061699,12.7609192806202,0,13.1679869624095
"na2003",12.7656816669344,13.013843518542,13.0370805982659,12.9827094544073,13.0513356415486,12.9840484244325,12.7793999508479,13.0889570137828,12.9489637362948,13.0879532436846,13.1679869624095,0
