"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,17.6539121459942,17.6397385764772,17.2930824272311,17.4304595975498,16.7996356244228,17.1808332334562,16.9497043770898,17.1625369493557,17.129506819377,16.6383602592058,18.0432362231976
"fo2000",17.6539121459942,0,18.2322994774785,18.0362018504804,18.1122695095799,17.5306078855474,17.9189022596032,17.6772947028153,17.9802954899417,17.8816727957582,17.5702584686493,18.6948901135591
"na2000",17.6397385764772,18.2322994774785,0,18.0020461731254,18.068482693791,17.5485811494342,17.9103895400334,17.6534966809679,17.9539159207788,17.8333800492062,17.5378285865125,18.5992101224531
"fr2001",17.2930824272311,18.0362018504804,18.0020461731254,0,17.806309934323,17.2311703878822,17.5923189156841,17.3579871952263,17.6043422702159,17.5458704365618,17.1774374800283,18.3645420137504
"fo2001",17.4304595975498,18.1122695095799,18.068482693791,17.806309934323,0,17.3544537007442,17.7174328561632,17.4383408496024,17.7139149319552,17.642280691982,17.2916025782403,18.4532958928739
"na2001",16.7996356244228,17.5306078855474,17.5485811494342,17.2311703878822,17.3544537007442,0,17.0700993843038,16.7811172209101,17.1606091303981,17.078546321407,16.6857130549392,18.1311105917325
"fr2002",17.1808332334562,17.9189022596032,17.9103895400334,17.5923189156841,17.7174328561632,17.0700993843038,0,17.2154410106028,17.4693913066728,17.4188524397785,17.0671127724682,18.3266940576229
"fo2002",16.9497043770898,17.6772947028153,17.6534966809679,17.3579871952263,17.4383408496024,16.7811172209101,17.2154410106028,0,17.2363799526154,17.1704183429574,16.7975254106378,18.0920957468913
"na2002",17.1625369493557,17.9802954899417,17.9539159207788,17.6043422702159,17.7139149319552,17.1606091303981,17.4693913066728,17.2363799526154,0,17.444554376503,17.0319784490502,18.2741248062663
"fr2003",17.129506819377,17.8816727957582,17.8333800492062,17.5458704365618,17.642280691982,17.078546321407,17.4188524397785,17.1704183429574,17.444554376503,0,16.9612377588368,18.191742691168
"fo2003",16.6383602592058,17.5702584686493,17.5378285865125,17.1774374800283,17.2916025782403,16.6857130549392,17.0671127724682,16.7975254106378,17.0319784490502,16.9612377588368,0,17.8866800018531
"na2003",18.0432362231976,18.6948901135591,18.5992101224531,18.3645420137504,18.4532958928739,18.1311105917325,18.3266940576229,18.0920957468913,18.2741248062663,18.191742691168,17.8866800018531,0
