"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,13.7593389987143,13.9363432184894,13.9408295470103,13.9215748289855,11.3610834137651,9.38576736393869,10.6338923959282,15.9834807017742,14.1093523020505,16.0587894030351,16.8910890914233,26.5953406886687,14.9052110043517,17.1802567136157,18.5941151241534,15.385115438361,18.4595466728228,15.5647221399571,19.1386725313775,20.1997283936637,20.4028797474412,18.8747008532956,20.9671358414578,20.9477753173588,18.1563116197108,17.330896878241,17.2435361107795,20.3579051917526,21.6149147671659,19.123278141003,20.1043280341586,14.9134428609554,20.4710956765343,20.071040747295,20.2127013268295,17.0563113212379,18.4756975903516,20.9642700243606,19.5281326927846,15.3847684287786,11.731218194878,11.4858140167428,12.7673446403623,11.4717184770579,13.0496509445223,10.4891936070047,9.56076874121453,10.761814024543,8.4474744438097,14.697172988957,17.6481014282591,14.0613104879906,22.5154010666541,11.9039515427999,13.5476429288981,13.1391349084115,16.1010221864572,14.9012798647999,12.2921553765527,13.5029038509596,20.2993599475584,17.6300609565146,18.4103465548778,17.6654146831915,19.734550238019,18.2761827955258,17.4861690211271,21.0189483165961,20.3046668088774,18.5625267671952,20.0090339704693,19.022489186942,17.6412912115476,18.0425801958501,19.0029896536719,20.3874612924321,17.2806213629341,19.2902708934025,19.2300634672219,17.2025985986012,16.1332331326039,18.6403869753094,20.1844274647757,13.2195497589819,18.8547122459122,9.80323274124279,8.41003338957318,9.61632803073319,8.2131468122044,10.3699556119747,18.9079844604512,14.8326860176946,25.5807108136111,10.1336298602544,11.0957265226139,11.346230679645,13.0457196804922,11.9365458902299,13.5756047341505,22.1185094382367,22.1448030593701,21.7762183325423,17.0400090709464,21.3697005459148,21.0828947659188,19.794412020308,21.4356504389622,21.5394206222886,19.6464893851831,21.2086744128571,21.4545125927783,21.1712432085253,18.2562257416329,22.1803849761857,19.7071403400289,21.4948034979699,17.2965402492382,21.512100180783,19.5829064947007,19.0846464964474,19.924518832332,17.1334315724211,19.537969720721,16.5010892011696,19.5930862163663,17.9572848527261,16.5151185354737,19.2693520301601,15.6972526571025,18.7724815284797,21.4601500281414,20.7358933301272,26.0691808602502,16.0903433806107,18.476510878553,19.1557874920686,17.4202736412968,19.5950203006563,18.7266395103232,21.1514579520075,21.2635262388094,20.6039313661841,18.5656448462284,18.49412489859,20.9472038944924,19.2048828155001,20.1519728080151,20.220166624055,22.5585880472961,20.6836025741902,21.6384074193414,20.8536444736404,19.5743452322452,21.2224494367189,20.1097666132062,20.7660138079782,19.470096644114,20.1695079711527,19.5912174789768
"fr2_00",13.7593389987143,0,15.588549816098,15.8932444430525,16.1315674758574,14.4004215651701,13.2228492363949,14.000016381735,17.218695361782,15.9178251129164,17.3394334743032,17.6474295138968,26.9927601425957,16.1745736777608,17.4687044547592,19.8008493888252,17.0416660435555,18.9670206878348,16.9259996978994,20.2378198500961,19.9786993940614,20.2432336011821,18.7488521785805,19.2757699602296,20.8190286247144,18.6067202136279,18.4733738662393,18.2939031700175,20.6593628790843,21.2954570823534,19.4457821210554,20.1302666318933,16.8620850830148,20.4452565595701,20.108605726551,20.1493080888254,17.9403266684774,18.6101203597502,21.0712650633538,19.5131490592058,16.8304148482897,14.7083456229422,14.6475257772111,15.3550097713858,14.595192626037,15.625501267839,13.8170970578584,13.234229965192,14.0808842782942,12.5913043034458,16.4430184720262,19.6181223056923,16.3553474834963,23.6835891009748,15.0288948369933,15.9215112477761,15.6853915365227,17.5261513283453,16.417496893101,14.9066975164615,16.0000002535964,20.2848972556852,18.3073208306884,18.8744778536372,18.5206583752521,19.9578612030517,18.6263068356276,18.6876047062775,20.4028417691553,19.7543501296622,19.309655045187,19.9624472304984,19.3536235366067,18.3531006995478,18.8885173915601,19.4518953597312,20.5884554386786,18.0903824771844,19.4363799451741,19.384477491942,17.9774860059393,17.2265403893761,18.4345846468123,18.9478275327528,15.592907152727,18.6942107304572,13.5162120233959,12.6094814410904,13.3546817789656,12.5169470186791,13.8504353357648,19.9701729421522,16.6894185014604,26.3035542600419,13.7120220527057,14.3673469241176,14.4019494296368,15.698317154227,15.0404703489891,15.8997566757373,21.8496945806539,21.9011855328571,21.4817978212719,18.307106133655,21.3010307254324,21.0767584430504,19.4021383081757,21.4027396478375,21.3050245884125,19.9099684953695,21.1654780148635,21.4334669908784,20.9212796480181,18.8211707997636,21.9616936830028,20.0265457388046,21.4870538461904,18.0513432391839,21.4948148901338,20.1377695656214,19.2912571635573,19.4231555937112,18.1902444406986,19.411836352967,17.4806014835321,19.3879978650312,18.1117294389809,17.5541965138635,18.6868067376682,16.7068169885882,19.143248666754,20.6912091458641,20.293810226047,26.6083053510358,17.2877076636834,18.9428206554119,18.9048365072021,18.3385310673411,19.4232446481739,19.0383090692608,20.7290078408148,20.5316079513631,20.2176492751635,18.9029429617989,18.918524265541,20.5141656125707,18.9151207934679,19.8581108778549,19.9239977437373,22.4122979097235,19.9777017596696,20.9430959101399,20.315350513435,19.4153692118941,20.6746488319143,19.8825041080394,20.2013970032143,19.1970666206701,19.330019981636,19.6709236242198
"fr3_00",13.9363432184894,15.588549816098,0,15.6763975383845,16.0321771184001,14.5585925941791,13.4035731950352,14.2732446863273,16.9906075129768,15.3622649091716,16.9241851749203,16.9821082972448,27.6995722371321,15.5179113360433,16.2375406350832,19.8193320474673,16.8538507905852,18.4537350079564,16.7858493876475,20.556343073686,19.196331084344,19.8529690781233,17.7632580395677,17.5697932090784,20.3442558435598,18.0289778974687,18.3499175013552,18.240146682281,20.3100867793445,20.6207513494174,19.0459703396731,19.5806332043262,16.9616640388503,19.9123633191029,19.8810681510004,19.5975513390726,17.3881782205481,17.6653517041614,20.6754322419313,18.8229489094877,16.7315496175856,14.899629485303,15.0011525322909,15.5733266241551,14.9167186029043,15.8887785229897,13.9964951351912,13.4746377184084,14.4201935629348,12.9277429271703,16.4524537479435,20.0532794669634,16.6270587549732,24.3168619903356,15.5319133293592,16.0527304425446,16.0613918735845,17.4327533737628,15.930147719004,15.1861258436912,16.2607822169487,20.0071251497178,17.96971097065,18.6026220973906,18.5619253611575,19.6483240507566,18.257338707511,18.6746620320967,19.2816238671756,18.6744307623359,19.2308429435726,19.6940647741117,19.185386141255,18.2512457798094,18.8456478116338,19.3724421325555,20.4542048294257,18.0720484083868,18.6788117029458,18.9141863888141,17.6471229031405,16.8237428102227,17.0032424753385,16.469453287237,15.6946934400375,17.8835578518028,13.7815224750053,12.9053837447506,13.6400427567455,12.9308016002349,14.1528197099899,20.0487093205024,16.6460810887616,27.1337409951263,14.1066200594928,14.5815389091292,14.6261862985609,15.8452104378929,15.3072778103007,16.15916483203,21.3131333177066,21.5129371594103,21.0515556008246,18.076202349835,20.922733947639,20.6908797589863,18.7201374505018,21.0215162184713,20.5813358788262,20.0039800902018,20.6986870776324,21.0100589767826,20.4480165888365,18.906400377711,21.5863024865491,19.7705758419533,21.1870065778558,17.8062835618723,21.0655685005742,20.0345234543492,18.4766077077967,18.1459900882568,17.7505093556652,18.3849579874489,17.0790222556053,18.8484516693164,16.8305112699085,17.2023957204793,17.2963010209815,15.5367716154692,18.8576787174675,19.44732484629,19.0979224740392,27.3802823526107,17.2966602008887,18.4082502779777,17.87276601522,18.1026360493807,18.7626803515921,18.4650418839697,19.8563656936165,19.34603833354,19.658561822087,18.3413503222923,18.6722686012677,19.7905016653339,17.9183641869559,18.9525802333827,19.0250089833931,22.2881679015229,18.5846170236727,19.7943082464344,19.3825597106912,18.8029458101959,19.7094370495623,18.9263073727643,19.370298444177,18.2417164329468,17.6459098946765,19.2636233180552
"fr4_00",13.9408295470103,15.8932444430525,15.6763975383845,0,15.7491924032001,14.1720157742499,13.194933275229,14.2388475703039,17.3007698173211,15.8231165700108,17.2501190802835,17.583994280894,26.9072156231355,16.188324554491,17.2607480141443,19.7578777202322,16.9870448731679,17.8223358602746,16.7577582848281,20.3470489020306,18.9457978343842,17.9799721740175,18.0167791498897,19.2754749280026,19.0826000414912,17.7859509072242,17.7508336120115,18.2778356842131,18.6465372319796,19.0600705619079,17.7267127411693,18.3789716063815,17.166205096334,18.7916871554632,18.2907572404578,18.5071032868937,17.2202779781342,18.4468820662923,18.9395998186881,18.4277034813746,16.5920708979919,14.8193881465694,14.6302315994743,15.4736780886549,14.6676483654774,15.2762018821083,13.5896246910285,13.2044658824107,14.1062251763297,12.5847790711328,16.3413932035498,19.5220749414467,16.0077245068076,23.6047852479995,15.0831443990837,15.6229409354127,15.7805364588689,17.101154342402,16.185872153423,14.9922894572756,15.725138233058,19.2997737314017,17.4852023240521,18.2652173141477,18.3220211667177,18.6255182667352,18.1427147169441,17.5835107713703,18.9935686368439,19.3800919530796,18.2618606346711,19.304479234432,18.5415846973489,18.0070864594999,18.105057218467,18.6071874980378,18.9529537371233,17.6495935244166,18.1129564744403,18.1387424025585,17.2560644317652,16.5365044268157,17.9654063387673,18.46668782778,15.1050857433289,18.4493053318273,13.3542376311798,12.5980217304646,13.2945566965956,12.5587648828395,13.7872493245418,19.5039587398144,16.1670075210653,26.2589589850744,13.7046106362128,14.405598250132,14.3474526508415,15.5060934964792,15.0210473976861,15.7209310548616,19.1879720182283,19.4329662001276,19.2033539616522,16.6906810426168,18.9712525593108,18.8891722795116,18.3988618268362,18.9117749683057,19.0664480031464,19.5609987266489,18.8377003161419,18.9700046480457,18.6427761622615,18.9007286336344,19.406093965283,18.3711034646258,19.2195572844271,17.3321305983048,19.0930009869576,18.3356831372633,18.8631304410828,18.7660435676089,18.0855608285099,19.1724402902449,17.0874509942239,17.9714859429946,17.7157759881954,17.4015037690523,18.1902366451722,16.4180125566316,18.9617228387681,20.2725362604203,20.0395707514248,26.5317813596158,17.3990409158453,18.6804623005885,18.4394400729681,18.2271321808808,18.6874032588952,18.4541468721852,19.4824885232463,19.0511083746669,18.2598558464906,18.2781756394675,18.5884122742846,19.0699540035817,18.3275678826285,19.0263806392645,18.9078629424728,22.0442751133253,19.2174941707694,20.0312539671834,18.9631136273843,19.0435858094817,19.0576516982877,18.4590839052425,18.9568115787301,18.8549232075503,18.8361552814821,18.5011717382926
"fr5_00",13.9215748289855,16.1315674758574,16.0321771184001,15.7491924032001,0,14.0198640439774,13.1299546761568,13.8182766978867,17.4794654769537,16.1400585315085,17.6424373701625,18.2169295716854,26.8491713811765,16.4930634828384,18.1122055053717,19.9807056314187,17.2417880127397,18.380122738302,17.084706565322,20.3994495684594,19.725410598862,18.7561629970581,18.847317166289,20.6893362776106,19.7774137022505,18.2395014523144,18.0194018806775,18.5072871924336,19.1343566176331,19.8975498615449,18.3546742106356,19.1684929145175,17.1457871276752,19.5158361777285,18.9291292027638,19.172172725781,17.5923219106803,19.2222355517646,19.5595280880593,19.1266767660787,17.0393301008707,14.8886479659298,14.7274198245826,15.5539068634511,14.5956292689729,15.3505170011179,13.7362169078165,13.3089336574255,14.2370665482706,12.6860959820459,16.810083208468,19.609203178538,16.1742058581816,23.5465081995281,14.9758209831817,15.7442976397338,15.6533509759869,17.5337664885037,16.8185517831046,15.1406947214106,15.8775366953995,19.961437814516,18.15787268601,18.9638112449646,18.706802505196,19.2713090314844,18.7993892948442,18.009864790078,19.9892547487802,20.2805890856313,18.7611135745345,19.9137773397164,19.0934895146539,18.477423404392,18.4349762295147,19.146510379913,19.4895664567627,18.4065414083951,18.8634911303272,18.9248724243286,18.0046575751538,17.3941518739087,19.0224868451188,19.7846571920821,15.4982174372133,19.1951545073365,13.4748723331972,12.629838721733,13.3805275468858,12.5944283576933,13.9667086230466,20.0175177243935,16.7077435174676,26.1344204313584,13.7535004729328,14.5297091760566,14.563365668975,15.7991898466968,15.0867712636257,15.966509556802,19.9586670840467,20.135795253374,20.0910222366805,17.3338378735042,19.698108464309,19.5805946330503,19.6840965779434,19.6543250171504,19.8675292661646,20.0706969038884,19.5569872720103,19.6696891963445,19.6008386233387,19.1974762501362,20.0978098401257,19.0758464724084,19.8630682680479,18.2615082567531,19.7705029140982,18.8416266861672,19.4890703582693,19.8377757536736,18.3784821926189,19.9706221183425,17.3063883377706,18.6994176911411,18.6487344623922,17.6351724473124,19.3166284055342,17.2237025481182,19.3708712123723,21.2523230693873,20.8648969678599,26.4199289242529,17.5860578913338,19.2113947909186,19.3588816256961,18.5170130218082,19.5825562354577,19.2013269850428,20.2927792948402,20.0772941978165,19.1138641417307,18.8423540005489,19.0180762747876,19.8942008320704,19.1832732635419,19.7561240821882,19.6935539601647,22.5444053454982,20.2665151388911,20.9649681267061,19.8885019914412,19.7480378192292,19.9938048590999,19.2881576670188,19.9373377181732,19.6150467973986,19.9971751928291,19.2605469575554
"fr6_00",11.3610834137651,14.4004215651701,14.5585925941791,14.1720157742499,14.0198640439774,0,10.366056264407,11.2885988377637,16.4928110006101,14.7259338482633,16.5080606951202,17.306364962799,26.9912672557773,15.2158620888162,17.5449935065097,19.0760489489928,15.8515789426717,17.9520181225477,15.8561267031171,19.5457714808719,19.7513692203958,18.9584931192663,18.7155258436954,21.1169824633342,19.9490723846807,17.7819518375977,17.1870137746329,17.5405482374497,19.1291139239923,20.2496854974795,18.1746107586473,19.1216137881453,15.5297510785563,19.5630242036517,18.9623714927509,19.2677862992266,16.8483650173251,18.7751767353596,19.7058717834275,18.9690670960104,15.67805998571,12.62247511902,12.3630907995921,13.591133859804,12.2537081386437,13.4318081995272,11.2750548576248,10.5617287489654,11.7056313173724,9.639873286993,15.2282799734153,18.293592412278,14.4647038774277,23.0107846864428,12.6492116699124,13.9529489014238,13.8298662145567,16.3593393805699,15.4326705516306,13.0674417310389,13.9981579341375,19.8176471273707,17.4932819107049,18.3463185621839,17.8767055095753,19.0856998714727,18.2140068086757,17.1845928678483,20.3289905427378,20.3808442518225,18.2041603721676,19.7511595227126,18.7290343682286,17.6770703784134,17.7040187943776,18.6998859929079,19.440361745637,17.3905414485562,18.7502771613085,18.6560366534575,17.0673584429184,16.2365585700556,18.8656069714349,20.4301642853548,13.5468423292269,18.917407294696,10.7730793559088,9.62080712932248,10.6362575057679,9.46313059109446,11.34427096695,19.1137231696435,15.1641200806178,26.042430561893,11.0845095376585,12.1052759954985,12.2108686798987,13.7495675307445,12.8087578571404,14.1204546295685,20.4765053929823,20.595818719975,20.3916079933815,16.4846232355866,19.9529483270401,19.7799773542651,19.3810741339036,19.9347726353296,20.2742412664643,19.5649810002078,19.8344224861158,19.9609851003373,19.8051314607098,18.4714002807205,20.5728692759774,18.8465685846507,20.1298043829625,17.277969842067,20.086374169631,18.5828084379342,19.0203597335843,19.695425822111,17.3924370375598,19.7469640080904,16.3294648071009,18.7116721007931,18.1584000823086,16.6757810678991,19.2372448822576,16.2512985564418,18.8701054603791,21.5209822799062,20.901553188327,26.4550232321147,16.35388846907,18.6450864088439,19.1314405632896,17.6407933716619,19.3453108459866,18.6893058997546,20.5530370992791,20.5147079921099,19.382128683586,18.35496642454,18.4191293832757,20.1206907277041,19.0615451391695,19.8039243803061,19.7960831396285,22.5941061334981,20.5036508896439,21.3127697145943,20.144203621811,19.536846189678,20.3190534355511,19.4204654158584,20.0954106236416,19.4900631791916,20.248950598226,19.0193295628096
"fr7_00",9.38576736393869,13.2228492363949,13.4035731950352,13.194933275229,13.1299546761568,10.366056264407,0,9.65913771257173,15.6333018749544,13.4542645744312,15.5741276447252,16.5900599980739,26.604630775155,14.3818510256113,16.9603501153556,18.2622947633352,14.8458156633335,17.9824229948439,15.0437107058808,18.8833078803283,19.9160015485606,19.8555087236256,18.6545063404234,21.2309578850043,20.5508103150386,17.7499195411681,16.7490747004311,17.0164319220803,19.7018369925579,21.0658788424564,18.5455741756419,19.5836460598152,14.4950259644116,19.9809760489583,19.6972664634014,19.7752041304942,16.5909141743527,18.4783736314808,20.3217820523349,19.222791096736,14.938844404045,10.9112482312787,10.5433053277425,12.0820983397283,10.5921294512901,12.2817563222429,9.40271555760303,8.42855481745195,9.83422431763728,7.18751615408007,14.1837969520549,17.1461595205704,13.3732578674891,22.2644196602751,10.9971506417873,12.8289214010066,12.4145894425761,15.6152691205113,14.3183489663815,11.5357554265293,12.7382765078928,20.2411176138475,17.3553025512397,18.3352662537255,17.5519601569917,19.4105105409639,18.1315442203028,16.8989912523832,20.7661532011843,20.382574525009,18.262495127032,20.0611900427542,18.9511719121333,17.3508113840259,17.6612363344338,18.8518099376289,19.9550886280202,17.1314874918157,18.8453364202607,18.9433003838121,16.7690930790501,15.6092113509766,18.5466924437405,20.2332561301597,12.3837899611282,18.7414093001553,8.61563419067238,7.11718056905429,8.44547483540171,6.91530257948434,9.30471414481649,18.5122273943722,14.1375259054392,25.5031441273696,9.03468929219332,10.0788214047989,10.3882776671041,12.1685159279205,10.9639719962223,12.8312661546919,21.4396328196141,21.56654329298,21.2629955201492,16.204540273525,20.7310097398727,20.4632390281707,19.6402101353798,20.7482895072572,20.9433422931091,19.4997460632279,20.5608851141784,20.7681442068357,20.6378824627988,18.0567735008881,21.5721518163444,19.155824185861,20.9282220727329,16.9199130243056,20.8201858910097,18.9077936432207,18.8231927184959,19.8099777939766,16.6966630639947,19.4145359411661,16.025259297638,19.2288784951453,17.6695624215992,16.0839263958949,19.1519877678978,15.2121541894101,18.5670367743629,21.476089118161,20.6835897902096,26.0397281489247,15.7584157277194,18.1440702053667,19.0115010151243,17.0278811793597,19.3998681486811,18.4294510018158,20.8838596468403,20.9962739971032,20.1838059903497,18.2755502288242,18.2151250553371,20.6176487609827,19.0272236095314,19.9093047161446,19.937898670665,22.5205405423899,20.5551031008334,21.4902968038017,20.580666175688,19.4793305919804,20.8675533590867,19.6933033370425,20.5542881053836,19.352729077229,20.1426965923663,19.2688592902534
"fr8_00",10.6338923959282,14.000016381735,14.2732446863273,14.2388475703039,13.8182766978867,11.2885988377637,9.65913771257173,0,16.2699032149121,14.4911485683853,16.3952923615203,17.3416835623186,26.915673912008,15.0798910225677,17.7748697848205,18.9216902635953,15.6563163167208,18.709112287557,15.6443293600081,19.2391393398131,20.5691025028424,20.6013538083564,19.3265835740362,21.8015852338856,21.1966781266677,18.3520102283293,17.5223900601921,17.4224767665639,20.4412960356681,21.9042239284666,19.3242560374561,20.4053880879976,14.9072856916581,20.7643743390164,20.2147182665676,20.4261466692988,17.2063043130941,18.9614796793436,21.1493260422624,19.8261332169563,15.6614915700758,12.0114246664781,11.8383935824623,13.0255179152579,11.6386823584134,13.1898100319498,10.8403637765489,9.94995666203843,11.1047676570346,8.91664251896809,15.0715613294043,17.9807527094969,14.3065891774842,22.7963113240569,12.0092383093835,13.7186799149093,13.3210331310206,16.4324312119046,15.4448148392218,12.4568141075576,13.7373073308851,20.514444227867,17.9900180159227,18.7288017433718,17.9182064338682,19.990412665593,18.5922374206949,17.7378014527761,21.5297067910244,20.8854839642799,18.7797541456944,20.2322440375069,19.2220167848384,17.9211170773257,18.0923260901913,19.2206137110773,20.5194487861344,17.6912648404744,19.6878480951042,19.5740719346815,17.5833938452727,16.6750840535859,19.3699427813626,21.1352192903398,13.5207299034492,19.1718323658746,10.2293425807332,8.86166062174771,10.0124492886226,8.66196491454721,10.7906003718079,19.3233037581799,15.2633653997569,25.8608680380406,10.4449642367799,11.5180465749625,11.7192556809773,13.4553626211456,12.2633892931396,13.8622319331934,22.3557136119638,22.3259278904749,22.0731224494111,17.4191774777058,21.5956163020599,21.2735270981002,20.3853320980526,21.6711919693684,21.8759401860114,19.8216462659705,21.4433041126812,21.6597345349144,21.5069830080885,18.3399163420945,22.3511320282729,19.9554585950552,21.6703559112145,17.7871214462826,21.7337566697385,19.6826546167964,19.3985614030982,20.4589146689566,17.3172976941288,20.0942800116904,16.4872367074846,19.7904765192561,18.5779279782564,16.6508396560431,19.8804369148883,16.3805531501159,19.0130747715162,22.11839207758,21.2991174826438,26.3421760796292,16.1350481926394,18.8222040199792,19.6789423741503,17.5890924382704,20.0503310628849,19.1580562502899,21.5775843983589,21.7851638625826,20.8812605173207,18.8327237665556,18.6803830044062,21.2099463001813,19.6762024187353,20.5597639503695,20.638830940576,22.9275997203318,21.3190225961494,22.1815053597859,21.2927232437622,19.9765640888684,21.639687858211,20.5394927564933,21.2084441080796,19.9038449914995,20.9291754515281,19.9283163032008
"fr9_00",15.9834807017742,17.218695361782,16.9906075129768,17.3007698173211,17.4794654769537,16.4928110006101,15.6333018749544,16.2699032149121,0,16.9919500593479,18.1837411779817,18.2699209517423,26.6611016573936,17.1893324691058,17.7614375919061,20.2603690829284,17.7781221929517,18.9737278534971,17.8380874196512,20.7261494528002,19.8565051629522,19.8527171478732,18.9620225323001,19.3452854516229,20.5308597880563,18.6210351611696,18.7148381655289,18.4321172257861,20.5707424533856,20.8728895950716,19.4371793482987,19.9803228162864,18.1622183122891,20.4728644434309,19.6692203305453,19.8235018288731,18.4359090397244,18.6886749640362,20.7808412848487,19.4408208985495,17.2599161639495,16.381082639079,16.4344844274387,16.4255969280829,16.0970257941435,16.8692202156132,15.872273215627,15.5790732991035,16.0138620033982,15.1725821403498,17.3442877981482,20.439276722875,17.3037800192474,23.8602670835624,16.6041704206947,17.0435093091631,15.8484823918611,18.062054311104,17.4469601585304,16.5567577593919,17.1145645403853,19.7506517491592,18.4015326442963,18.7782957916107,18.0165750261878,19.6205498785073,18.0525368518155,18.9016675243514,20.0493764264704,18.9480287114171,19.2410468234471,19.2497904257239,18.9992270041576,17.4119161930839,18.8468338772702,18.9382452398169,20.2113509207921,18.11812263946,19.4289827676979,19.292131454239,17.9652988638504,17.7072048484181,18.3920490890718,18.4791931588456,16.7774951266485,18.7324596955694,15.797246195286,15.2106268806063,15.5934020165845,15.1223264775055,15.8751575982346,20.152016524268,17.6384175720365,26.1225137757265,15.6200895348593,16.2762385431669,16.106284665202,17.1523790198445,16.7419673753907,16.9200149929526,21.3727873277645,21.333303310162,20.8701995465026,18.8601739060984,20.7838076748378,20.7454302864789,18.9120148824121,21.014984101085,20.9620133563475,19.2492716498906,20.8054532168292,21.1027775703392,20.3864207424437,18.1127580197166,21.4058343215178,19.9528929412091,21.0743456434692,18.1833307499517,21.2039177654749,20.2132112112107,19.3239049163014,19.1348575088533,18.8336886617553,19.4388944720581,17.8012149121836,19.1577095527842,18.438255438484,17.6645947579065,18.5862912693051,17.5847615223751,19.0031475135773,20.116120306897,20.1498467954359,26.3035999036925,17.8943888894667,18.9082996549393,18.5483714799813,18.3964673782432,19.1595664770831,19.3572398456246,20.4044588898074,20.0472260842914,19.6930652954017,18.7456248531771,18.6872980885785,20.2309980664385,18.4374360496562,19.1921289324739,19.5399386837356,22.1224185483646,19.699117801417,20.4032768149624,19.8752551300233,19.0490952890953,20.2575056786874,19.4191084611824,19.7279231087617,18.9580713387081,19.0646690131015,19.6781113357734
"fr10_00",14.1093523020505,15.9178251129164,15.3622649091716,15.8231165700108,16.1400585315085,14.7259338482633,13.4542645744312,14.4911485683853,16.9919500593479,0,17.0868905997987,17.3420486693326,27.181363590356,15.8921424147377,16.7251519302934,19.8561377747223,16.9623647863826,18.4130075125423,16.81670016508,20.5138311804759,19.1913507820703,19.4791077561923,17.9331210832,18.2336976207251,20.1827418540708,18.111218471146,18.1865052800254,18.4633414492295,19.9546990495736,20.2700835491223,18.8110707700041,19.3541529413602,17.3723830196308,19.6820244293543,19.7169258048847,19.4415639030315,17.599761301565,18.2785998337894,20.2131439697043,18.9474623914222,16.9160774446492,15.0834632247456,15.0158148858494,15.6738155549195,15.0149225010614,15.9983192937277,14.0027014031133,13.5696743065641,14.5706226895026,12.953209573831,16.6263825277008,19.9471791807102,16.6492004426739,23.9385513297688,15.4998426057149,16.1903499332406,15.8486082749492,17.5040742628354,16.1644808698443,15.2425916530769,16.281099913603,20.2096782436647,18.1825864215437,19.0012337234476,18.7646662921456,19.6128131267161,18.4255913605028,18.5285050207588,19.3689510023358,18.9904332013757,19.352574568833,19.9666297047958,19.4575687783843,18.1296494289952,18.8678429833821,19.4930841139961,20.169739929746,18.3648866132499,18.6077936336772,19.0281192625254,17.6783126048824,16.9188561409782,17.4022890212787,16.9953906561713,15.6999822082124,18.1014993143774,13.7642635375221,12.9029439647829,13.6430232187919,12.917663545712,14.1661718325256,19.9047245870462,16.6217866270916,26.5844842920322,14.0420152755579,14.5813395704509,14.6150839749256,15.8137778266139,15.2582309607487,16.1155494564372,20.7389881980946,21.0211715848421,20.6387100298805,17.781603467832,20.3977950537841,20.2121235923861,18.8404336485661,20.4758887629547,20.1770494328244,19.9397036897623,20.2100572438993,20.4880280936083,20.0634300637691,18.8439969739974,21.067470894474,19.446865698967,20.7704523096237,17.8456717575869,20.5073389833194,19.5917788579599,18.7382550982839,18.5193799962056,17.9078159339867,18.6751582389241,17.2523824611354,18.7274476930805,17.2309314210773,17.2683812126454,17.6896737288399,15.8919546545696,18.906369077722,19.682696011292,19.418144143919,26.8499642951442,17.4930980040478,18.4261427262099,18.1361744426267,18.0974723895555,18.8663858100947,18.5887944076051,19.807676460733,19.3442610123694,19.3856251014783,18.4496062103677,18.676682316326,19.6381352581144,18.0787003879742,18.9642412694221,19.0071019806745,22.1188077489158,18.849822342348,19.8711407377114,19.3506747022618,18.9346366608666,19.6160429722994,18.8138368611068,19.3852074075932,18.4769640442013,18.0587985357987,19.243763368422
