"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,19.3284649606844,18.7205875824842,13.2187599991303,16.461580091647,17.4812937246771,13.8035946340125,19.3893298348036,19.6103979625117,16.3756385040169,20.8531613330346,18.3453946281403
"fo2000",19.3284649606844,0,20.733012372704,19.432173218988,19.4147052838957,20.3884552,19.2215329631932,19.0277327534985,21.025549784942,19.1725558693693,19.1126530519801,19.8386727221987
"na2000",18.7205875824842,20.733012372704,0,19.1757138603338,20.535720014345,16.5515837419653,18.4143653961995,23.1002011354846,12.2933986775236,17.0498173366222,21.9298776157376,15.4330888606554
"fr2001",13.2187599991303,19.432173218988,19.1757138603338,0,15.8831355481742,17.414984332685,13.1173148013209,18.9388832604411,20.1397441536258,16.8731093967359,21.1567699567119,19.0697289414282
"fo2001",16.461580091647,19.4147052838957,20.535720014345,15.8831355481742,0,19.2658360207556,16.3935879409755,18.8157527103343,21.2572662438025,18.5911479941516,20.2249096551859,20.10489340939
"na2001",17.4812937246771,20.3884552,16.5515837419653,17.414984332685,19.2658360207556,0,17.1908367470352,21.9933133118899,15.775110911975,17.0481831415902,21.5576344292975,16.8509595059798
"fr2002",13.8035946340125,19.2215329631932,18.4143653961995,13.1173148013209,16.3935879409755,17.1908367470352,0,19.1572594664784,18.9414008528691,16.0317420972436,20.714450545003,17.9206450561484
"fo2002",19.3893298348036,19.0277327534985,23.1002011354846,18.9388832604411,18.8157527103343,21.9933133118899,19.1572594664784,0,23.8404408409351,20.896980068082,18.6504732127609,22.2591220243748
"na2002",19.6103979625117,21.025549784942,12.2933986775236,20.1397441536258,21.2572662438025,15.775110911975,18.9414008528691,23.8404408409351,0,17.0942042585537,22.3172906824868,14.1752604277776
"fr2003",16.3756385040169,19.1725558693693,17.0498173366222,16.8731093967359,18.5911479941516,17.0481831415902,16.0317420972436,20.896980068082,17.0942042585537,0,19.9891562958502,15.8577889289615
"fo2003",20.8531613330346,19.1126530519801,21.9298776157376,21.1567699567119,20.2249096551859,21.5576344292975,20.714450545003,18.6504732127609,22.3172906824868,19.9891562958502,0,20.6443246789118
"na2003",18.3453946281403,19.8386727221987,15.4330888606554,19.0697289414282,20.10489340939,16.8509595059798,17.9206450561484,22.2591220243748,14.1752604277776,15.8577889289615,20.6443246789118,0
