"","fr1_00","fr2_00","fr3_00","fr4_00","fr5_00","fr6_00","fr7_00","fr8_00","fr9_00","fr10_00","fo1_00","fo2_00","fo3_00","fo4_00","fo5_00","fo6_00","fo7_00","fo8_00","fo9_00","fo10_00","bc1_00","bc2_00","bc3_00","bc4_00","bc5_00","bc6_00","bc7_00","bc8_00","bc9_00","bc10_00","na1_00","na2_00","na3_00","na4_00","na5_00","na6_00","na7_00","na8_00","na9_00","na10_00","fr1_01","fr2_01","fr3_01","fr4_01","fr5_01","fr6_01","fr7_01","fr8_01","fr9_01","fr10_01","fo1_01","fo2_01","fo3_01","fo4_01","fo5_01","fo6_01","fo7_01","fo8_01","fo9_01","fo10_01","bc1_01","bc2_01","bc3_01","bc4_01","bc5_01","bc6_01","bc7_01","bc8_01","bc9_01","bc10_01","na1_01","na2_01","na3_01","na4_01","na5_01","na6_01","na7_01","na8_01","na9_01","na10_01","fr1_02","fr2_02","fr3_02","fr4_02","fr5_02","fr6_02","fr7_02","fr8_02","fr9_02","fr10_02","fo1_02","fo2_02","fo3_02","fo4_02","fo5_02","fo6_02","fo7_02","fo8_02","fo9_02","fo10_02","bc1_02","bc2_02","bc3_02","bc4_02","bc5_02","bc6_02","bc7_02","bc8_02","bc9_02","bc10_02","na1_02","na2_02","na3_02","na4_02","na5_02","na6_02","na7_02","na8_02","na9_02","na10_02","fr1_03","fr2_03","fr3_03","fr4_03","fr5_03","fr6_03","fr7_03","fr8_03","fr9_03","fr10_03","fo1_03","fo2_03","fo3_03","fo4_03","fo5_03","fo6_03","fo7_03","fo8_03","fo9_03","fo10_03","bc1_03","bc2_03","bc3_03","bc4_03","bc5_03","bc6_03","bc7_03","bc8_03","bc9_03","bc10_03","na1_03","na2_03","na3_03","na4_03","na5_03","na6_03","na7_03","na8_03","na9_03","na10_03"
"fr1_00",0,18.162332062009,17.2513933283258,18.5019357382082,19.6993879525747,18.5056637020023,18.9936087203792,19.0002066994307,18.8667304898005,18.6320492852222,19.1780060096298,19.0543166803723,18.0224222803628,18.0716905729698,17.7904289897642,19.2905001367433,18.8809558320355,18.5933196338021,18.7364323109695,19.1268859391926,18.1983181626083,19.8584651729661,18.3042663592457,18.3627828993562,18.1136980959529,17.4951334569304,19.0572796428257,19.4737717745989,18.7185159392863,18.1336597297177,18.168004645162,18.1416509549215,19.343493641082,18.4349768961499,20.3709060278382,18.2959579956298,17.7134946452391,18.7062512495571,19.6937975622674,18.2572446894418,18.099603862008,18.8406996256729,19.2391149412274,18.5977395922862,18.9713503070935,18.6261119400731,18.3294338556232,17.8853362051562,18.7890977411901,17.9183978413164,18.7188562710813,19.2248507819215,19.3734870523314,19.1651429307576,19.484705704553,18.3534207199816,19.0482043215659,19.0856095516661,18.5019539494418,17.8977987185254,19.180501254509,18.5258308637826,18.3972764769476,18.0062438820408,19.1826624100192,18.4699908303797,17.9452095741231,19.3737534018491,18.3901078806756,18.5259938406408,18.3514849665504,18.2994212283049,18.4734765695828,18.7935974774662,18.8258585524573,18.5767125391465,18.2899291616183,18.664191115816,18.0851290215875,17.8440064840163,18.8382330550805,19.2117620223351,17.6275689308562,17.7374990254703,19.1709337054517,18.3787854711292,19.1931775606387,19.9256321306562,18.2013238749317,18.8691209897818,18.3530871915153,18.3566741982711,18.8427655352263,19.6325392971638,18.8608418904268,19.2073898478513,18.6316493857787,19.9978254364355,18.7796225938672,19.4894877880527,18.3406060373017,19.4794160010647,20.0101647964799,17.849990167877,19.0791661158059,19.2309001085154,19.5850453395644,19.3323714052825,19.2947654195674,21.1203111915247,18.6925687072603,18.9106303979408,19.5452485422771,19.6927072089443,19.2720599490423,19.2184032316205,19.4942835852674,19.6007495336141,20.5543914218235,19.4774232763613,18.9994268639458,18.6595093642129,19.5918703156497,19.2754551186876,18.2968063918341,18.4814110608584,18.9936855398888,18.2890250971425,18.2354737031528,18.033207549417,19.0453480355059,18.414148976528,19.1122031189634,18.5240274759378,18.9559284283237,19.5066052389827,18.424441647151,19.5154168513725,18.9004290204679,18.7081255155073,18.480602568684,18.403889562382,19.1458824905526,18.9447231686412,19.1791616441586,18.620572713622,18.6602258749335,18.9783469127193,18.6119814086758,19.0265875295608,19.4561116677981,19.275941438402,19.1406959444893,19.2522922305931,18.385124928055,17.8974521942684,18.1867931621658,19.1807158205189,18.4254161341299,19.3126654961628
"fr2_00",18.162332062009,0,16.6822437629891,17.9675316882205,19.3175063116781,18.0194653435654,18.1338535050694,18.8316794228172,18.0809929910543,17.9277903784368,18.4783976566637,18.4435255891163,17.4141918726333,17.0568353637639,16.889221924591,18.6323849676071,18.3949365656243,17.8927973635942,18.0366563795434,18.6496406057663,17.3527598435229,19.3770599272647,17.6204613176346,17.6410494267575,17.4671244568911,16.8269613324074,18.5642892538085,18.9394190952125,18.0286628640953,17.2849600160844,17.4336871974581,17.4988310582616,18.7475453737614,17.9115263625716,19.8909483594507,17.5058056803991,16.9392710213152,17.7844593076281,19.2008902203393,17.5919634392006,17.2181571842371,18.1945837232906,18.829778626152,18.3250326112838,18.4761777039821,18.2689744434612,17.6524016049473,17.5543866428552,18.4245079866684,17.1808638769083,18.1571919779434,18.5230400579292,19.0768042202125,18.4994172958687,19.1055568552403,17.6078227277797,18.398744915719,18.3081909046206,17.7101825752223,17.2369119034713,18.4790134457372,17.8046515679922,17.7500880534431,17.1023733705227,18.585654089579,17.5350290734771,17.0879956692871,18.7550757571981,17.5982866951553,17.7557925722111,17.7510466537437,17.3771322842802,17.5887704690779,18.0799187572956,18.2401872314846,17.9701488294469,17.8830685807896,18.2772762124042,17.3954075729721,17.0404502945086,17.9730811950371,18.4042968856946,17.2880510122181,16.6040936505604,18.6448593343262,17.5842803338545,18.356874121608,18.9933970231589,17.6044243061235,18.1065918220625,17.7735817245305,17.3895500927055,18.0578937114133,19.3412434193258,18.1487435905798,18.5961482986184,18.0354138353026,19.308043671875,18.0571804460977,18.9672517752344,17.6915419355405,18.9134274063243,19.4737331266023,16.6240694940018,18.5581835636276,18.7201987694338,18.86820162105,18.7448673679004,18.5226732434717,20.6318514924344,17.892796698525,18.4060351952063,18.8579725309284,19.0356130215227,18.6582527957558,18.5783724194259,18.9363794759503,19.0121548509233,19.7574422185281,18.9967282319146,18.3660484680987,17.9511956082519,18.8773270733233,18.9064786828042,17.691422577969,17.8595201755514,18.1872165311923,17.5747038589617,17.4575615483595,17.225570855161,18.3749628892734,17.6513028555202,18.4484900584702,18.1462647151352,18.4834922462984,18.6474811816892,17.8081487625405,18.9646017628627,18.4396393163103,18.112483354756,17.8505943183909,17.6554028274009,18.5237299666392,18.2562733082056,18.5234526687614,17.9044788544167,17.9700761177334,18.1982565753518,17.8160545187801,18.2599078386258,18.8326986497561,18.4140058889455,18.4349096083154,18.6841877143614,17.6679303019331,16.9909283075874,17.496358050521,18.5694462656271,17.8440488797193,18.7674198589196
"fr3_00",17.2513933283258,16.6822437629891,0,17.0944690946568,18.624830173166,17.0265088596211,17.4131784308718,18.0290650658361,17.4764631485149,17.085122145478,17.83026889777,17.8508614312916,16.3450221256058,16.2801520225004,15.840375035998,17.8633341059229,17.6061715902171,17.1308480159485,17.2565363635899,17.9170763478304,16.2961242126209,18.9444044641846,16.5539508711053,16.8704315609542,16.4316807223264,15.6238760757353,17.9112866669951,18.3288787651512,17.1895496114449,16.2452765479823,16.3318574480784,16.41887235182,18.1687097086997,17.02189598048,19.4700002851484,16.4075857913565,15.6039924930523,17.015617863045,18.6964263882285,16.6889295004001,16.4271028369307,17.468279670734,18.0707836412229,17.5548542468284,17.7635497920783,17.4957937331237,16.7046830446046,16.4283268951025,17.6045346206815,16.0570062648305,17.4293777171728,18.0363117752998,18.5852147613636,17.8876974216738,18.5639556731727,16.7522071003262,17.7465013534883,17.7794568161328,16.8824400720984,16.2253748427573,17.9542773771086,16.9926615806926,16.7014221223472,16.0322171627021,18.0367947118589,16.7069010748902,16.1735733852783,18.1248031327676,16.6037387843744,17.1688527785115,16.8839310965713,16.4388281633718,16.7039427342502,17.455112322929,17.6129207962039,17.1740492241108,17.1548021213073,17.3988546313039,16.2890473613166,15.8869936640493,17.3428276968901,17.8320747071192,16.1369724597969,15.5982412888954,18.0733746571481,16.6727574091794,17.6734831654834,18.1750635829399,16.6441849898273,17.7115670116823,16.8309496282914,16.4818692299947,17.2083747445082,18.7409289745714,17.5011356982589,18.0470747507224,17.365619231022,18.960082938619,17.3408823472506,18.4258175057771,16.8311466874229,18.3042552241503,19.0869644404485,15.5162389113016,17.8465491223727,18.0178555962087,18.3018511304391,18.2187477190782,17.7947189296672,20.4580008909143,16.9907059181293,17.6193178978083,18.1476539752475,18.5395108960724,18.0336255416103,17.8637724612563,18.3899694339566,18.5655686938318,19.3694325453152,18.3587948865033,17.7775470891636,17.1431285232266,18.2977101397783,18.2449034633584,16.7684094515998,16.8424484816319,17.5265096553296,16.7519848191317,16.6012424270438,16.2888405597124,17.7121789048935,16.8399957574781,17.8403186688529,17.2933502486958,17.7673241854319,18.1124070796617,16.9521002738216,18.4324703779223,17.6529521882106,17.2652007981652,16.9781385044439,16.8084556289212,17.7460376705945,17.5635925983867,17.8123900868101,17.0974524552861,17.1182715257216,17.4622855186654,16.997078350822,17.4773233550177,18.2554347497533,17.8573257991885,17.7614719312279,18.0101401127053,16.7583785394904,15.9767803591113,16.4917666993822,17.8921852828372,16.97544279918,18.0937559882472
"fr4_00",18.5019357382082,17.9675316882205,17.0944690946568,0,19.4018486243363,17.8941869388187,18.0944664797283,19.3317851790736,18.3825817870347,18.5003481149517,18.8317662424243,18.9102851425625,17.2924766254798,17.6089644173927,17.3081922265301,18.7589602435586,18.545159068305,18.051939709205,18.2830998263673,19.1939579749005,17.3787497233427,19.4676729897664,17.7804925703881,17.8961153913325,17.6906405144848,17.1785954571029,19.2164237296523,19.1666621913436,18.3149059627345,17.216536698593,17.5723103406923,17.1263583452241,19.4974424765405,17.8572913454014,20.1311268842766,17.8812785788591,17.1543781571962,17.9016458604743,19.344981804613,17.3350450533716,17.521433127716,18.4075796838137,18.9747516631237,19.0561557756965,18.6839828021264,18.3106101245755,17.6015343105634,17.8191229873897,18.3205328503817,16.7409483456772,18.3556714610255,18.5604188103347,19.3574164133733,19.038530570975,19.3626304386561,18.1462447507643,18.6361925870866,18.4303581095911,17.8320904428379,17.5293906090023,18.7550082075562,17.3118857035238,17.1827828320761,17.0247840458705,18.6989129684085,17.3289133405683,17.1526054449699,18.6917890340074,17.4829457737463,17.7267140014183,17.7935962888555,17.4616077317355,17.546512070902,18.2789798524251,18.459665168966,17.8727114811568,18.065057011348,18.1266300863661,17.492356944182,16.9066473248105,18.2017249351494,18.4600279274366,17.2938807487927,16.8627597970955,18.9167738200012,17.8853378355355,18.326062930136,18.4472771586805,17.8610708369711,18.3910917452588,17.978706223803,17.5530630084449,18.090417923028,19.4720103307865,18.63522406633,18.902073157191,18.4572194132605,19.716993815743,18.6609624340611,19.3058823757995,17.3817605246491,18.8462438978926,19.6608763039214,16.2537366231648,18.5491072372024,19.0451007736081,18.8707025548885,18.8603469443234,18.5237131032352,20.9446516901297,18.1020271434598,18.3673695445019,18.6512459107014,19.7558816769587,18.9646283014132,18.4730014834542,18.8288953804778,19.3064898847705,19.8355610607638,19.2260852592122,18.6647895986419,17.9471509536871,19.116351291694,19.1526361937709,18.0829415407137,17.7428784232689,18.4182915096722,17.7847559095172,17.8680066720605,17.3163768536867,18.727928712578,17.7718314701109,18.735287716922,18.3276120133488,18.9909274231877,19.0526675779184,18.0220537873549,19.4006461453601,18.9583975130081,18.1067865432118,18.0454758418346,17.7333063739065,18.2761696346567,18.4751106264899,18.7435181843476,17.9794802457736,18.1820094348161,18.2704448351648,18.0233711846483,18.4187648614412,19.0425910808311,18.4234442755758,18.6500045779501,19.1179069447851,17.5831872158331,17.1402520750766,17.4199189403866,18.7918790795293,17.9177647100716,18.6024921595733
"fr5_00",19.6993879525747,19.3175063116781,18.624830173166,19.4018486243363,0,19.2494088665397,19.1216180814324,19.4122482765792,19.4242181459404,19.4033741447485,19.7952219850726,19.86919719276,19.1295545582628,18.9118936225787,18.6323839943303,20.0338801741679,19.658743202878,19.3792915300393,19.3203567689917,19.7695444987279,19.1934486871296,20.3376030356721,19.235163726575,19.8740666048617,18.9428012694464,18.5802069470711,19.7154222629917,20.0528276624229,19.2273351505429,19.2214084953542,18.7928926761897,18.7370271627988,20.0126502337341,19.3738266460614,20.2881670845528,18.6965119149381,18.6331109780821,19.6902054865302,19.9937358503262,18.9194229083524,18.8974721966182,19.454133151068,19.7799257357592,19.2101973412633,19.6106165967352,18.880365256725,18.7473141115869,18.5542708856889,19.2703510150466,18.8564498035556,19.538228829543,19.8638976197486,19.8550364149306,19.6104928116939,19.8897589913497,18.9503997069167,19.5636943469563,19.8254850879789,19.4111150496591,18.7970197711417,19.4541819013198,18.7365271546006,18.9974524333361,18.7071075191432,19.7022913399073,18.9329351985083,18.4700214294787,19.2904164598904,19.2228898665697,19.3425008332231,18.6685858092104,19.0306293667861,18.7451816492737,19.444688768885,19.0877404382565,18.8851984615937,18.9924555943611,19.2340900183102,18.8966357794058,18.5513397010167,19.2864250553322,19.5142178723652,18.7869601412287,18.3737253411639,19.3464519823438,19.2439900048476,19.6561666411386,19.1837765453179,18.9734497845172,19.6677093907333,19.3685494389917,19.0732478349135,19.3519005762531,20.1531391709528,19.3813634184726,20.1006336301162,19.2407364242598,20.5103042703896,19.4419479772312,19.9245629234433,19.0171410189283,19.9738452659522,20.2702283931235,18.704718313644,19.6118744840018,19.7928268895172,19.8530294891917,19.6499988835283,19.7284198798283,21.2728627596139,19.0619026002528,19.4885318256071,19.828278639522,20.3818530403886,19.3020329995494,19.3533160854687,19.7895844500181,19.9845624377239,20.5559464200944,19.7113614720361,19.5755857765294,19.4717152115561,20.1049165725687,20.0479064024542,18.9554947618036,19.2223572583014,19.6048994586448,18.9599550832006,19.0378032425828,18.9530963271183,19.7130296217042,19.1764853262122,19.7587809542032,19.429344358555,19.6721645812351,20.138105339125,19.2317293558507,19.9434387096241,19.7170844644789,19.5540760388351,19.3527350873865,19.1327514765797,19.7821027183128,19.6156439230028,19.7785492211524,19.318880087144,19.2732640311507,19.7503091213401,19.2040000534318,19.8946789388372,20.1128698165003,19.7614902803697,19.7644022212276,19.9839397351171,19.2105920587378,18.6716535721056,19.0216767604965,19.8332189712515,19.0779015039547,19.7806302371462
"fr6_00",18.5056637020023,18.0194653435654,17.0265088596211,17.8941869388187,19.2494088665397,0,17.9441613706882,18.6569900465732,18.3206687723443,18.2624648888332,18.7210380712076,18.8274348784271,17.5464217677933,17.3135263782784,17.0173331595544,19.0190619714412,18.5252733629631,18.2953073209048,18.0633550554734,18.9315044423859,17.585243948551,19.4491998411211,17.7129007577495,18.1711463448447,17.6100934575151,16.9141197499242,18.6757225170211,19.0592741748158,18.1514470809783,17.5165514076745,17.3576757160903,17.0527414589618,19.3142275508909,18.0075515416594,19.782890241417,17.4193652900681,16.9492874127424,18.4806734937721,19.1960187247447,17.4044043882388,17.5484365535883,18.3407752759254,18.9971605625276,18.4261548375535,18.7358516384676,17.8819904425471,17.5218707032328,17.1985913997657,18.3016757388329,17.057522140148,18.4562608436891,18.7725663527108,19.1559608588797,18.7453001349492,19.070279962741,17.7403796497504,18.6360272489458,18.7378188863678,18.2173327390742,17.5340074100014,18.4893016309269,17.6321959612354,17.5850499480222,17.1763491474273,18.951842473238,17.5951025249389,17.0683107897018,18.4402352405851,17.872287397518,18.1986716001797,17.4682630063853,17.7199195429794,17.6257591425,18.3129876965163,17.9745643235794,17.8557790193088,17.796059990624,18.165220373719,17.4713663423136,16.8822019566849,18.2331902696968,18.5288337918119,17.3507629287405,16.6951671533069,18.4073182420811,17.8228516154945,18.6591170545187,18.5422861245723,17.7009403467661,18.4876525578471,18.0852500555665,17.5577253147871,18.2197953486096,19.4698767047486,18.2372026709848,19.24422239497,18.355862899954,19.695930420321,18.3873849663915,19.291974673585,17.6675367462295,19.1193929532272,19.708460206977,16.7119604747647,18.5383234434922,18.8701375545336,18.8810496681333,19.0575601463887,18.7067921787467,21.265506890476,17.8672240548733,18.2643206400529,18.8435398438048,19.6840910804936,18.5578320672353,18.5284518388911,19.0599768615796,19.3599095823667,19.8761347779201,18.8293217913784,18.6110595205367,18.2619079223841,19.226864270682,19.1213130790314,17.6582962937273,17.8137116391578,18.60444951509,17.6059289810631,17.7465048306688,17.4426464617177,18.7661965133756,17.8893574677595,18.7572003311259,18.3899171089401,18.7236960083142,19.0427460955911,17.9486854266572,19.1494841541305,18.7562721311695,18.3932576809949,18.0718640543793,18.0190213879322,18.8329784099083,18.5362853647232,18.6574389904202,17.9972236045729,18.0359738519249,18.685956281921,18.0624220100998,18.7069525798004,19.2828464375701,18.8157825754434,18.7374671902814,19.1784975482885,17.7603762422375,17.0132858349531,17.6885840638082,18.8862577676746,17.9368507931834,18.9119448027955
"fr7_00",18.9936087203792,18.1338535050694,17.4131784308718,18.0944664797283,19.1216180814324,17.9441613706882,0,19.1435659512785,17.7837724219726,18.1691444100412,18.5214524802603,18.6048939543089,17.3774134045467,17.0798944722531,16.8069062522084,18.7427369533249,18.6458753413288,17.8553592238106,17.8089950060468,18.7815651967121,17.2301701967099,19.2903744064124,17.8328693717928,18.8773070965178,17.9123928096635,16.9855947886758,18.531734584954,18.7113607644674,17.6808715063848,16.7521904394741,17.1383283220732,16.7911802404278,18.994313947601,17.9792453933576,19.1877091595728,17.0546942845397,16.6033440124214,17.4166545424792,18.7475389883829,17.4319298422259,17.0334852860265,18.0943227943115,18.9594888095175,18.5866072344367,18.5314943800505,17.7737465660067,17.359577850019,17.6012608517204,18.3828754068222,16.5389461605463,18.3389127522276,18.0259121566167,19.0611007077049,18.0379216847747,19.1384047589984,17.1164354983493,18.1099511633122,18.2680972566784,17.745882823043,17.5754239941222,18.0882039816303,17.1053840524428,17.0893263734383,16.5502464326687,18.3606452728648,17.0094314400265,16.6066814392031,17.7497371807504,17.3078559001333,17.4912647587407,16.9998667193583,17.1975516216204,16.9868987842615,17.8792355038134,17.6276868727776,17.43575369315,18.1158508134602,18.1634801703938,17.2136043130256,16.4402004531215,17.3186007157862,17.8653435872118,17.818589135358,15.9227911696241,18.0029253758783,17.3116703027452,17.6718103463586,17.5040515620571,17.4523876872882,17.5144528601963,17.9819453865076,16.7324681390757,17.6262444637764,19.3418923161985,17.7167325894731,18.571273992731,18.0287895865472,18.7550472092799,17.8556898295382,18.8893627757606,17.4584626379347,18.6373157335421,18.9025453513253,15.5425340694429,18.2519316448009,18.5152812738346,18.1527391193533,18.5097801279688,17.7397282154259,20.4953020397194,17.4070481770296,18.010543443646,17.9865691219151,19.088631757196,18.0299175467563,17.8747862734753,18.536818587439,18.5895295080785,19.0015312923398,18.5074785527315,18.0988187192563,17.8333326249336,18.6424299636276,18.9621223424136,17.5763051705504,17.8469537602875,17.9527716584075,17.2686913788245,17.3117393508936,16.8829637609886,18.3551565258691,17.4251029566631,18.2510036703349,18.4568066929351,18.9261745224255,18.4418838840088,17.7918394307646,18.7395368683018,18.7289529080438,18.2168890297831,17.881140255054,17.6087073071434,18.3257844455645,18.0562196212401,18.4721509030683,17.7592297539352,17.7985729958102,17.8756035384259,17.5103351848531,17.8913926017452,18.6319153080024,17.9934223904673,18.3508178397761,18.8439821592515,17.5314362114661,16.5461658055603,17.7113686045025,18.5723793466214,17.7361485091631,18.4392744918055
"fr8_00",19.0002066994307,18.8316794228172,18.0290650658361,19.3317851790736,19.4122482765792,18.6569900465732,19.1435659512785,0,18.9940868535726,18.7993752561107,19.3260436756443,19.3450095900894,18.9907901703737,18.3378988244146,18.1930796976158,19.9541641961557,19.1772064726649,19.2335003186593,18.6877917760661,19.0177794932264,18.9604995889368,19.9907992460423,18.8749843028511,19.4005616694763,18.4866691375643,18.112315055229,18.9034644532352,19.765196410468,18.8568745871237,19.3762797613094,18.3566322878121,18.5840923569955,19.1798404718392,19.0512379183983,19.9501906364618,18.2131736882384,18.4485889589071,19.916269507407,19.5369063874933,18.7941459346492,18.5537981618496,19.0848427062315,19.5675069955924,18.2726297196588,19.1876925661965,18.5154802831875,18.4843160528946,17.7962308672208,18.9062978198717,19.0083849569292,19.0292157937099,19.7909744134219,19.3454279960097,19.169456737879,19.160874925816,18.5130005100656,19.1440676192864,19.5544169526018,19.2988600810144,18.2257592240107,19.0271310119548,18.8919368684943,19.3099506529229,18.6851141881381,19.6343020606446,19.0518282777396,18.3128056551955,19.1920733631438,19.3852961619582,19.4893529668688,18.4749421615562,18.971775265576,18.8648106800139,19.0562053234345,18.4561665953734,18.7857272549906,18.1989290537531,18.9950826638104,18.6198956022928,18.5192798885508,19.1827428907579,19.3625074703925,18.4075733236465,18.3728528818687,18.5492300714414,18.8934201936455,19.8358156902267,20.0862014601884,18.4807789614055,19.4470581425396,18.9234270208586,18.9101788376266,19.1960177943953,19.6375905072804,18.6792434786661,19.897745376524,18.7440623181346,20.1304130162336,18.8465360560992,19.4418408667519,18.8253213374977,19.8538435110674,19.9888370476687,19.234968834792,19.2716690857303,19.185644055168,19.7066505316004,19.5647444888093,19.7785391939496,20.982042615499,18.6313621288271,19.0650727659768,19.9072096251097,19.5775010132744,18.8291030391479,19.296429202148,19.5910526739949,19.6028782071404,20.4643220572302,18.9493092642833,19.2035900665115,19.345553297129,19.938039012622,19.650481186022,18.2619853322173,18.9346093307132,19.3729758546688,18.5083888100508,18.5249540283831,18.8294690944364,19.2508087818422,18.9274552996959,19.3567012670386,18.9066734272295,18.6987955898029,19.744541164567,18.7211309598089,19.3885210150076,19.020275785543,19.2591713666823,18.9473761849162,19.0556331466788,19.9506867544668,19.3328070552014,19.3760392995699,18.9994495296806,18.9531754631012,19.7883346994054,19.0035639697669,19.7807993726829,19.9461718443911,19.8414137307459,19.5574422492014,19.5009587826994,19.0127222018824,18.4066329866323,18.8753808199151,19.5155835839181,18.7870328228919,19.7384845241687
"fr9_00",18.8667304898005,18.0809929910543,17.4764631485149,18.3825817870347,19.4242181459404,18.3206687723443,17.7837724219726,18.9940868535726,0,18.2532020216281,18.5360710395198,18.5460467096435,17.758162248461,17.3146018985991,17.0065197988117,18.755120513174,18.7267980905417,17.9018605071177,17.9220055533109,18.7268341946542,17.5339933892859,19.5870507696986,18.1807363739837,18.6405218699677,18.0640400624027,17.1805226595991,18.5976917864094,19.017708333763,17.9274688311253,17.3220831023423,17.583404828543,17.5819782144236,18.8413921850357,18.2488780597678,19.4556076339701,17.497281048478,17.2724963181687,17.6933225029288,18.8212491099552,17.7376888745446,17.0291654204634,18.2548146981272,19.0240265605279,18.4970683234615,18.5616262585337,18.3446553232892,17.8504666950055,18.0226358854154,18.7079954280095,17.4803790948615,18.1887180473982,18.1716831224897,18.9612350181295,18.2507822020885,19.0469015654236,17.5505992964543,18.063985304882,18.13593286389,17.8495648975204,17.5758609338995,18.1302166411434,17.489813396829,17.9229155168923,17.2342714812699,18.3608578511865,17.3184555598235,16.9110947689203,18.425915690355,17.8183822606559,17.5923781295795,17.651401858524,17.4642806651218,17.4869766715124,17.8761405944106,17.8440101134838,17.8666130697587,17.9945032137596,18.4588379332504,17.609446075684,17.1284126334865,17.6450051279619,18.1522128013422,17.9058395587829,16.4656645932679,18.2259829706126,17.6739502551319,18.2537967145615,18.5553956668648,17.8384537774475,17.6805611556974,17.9730691391889,17.0551282822471,17.860351982188,19.336729735439,17.7315680366021,18.5892975764927,17.9316845596867,18.8233182239274,17.9478629843163,18.8578395595796,17.5980634993934,18.8341368043336,19.1062120791357,16.4610096464286,18.4544252033879,18.6751107898624,18.5598277207328,18.6846243276785,18.3043893894267,20.3320165973263,17.7707237709241,18.3458051981451,18.613642180279,18.8527814322734,18.2908986517436,18.3344226981263,18.6141046304276,18.5515880723354,19.5639763761474,18.6895866929942,18.1065127622677,17.8992969810522,18.682991999637,18.9489859522244,17.6147915681661,18.1331575165539,17.9771562419589,17.472629766008,17.3799553883237,17.1843312850378,18.2540454044911,17.4996603829225,18.2327451397361,18.4433525412422,18.6360717090972,18.5473400792544,17.8057647123715,18.7223966758986,18.634109532443,18.2524958371756,17.9527892917133,17.7111180777792,18.6111293014946,18.2451319013756,18.5933367632534,17.9004431530494,18.0938152971306,18.1361734699832,17.744359252167,18.2073491684251,18.7159396298131,18.0853685374973,18.5190468587373,18.7077039461718,17.6364596322937,16.9048927000074,17.6918271316226,18.6683761617173,17.9570422316663,18.7108289510572
"fr10_00",18.6320492852222,17.9277903784368,17.085122145478,18.5003481149517,19.4033741447485,18.2624648888332,18.1691444100412,18.7993752561107,18.2532020216281,0,18.7610469814927,18.6937107016188,17.9373167833502,17.2560555728026,17.1523470840089,18.990685043044,18.7153816404302,18.2852974848048,18.1023967011972,18.722639153834,17.6733337673399,19.7071956041356,17.827255022173,17.8960054198941,17.7833284761521,17.1164003838958,18.6986712369414,19.1107503668085,18.1846910039136,17.6409033764078,17.6194827702052,17.7660099550643,18.8897881792856,18.3100730046893,19.9366865408327,17.4891197987437,17.1241466809416,18.2185533473471,19.2753360206552,17.9888338273911,17.4463679179241,18.4162910955244,19.0955426969839,18.4450253582159,18.7877296832818,18.4265683313894,17.7605461404782,17.8889604552343,18.7574014036765,17.6711314711912,18.419095191334,18.9102959779529,19.4096718395124,18.6490509529032,19.3040727899688,17.7203895183621,18.4733457429654,18.5617278003256,18.1066393216389,17.4843065889433,18.593874113266,17.9922856688288,18.0853711982078,17.3467792878166,18.885016969695,17.7225197696219,17.3002529784928,18.7762517606167,17.994160537061,18.148576011134,17.9002994658206,17.4796400895676,17.7076042411869,18.2778380059136,18.2745447461036,18.0655318888103,18.1043578502956,18.5076014022144,17.4253750966783,17.3624275667761,18.1243571056517,18.5554819042034,17.7196326182203,16.8707964703971,18.6261754315349,17.7586799165172,18.6764571739583,19.0006110573034,17.8195135453578,18.5090546976235,18.0780363078776,17.5458643874732,18.172226007786,19.5325734122725,18.1890774930853,18.9021469700771,18.2281101712618,19.5023529441114,18.1994524929342,19.067984003685,17.9149634445782,19.1500096218842,19.5487726815096,17.003912904805,18.7904176309443,18.8385978581827,19.0475279035263,18.9966282345475,18.6535981372784,20.7018005202662,17.8146178417714,18.6401969283227,18.9009512209535,19.0587204896957,18.5847109898337,18.6935212160545,19.1058102169114,19.112674045002,19.6068862236593,18.9758232531804,18.623750508962,18.2937690964686,19.0417676350532,19.2046761163042,17.8158468015214,18.0600218759018,18.3901054963079,17.7346750986344,17.5546374227399,17.6585462114462,18.5328707776094,17.8938226837281,18.6517526381818,18.4313061538866,18.50905179541,18.758940301469,18.071706353305,19.0783012378701,18.6196835791166,18.4357960876629,18.1108464313582,17.9932508036785,18.9395747420103,18.4651250192369,18.7085495047517,18.1168125414425,18.1694705151446,18.4578530982197,17.9841243204405,18.4514454612741,19.1291640782478,18.6436864242265,18.6870329520158,18.8462007936437,17.9796637250087,17.2054100891162,17.8352522332871,18.7774497002754,18.1251511661097,19.0564739923922
