"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,10.3219138213264,10.3934897447593,10.2475613551933,10.3501831244621,10.12545945995,10.1406082205557,10.3693117838224,10.2333357105527,10.3513449464474,10.1317571422372,10.6530508983284
"fo2000",10.3219138213264,0,10.5661497035643,10.4911170338256,10.5532984274335,10.3335336794624,10.3663271784523,10.5867243779321,10.5006270758597,10.5950191892688,10.4611572295804,10.879130027455
"na2000",10.3934897447593,10.5661497035643,0,10.5612570132426,10.635174471462,10.4359907883649,10.4487857226658,10.6784835399798,10.5771904971484,10.6635820842853,10.5347155459569,10.9242808379789
"fr2001",10.2475613551933,10.4911170338256,10.5612570132426,0,10.5261581671717,10.3047776745535,10.3289138796162,10.5574638608855,10.4347103367196,10.5532260416167,10.3825818753591,10.8171551115004
"fo2001",10.3501831244621,10.5532984274335,10.635174471462,10.5261581671717,0,10.3963009166175,10.415696569377,10.6252068894714,10.5182106535883,10.6322621955011,10.4673778246253,10.9070453124909
"na2001",10.12545945995,10.3335336794624,10.4359907883649,10.3047776745535,10.3963009166175,0,10.1602704920745,10.3529102622717,10.3148032388821,10.4079245132223,10.2444577595204,10.7838808685495
"fr2002",10.1406082205557,10.3663271784523,10.4487857226658,10.3289138796162,10.415696569377,10.1602704920745,0,10.4111655216912,10.3034257958278,10.4135470620027,10.2747474803195,10.7420933188526
"fo2002",10.3693117838224,10.5867243779321,10.6784835399798,10.5574638608855,10.6252068894714,10.3529102622717,10.4111655216912,0,10.5342003525256,10.6460156778839,10.4794882674921,10.9650967624352
"na2002",10.2333357105527,10.5006270758597,10.5771904971484,10.4347103367196,10.5182106535883,10.3148032388821,10.3034257958278,10.5342003525256,0,10.5467322106844,10.3594132067153,10.8163718689055
"fr2003",10.3513449464474,10.5950191892688,10.6635820842853,10.5532260416167,10.6322621955011,10.4079245132223,10.4135470620027,10.6460156778839,10.5467322106844,0,10.4443259708253,10.9142281283745
"fo2003",10.1317571422372,10.4611572295804,10.5347155459569,10.3825818753591,10.4673778246253,10.2444577595204,10.2747474803195,10.4794882674921,10.3594132067153,10.4443259708253,0,10.7506674196684
"na2003",10.6530508983284,10.879130027455,10.9242808379789,10.8171551115004,10.9070453124909,10.7838808685495,10.7420933188526,10.9650967624352,10.8163718689055,10.9142281283745,10.7506674196684,0
