"","fr2000","fo2000","na2000","fr2001","fo2001","na2001","fr2002","fo2002","na2002","fr2003","fo2003","na2003"
"fr2000",0,20.1282089107377,20.2838679312887,19.9376476849917,20.0011282185385,19.290110667877,20.0119431397084,19.639553703034,19.9466218636414,19.8826528938614,19.5538046240342,20.4704605569149
"fo2000",20.1282089107377,0,20.4494691594464,20.2240509924326,20.2035656232685,19.5431570136466,20.2652558479265,19.8700694527313,20.2635295487589,20.1714088277868,19.9884710431568,20.7186380256852
"na2000",20.2838679312887,20.4494691594464,0,20.3465571490216,20.3422259163618,19.7177019784407,20.4299650875028,20.026059038233,20.4170434511302,20.2939309606601,20.1390633149827,20.7878546359495
"fr2001",19.9376476849917,20.2240509924326,20.3465571490216,0,20.0620581341689,19.3707937240991,20.1078447719079,19.70823351328,20.056535879059,20.0009154218721,19.7845671755075,20.5013109424133
"fo2001",20.0011282185385,20.2035656232685,20.3422259163618,20.0620581341689,0,19.4136410623474,20.1212465607658,19.6879755434026,20.0683505382367,20.0030194717887,19.7974187338725,20.5429771802191
"na2001",19.290110667877,19.5431570136466,19.7177019784407,19.3707937240991,19.4136410623474,0,19.3878471613446,18.9197619028444,19.4177796199657,19.357494315933,19.1243690127092,20.0957515005244
"fr2002",20.0119431397084,20.2652558479265,20.4299650875028,20.1078447719079,20.1212465607658,19.3878471613446,0,19.7132647141375,20.0873273293967,20.0173748080759,19.8358483784906,20.6702252906442
"fo2002",19.639553703034,19.8700694527313,20.026059038233,19.70823351328,19.6879755434026,18.9197619028444,19.7132647141375,0,19.6878099697236,19.6359294951404,19.4246939927075,20.2694606933993
"na2002",19.9466218636414,20.2635295487589,20.4170434511302,20.056535879059,20.0683505382367,19.4177796199657,20.0873273293967,19.6878099697236,0,20.0127243798731,19.7583189508092,20.5437752885716
"fr2003",19.8826528938614,20.1714088277868,20.2939309606601,20.0009154218721,20.0030194717887,19.357494315933,20.0173748080759,19.6359294951404,20.0127243798731,0,19.6214274346778,20.450539678582
"fo2003",19.5538046240342,19.9884710431568,20.1390633149827,19.7845671755075,19.7974187338725,19.1243690127092,19.8358483784906,19.4246939927075,19.7583189508092,19.6214274346778,0,20.2632263712125
"na2003",20.4704605569149,20.7186380256852,20.7878546359495,20.5013109424133,20.5429771802191,20.0957515005244,20.6702252906442,20.2694606933993,20.5437752885716,20.450539678582,20.2632263712125,0
