"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,4.11870573688458,6.81080905035451,1.01547963485586,5,-2.65106578316761,0.005,999
"fr2_00",16,7.20983656052315,9.38096630543638,0.983351362466178,13,-2.20788807315849,0.013,999
"fr3_00",19,5.69993852405107,9.57876241396298,0.979026767836035,1,-3.96191811842424,0.001,999
"fr4_00",20,6.15191473586296,9.1861232772613,0.928575201250633,1,-3.26759592256156,0.001,999
"fr5_00",12,5.4031647526746,9.27580710291151,1.08513735917715,2,-3.56880381777059,0.002,999
"fr6_00",17,4.80454913732308,8.71390722266719,1.14971145299424,1,-3.40029498285227,0.001,999
"fr7_00",9,3.20162102509088,5.65038207785124,0.956319576689532,8,-2.56060956237786,0.008,999
"fr8_00",16,3.92376244582905,8.39166349306085,1.25760151755409,1,-3.55271601128586,0.001,999
"fr9_00",26,7.30019102499516,9.89624271114722,0.898627425175778,3,-2.8889076979197,0.003,999
"fr10_00",17,6.05325035997882,9.15075420403799,1.0363076329802,2,-2.98898101826329,0.002,999
"fo1_00",21,7.90619242692804,10.1617831555587,0.757825445059382,2,-2.97639877802451,0.002,999
"fo2_00",20,8.05985425647918,10.3290280854353,0.753570475168666,3,-3.01122974390446,0.003,999
"fo3_00",15,2.12268182562315,2.18724655677713,0.361233515961381,438,-0.178734055122639,0.438,999
"fo4_00",9,6.55692522316444,9.26857745073255,1.22021859198927,18,-2.22226758825844,0.018,999
"fo5_00",25,6.71330721414285,10.2903429798296,0.782509694709559,1,-4.57123507845409,0.001,999
"fo6_00",21,7.99932414717615,9.62983707527598,0.986415964307555,58,-1.65296688932282,0.058,999
"fo7_00",20,7.6715376889321,9.99391945452782,0.881957816706545,3,-2.63321184029876,0.003,999
"fo8_00",24,5.98133828548403,8.28484766827017,0.98531585777913,10,-2.33783853634324,0.01,999
"fo9_00",19,7.03947427681922,9.69347059168003,0.930766718752915,3,-2.85140869499154,0.003,999
"fo10_00",23,8.63034189651473,10.0277231680591,0.785147787209986,48,-1.77976846436758,0.048,999
"bc1_00",18,7.95465517317036,9.62810432147372,0.91041219108155,41,-1.83812251713736,0.041,999
"bc2_00",17,3.21489242432665,4.52118787388914,0.698499906834367,29,-1.870144056973,0.029,999
"bc3_00",17,6.9973174007721,9.93775577490375,0.906805886956013,1,-3.24263264765757,0.001,999
"bc4_00",5,5.8065199394757,6.3832634753955,1.13005327118223,296,-0.510368449547887,0.296,999
"bc5_00",14,5.55995734771213,6.81526886673314,0.984455869618627,114,-1.27513234240485,0.114,999
"bc6_00",17,7.82966717671267,9.73472768929103,0.931102822209827,26,-2.04602592445913,0.026,999
"bc7_00",22,8.03824148378704,9.9196510705173,0.857918605121275,22,-2.19299310622165,0.022,999
"bc8_00",16,7.68478801986601,10.2360780625801,0.79639679062078,4,-3.20354134115159,0.004,999
"bc9_00",22,4.70179370350377,5.79403173544907,0.791641319141922,99,-1.37971326854085,0.099,999
"bc10_00",12,4.24843187440693,5.86422784415626,0.980040422698371,47,-1.6487033925606,0.047,999
"na1_00",17,6.23968787954828,8.96059402168453,1.20928491621095,11,-2.25001247072664,0.011,999
"na2_00",14,6.60550008889838,8.28791465914198,0.933518848499418,34,-1.80222881728418,0.034,999
"na3_00",11,6.12528176552025,9.51487445066113,1.07862473300655,2,-3.14251340750621,0.002,999
"na4_00",11,6.17831560597183,7.41431049368708,0.964290994521217,109,-1.28176545745814,0.109,999
"na5_00",18,4.85321049951608,6.51588859045691,1.18084720273216,94,-1.40803830257957,0.094,999
"na6_00",14,6.07804907262211,8.50618311777498,1.04812163718168,15,-2.31665291414261,0.015,999
"na7_00",14,6.75620761317333,9.7614916419643,0.980896751570623,2,-3.06381280596442,0.002,999
"na8_00",16,6.99137441868937,9.92336946188608,0.90595358334468,2,-3.23636342644853,0.002,999
"na9_00",28,4.80137287668807,5.92632273466242,0.744158466136511,78,-1.51170739723598,0.078,999
"na10_00",18,7.26189718080223,9.44854784615441,0.983632156108543,15,-2.22303698773232,0.015,999
"fr1_01",20,7.26928671845936,9.77834816940391,0.929618005681491,7,-2.69902415358789,0.007,999
"fr2_01",22,4.70425687754517,7.72376901495419,0.971723346240543,1,-3.10737840054072,0.001,999
"fr3_01",19,5.06573421353837,6.80338420753422,0.781862644852761,9,-2.22244918008979,0.009,999
"fr4_01",10,5.69217848190132,8.50411393185603,1.09972604695938,7,-2.55694175629413,0.007,999
"fr5_01",29,4.95314800261488,8.32197532940891,1.03830696173168,1,-3.24453889934008,0.001,999
"fr6_01",10,5.0404534029851,8.33122222261166,1.28101401210902,6,-2.56887808292491,0.006,999
"fr7_01",14,4.07230963695471,6.1088547810149,0.823929666859082,4,-2.47174634677708,0.004,999
"fr8_01",12,3.58595131384968,5.41946603717065,0.752703895772734,7,-2.43590438898773,0.007,999
"fr9_01",17,4.39720149823063,6.47906766947917,0.981508484467136,21,-2.12108830865461,0.021,999
"fr10_01",6,2.55682941562962,3.05690815378186,0.622570781025147,225,-0.803248005518002,0.225,999
"fo1_01",22,7.36903337909846,9.34183253692811,0.937219082618022,23,-2.10494983981636,0.023,999
"fo2_01",12,6.94355003723007,8.39504471050455,1.33097579986341,139,-1.0905492597412,0.139,999
"fo3_01",18,6.18870459360627,8.6703795038221,1.15673006424485,22,-2.14542267632333,0.022,999
"fo4_01",22,5.51729890539476,6.24224717614119,1.06522289215738,269,-0.680560168283845,0.269,999
"fo5_01",27,5.28714830990264,8.44685596448758,0.887820018553141,1,-3.5589506753117,0.001,999
"fo6_01",16,5.57320679357703,8.78358809458628,1.15242132339628,3,-2.78577047806438,0.003,999
"fo7_01",18,5.77836880511989,8.52592937362425,1.21351613261453,13,-2.26413188474448,0.013,999
"fo8_01",17,7.10828465983226,9.41310196543902,1.00637586413513,14,-2.29021520462188,0.014,999
"fo9_01",23,7.33040524624765,9.12581995623039,0.928978453695595,25,-1.9326763746138,0.025,999
"fo10_01",17,4.88961683737547,7.81878701539161,1.03634067835603,2,-2.82645488997185,0.002,999
"bc1_01",23,6.34832402362758,8.98332430746084,0.988715650646681,5,-2.6650739088734,0.005,999
"bc2_01",9,6.87967537597337,9.27051318965727,1.14172219814861,20,-2.0940626516335,0.02,999
"bc3_01",9,5.80442902422864,9.21656337339368,1.18101712210386,5,-2.88914892536585,0.005,999
"bc4_01",11,6.97891809934038,8.88543386082957,1.20082093441663,68,-1.5876769856743,0.068,999
"bc5_01",20,7.34220747011835,9.60848627176678,1.04720866471815,22,-2.16411387529761,0.022,999
"bc6_01",18,6.72365819606458,8.64510119683904,1.1626802518462,58,-1.65259795005844,0.058,999
"bc7_01",17,7.72645900027505,9.96681162141497,0.905172545215629,7,-2.47505586971401,0.007,999
"bc8_01",13,7.11164778601797,9.00282580086355,1.17405839664632,59,-1.61080404539306,0.059,999
"bc9_01",19,6.32153217267173,9.5063475046407,0.953667234238976,1,-3.33954572163785,0.001,999
"bc10_01",9,7.75039090468166,9.73870463902176,1.02574877923802,31,-1.93840224291287,0.031,999
"na1_01",8,6.33386757566816,8.06042217123737,1.43835707252194,125,-1.20036577047031,0.125,999
"na2_01",12,7.23625340725739,8.77136313669023,1.22737176341166,111,-1.25072922092145,0.111,999
"na3_01",13,6.41407699855082,8.8484279952065,1.109534890682,14,-2.19402834205544,0.014,999
"na4_01",13,8.26592746769716,9.86702088595479,1.01766295220303,57,-1.57330422100126,0.057,999
"na5_01",20,7.82142249450743,9.95511933401736,0.833649692057164,7,-2.55946455668291,0.007,999
"na6_01",8,7.03013118398934,9.11303448407656,1.19637409219852,43,-1.7410133783987,0.043,999
"na7_01",12,5.98717717271346,7.01185680642698,1.03178362189226,169,-0.993114846923317,0.169,999
"na8_01",9,7.49736025486833,8.50691600234266,1.25196736969649,215,-0.806375447084594,0.215,999
"na9_01",13,6.46393526262831,9.14960107599446,1.04950926167799,8,-2.55897295186535,0.008,999
"na10_01",16,7.40226068050743,9.82665193292823,0.952054145325036,13,-2.54648463464554,0.013,999
"fr1_02",18,7.3265098579818,9.28687673577079,1.01942047309691,31,-1.92302090209506,0.031,999
"fr2_02",18,6.99334326628189,8.75722131732608,1.18475346536546,87,-1.48881442646812,0.087,999
"fr3_02",9,5.80804301687595,8.38874753607307,1.25507710107717,24,-2.05621193867869,0.024,999
"fr4_02",6,3.25339414031319,6.49616990282576,1.20325151777404,6,-2.69501073932701,0.006,999
"fr5_02",14,6.58811796845929,8.41636605001448,1.26973983532031,81,-1.43986037981867,0.081,999
"fr6_02",14,8.16092775917986,10.2821500885175,0.790404422660943,5,-2.68371768745471,0.005,999
"fr7_02",11,3.48650338468992,4.64967002515879,0.695300903203093,46,-1.67289677765471,0.046,999
"fr8_02",7,1.9690592839044,2.89793189995054,0.603967991781002,77,-1.53795007133912,0.077,999
"fr9_02",17,3.70833129191375,4.92859997902654,0.720307742621059,41,-1.69409353101283,0.041,999
"fr10_02",6,2.31523568271206,2.83498888884654,0.556625264024319,183,-0.933757843430854,0.183,999
"fo1_02",16,4.50366098957381,5.55714844510103,0.871087088405493,124,-1.20939395101769,0.124,999
"fo2_02",16,8.02957675986012,8.57438631337268,1.36101480163795,333,-0.400296567573613,0.333,999
"fo3_02",16,6.92560976054653,8.47488945172221,1.21916145083577,119,-1.27077483471414,0.119,999
"fo4_02",15,2.56949594981276,2.75772300231935,0.623533441287901,357,-0.301871623946593,0.357,999
"fo5_02",22,4.52958162566035,6.22533158568996,0.864786131039745,16,-1.96088940278307,0.016,999
"fo6_02",19,5.02941051447016,6.21651751024601,0.756761369156481,69,-1.56866754060009,0.069,999
"fo7_02",18,5.36643253755525,6.8124342363836,0.982782569253644,73,-1.47133429516001,0.073,999
"fo8_02",16,6.86667540872215,7.8968319660221,0.985657291618196,156,-1.04514679296767,0.156,999
"fo9_02",16,5.88642967187915,7.59381751797469,0.915075084552134,29,-1.86584453551284,0.029,999
"fo10_02",20,7.19983557645224,8.85402079948499,1.02323312372414,52,-1.61662595226805,0.052,999
"bc1_02",14,1.70411100541286,2.47024563523362,0.494240786554137,71,-1.55012425251722,0.071,999
"bc2_02",19,2.86354421641297,3.42165515805889,0.656486493686799,211,-0.850148399111142,0.211,999
"bc3_02",11,4.62053563685331,5.78640907408252,1.36791455915654,218,-0.852299896528698,0.218,999
"bc4_02",7,5.63258634055553,7.21790921681607,1.58972673088288,165,-0.99722980400544,0.165,999
"bc5_02",21,4.28475281671147,5.06247234136292,0.842515379223034,203,-0.923092377694826,0.203,999
"bc6_02",17,4.42060200503646,5.84208916645719,0.838310553531882,46,-1.69565700375819,0.046,999
"bc7_02",15,6.2664675760062,6.97490217311346,0.952870785910588,236,-0.743473939575405,0.236,999
"bc8_02",14,3.04778061908636,3.7913060330091,0.761735910377481,177,-0.976093425284729,0.177,999
"bc9_02",15,3.675276762742,5.35486909240095,0.87742491038098,31,-1.91422913777279,0.031,999
"bc10_02",12,9.31674161728099,9.45893476084841,1.05768460274612,447,-0.134438133256584,0.447,999
"na1_02",15,3.59493688356959,4.76031532930589,0.714693081682531,55,-1.63059986951709,0.055,999
"na2_02",14,2.84240933618905,3.76366205080432,0.597214040111067,67,-1.54258381876611,0.067,999
"na3_02",11,4.86809487082816,7.29916513573423,1.43890891412717,56,-1.6895233888941,0.056,999
"na4_02",11,9.47646262796339,9.77167029583531,0.9936623711914,379,-0.297090517293074,0.379,999
"na5_02",15,2.22784653986628,2.54857431718856,0.615425760191211,294,-0.521147794045272,0.294,999
"na6_02",19,6.50738459853248,8.35508658109869,1.18061454658197,65,-1.56503406460267,0.065,999
"na7_02",15,3.57192248288771,4.12696406828021,0.851052507242334,263,-0.652182539466335,0.263,999
"na8_02",15,6.71195303860498,7.59232653644943,1.25590582289413,262,-0.700986874808582,0.262,999
"na9_02",12,3.09680000241191,4.06792337259339,0.681023642292428,93,-1.42597600123327,0.093,999
"na10_02",12,5.69613741442173,7.64148890973184,1.08980103067534,34,-1.78505198706281,0.034,999
"fr1_03",21,8.29281431230457,10.2139574459016,0.813435527289808,12,-2.36176447812387,0.012,999
"fr2_03",27,7.04699666009413,9.96784752674851,0.929606914123354,3,-3.142027906934,0.003,999
"fr3_03",20,7.92029631718405,10.3938080752521,0.772555029885343,1,-3.20172888970142,0.001,999
"fr4_03",26,8.24817857814998,10.3416837428371,0.76893023301213,5,-2.72262043395828,0.005,999
