"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr1_00",13,8.4913356856792,12.5731957581791,2.14460622073321,38,-1.90331447938462,0.038,999
"fr2_00",16,13.0260335972781,17.3736644469564,2.11542997719986,33,-2.05519960317155,0.033,999
"fr3_00",19,12.0618004876053,17.5397365281861,2.17549877968782,16,-2.51801384203344,0.016,999
"fr4_00",20,13.9543527787787,16.8878950741371,2.12344826613088,96,-1.38149930099476,0.096,999
"fr5_00",12,13.9018900062299,17.2128939467998,2.31758807293139,97,-1.42864212119542,0.097,999
"fr6_00",17,10.8749687738241,15.8888825140499,2.67424763781036,40,-1.87488760178215,0.04,999
"fr7_00",9,7.55265759271896,10.3843539493783,2.06085116618836,98,-1.37404214487583,0.098,999
"fr8_00",16,8.26111786831713,15.4700815878284,2.8563618972033,4,-2.52382715459467,0.004,999
"fr9_00",26,14.3955482334582,18.1352443707212,2.00749312415244,46,-1.86286871534961,0.046,999
"fr10_00",17,13.19689689863,16.8730295154807,2.22222046609297,78,-1.65426098487605,0.078,999
"fo1_00",21,17.0083303453534,18.6492252163147,1.67414912679171,166,-0.980136622659088,0.166,999
"fo2_00",20,17.2112432562307,19.0822617365532,1.57831470533547,130,-1.18545336617442,0.13,999
"fo3_00",15,5.72385404162705,4.03755871920136,0.792101932946921,986,2.12888676606562,0.986,999
"fo4_00",9,14.075865985824,17.030118701934,2.46128337920506,124,-1.20028954856236,0.124,999
"fo5_00",25,13.9319915967999,18.9542674235259,1.77035348027763,10,-2.83687742740414,0.01,999
"fo6_00",21,19.1705820780207,17.6868647438572,2.12490714398312,721,0.698250433372957,0.721,999
"fo7_00",20,16.1663626035896,18.4746450400127,1.82903199613021,112,-1.26202408777259,0.112,999
"fo8_00",24,13.7001453151866,15.2774729497532,2.20384201709294,245,-0.715717198570879,0.245,999
"fo9_00",19,15.6612040701652,18.0566507026198,1.98141940644662,126,-1.20895486571943,0.126,999
"fo10_00",23,19.1384270940905,18.5962979703404,1.72965107191891,596,0.313432652719193,0.596,999
"bc1_00",18,16.1870412769214,17.7724170996322,1.99256269202217,212,-0.795646645929052,0.212,999
"bc2_00",17,7.27114854380082,8.43246999889901,1.48746002142473,241,-0.780741289426948,0.241,999
"bc3_00",17,14.5559598343804,18.1652461137546,2.06927940066223,62,-1.74422375162055,0.062,999
"bc4_00",5,10.1360943643967,11.7420632752185,2.36622209258918,253,-0.678705906707387,0.253,999
"bc5_00",14,11.8892613642398,12.4185571492059,2.25360543768111,402,-0.23486621753573,0.402,999
"bc6_00",17,15.2893708494103,17.9743143806651,1.95778890192778,97,-1.37141625872481,0.097,999
"bc7_00",22,16.9033894304068,18.0644060744408,1.9138975945946,273,-0.606624224468988,0.273,999
"bc8_00",16,16.4495551687265,18.8168046988689,1.71988815816131,106,-1.37639736567126,0.106,999
"bc9_00",22,10.7290156356161,10.6710680109698,1.78662521730853,511,0.0324341244514558,0.511,999
"bc10_00",12,8.9306402216939,10.6957582013451,2.12385644635786,218,-0.831091000843348,0.218,999
"na1_00",17,13.2555027653492,16.4399776542848,2.56347809756015,146,-1.24224774612526,0.146,999
"na2_00",14,12.8487913647796,15.1536868700395,2.10417909408342,141,-1.09538941420946,0.141,999
"na3_00",11,13.3861786491409,17.517955439695,2.27115902936658,51,-1.81923711071276,0.051,999
"na4_00",11,12.9660245016202,13.5872734738248,2.13155777192047,389,-0.291453030449622,0.389,999
