"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,6.47346310771571,8.83312082581707,0.869676960929143,2,-2.71325770844884,0.002,999
"fo2000",62,9.18389447917124,9.19161528366732,0.87575326038498,495,-0.00881618698477402,0.495,999
"na2000",66,8.90156133217015,8.71190797021963,0.955467351751263,564,0.198492770687465,0.564,999
"fr2001",56,5.50133903121939,7.44332011409649,0.892719029519704,7,-2.17535531187446,0.007,999
"fo2001",56,7.99512603214835,8.79212021583833,0.945726661606181,216,-0.842732066299578,0.216,999
"na2001",52,9.38499830407275,9.29913152966968,0.892794056244436,528,0.0961775829515192,0.528,999
"fr2002",40,5.997986282833,7.67163084902449,1.00550798889791,50,-1.66447664729734,0.05,999
"fo2002",46,7.4096820094558,7.44709789910623,1.3239736210991,457,-0.0282602984335689,0.457,999
"na2002",49,5.63231034664574,4.77103869489322,0.737584341180692,885,1.16769243009395,0.885,999
"fr2003",75,8.22208686013162,10.1022588886883,0.589683338633296,3,-3.18844353465089,0.003,999
"fo2003",85,9.05907728602259,8.82791694648064,0.79826627772035,622,0.289577984181023,0.622,999
"na2003",108,9.00599633341342,9.88309781562574,0.706914753011964,112,-1.24074575961986,0.112,999
