"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"fr2000",66,14.6161940897707,17.6201176377584,2.21407969756479,104,-1.35673686511451,0.104,999
"fo2000",62,22.1185829141918,18.2733784369817,2.17088110204935,990,1.77126442971944,0.99,999
"na2000",66,14.8006466147665,17.3432962109166,2.38791480586115,173,-1.06479912512336,0.173,999
"fr2001",56,12.2275735720003,14.828917121286,2.17180253007136,125,-1.19778088167169,0.125,999
"fo2001",56,19.0973780637705,17.5878801147159,2.30731690865067,713,0.654222202158336,0.713,999
"na2001",52,16.7573554172192,18.5171274106904,2.27817201475528,217,-0.772449131177739,0.217,999
"fr2002",40,14.8519733801356,15.2589660744953,2.39812731307656,413,-0.169712713808184,0.413,999
"fo2002",46,19.9799107239185,14.8074360276029,3.26124817970356,992,1.5860414207378,0.992,999
"na2002",49,8.73205375435135,9.43486404629931,1.81955890766316,374,-0.386253112767075,0.374,999
"fr2003",75,17.7802388871997,20.0262785971429,1.47411610629044,83,-1.52365183472236,0.083,999
"fo2003",85,21.8182990960063,17.3893312609283,1.96332430469013,999,2.2558513764118,0.999,999
"na2003",108,16.8725219253914,19.649184115437,1.64681033718443,67,-1.68608498947906,0.067,999
